episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.03125,42,,,,0,10,6,16,,,7,19,1,10,,,6,11,5,10,,,3,18,9,17,,,9,3,7,1,,,0.0,9.0,7.0,18.0,,,,,,
1,0.015625,42,21.0,16.0,15.0,8,1,3,11,7.0,6.0,5,1,1,1,15.0,14.0,0,14,9,11,3.0,2.0,9,1,8,0,15.0,14.0,4,0,6,10,,,,,,,21.0,20.0,6.0,19.0,5.0,0.0
2,0.03125,42,22.0,22.0,21.0,8,19,6,0,18.0,17.0,5,19,9,6,16.0,15.0,3,19,0,7,9.0,8.0,4,0,9,3,8.0,7.0,2,0,9,0,,,,,,,8.0,7.0,3.0,14.0,0.0,10.0
3,0.0,42,15.0,11.0,10.0,6,9,9,16,4.0,3.0,0,19,3,19,6.0,5.0,7,10,9,7,4.0,3.0,6,17,6,14,15.0,14.0,3,9,8,0,,,,,,,11.0,10.0,3.0,0.0,0.0,7.0
4,60.03125,42,,,,7,18,5,19,,,1,9,0,17,,,3,10,7,9,,,4,9,6,15,,,4,19,9,11,,,0.0,5.0,9.0,16.0,,,,,,
5,0.078125,42,14.0,7.0,6.0,3,5,1,1,14.0,13.0,9,9,4,1,9.0,8.0,3,10,0,15,14.0,13.0,0,8,6,15,2.0,1.0,4,9,4,10,,,,,,,12.0,11.0,3.0,15.0,8.0,9.0
6,0.0,42,16.0,8.0,7.0,2,0,9,0,9.0,8.0,6,1,6,9,5.0,4.0,6,13,6,17,14.0,13.0,9,13,0,11,15.0,14.0,3,18,3,4,,,,,,,16.0,15.0,3.0,6.0,0.0,18.0
7,60.015625,42,,,,7,19,9,8,,,9,0,3,1,,,3,18,2,1,,,8,10,6,15,,,9,1,6,9,,,3.0,12.0,0.0,16.0,,,,,,
8,60.046875,42,,,,9,0,8,0,,,1,10,6,13,,,8,10,4,9,,,0,0,6,17,,,8,9,3,0,,,8.0,1.0,6.0,0.0,,,,,,
9,0.0,42,21.0,21.0,20.0,5,0,3,18,13.0,12.0,6,1,6,13,14.0,13.0,0,4,6,11,12.0,11.0,0,16,4,9,14.0,13.0,2,9,9,3,,,,,,,17.0,16.0,4.0,1.0,0.0,13.0
