episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
10,60.015625,42,,,,6,1,0,10,,,0,9,8,9,,,7,18,3,3,,,6,2,6,5,,,6,9,0,3,,,6.0,0.0,3.0,8.0,,,,,,
11,60.015625,42,,,,3,18,9,2,,,9,17,0,4,,,1,18,2,1,,,3,0,8,19,,,3,15,0,6,,,9.0,19.0,9.0,3.0,,,,,,
12,0.03125,42,15.0,15.0,14.0,9,10,5,0,8.0,7.0,3,2,8,0,8.0,7.0,3,18,9,19,2.0,1.0,6,12,6,13,11.0,10.0,0,14,3,15,,,,,,,4.0,3.0,3.0,0.0,6.0,0.0
13,60.015625,42,,,,3,15,0,2,,,3,16,0,12,,,8,18,0,10,,,3,5,7,19,,,0,19,6,19,,,3.0,6.0,6.0,16.0,,,,,,
14,60.0625,42,,,,4,1,0,17,,,6,19,4,19,,,0,18,6,16,,,9,8,3,19,,,5,0,0,19,,,9.0,12.0,3.0,12.0,,,,,,
15,0.140625,42,22.0,12.0,11.0,3,2,0,10,12.0,11.0,6,15,3,7,11.0,10.0,6,9,0,13,8.0,7.0,6,6,3,10,9.0,8.0,3,9,9,9,,,,,,,22.0,21.0,2.0,1.0,9.0,15.0
16,0.046875,42,24.0,3.0,2.0,6,17,6,19,5.0,4.0,4,1,8,1,21.0,20.0,2,18,4,0,21.0,19.0,7,18,7,1,11.0,10.0,9,16,2,19,,,,,,,24.0,23.0,4.0,19.0,8.0,0.0
17,60.046875,42,,,,0,9,6,17,,,0,11,1,10,,,3,19,6,19,,,9,8,3,3,,,0,14,8,10,,,4.0,0.0,6.0,3.0,,,,,,
18,60.046875,42,,,,5,19,4,19,,,1,0,6,19,,,4,1,6,12,,,9,3,3,18,,,0,2,3,3,,,7.0,10.0,6.0,8.0,,,,,,
19,0.015625,42,18.0,17.0,16.0,6,3,3,16,18.0,17.0,0,10,8,1,14.0,13.0,6,11,0,4,18.0,17.0,6,8,1,0,15.0,14.0,0,9,4,19,,,,,,,14.0,13.0,0.0,16.0,7.0,10.0
20,0.0,42,16.0,12.0,11.0,3,6,6,4,6.0,5.0,6,12,8,9,4.0,3.0,0,16,0,19,16.0,15.0,6,14,3,2,12.0,11.0,0,11,9,11,,,,,,,2.0,1.0,1.0,1.0,1.0,0.0
21,0.09375,42,23.0,10.0,9.0,6,3,0,2,6.0,5.0,3,19,0,17,14.0,13.0,3,8,9,15,13.0,12.0,6,7,3,16,9.0,8.0,6,4,4,10,,,,,,,23.0,22.0,9.0,18.0,3.0,2.0
22,0.0,42,25.0,25.0,24.0,8,0,3,19,15.0,14.0,0,7,9,12,10.0,9.0,0,9,0,18,22.0,21.0,2,19,6,2,2.0,1.0,4,18,5,18,,,,,,,7.0,6.0,4.0,9.0,6.0,13.0
23,60.03125,42,,,,4,9,5,9,,,8,10,9,2,,,2,18,3,18,,,9,14,3,1,,,3,6,0,2,,,5.0,19.0,3.0,10.0,,,,,,
24,60.015625,42,,,,8,19,6,0,,,0,1,3,4,,,9,7,0,12,,,5,18,6,13,,,0,16,0,13,,,3.0,3.0,3.0,0.0,,,,,,
25,0.078125,42,25.0,6.0,5.0,6,12,6,7,13.0,12.0,7,0,9,10,6.0,5.0,9,12,9,17,25.0,24.0,7,19,2,0,6.0,5.0,3,5,2,1,,,,,,,6.0,5.0,2.0,9.0,0.0,12.0
26,60.046875,42,,,,0,4,9,0,,,0,16,4,1,,,6,0,8,10,,,5,19,9,15,,,3,11,3,4,,,3.0,3.0,1.0,10.0,,,,,,
27,60.03125,42,,,,9,14,2,10,,,6,9,9,19,,,3,1,9,12,,,6,8,1,0,,,5,1,0,19,,,9.0,9.0,5.0,10.0,,,,,,
28,0.0,42,16.0,14.0,13.0,3,2,0,10,14.0,13.0,3,18,7,9,15.0,14.0,9,16,9,2,9.0,8.0,9,19,1,19,5.0,4.0,0,17,0,13,,,,,,,16.0,15.0,0.0,5.0,9.0,7.0
29,0.0,42,17.0,8.0,7.0,4,9,3,15,8.0,7.0,3,4,3,11,16.0,15.0,0,2,9,6,17.0,16.0,7,19,0,10,16.0,15.0,3,6,7,1,,,,,,,5.0,4.0,5.0,9.0,6.0,12.0
30,60.03125,42,,,,7,9,2,1,,,3,12,0,3,,,2,18,0,14,,,0,0,0,7,,,9,12,9,0,,,9.0,13.0,9.0,7.0,,,,,,
31,0.03125,42,22.0,12.0,11.0,7,9,0,5,14.0,13.0,1,0,1,9,17.0,16.0,3,10,3,0,10.0,9.0,6,5,3,3,4.0,3.0,6,19,9,19,,,,,,,22.0,21.0,0.0,17.0,9.0,5.0
32,0.09375,42,25.0,14.0,13.0,3,5,9,12,25.0,24.0,9,16,0,1,23.0,22.0,4,19,1,0,4.0,3.0,5,0,2,0,19.0,18.0,3,18,3,0,,,,,,,25.0,24.0,8.0,0.0,0.0,16.0
33,0.0,42,21.0,19.0,18.0,0,2,9,11,3.0,2.0,6,14,6,16,5.0,4.0,9,16,7,18,18.0,17.0,0,14,6,3,15.0,14.0,3,2,3,16,,,,,,,21.0,20.0,0.0,15.0,5.0,0.0
34,60.015625,42,,,,1,10,7,1,,,9,4,8,19,,,8,10,0,15,,,0,2,3,18,,,6,18,0,14,,,0.0,9.0,6.0,1.0,,,,,,
35,0.0,42,19.0,15.0,14.0,0,9,5,0,10.0,9.0,3,14,6,12,19.0,18.0,9,16,3,4,19.0,18.0,3,2,9,14,12.0,11.0,0,15,5,9,,,,,,,15.0,14.0,9.0,11.0,4.0,18.0
36,0.046875,42,24.0,14.0,13.0,9,15,0,17,6.0,5.0,9,11,6,9,24.0,23.0,4,19,9,1,11.0,10.0,0,2,0,12,15.0,14.0,6,5,6,19,,,,,,,5.0,4.0,3.0,1.0,6.0,0.0
37,0.078125,42,18.0,15.0,14.0,7,9,1,1,15.0,14.0,3,16,9,12,9.0,8.0,0,0,7,1,8.0,7.0,9,16,8,10,5.0,4.0,0,19,3,18,,,,,,,18.0,17.0,0.0,16.0,6.0,5.0
38,0.0,42,16.0,12.0,11.0,6,9,3,1,3.0,2.0,8,1,9,0,16.0,15.0,9,2,2,10,16.0,15.0,0,2,8,9,14.0,13.0,6,12,4,1,,,,,,,8.0,7.0,4.0,9.0,0.0,12.0
39,60.0625,42,,,,2,0,9,4,,,3,6,7,10,,,5,10,6,5,,,7,18,3,1,,,6,6,3,15,,,9.0,12.0,0.0,13.0,,,,,,
40,0.046875,42,22.0,18.0,17.0,9,11,2,19,19.0,18.0,3,17,4,0,9.0,8.0,0,13,5,10,7.0,6.0,6,11,2,9,22.0,21.0,9,15,2,1,,,,,,,14.0,13.0,3.0,11.0,9.0,4.0
41,0.015625,42,17.0,10.0,9.0,7,9,0,7,15.0,14.0,9,1,4,10,17.0,16.0,8,18,6,4,13.0,12.0,9,15,3,9,5.0,4.0,0,12,0,16,,,,,,,14.0,13.0,9.0,19.0,9.0,6.0
42,60.0625,42,,,,1,9,9,10,,,8,19,6,5,,,3,4,0,19,,,3,3,0,18,,,9,11,3,1,,,0.0,16.0,6.0,2.0,,,,,,
43,0.109375,42,23.0,13.0,12.0,4,0,1,9,15.0,14.0,0,13,1,0,23.0,22.0,5,18,9,0,21.0,20.0,0,2,3,17,15.0,14.0,6,18,6,4,,,,,,,12.0,11.0,0.0,17.0,0.0,6.0
44,60.015625,42,,,,5,1,9,18,,,6,14,5,0,,,8,10,7,1,,,3,13,9,5,,,9,0,8,1,,,3.0,4.0,9.0,2.0,,,,,,
45,0.0,42,24.0,7.0,6.0,0,5,2,9,12.0,11.0,4,19,6,10,7.0,6.0,1,1,6,2,8.0,7.0,9,7,9,14,17.0,16.0,2,1,3,16,,,,,,,24.0,23.0,5.0,18.0,2.0,0.0
46,60.046875,42,,,,3,0,9,7,,,0,5,0,11,,,0,0,0,10,,,3,11,9,0,,,9,11,0,12,,,5.0,9.0,0.0,6.0,,,,,,
47,60.046875,42,,,,3,14,9,8,,,9,11,2,1,,,6,15,9,17,,,0,11,3,5,,,9,1,8,10,,,8.0,9.0,6.0,3.0,,,,,,
48,0.0,42,22.0,12.0,11.0,6,8,5,18,9.0,8.0,6,10,3,5,8.0,7.0,6,7,5,1,20.0,19.0,7,1,9,16,22.0,21.0,0,15,9,3,,,,,,,22.0,21.0,8.0,0.0,8.0,19.0
49,60.03125,42,,,,9,0,2,9,,,4,1,2,18,,,8,0,0,7,,,3,12,0,16,,,6,15,3,18,,,6.0,10.0,4.0,10.0,,,,,,
50,60.046875,42,,,,0,19,5,0,,,3,16,7,1,,,6,6,3,5,,,2,0,3,18,,,3,7,3,12,,,3.0,10.0,1.0,1.0,,,,,,
51,60.015625,42,,,,6,15,9,10,,,2,1,9,3,,,3,2,4,10,,,8,1,7,19,,,9,14,3,6,,,6.0,13.0,4.0,1.0,,,,,,
52,60.046875,42,,,,5,18,8,10,,,9,15,6,0,,,9,2,5,10,,,4,18,7,18,,,6,11,6,9,,,1.0,10.0,0.0,8.0,,,,,,
53,0.03125,42,19.0,5.0,4.0,1,0,5,0,5.0,4.0,7,1,9,3,18.0,17.0,0,4,9,10,7.0,6.0,1,10,0,15,13.0,12.0,6,5,9,14,,,,,,,19.0,18.0,3.0,1.0,6.0,16.0
54,60.015625,42,,,,6,7,0,9,,,6,9,5,9,,,0,11,9,12,,,6,8,6,19,,,7,0,0,15,,,6.0,3.0,9.0,15.0,,,,,,
55,60.09375,42,,,,9,15,8,0,,,0,19,9,19,,,8,9,9,12,,,3,15,9,13,,,6,4,0,10,,,3.0,19.0,2.0,10.0,,,,,,
56,0.28125,42,18.0,18.0,17.0,6,4,0,15,11.0,10.0,0,5,6,1,12.0,11.0,0,11,0,0,14.0,10.0,5,9,6,2,6.0,5.0,6,7,4,10,,,,,,,7.0,6.0,6.0,19.0,0.0,19.0
57,0.0,42,12.0,8.0,7.0,6,14,4,19,12.0,11.0,5,9,2,1,7.0,6.0,7,0,6,5,10.0,9.0,7,18,0,16,3.0,2.0,9,10,9,12,,,,,,,7.0,6.0,4.0,9.0,8.0,9.0
58,0.0,42,21.0,21.0,20.0,0,13,7,0,21.0,20.0,8,1,3,16,13.0,12.0,6,19,9,10,17.0,16.0,0,10,7,19,4.0,3.0,4,18,1,18,,,,,,,14.0,13.0,9.0,2.0,6.0,12.0
59,0.0,42,15.0,11.0,10.0,7,0,6,9,15.0,14.0,3,6,2,19,12.0,11.0,7,1,8,9,9.0,8.0,9,8,3,10,14.0,13.0,8,18,5,10,,,,,,,7.0,6.0,6.0,13.0,7.0,18.0
60,60.03125,42,,,,3,4,6,0,,,0,18,3,18,,,9,15,7,1,,,0,17,3,12,,,0,10,0,14,,,9.0,12.0,7.0,0.0,,,,,,
61,0.015625,42,20.0,13.0,12.0,6,0,4,10,16.0,15.0,9,14,0,16,10.0,9.0,9,12,3,11,6.0,5.0,3,9,6,11,20.0,19.0,8,0,9,18,,,,,,,13.0,12.0,1.0,0.0,6.0,7.0
62,60.0625,42,,,,0,0,2,19,,,6,19,9,5,,,9,2,6,9,,,9,14,0,14,,,3,17,4,10,,,0.0,13.0,6.0,4.0,,,,,,
63,0.0,42,23.0,7.0,6.0,6,15,8,19,4.0,3.0,5,19,3,18,5.0,4.0,0,1,3,2,17.0,16.0,0,11,9,16,2.0,1.0,4,0,4,1,,,,,,,23.0,22.0,0.0,3.0,6.0,19.0
64,0.0,42,25.0,25.0,24.0,3,19,8,0,24.0,23.0,0,1,5,19,17.0,16.0,3,3,0,12,17.0,16.0,5,1,3,13,10.0,9.0,9,10,9,19,,,,,,,8.0,7.0,3.0,4.0,7.0,1.0
65,60.015625,42,,,,0,5,0,12,,,9,5,6,13,,,6,15,9,19,,,3,0,0,2,,,8,0,0,15,,,9.0,1.0,6.0,11.0,,,,,,
66,0.046875,42,18.0,12.0,11.0,0,10,2,1,17.0,16.0,6,14,4,0,18.0,17.0,9,8,0,16,2.0,1.0,9,4,9,3,12.0,11.0,0,3,8,0,,,,,,,6.0,5.0,6.0,8.0,2.0,9.0
67,60.03125,42,,,,8,10,0,4,,,1,9,0,0,,,0,1,0,18,,,9,9,0,5,,,3,1,8,19,,,6.0,12.0,6.0,6.0,,,,,,
68,60.0625,42,,,,9,17,2,9,,,8,9,0,6,,,9,15,6,13,,,2,1,9,16,,,3,1,9,11,,,9.0,2.0,0.0,13.0,,,,,,
69,60.078125,42,,,,7,19,0,4,,,9,2,4,0,,,6,16,1,10,,,8,19,0,13,,,9,1,0,14,,,3.0,19.0,5.0,0.0,,,,,,
70,0.0,42,22.0,17.0,16.0,7,9,0,18,5.0,4.0,5,19,8,18,10.0,9.0,6,9,7,1,4.0,3.0,0,9,0,6,16.0,15.0,9,2,1,9,,,,,,,22.0,21.0,5.0,18.0,4.0,0.0
71,60.046875,42,,,,0,1,7,9,,,2,19,6,6,,,0,11,5,1,,,6,18,0,6,,,5,9,0,8,,,9.0,17.0,6.0,7.0,,,,,,
72,60.03125,42,,,,0,0,3,15,,,0,4,1,0,,,1,19,3,11,,,9,6,0,10,,,4,1,7,19,,,6.0,18.0,1.0,1.0,,,,,,
73,0.078125,42,25.0,12.0,11.0,9,17,6,9,13.0,12.0,6,4,9,5,4.0,3.0,4,1,6,2,4.0,3.0,5,18,3,19,25.0,24.0,8,0,0,16,,,,,,,3.0,2.0,3.0,11.0,2.0,10.0
74,0.0,42,21.0,11.0,10.0,9,13,2,10,9.0,8.0,5,18,6,11,18.0,17.0,3,2,3,19,6.0,5.0,3,16,0,18,21.0,20.0,6,3,0,17,,,,,,,15.0,14.0,2.0,9.0,6.0,17.0
75,60.015625,42,,,,4,1,0,15,,,5,0,0,13,,,6,16,9,16,,,3,14,9,13,,,9,9,3,0,,,4.0,10.0,0.0,10.0,,,,,,
76,0.234375,42,25.0,13.0,12.0,6,7,9,16,9.0,6.0,3,17,3,15,25.0,24.0,8,1,0,17,9.0,8.0,6,6,9,1,8.0,7.0,3,14,1,19,,,,,,,10.0,9.0,3.0,3.0,6.0,9.0
77,60.03125,42,,,,9,14,3,2,,,6,4,3,16,,,6,5,4,10,,,3,4,4,9,,,9,10,0,17,,,0.0,4.0,2.0,0.0,,,,,,
78,60.046875,42,,,,0,11,5,19,,,6,2,6,11,,,3,8,6,7,,,6,1,3,4,,,6,4,2,9,,,6.0,17.0,8.0,1.0,,,,,,
79,0.0625,42,15.0,9.0,8.0,5,19,9,15,15.0,14.0,1,9,5,1,14.0,13.0,3,18,8,10,12.0,11.0,5,10,7,1,9.0,8.0,6,8,6,0,,,,,,,3.0,2.0,3.0,7.0,3.0,9.0
80,60.046875,42,,,,9,6,5,9,,,0,14,2,19,,,9,10,8,9,,,9,2,2,9,,,5,0,3,4,,,7.0,1.0,9.0,1.0,,,,,,
81,60.03125,42,,,,3,12,9,4,,,4,19,9,1,,,0,4,8,19,,,0,13,0,9,,,0,6,3,0,,,0.0,8.0,6.0,1.0,,,,,,
82,0.34375,42,23.0,16.0,15.0,4,18,9,8,3.0,2.0,1,0,0,1,23.0,22.0,7,0,3,18,21.0,20.0,3,4,8,19,18.0,16.0,0,7,6,17,,,,,,,8.0,7.0,3.0,6.0,7.0,9.0
83,60.015625,42,,,,9,3,6,5,,,3,16,6,13,,,3,11,0,13,,,6,18,5,0,,,0,17,3,10,,,2.0,1.0,9.0,15.0,,,,,,
84,60.046875,42,,,,0,8,6,15,,,9,19,0,16,,,4,0,6,17,,,7,19,7,10,,,3,17,3,12,,,3.0,4.0,9.0,11.0,,,,,,
85,0.0,42,18.0,5.0,4.0,3,6,4,9,18.0,17.0,0,1,0,18,5.0,4.0,6,14,6,18,3.0,2.0,1,18,0,19,11.0,10.0,7,10,3,16,,,,,,,3.0,2.0,6.0,10.0,5.0,9.0
86,60.03125,42,,,,9,1,8,9,,,9,10,6,11,,,9,18,0,16,,,9,15,5,0,,,6,0,3,19,,,1.0,10.0,3.0,13.0,,,,,,
87,60.046875,42,,,,3,6,4,10,,,0,9,4,9,,,9,0,9,10,,,7,10,0,17,,,0,4,3,3,,,3.0,18.0,1.0,0.0,,,,,,
88,0.140625,42,24.0,15.0,14.0,9,9,3,1,11.0,10.0,9,13,4,18,24.0,23.0,0,5,9,19,6.0,5.0,6,9,6,4,23.0,22.0,2,1,6,19,,,,,,,2.0,1.0,2.0,9.0,1.0,9.0
89,60.046875,42,,,,4,19,9,3,,,0,1,6,9,,,0,9,6,0,,,2,19,6,11,,,2,9,3,15,,,9.0,1.0,6.0,13.0,,,,,,
90,60.046875,42,,,,8,9,7,9,,,7,18,5,18,,,6,7,9,6,,,0,6,3,7,,,7,0,9,12,,,3.0,10.0,9.0,1.0,,,,,,
91,60.015625,42,,,,3,6,3,10,,,4,10,5,0,,,5,10,3,17,,,7,19,9,9,,,6,15,3,3,,,9.0,2.0,6.0,4.0,,,,,,
92,0.015625,42,15.0,6.0,5.0,9,2,5,1,10.0,9.0,3,12,0,12,11.0,10.0,3,7,0,2,15.0,14.0,6,3,3,14,6.0,5.0,4,19,9,19,,,,,,,9.0,8.0,0.0,13.0,5.0,10.0
93,0.0,42,13.0,10.0,9.0,6,8,3,4,6.0,5.0,6,9,1,9,7.0,6.0,3,13,2,18,4.0,3.0,1,0,0,2,13.0,12.0,0,0,6,6,,,,,,,10.0,9.0,9.0,10.0,3.0,7.0
94,60.03125,42,,,,9,11,6,5,,,6,16,6,1,,,3,19,0,0,,,3,16,3,0,,,3,3,0,19,,,0.0,16.0,6.0,17.0,,,,,,
95,0.0,42,9.0,4.0,3.0,6,9,4,10,4.0,3.0,6,18,9,18,6.0,5.0,9,17,7,18,4.0,3.0,8,10,6,11,7.0,6.0,6,7,9,8,,,,,,,9.0,8.0,5.0,9.0,9.0,5.0
96,0.0,42,19.0,19.0,18.0,6,19,9,4,11.0,10.0,3,1,0,8,18.0,17.0,9,15,0,13,10.0,9.0,6,8,5,0,2.0,1.0,8,0,7,0,,,,,,,2.0,1.0,5.0,1.0,4.0,1.0
97,60.015625,42,,,,8,10,9,16,,,3,19,0,12,,,6,11,9,18,,,6,0,0,17,,,9,15,3,1,,,3.0,16.0,8.0,19.0,,,,,,
98,0.265625,42,25.0,21.0,20.0,9,16,3,2,13.0,12.0,7,9,0,4,15.0,14.0,6,9,5,0,14.0,13.0,3,8,8,0,25.0,24.0,0,0,9,15,,,,,,,21.0,20.0,7.0,1.0,0.0,14.0
99,60.0625,42,,,,4,18,9,17,,,9,5,2,9,,,9,18,3,15,,,9,3,0,8,,,4,1,8,9,,,3.0,5.0,6.0,11.0,,,,,,
100,0.015625,42,22.0,3.0,2.0,1,19,3,19,22.0,21.0,6,0,8,19,21.0,20.0,5,18,2,1,15.0,14.0,8,10,0,4,15.0,14.0,2,18,0,6,,,,,,,12.0,11.0,0.0,9.0,9.0,11.0
