episode,cpu_time,seed,total_reward,timesteps,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
11,2.546875,42,12.0,57,1.5,10,25,6,11,1.5,6,10,19,9,1.5,19,20,7,11,1.5,6,15,0,20,1.5,12,28,6,5,1.5,1,24,6,6,1.5,11,0,19,21,1.5,5,0,0,27
12,3.65625,42,12.0,82,1.5,15,29,0,22,1.5,1,29,19,7,1.5,13,29,0,29,1.5,13,14,16,1,1.5,15,15,2,29,1.5,7,2,7,0,1.5,19,22,0,18,1.5,2,0,14,15
13,2.734375,42,12.0,61,1.5,16,29,7,10,1.5,10,18,13,29,1.5,9,15,12,0,1.5,7,2,1,10,1.5,14,0,0,4,1.5,13,15,7,4,1.5,5,1,15,1,1.5,1,16,18,15
14,4.484375,42,1.5,100,0.5,0,21,7,11,-1.0,11,22,1,13,0.5,0,19,6,3,0.5,6,26,15,1,-0.5,1,2,0,9,0.5,5,1,6,23,0.5,10,19,1,11,0.5,10,29,16,1
15,4.4375,42,2.5,100,0.5,10,20,6,7,0.5,16,14,10,26,-1.0,1,9,10,21,0.5,12,0,4,29,0.5,0,23,10,19,0.5,1,3,19,12,0.5,1,10,7,0,0.5,12,22,19,27
16,2.03125,42,12.0,45,1.5,7,8,7,10,1.5,7,4,6,29,1.5,16,0,19,15,1.5,4,1,0,14,1.5,19,20,7,9,1.5,0,5,0,18,1.5,6,23,12,14,1.5,1,4,3,0
17,2.9375,42,12.0,65,1.5,2,1,6,11,1.5,19,19,17,15,1.5,6,3,0,2,1.5,1,6,8,1,1.5,7,6,3,29,1.5,10,16,18,1,1.5,16,28,0,4,1.5,9,14,6,28
18,4.453125,42,3.0,100,0.5,6,0,14,14,0.5,0,24,14,1,0.5,12,1,19,15,-0.5,19,6,12,14,0.5,5,0,1,25,0.5,9,14,0,27,0.5,10,0,12,0,0.5,1,2,3,1
19,4.34375,42,12.0,96,1.5,19,24,5,1,1.5,1,22,17,22,1.5,1,24,7,3,1.5,15,22,0,8,1.5,10,26,9,15,1.5,6,1,1,2,1.5,19,10,6,12,1.5,0,24,10,1
20,3.078125,42,12.0,69,1.5,11,1,1,11,1.5,4,0,1,7,1.5,10,28,9,0,1.5,16,29,7,15,1.5,1,16,19,28,1.5,19,21,19,8,1.5,19,19,19,15,1.5,6,0,1,28
21,3.8125,42,12.0,85,1.5,1,4,8,0,1.5,19,5,7,5,1.5,0,20,6,0,1.5,0,10,14,29,1.5,19,22,1,21,1.5,4,29,18,0,1.5,19,28,0,26,1.5,6,27,19,4
22,1.5625,42,12.0,35,1.5,6,13,19,15,1.5,19,3,19,18,1.5,0,21,1,25,1.5,0,5,14,15,1.5,12,0,2,0,1.5,15,22,14,29,1.5,6,21,0,1,1.5,6,4,6,15
23,3.046875,42,12.0,68,1.5,1,5,1,14,1.5,14,29,3,1,1.5,1,11,5,29,1.5,0,7,6,12,1.5,17,22,19,1,1.5,0,28,10,23,1.5,19,5,0,10,1.5,0,15,13,29
24,2.828125,42,12.0,63,1.5,6,27,0,4,1.5,1,2,12,22,1.5,19,14,19,22,1.5,19,29,0,3,1.5,19,23,3,0,1.5,15,29,1,9,1.5,7,12,1,0,1.5,6,1,1,22
25,4.46875,42,1.5,100,0.5,15,15,0,19,0.5,10,19,14,22,0.5,6,23,17,15,-0.5,0,27,1,15,0.5,19,13,0,5,-1.0,4,1,18,28,0.5,13,0,13,28,0.5,7,13,16,28
26,4.46875,42,1.5,100,0.5,0,18,19,19,0.5,6,19,8,1,-1.0,19,23,3,29,0.5,1,0,4,29,0.5,10,15,12,0,0.5,6,27,7,9,0.5,19,13,5,29,-0.5,0,28,7,14
27,4.46875,42,1.5,100,0.5,10,1,6,23,0.5,1,3,0,1,-1.0,11,1,19,22,0.5,19,20,17,29,-0.5,0,5,1,2,0.5,19,12,0,24,0.5,10,22,14,29,0.5,7,12,14,0
28,2.65625,42,12.0,59,1.5,16,28,0,24,1.5,6,26,3,29,1.5,7,5,17,15,1.5,1,8,11,1,1.5,19,14,0,4,1.5,10,22,16,0,1.5,14,22,12,0,1.5,1,11,18,0
29,4.453125,42,2.0,100,0.5,8,15,0,27,0.5,15,15,6,13,-0.5,10,24,19,13,-0.5,1,27,19,14,0.5,1,23,4,0,0.5,16,15,18,29,0.5,6,4,6,22,0.5,7,4,15,0
30,3.734375,42,12.0,84,1.5,2,29,17,29,1.5,7,1,17,0,1.5,8,15,19,20,1.5,6,25,1,26,1.5,19,21,19,28,1.5,0,26,2,1,1.5,18,29,14,28,1.5,11,28,1,24
31,3.75,42,3.0,100,0.5,6,9,19,10,-0.5,1,3,19,11,0.5,1,14,10,23,0.5,0,24,17,14,0.5,7,6,19,12,0.5,19,2,6,0,0.5,10,22,1,2,0.5,0,15,5,29
32,4.40625,42,1.5,100,0.5,0,26,6,26,0.5,9,1,10,21,0.5,0,4,8,0,-1.0,1,7,13,22,-0.5,10,18,1,9,0.5,1,5,0,12,0.5,7,2,17,22,0.5,3,29,1,14
33,3.734375,42,2.0,100,0.5,19,26,7,10,0.5,7,13,1,11,-0.5,14,15,19,4,-0.5,12,22,19,1,0.5,17,15,9,0,0.5,16,22,16,14,0.5,6,0,0,9,0.5,6,18,18,1
34,4.125,42,2.5,100,0.5,19,18,19,5,-1.0,6,23,0,23,0.5,3,1,0,21,0.5,1,24,0,11,0.5,11,15,19,13,0.5,1,22,0,1,0.5,10,16,8,1,0.5,1,27,6,13
35,4.5625,42,1.5,100,-0.5,12,29,6,1,0.5,0,22,10,18,0.5,17,28,15,29,0.5,17,22,18,0,0.5,6,20,1,24,-1.0,0,24,16,22,0.5,19,12,19,25,0.5,0,11,19,7
36,2.84375,42,12.0,60,1.5,1,0,7,3,1.5,17,15,16,0,1.5,9,0,6,16,1.5,10,29,6,1,1.5,15,29,18,15,1.5,11,15,7,15,1.5,14,22,17,22,1.5,10,27,19,22
37,2.34375,42,12.0,48,1.5,1,2,6,12,1.5,6,27,7,13,1.5,7,7,6,11,1.5,12,29,1,7,1.5,2,1,1,23,1.5,11,14,6,23,1.5,0,13,6,5,1.5,1,27,10,24
38,3.4375,42,12.0,74,1.5,12,29,7,8,1.5,1,23,15,22,1.5,4,1,6,3,1.5,14,15,16,14,1.5,6,14,19,10,1.5,6,2,19,18,1.5,1,11,18,14,1.5,6,27,12,14
39,2.59375,42,12.0,54,1.5,11,28,3,29,1.5,1,16,1,10,1.5,16,28,14,15,1.5,7,3,10,0,1.5,18,1,11,0,1.5,9,0,8,15,1.5,7,10,0,16,1.5,19,20,15,15
40,3.484375,42,12.0,73,1.5,18,28,14,1,1.5,19,11,10,19,1.5,1,0,0,19,1.5,0,8,19,19,1.5,13,1,0,21,1.5,1,16,10,26,1.5,7,13,10,28,1.5,10,22,11,1
41,3.5625,42,12.0,77,1.5,1,8,19,14,1.5,16,22,19,17,1.5,6,21,0,20,1.5,8,1,10,21,1.5,1,1,19,29,1.5,19,15,6,29,1.5,19,20,16,15,1.5,14,0,16,0
42,4.078125,42,12.0,87,1.5,8,1,7,6,1.5,10,27,7,4,1.5,1,8,12,22,1.5,1,28,1,9,1.5,0,11,0,1,1.5,14,0,0,29,1.5,0,21,10,17,1.5,10,21,10,15
43,2.796875,42,12.0,58,1.5,8,0,16,0,1.5,7,10,0,26,1.5,1,23,14,0,1.5,8,1,10,23,1.5,19,11,18,0,1.5,14,1,1,1,1.5,16,22,0,27,1.5,15,14,19,14
44,2.09375,42,12.0,52,1.5,19,12,17,1,1.5,15,28,15,14,1.5,1,17,11,1,1.5,0,20,12,14,1.5,14,1,14,22,1.5,7,9,14,14,1.5,6,23,19,6,1.5,11,29,6,4
45,3.890625,42,2.5,100,0.5,5,29,14,15,0.5,1,6,6,15,-1.0,19,21,0,29,0.5,2,1,1,3,0.5,8,15,10,1,0.5,16,15,0,19,0.5,6,0,6,28,0.5,6,11,19,15
46,1.734375,42,12.0,36,1.5,6,10,0,1,1.5,15,29,13,29,1.5,10,26,18,0,1.5,14,14,7,7,1.5,19,18,11,28,1.5,1,10,1,2,1.5,19,15,19,26,1.5,10,0,6,14
47,3.796875,42,0.5,100,0.5,19,2,0,2,0.5,11,1,0,21,-0.5,0,28,7,2,0.5,19,18,7,7,-1.0,2,29,12,29,0.5,6,25,10,20,0.5,18,1,9,14,-0.5,0,27,0,7
48,2.578125,42,12.0,63,1.5,7,3,15,29,1.5,6,0,9,14,1.5,6,29,0,25,1.5,14,0,0,2,1.5,4,1,19,11,1.5,17,15,5,0,1.5,19,22,14,22,1.5,6,26,8,0
49,4.171875,42,12.0,93,1.5,3,29,11,22,1.5,15,29,10,28,1.5,17,28,0,20,1.5,6,17,0,9,1.5,19,2,0,5,1.5,19,29,0,24,1.5,12,28,1,1,1.5,0,10,12,1
50,3.640625,42,12.0,78,1.5,1,25,19,9,1.5,7,1,4,0,1.5,1,2,11,29,1.5,12,22,18,14,1.5,0,6,1,15,1.5,19,6,15,28,1.5,1,26,0,3,1.5,18,28,16,29
51,2.953125,42,12.0,78,1.5,17,1,1,26,1.5,10,24,0,13,1.5,19,25,12,14,1.5,19,9,16,22,1.5,1,5,3,29,1.5,0,8,19,21,1.5,0,11,18,1,1.5,0,1,1,24
52,2.40625,42,12.0,61,1.5,18,0,0,26,1.5,13,1,0,28,1.5,17,1,7,13,1.5,16,22,17,28,1.5,0,27,7,2,1.5,19,22,7,0,1.5,15,22,1,16,1.5,19,13,0,9
53,2.40625,42,12.0,54,1.5,18,1,2,29,1.5,7,0,0,22,1.5,1,5,13,22,1.5,9,1,17,0,1.5,11,0,1,14,1.5,14,28,14,15,1.5,0,19,0,3,1.5,9,15,0,12
54,3.203125,42,12.0,84,1.5,0,12,13,22,1.5,0,16,6,22,1.5,10,27,1,9,1.5,8,1,0,1,1.5,10,26,19,3,1.5,19,25,0,9,1.5,7,14,7,3,1.5,14,29,1,20
55,1.609375,42,12.0,42,1.5,19,25,10,17,1.5,10,21,7,0,1.5,7,3,1,3,1.5,6,12,9,14,1.5,1,12,11,1,1.5,0,21,16,0,1.5,6,14,19,0,1.5,15,22,1,28
56,2.59375,42,12.0,61,1.5,10,18,7,3,1.5,13,14,7,14,1.5,1,28,13,0,1.5,1,26,11,22,1.5,5,0,1,6,1.5,19,17,6,29,1.5,6,23,1,3,1.5,9,1,19,16
57,4.4375,42,1.0,100,0.5,19,23,16,0,-0.5,1,0,10,25,0.5,19,18,6,19,-0.5,6,20,3,0,0.5,0,29,10,26,0.5,19,10,0,21,0.5,0,27,6,25,-0.5,7,6,5,0
58,4.546875,42,1.5,100,0.5,17,29,4,29,0.5,1,19,6,23,0.5,19,18,7,7,0.5,11,1,10,20,0.5,1,5,19,11,-1.0,19,23,10,23,0.5,6,21,0,8,-0.5,6,22,6,0
59,3.671875,42,0.0,100,-1.0,6,8,10,27,0.5,10,15,6,0,0.5,10,21,1,26,0.5,7,6,13,14,-0.5,0,21,10,20,0.5,1,3,9,15,0.5,10,17,11,28,-1.0,1,21,11,22
60,4.0625,42,2.5,100,0.5,8,15,10,1,0.5,10,29,19,3,0.5,8,14,0,29,0.5,16,1,6,10,-1.0,1,15,16,29,0.5,6,6,19,21,0.5,6,26,14,15,0.5,9,15,7,15
61,1.90625,42,12.0,48,1.5,2,1,0,9,1.5,16,22,0,26,1.5,1,26,0,12,1.5,19,11,6,0,1.5,14,14,6,15,1.5,18,1,8,0,1.5,8,1,7,11,1.5,7,13,17,28
62,2.109375,42,12.0,57,1.5,0,17,0,15,1.5,3,1,14,28,1.5,10,15,19,7,1.5,0,16,6,4,1.5,17,14,14,14,1.5,18,29,7,9,1.5,0,12,5,29,1.5,17,29,1,9
