episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
48,1.171875,42,6.0,50,1.5,19,1,5,29,1.5,13,29,3,1,1.5,10,23,1,14,1.5,6,12,0,10
49,0.703125,42,6.0,35,1.5,19,23,19,14,1.5,6,1,1,2,1.5,15,29,6,27,1.5,19,29,7,12
50,1.078125,42,6.0,53,1.5,3,0,19,22,1.5,1,22,12,22,1.5,1,9,0,4,1.5,0,3,1,0
51,1.015625,42,6.0,47,1.5,19,13,6,23,1.5,7,13,10,19,1.5,4,1,15,15,1.5,0,27,13,0
52,1.5,42,6.0,66,1.5,0,5,17,15,1.5,16,28,14,22,1.5,18,28,0,19,1.5,1,15,13,28
53,1.40625,42,6.0,59,1.5,10,15,19,23,1.5,0,28,6,19,1.5,6,27,0,18,1.5,1,0,19,13
54,0.9375,42,6.0,46,1.5,7,14,8,1,1.5,7,9,19,19,1.5,1,0,5,29,1.5,4,29,12,0
55,0.515625,42,6.0,29,1.5,7,12,1,3,1.5,19,12,10,1,1.5,19,20,10,22,1.5,3,29,0,5
56,0.3125,42,6.0,17,1.5,14,0,0,1,1.5,0,24,6,23,1.5,17,29,14,29,1.5,11,1,1,2
57,0.734375,42,6.0,43,1.5,1,11,6,26,1.5,10,22,16,28,1.5,1,8,14,22,1.5,19,22,19,14
58,0.9375,42,6.0,53,1.5,18,0,3,29,1.5,16,0,0,24,1.5,11,1,12,0,1.5,7,5,0,4
59,0.765625,42,6.0,41,1.5,7,4,15,15,1.5,16,15,8,15,1.5,1,27,6,4,1.5,17,15,1,23
60,1.453125,42,6.0,73,1.5,15,0,6,13,1.5,18,29,0,27,1.5,19,14,6,22,1.5,10,24,4,0
61,1.421875,42,6.0,64,1.5,11,28,7,1,1.5,0,26,2,29,1.5,6,25,18,29,1.5,19,13,19,21
62,1.0,42,6.0,45,1.5,1,24,17,0,1.5,2,1,17,29,1.5,1,26,14,28,1.5,8,15,19,28
63,1.328125,42,6.0,56,1.5,0,15,1,3,1.5,19,2,6,9,1.5,0,24,10,22,1.5,19,20,7,6
64,2.265625,42,-2.5,100,-1.0,5,29,19,11,-1.0,6,0,19,10,0.5,17,14,1,2,-1.0,1,14,19,12
65,1.0,42,6.0,42,1.5,3,29,9,1,1.5,1,5,0,26,1.5,1,7,7,2,1.5,10,23,10,18
66,2.265625,42,0.5,100,0.5,1,14,10,21,0.5,0,12,6,26,-1.0,13,22,17,22,0.5,0,4,1,9
