episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_17_reward,agent_17_start_x,agent_17_start_y,agent_17_goal_x,agent_17_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
11,11.09375,42,-4.0,100,0.5,17,15,19,12,0.5,19,20,19,14,-1.0,0,28,10,22,-0.5,0,18,11,1,-1.0,19,23,0,24,-1.0,19,13,1,3,0.5,6,19,17,29,0.5,5,29,0,1,-1.0,3,29,1,11,0.5,10,15,10,1,0.5,7,14,14,29,0.5,6,27,0,5,-0.5,7,9,1,2,-1.0,19,19,19,22,-1.0,8,1,1,8,0.5,4,29,14,0,-0.5,12,0,6,23,-0.5,1,0,7,12
12,11.578125,42,2.0,100,0.5,14,22,15,15,-0.5,8,15,2,1,0.5,7,5,18,29,-0.5,18,0,6,22,0.5,12,0,6,13,0.5,16,0,4,0,0.5,0,4,0,27,0.5,16,15,19,21,0.5,6,4,1,26,0.5,11,1,15,0,-1.0,17,15,0,26,-0.5,6,26,19,14,-0.5,3,29,6,25,-1.0,7,4,2,29,0.5,1,23,7,1,0.5,0,24,19,13,0.5,1,27,11,28,0.5,16,28,10,24
13,11.453125,42,-4.5,100,-0.5,1,24,1,2,-0.5,19,12,10,21,-0.5,17,29,10,23,0.5,0,24,3,29,0.5,0,15,7,2,-0.5,19,20,1,5,-1.0,19,2,10,18,0.5,1,14,0,12,-0.5,5,29,6,26,-1.0,17,0,1,7,-0.5,6,9,0,4,0.5,14,28,19,11,-0.5,10,22,9,1,-0.5,17,14,1,9,0.5,6,0,17,22,0.5,7,6,0,26,-1.0,1,3,13,22,-0.5,19,28,19,10
14,11.34375,42,3.5,100,-1.0,8,0,1,22,-1.0,1,24,6,20,0.5,6,18,10,16,0.5,19,26,3,1,0.5,14,15,0,1,0.5,6,0,6,23,0.5,7,13,0,11,-0.5,0,9,0,23,-1.0,19,4,0,24,0.5,17,15,19,18,0.5,18,1,8,1,0.5,16,22,11,15,0.5,16,14,19,13,0.5,7,10,0,21,0.5,1,11,17,22,0.5,19,1,6,13,0.5,9,0,19,5,0.5,12,22,1,27
15,11.453125,42,5.5,100,0.5,19,12,9,0,0.5,17,15,10,24,0.5,17,28,18,15,0.5,19,7,16,0,0.5,19,25,11,14,0.5,16,22,7,3,-0.5,1,24,6,16,-0.5,11,15,6,27,-1.0,1,0,6,23,0.5,18,0,17,22,0.5,15,29,0,13,0.5,0,22,19,22,0.5,10,18,2,1,0.5,10,27,7,7,0.5,14,22,1,7,0.5,6,1,1,27,0.5,10,29,1,2,0.5,12,29,7,15
16,11.203125,42,-0.5,100,0.5,1,23,15,22,0.5,7,8,0,8,0.5,7,13,9,0,0.5,6,2,7,10,-0.5,6,14,1,16,0.5,14,15,18,1,0.5,6,27,11,28,-0.5,19,18,11,0,-0.5,18,14,1,10,0.5,6,11,19,20,0.5,4,1,8,15,0.5,6,12,7,3,-1.0,12,29,10,0,-0.5,12,14,0,16,-1.0,19,10,3,29,-1.0,1,11,16,28,0.5,16,14,15,15,-0.5,6,5,6,3
17,11.359375,42,3.5,100,0.5,1,16,1,1,0.5,14,0,0,29,0.5,7,13,16,22,0.5,1,0,6,29,-0.5,10,26,19,29,0.5,19,11,10,21,0.5,19,19,16,0,-1.0,10,19,1,28,0.5,19,15,1,9,0.5,18,28,6,21,-0.5,10,28,19,17,-0.5,13,1,1,8,0.5,0,21,19,14,0.5,0,19,0,11,0.5,8,1,10,27,0.5,11,1,16,15,0.5,14,1,0,20,-0.5,10,22,19,20
18,11.796875,42,0.0,100,-0.5,10,15,0,27,-0.5,18,0,11,1,-1.0,7,6,14,0,0.5,8,1,11,29,0.5,15,14,19,12,0.5,12,22,7,9,0.5,14,1,6,23,-0.5,1,23,6,4,-0.5,19,14,17,1,0.5,7,4,0,20,0.5,8,0,12,14,-0.5,10,17,0,26,0.5,16,22,1,17,0.5,10,23,14,22,-1.0,1,1,19,6,0.5,19,11,15,28,-0.5,7,10,14,14,0.5,0,1,16,0
19,11.15625,42,-1.0,100,0.5,2,1,10,0,0.5,1,10,19,2,-1.0,8,15,15,29,0.5,1,6,1,2,-1.0,1,3,11,28,0.5,5,29,7,7,0.5,19,21,6,14,-0.5,14,15,6,25,-0.5,14,14,18,1,-0.5,6,0,10,26,-1.0,10,1,13,29,0.5,6,11,6,10,0.5,19,15,0,1,0.5,6,15,0,27,0.5,0,29,2,29,-1.0,0,19,19,26,-0.5,6,28,18,0,0.5,16,15,19,18
20,11.671875,42,-1.0,100,0.5,11,1,6,29,0.5,6,0,0,5,0.5,7,7,19,11,-1.0,12,29,0,25,-0.5,0,2,19,29,-0.5,0,7,15,29,-0.5,9,14,6,17,-1.0,6,26,17,28,0.5,7,3,12,1,0.5,10,20,14,22,-0.5,14,0,12,28,0.5,0,27,8,0,0.5,7,2,19,2,0.5,4,1,0,9,-1.0,19,22,0,24,0.5,0,21,0,10,-1.0,17,15,3,29,0.5,0,28,5,0
21,10.84375,42,2.5,100,-0.5,12,1,19,9,0.5,0,3,19,22,-0.5,10,28,0,8,-0.5,19,6,0,11,0.5,0,6,10,24,0.5,12,22,1,5,0.5,18,28,17,1,0.5,18,14,3,29,0.5,1,15,12,14,0.5,0,20,0,1,-0.5,7,1,19,21,0.5,11,22,11,29,0.5,1,25,16,22,-0.5,15,28,18,1,0.5,16,29,0,13,-1.0,1,26,19,25,0.5,1,2,1,24,0.5,1,1,4,0
22,11.40625,42,3.0,100,-1.0,19,13,0,19,-0.5,11,0,10,27,0.5,18,0,17,0,-0.5,17,28,1,14,0.5,0,9,2,29,0.5,17,1,0,12,0.5,7,0,0,3,0.5,7,13,14,29,0.5,9,15,0,16,0.5,13,1,14,15,0.5,0,26,8,1,0.5,15,22,1,5,0.5,1,16,13,22,-0.5,9,1,10,26,0.5,14,28,7,14,-1.0,7,2,0,22,0.5,0,28,19,25,0.5,0,27,18,1
23,12.0,42,-1.0,100,0.5,0,1,11,1,-1.0,1,28,13,0,0.5,19,3,7,0,-0.5,6,22,19,17,0.5,6,12,5,0,0.5,13,22,1,26,-0.5,1,9,9,1,-1.0,19,25,6,29,-0.5,16,0,7,14,0.5,7,3,1,3,0.5,1,12,13,14,-0.5,1,20,10,17,-0.5,15,22,10,18,-0.5,10,21,19,16,0.5,9,14,1,6,-0.5,0,21,6,23,0.5,6,14,11,22,0.5,0,9,19,0
24,12.421875,42,-0.5,100,0.5,6,20,1,5,-1.0,6,22,10,21,0.5,0,29,1,19,0.5,1,0,6,0,0.5,3,0,0,8,-0.5,19,23,10,23,0.5,19,18,19,11,0.5,16,0,1,21,-0.5,11,1,10,15,-1.0,0,27,10,20,0.5,10,26,7,7,-1.0,7,6,17,29,-0.5,5,0,6,23,-0.5,10,25,10,17,0.5,6,19,6,8,0.5,0,21,4,29,0.5,6,25,1,3,-0.5,19,10,6,21
25,11.234375,42,0.0,100,-0.5,13,14,16,29,-1.0,7,15,0,26,0.5,10,20,19,3,0.5,6,0,18,1,-1.0,16,1,14,14,0.5,10,27,19,11,0.5,1,26,7,13,0.5,10,29,17,28,0.5,19,21,0,9,-1.0,11,28,0,29,0.5,6,26,16,22,-1.0,11,22,10,1,0.5,1,15,2,1,-0.5,8,14,6,15,0.5,6,10,7,11,-0.5,6,6,8,1,0.5,8,15,8,0,0.5,9,15,14,15
26,11.921875,42,0.0,100,-0.5,0,12,17,15,0.5,6,27,15,22,-1.0,17,29,6,23,0.5,3,1,1,5,0.5,6,4,10,23,0.5,0,17,13,22,0.5,10,15,1,24,0.5,0,15,7,12,0.5,0,3,7,0,-0.5,17,14,6,13,0.5,14,14,7,14,0.5,18,29,18,15,0.5,1,9,0,27,-0.5,14,28,19,20,-1.0,19,7,19,28,-1.0,7,9,12,14,0.5,5,29,6,11,-1.0,0,16,13,15
