episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_17_reward,agent_17_start_x,agent_17_start_y,agent_17_goal_x,agent_17_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
37,11.4375,42,-3.0,100,0.5,1,26,13,1,-0.5,19,6,0,6,0.5,19,26,19,24,-0.5,8,0,6,18,-0.5,5,29,6,23,0.5,2,0,7,10,-1.0,16,1,1,22,0.5,11,1,18,28,-1.0,0,13,2,29,-0.5,7,2,5,0,-0.5,18,14,4,0,0.5,0,15,1,17,0.5,0,11,0,0,0.5,6,16,1,7,-0.5,15,29,7,14,-0.5,0,10,1,4,-0.5,0,25,6,22,-0.5,10,17,7,0
38,10.65625,42,-4.5,100,0.5,6,4,6,3,0.5,14,28,17,0,0.5,10,0,7,8,-0.5,17,29,7,3,0.5,1,29,1,13,0.5,7,4,7,11,-1.0,8,15,13,22,-0.5,19,10,0,4,-0.5,12,28,0,2,-1.0,15,29,0,11,-0.5,10,22,0,10,0.5,6,26,19,14,-1.0,6,1,10,24,-1.0,7,7,19,11,-1.0,18,28,0,20,-0.5,1,22,1,4,-0.5,1,25,1,1,0.5,6,21,1,26
39,10.46875,42,2.5,100,-1.0,0,7,10,27,0.5,9,0,14,15,0.5,13,15,19,6,0.5,1,25,4,0,-0.5,10,16,1,26,0.5,7,6,19,28,0.5,0,20,1,28,-0.5,7,11,19,9,0.5,18,14,6,10,0.5,10,28,15,28,0.5,12,29,19,22,0.5,0,25,1,7,0.5,10,21,10,1,-1.0,0,1,19,26,0.5,3,1,0,18,-1.0,1,22,19,11,0.5,18,1,10,24,0.5,1,5,7,2
40,11.46875,42,1.5,100,0.5,17,0,6,15,-0.5,6,7,1,2,-0.5,9,15,1,7,0.5,10,23,18,0,0.5,1,19,5,0,0.5,0,25,14,1,-0.5,4,1,13,22,-0.5,0,17,1,3,0.5,14,15,15,28,0.5,16,22,11,29,0.5,11,1,0,28,0.5,6,0,13,14,0.5,6,22,17,15,-0.5,18,28,10,21,0.5,0,6,1,24,-1.0,8,0,14,22,0.5,17,14,19,4,-0.5,1,4,0,4
41,10.34375,42,7.0,100,0.5,12,14,19,6,0.5,10,17,19,24,0.5,1,9,6,23,0.5,0,27,10,28,0.5,2,0,2,29,0.5,7,14,1,7,0.5,19,28,1,11,-0.5,10,18,1,0,0.5,0,29,12,0,0.5,16,14,9,0,0.5,0,3,7,0,0.5,0,13,19,2,-0.5,19,12,0,11,0.5,10,19,4,1,0.5,6,16,6,6,0.5,0,0,14,0,0.5,10,0,10,22,0.5,13,0,0,20
42,11.328125,42,-4.0,100,0.5,17,28,12,22,0.5,15,0,6,10,-1.0,0,11,15,14,-1.0,1,22,15,1,0.5,19,1,19,26,0.5,1,5,2,1,0.5,18,1,13,29,-1.0,1,12,19,16,0.5,6,18,16,15,-0.5,10,22,10,15,-1.0,10,27,19,12,0.5,0,4,14,1,0.5,1,28,6,24,-1.0,10,0,0,2,-1.0,8,14,0,8,-1.0,17,29,1,4,0.5,10,25,7,15,-1.0,1,13,8,15
43,10.484375,42,5.5,100,-1.0,8,1,19,11,0.5,1,15,16,0,-0.5,19,16,19,9,0.5,19,4,6,6,0.5,6,18,14,14,0.5,15,22,1,18,0.5,11,29,19,2,0.5,6,10,0,20,0.5,1,10,9,0,0.5,0,21,1,25,0.5,7,5,6,22,0.5,6,21,19,26,0.5,12,28,6,14,0.5,19,21,14,22,0.5,2,0,11,28,0.5,1,6,11,15,-0.5,1,4,8,0,0.5,6,26,18,15
44,11.6875,42,-7.0,100,-0.5,19,18,1,18,-0.5,0,5,10,23,-0.5,0,23,6,14,0.5,13,14,19,14,0.5,18,28,10,29,0.5,19,8,13,29,-1.0,18,29,19,4,-0.5,1,16,10,19,0.5,7,2,0,2,0.5,15,29,16,28,-0.5,0,22,6,7,-1.0,6,29,19,27,-0.5,7,13,6,1,-0.5,6,26,6,16,-1.0,14,28,6,21,-1.0,16,15,6,18,-1.0,0,0,10,25,-1.0,10,16,19,25
45,10.5,42,0.0,100,0.5,10,17,19,19,0.5,0,5,1,29,-1.0,7,5,0,22,0.5,6,5,10,19,-0.5,6,11,6,6,-1.0,1,15,15,0,0.5,6,14,19,2,0.5,1,7,1,12,0.5,0,10,7,2,-0.5,0,15,7,6,0.5,1,0,1,16,0.5,7,13,1,25,0.5,15,22,7,7,0.5,5,1,8,1,-0.5,12,28,0,13,0.5,6,18,3,0,-1.0,6,4,19,24,-1.0,19,15,14,1
46,11.15625,42,2.0,100,0.5,0,29,5,0,0.5,15,15,0,22,0.5,7,8,19,7,0.5,1,26,10,26,0.5,12,15,6,9,0.5,19,20,19,26,-0.5,11,28,19,25,0.5,1,27,19,16,-0.5,5,29,6,25,0.5,0,20,0,24,-0.5,0,25,0,16,0.5,0,1,15,22,0.5,19,3,10,20,-1.0,1,1,1,20,0.5,4,1,10,0,0.5,7,11,19,19,-1.0,1,23,6,21,-0.5,0,10,19,1
47,10.375,42,6.0,100,0.5,17,0,14,22,0.5,14,15,0,22,0.5,10,27,17,28,-0.5,8,1,0,6,0.5,0,18,0,9,0.5,9,14,15,14,-0.5,1,7,15,22,0.5,18,14,0,27,0.5,8,14,14,1,0.5,6,20,0,25,0.5,1,6,19,16,0.5,14,28,18,1,0.5,7,2,10,24,0.5,6,13,1,23,-0.5,10,19,19,6,0.5,1,27,1,17,0.5,0,24,6,21,0.5,18,0,4,1
48,10.609375,42,1.5,100,0.5,6,16,14,29,0.5,19,1,7,10,0.5,18,0,8,15,-0.5,11,28,4,1,0.5,0,14,0,8,-1.0,1,11,6,4,0.5,6,22,1,6,-0.5,13,22,15,29,-0.5,10,17,3,1,-0.5,10,27,13,29,0.5,1,26,19,4,0.5,1,10,9,0,0.5,1,12,0,17,-0.5,1,0,6,3,-0.5,18,1,8,0,0.5,7,1,19,16,0.5,19,2,0,0,0.5,2,0,6,5
49,10.359375,42,4.0,100,-0.5,7,1,19,20,0.5,10,0,1,12,0.5,9,0,19,1,0.5,6,10,0,27,0.5,0,28,19,10,0.5,6,27,6,15,-0.5,1,0,1,5,0.5,17,28,7,4,0.5,6,13,12,0,-0.5,17,15,0,6,0.5,0,20,10,25,0.5,6,18,1,27,0.5,19,19,6,1,-0.5,1,3,19,23,0.5,1,7,6,19,0.5,1,11,0,0,0.5,7,8,0,16,-0.5,8,15,1,17
50,11.734375,42,5.5,100,-0.5,17,29,10,28,0.5,11,29,6,19,0.5,17,1,11,1,0.5,7,5,8,15,0.5,17,15,3,29,0.5,6,12,19,12,0.5,1,5,6,28,0.5,0,11,19,28,0.5,16,14,0,14,-1.0,14,22,1,18,0.5,6,6,0,0,0.5,1,2,14,29,0.5,12,28,15,0,0.5,19,14,3,1,0.5,0,13,19,2,-0.5,19,11,11,14,0.5,10,14,10,0,0.5,19,27,0,12
51,12.171875,42,1.5,100,0.5,7,2,12,0,-0.5,5,0,19,27,0.5,6,27,0,16,0.5,11,0,19,18,0.5,6,17,6,6,-1.0,16,1,10,26,-0.5,7,11,8,14,0.5,6,22,19,26,0.5,7,3,0,9,-0.5,1,4,7,6,0.5,11,22,0,20,0.5,0,29,10,23,0.5,19,12,1,10,0.5,14,1,18,0,-0.5,13,29,10,19,-0.5,1,5,10,1,-0.5,6,1,12,22,0.5,16,15,11,29
52,11.703125,42,0.5,100,-0.5,7,0,6,18,0.5,14,22,6,28,0.5,14,28,1,4,-0.5,19,28,7,14,0.5,8,15,19,8,-1.0,3,0,10,21,0.5,7,1,14,1,0.5,19,17,6,6,0.5,14,15,7,4,0.5,14,29,13,29,0.5,5,0,1,13,-1.0,19,5,10,14,-1.0,1,9,6,24,0.5,13,28,13,1,-0.5,6,11,6,21,0.5,12,0,6,3,0.5,6,10,11,22,-0.5,4,0,6,20
53,11.796875,42,-0.5,100,0.5,1,29,18,28,0.5,19,16,9,15,-1.0,0,21,19,10,-0.5,1,0,19,0,0.5,14,14,15,15,-1.0,12,1,0,29,0.5,11,29,3,0,0.5,16,28,14,22,0.5,15,29,9,14,-0.5,6,2,1,9,-1.0,0,4,12,15,0.5,17,15,1,26,0.5,5,0,3,1,0.5,1,15,1,16,-1.0,1,7,19,20,0.5,12,0,1,1,0.5,19,4,19,9,-1.0,0,28,15,0
54,12.015625,42,7.0,100,0.5,13,14,0,5,0.5,9,14,16,29,0.5,10,19,19,21,0.5,1,28,1,10,0.5,10,29,18,1,0.5,14,28,6,29,0.5,5,1,19,15,0.5,8,0,7,10,0.5,12,28,6,4,0.5,10,25,6,11,0.5,13,29,18,15,0.5,19,19,19,1,-0.5,6,1,6,3,0.5,6,19,11,0,0.5,6,28,17,0,0.5,0,14,18,14,0.5,19,24,13,15,-0.5,15,22,9,1
55,11.40625,42,7.0,100,-0.5,1,25,7,2,0.5,10,29,10,16,0.5,19,19,11,15,-0.5,18,0,5,0,0.5,19,25,7,3,0.5,6,0,4,0,0.5,19,15,1,29,0.5,1,23,1,20,0.5,7,8,18,28,0.5,19,12,11,1,0.5,19,29,6,21,0.5,19,10,10,24,0.5,14,28,6,11,0.5,15,14,11,29,0.5,0,24,17,0,0.5,0,4,10,20,0.5,15,15,3,29,0.5,6,20,13,14
56,10.859375,42,3.0,100,0.5,1,8,3,29,-1.0,19,29,1,27,0.5,0,8,1,5,0.5,16,15,6,19,0.5,17,29,19,2,0.5,7,2,6,24,-1.0,1,0,10,27,0.5,10,24,0,15,-0.5,7,1,16,14,0.5,6,4,0,6,0.5,13,14,19,25,0.5,0,1,19,17,0.5,1,1,4,0,-0.5,0,26,19,15,0.5,6,17,10,20,-0.5,1,23,19,14,0.5,15,28,11,0,0.5,6,11,1,14
57,11.015625,42,-1.5,100,-0.5,2,1,12,29,0.5,4,1,4,29,0.5,1,21,0,0,-1.0,0,25,19,29,-1.0,17,22,8,0,-0.5,7,1,0,5,0.5,13,22,0,7,-1.0,7,13,0,27,0.5,7,12,6,0,0.5,12,0,19,28,-1.0,1,5,12,28,-0.5,19,3,11,28,0.5,1,10,0,21,-1.0,10,0,19,24,0.5,1,25,6,1,0.5,10,17,0,24,0.5,6,24,14,1,0.5,7,7,16,15
58,12.671875,42,6.5,100,0.5,7,3,6,1,0.5,6,18,9,0,0.5,1,18,13,28,0.5,12,14,7,10,0.5,6,8,19,5,0.5,6,12,1,8,0.5,15,14,1,20,0.5,19,8,19,10,0.5,6,23,5,1,-1.0,0,11,16,22,0.5,12,22,10,16,0.5,6,25,14,29,-0.5,16,1,1,2,0.5,17,14,0,22,0.5,19,15,1,5,0.5,6,2,2,1,0.5,17,22,19,2,0.5,1,10,1,23
59,12.203125,42,4.0,100,0.5,3,1,0,6,-0.5,1,8,6,2,-0.5,0,12,18,28,-0.5,0,19,9,1,-0.5,18,1,17,1,0.5,0,0,10,0,-0.5,6,27,7,2,0.5,11,28,9,14,0.5,6,6,1,28,0.5,1,21,2,1,0.5,0,7,6,24,0.5,7,14,0,14,0.5,0,22,0,21,0.5,14,29,14,15,0.5,17,14,10,20,0.5,15,28,0,9,0.5,6,5,6,18,0.5,0,15,1,3
60,11.0625,42,-5.5,100,0.5,15,0,6,5,-1.0,0,19,19,1,0.5,9,1,0,10,-0.5,7,4,6,19,0.5,6,12,19,27,-1.0,13,28,0,13,0.5,5,1,13,14,0.5,11,22,7,0,-1.0,15,1,1,12,-0.5,14,29,17,14,0.5,10,29,11,28,-1.0,7,13,1,7,-0.5,1,20,1,1,-0.5,19,21,19,11,-0.5,0,27,6,17,-0.5,6,22,18,14,-0.5,1,17,1,11,-1.0,1,16,1,10
61,12.34375,42,5.0,100,0.5,19,19,17,15,0.5,6,15,1,6,0.5,7,2,7,4,-0.5,1,20,0,11,0.5,11,29,10,23,0.5,10,27,8,15,0.5,7,6,19,14,0.5,0,1,15,1,0.5,10,0,10,14,0.5,1,14,0,6,0.5,1,27,1,29,0.5,19,0,13,22,-0.5,4,0,7,9,0.5,10,15,0,23,-0.5,14,28,6,7,0.5,19,17,6,13,0.5,14,15,6,23,-0.5,19,24,6,12
62,11.734375,42,-2.5,100,-0.5,6,16,19,5,-0.5,10,22,7,4,-0.5,1,0,15,29,-0.5,6,0,19,4,-0.5,10,15,7,5,-1.0,1,7,17,29,0.5,7,1,0,21,0.5,6,10,0,13,0.5,1,18,10,20,0.5,8,1,1,9,0.5,18,0,19,15,0.5,2,1,11,22,0.5,12,15,7,7,-0.5,0,0,6,5,0.5,0,2,1,19,-1.0,11,14,17,22,-0.5,0,15,7,6,-1.0,15,0,15,28
63,11.59375,42,-3.0,100,-0.5,1,14,6,1,-0.5,1,11,0,11,0.5,0,6,1,25,-1.0,0,22,6,9,-1.0,1,17,19,13,0.5,19,5,8,14,0.5,6,22,2,0,0.5,0,17,0,7,-1.0,18,28,0,24,-0.5,1,19,0,12,0.5,8,1,16,22,-0.5,12,22,6,10,0.5,6,24,6,23,0.5,1,0,13,14,0.5,11,28,15,0,-1.0,0,23,10,25,-0.5,1,10,19,4,-0.5,4,29,6,6
64,11.203125,42,3.0,100,0.5,0,26,6,19,-1.0,1,18,19,23,0.5,6,21,7,5,-0.5,18,14,10,18,-1.0,15,0,16,28,0.5,1,15,0,19,0.5,19,21,19,10,0.5,1,2,7,12,0.5,0,10,4,0,-0.5,0,27,19,18,0.5,13,0,16,22,0.5,10,27,6,2,0.5,17,1,1,9,0.5,19,29,8,15,0.5,6,29,7,11,-0.5,0,23,19,12,0.5,8,14,19,25,0.5,7,3,0,14
65,11.578125,42,0.5,100,-0.5,19,20,6,10,0.5,10,18,10,16,0.5,6,19,6,28,0.5,7,5,11,0,0.5,11,28,19,13,0.5,10,19,16,22,-0.5,0,29,6,14,-0.5,0,23,6,3,0.5,10,20,19,22,-0.5,16,15,6,26,0.5,1,14,6,17,-0.5,16,28,6,21,0.5,1,19,14,14,-1.0,18,29,2,29,-0.5,0,7,7,1,-0.5,6,1,19,14,0.5,19,25,15,28,0.5,6,15,12,1
66,11.734375,42,2.5,100,0.5,6,15,19,22,-1.0,14,0,19,17,-1.0,11,29,1,19,0.5,6,12,15,1,0.5,19,23,8,14,-0.5,10,0,10,14,0.5,6,1,1,28,0.5,0,21,0,23,0.5,7,12,0,12,0.5,6,8,15,29,0.5,6,14,1,11,0.5,4,0,18,28,0.5,0,16,19,13,-0.5,5,1,12,14,-1.0,1,8,19,28,0.5,6,7,17,15,0.5,8,15,10,22,0.5,7,3,6,17
67,12.203125,42,4.0,100,0.5,18,1,1,4,0.5,14,28,1,6,0.5,19,12,7,11,-0.5,19,25,7,1,-0.5,10,27,16,1,0.5,10,18,7,4,-0.5,0,1,10,16,-0.5,10,14,10,15,0.5,6,4,12,14,0.5,19,11,1,16,0.5,12,22,19,27,0.5,0,23,1,24,0.5,19,15,19,2,0.5,0,19,0,13,0.5,0,6,2,1,-0.5,0,8,6,3,0.5,19,10,6,13,0.5,6,17,18,14
68,11.15625,42,-8.5,100,-0.5,6,27,6,13,-1.0,10,18,6,23,-1.0,7,11,6,17,-0.5,1,25,7,8,-1.0,0,17,11,14,-1.0,9,0,7,13,-0.5,19,22,10,15,-1.0,1,12,6,25,0.5,19,2,0,29,-1.0,1,19,16,29,0.5,18,14,10,25,0.5,1,4,0,23,-0.5,16,14,14,14,-0.5,19,14,19,15,-0.5,10,22,6,12,-1.0,19,21,19,25,-0.5,18,1,19,9,0.5,15,28,0,26
69,11.59375,42,0.5,100,0.5,0,29,13,0,-0.5,6,27,1,13,0.5,16,14,10,29,0.5,0,15,6,14,-0.5,13,15,1,1,0.5,17,28,0,26,0.5,3,29,10,27,0.5,19,16,19,14,-0.5,7,4,10,17,-1.0,1,20,12,14,0.5,19,1,7,3,0.5,19,2,1,7,-1.0,14,14,10,19,0.5,8,1,1,19,0.5,7,13,7,0,0.5,5,0,0,9,-1.0,0,5,19,21,-0.5,0,27,10,18
70,10.5625,42,2.5,100,0.5,7,10,19,3,-0.5,19,0,5,0,0.5,0,22,6,26,-0.5,1,15,0,8,-1.0,1,21,9,0,-0.5,19,17,6,11,0.5,6,20,1,16,0.5,0,18,12,0,0.5,19,27,9,14,-0.5,7,15,1,0,0.5,19,24,7,7,0.5,1,12,6,10,0.5,6,23,19,28,-0.5,10,19,0,9,0.5,11,28,13,15,0.5,16,29,6,12,0.5,1,26,19,20,0.5,6,6,11,1
71,11.25,42,7.0,100,0.5,8,1,19,0,-0.5,19,10,12,15,0.5,0,10,6,18,0.5,15,14,19,27,0.5,19,9,1,9,0.5,19,15,6,29,0.5,17,28,0,14,0.5,1,5,3,29,0.5,0,15,0,21,0.5,5,29,16,14,0.5,0,13,1,13,0.5,6,17,13,22,0.5,3,1,4,0,0.5,14,0,1,15,-0.5,9,0,19,21,0.5,0,26,19,22,0.5,0,1,7,15,0.5,19,7,10,15
72,11.375,42,3.0,100,-0.5,18,29,1,19,-0.5,19,6,7,0,0.5,9,1,13,15,0.5,10,27,7,2,0.5,6,10,3,1,0.5,19,24,7,8,0.5,17,29,18,28,-0.5,4,29,14,0,0.5,19,22,15,29,0.5,17,22,15,15,0.5,19,12,0,26,0.5,13,22,6,28,-0.5,10,29,6,17,-0.5,9,14,0,17,0.5,6,16,10,16,0.5,19,17,1,14,-0.5,16,15,0,20,0.5,0,29,19,23
73,11.171875,42,-0.5,100,0.5,1,14,19,0,0.5,19,15,16,15,-0.5,10,26,10,14,0.5,6,0,1,5,-1.0,18,28,1,3,-0.5,0,8,6,9,0.5,1,6,0,14,0.5,1,20,1,29,0.5,12,1,10,29,0.5,0,19,0,11,-0.5,19,24,6,11,-1.0,17,28,1,24,-0.5,3,1,10,16,0.5,6,15,9,1,0.5,8,0,12,0,-0.5,1,17,1,4,0.5,17,1,19,9,-1.0,19,14,0,9
74,11.25,42,-1.5,100,0.5,1,16,18,1,0.5,19,17,14,0,0.5,18,28,15,22,-0.5,10,29,6,24,-0.5,0,29,6,1,-0.5,11,28,9,1,-1.0,19,18,1,11,-0.5,1,21,6,27,0.5,10,28,15,15,-1.0,10,27,0,28,0.5,0,20,12,15,0.5,16,22,6,2,-0.5,0,25,1,9,0.5,6,21,16,29,0.5,6,28,1,22,-1.0,6,7,1,12,-0.5,7,6,1,7,0.5,7,14,6,14
75,11.359375,42,0.0,100,-0.5,19,7,7,9,0.5,0,22,0,3,0.5,19,15,19,12,-0.5,17,14,0,15,-0.5,10,20,10,21,-0.5,1,13,19,23,0.5,0,24,14,15,0.5,7,14,10,25,0.5,19,28,19,25,0.5,15,14,6,24,-1.0,8,0,13,29,-0.5,13,28,7,7,0.5,8,15,1,22,0.5,6,27,0,11,-1.0,3,0,10,22,0.5,7,11,1,25,-0.5,0,7,11,14,0.5,1,8,7,15
76,10.5,42,4.0,100,0.5,7,5,15,22,0.5,18,15,14,15,0.5,3,1,6,7,0.5,0,13,15,29,0.5,17,14,19,13,0.5,13,29,12,0,-0.5,16,22,12,14,0.5,6,26,6,25,0.5,1,14,0,10,0.5,7,6,6,27,-0.5,16,0,6,12,0.5,19,6,5,0,-0.5,14,29,13,15,0.5,7,2,16,29,-0.5,11,14,7,13,0.5,11,22,19,20,0.5,19,7,10,23,-0.5,7,11,11,0
77,11.453125,42,2.5,100,0.5,7,10,10,14,-0.5,2,29,15,0,-1.0,1,19,16,22,0.5,6,8,6,18,-0.5,6,16,6,3,0.5,14,28,3,1,-0.5,1,0,4,0,0.5,14,29,1,8,0.5,14,14,1,10,0.5,10,22,1,5,-0.5,10,29,14,1,0.5,8,15,19,19,0.5,6,13,19,3,-0.5,1,21,13,22,0.5,19,5,17,28,0.5,1,15,1,13,0.5,0,25,15,14,0.5,7,3,0,22
78,11.359375,42,-4.5,100,0.5,6,9,1,25,-0.5,7,8,6,6,0.5,16,22,14,29,-1.0,2,29,1,17,-1.0,5,1,6,28,-1.0,6,17,17,0,-1.0,1,26,7,0,-1.0,17,15,1,11,-0.5,6,24,7,5,0.5,1,3,0,24,-0.5,13,15,6,5,0.5,7,7,10,19,-1.0,0,29,3,0,0.5,1,4,1,10,-1.0,0,16,1,22,0.5,6,15,17,1,0.5,10,0,6,10,0.5,16,1,16,0
79,11.40625,42,-4.0,100,0.5,6,17,1,24,0.5,19,7,7,13,0.5,19,9,0,13,-1.0,5,29,10,29,-0.5,2,29,0,5,-0.5,1,10,7,12,0.5,1,12,11,15,-1.0,13,14,10,26,0.5,6,12,17,22,-1.0,15,0,19,13,-0.5,0,3,19,29,-1.0,1,25,15,14,-1.0,0,29,10,28,0.5,5,0,6,29,-0.5,18,28,19,4,-1.0,6,11,18,29,0.5,6,28,7,5,0.5,13,29,9,1
80,11.203125,42,5.5,100,-0.5,16,14,19,27,0.5,17,28,14,29,0.5,15,14,1,21,0.5,0,3,18,1,-1.0,7,7,19,28,0.5,13,22,0,15,0.5,10,18,15,22,0.5,7,1,1,6,0.5,11,15,6,19,0.5,0,18,1,15,0.5,7,10,0,27,0.5,7,3,13,28,0.5,7,11,19,0,0.5,10,16,5,29,0.5,10,0,0,29,0.5,7,5,12,1,-0.5,6,21,19,4,0.5,6,10,0,24
81,10.828125,42,4.0,100,0.5,2,1,15,15,-1.0,19,18,12,22,0.5,11,0,0,0,0.5,6,6,1,13,0.5,10,1,1,10,0.5,6,26,12,14,-0.5,19,28,14,22,0.5,1,21,19,10,0.5,0,13,4,29,0.5,19,15,12,28,0.5,1,19,2,0,0.5,10,24,17,28,0.5,4,1,19,25,-1.0,1,14,15,22,0.5,14,28,1,2,0.5,10,26,16,29,-0.5,1,8,19,11,0.5,17,14,6,20
82,10.328125,42,0.5,100,0.5,19,29,15,22,-0.5,10,25,14,1,-1.0,1,23,14,15,0.5,6,6,1,18,0.5,10,14,0,0,0.5,3,0,17,29,-0.5,19,21,12,15,0.5,6,27,0,8,0.5,15,28,8,0,0.5,19,20,17,28,0.5,6,26,19,28,0.5,6,24,6,14,-0.5,0,1,6,11,-0.5,13,14,1,17,-0.5,1,27,19,6,-0.5,2,0,10,16,-0.5,19,26,19,3,0.5,17,0,10,18
83,11.390625,42,0.5,100,-0.5,16,29,18,28,0.5,14,22,15,0,0.5,1,2,13,0,0.5,14,29,1,7,0.5,6,13,11,28,-1.0,6,5,19,26,-0.5,1,5,6,22,0.5,10,15,1,26,0.5,7,7,0,19,0.5,6,18,1,0,0.5,1,9,19,12,-1.0,0,20,11,15,-0.5,1,13,1,25,-1.0,6,21,19,28,0.5,6,27,14,14,-0.5,1,24,6,20,0.5,1,14,0,16,0.5,15,15,8,14
84,11.40625,42,1.5,100,0.5,19,23,11,1,-0.5,16,22,1,7,-1.0,7,5,2,29,-0.5,1,9,3,0,0.5,6,20,19,17,0.5,1,15,1,28,-0.5,1,12,0,5,-0.5,16,15,11,0,0.5,9,1,0,19,-0.5,1,0,0,27,0.5,4,0,1,21,0.5,6,22,10,23,0.5,1,24,19,13,0.5,1,18,6,19,-0.5,19,8,0,8,0.5,7,4,7,15,0.5,1,14,18,0,0.5,0,22,2,0
85,11.46875,42,5.0,100,0.5,16,1,5,1,0.5,9,1,19,26,0.5,16,0,15,14,-1.0,6,17,0,27,0.5,10,26,19,15,0.5,1,18,0,29,0.5,19,11,15,29,-0.5,8,1,0,12,0.5,18,29,8,14,0.5,1,6,10,23,-1.0,0,16,19,24,0.5,6,27,10,27,0.5,1,26,14,1,0.5,0,11,19,1,0.5,18,15,1,12,0.5,18,1,0,24,0.5,1,22,6,29,0.5,11,14,0,22
86,11.515625,42,-0.5,100,-0.5,14,28,16,1,0.5,17,22,17,0,-1.0,1,6,16,15,0.5,3,29,14,15,-1.0,0,26,12,22,0.5,10,28,15,28,0.5,6,25,4,0,0.5,12,14,7,1,-0.5,6,18,14,0,-0.5,14,29,1,26,0.5,5,1,1,13,-0.5,17,1,19,10,0.5,1,24,8,1,-0.5,10,19,19,20,0.5,18,15,0,1,0.5,19,26,1,27,0.5,7,13,6,5,-1.0,0,10,19,21
87,11.4375,42,-1.5,100,0.5,19,11,8,0,-0.5,3,29,19,15,0.5,6,17,6,15,0.5,11,14,7,7,-1.0,7,6,15,29,-1.0,6,9,19,25,0.5,11,29,19,3,0.5,6,22,6,5,-0.5,0,22,4,1,-0.5,6,8,10,25,-1.0,0,21,15,22,-1.0,19,26,10,23,0.5,1,20,1,27,0.5,10,26,1,23,-1.0,19,1,10,24,0.5,0,16,5,0,0.5,10,22,1,17,0.5,1,5,16,1
88,11.46875,42,1.5,100,0.5,17,15,0,7,-0.5,14,29,8,15,-0.5,7,2,6,23,0.5,13,28,6,10,0.5,10,15,1,28,0.5,19,11,0,11,0.5,6,1,9,1,0.5,7,1,19,3,-0.5,18,29,9,15,0.5,1,20,19,17,-0.5,7,6,14,28,-0.5,0,5,6,18,0.5,7,11,1,21,-1.0,6,7,4,29,0.5,17,1,1,19,-0.5,10,24,8,14,0.5,0,12,14,15,0.5,19,18,17,29
89,10.296875,42,0.5,100,-1.0,6,21,0,28,0.5,7,7,1,8,0.5,1,26,11,14,0.5,6,5,0,3,-0.5,6,29,17,28,0.5,0,6,1,16,-0.5,19,20,19,4,0.5,14,28,10,18,0.5,0,23,2,0,0.5,1,22,5,29,0.5,11,1,6,8,-1.0,16,15,0,14,0.5,0,24,0,13,-1.0,19,13,0,29,-0.5,8,15,1,2,0.5,13,22,16,29,-0.5,6,13,19,23,0.5,15,29,7,0
90,11.40625,42,4.0,100,0.5,19,7,14,15,0.5,8,14,6,7,0.5,17,15,15,28,-0.5,4,0,6,21,-0.5,1,0,5,1,0.5,1,8,11,0,0.5,1,18,19,3,0.5,0,16,13,28,0.5,0,6,13,15,0.5,6,4,0,8,-0.5,0,27,8,1,0.5,19,12,0,19,0.5,1,12,6,28,-0.5,0,14,6,22,-0.5,19,27,7,0,0.5,0,20,11,14,0.5,6,15,19,15,0.5,12,22,10,18
91,11.484375,42,2.0,100,0.5,1,8,0,17,0.5,19,2,6,29,-1.0,6,24,5,1,0.5,1,29,11,22,0.5,15,0,0,25,-0.5,15,29,7,1,0.5,1,5,19,9,0.5,6,3,6,5,-0.5,18,15,10,28,-1.0,16,15,1,19,0.5,17,29,10,16,0.5,0,15,1,17,0.5,16,22,19,26,0.5,19,19,10,0,0.5,11,15,3,29,-0.5,1,26,4,1,-0.5,12,29,4,0,0.5,7,5,15,15
