episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.03125,42,,,,0,20,1,16,,,15,28,0,21,,,11,28,8,14,,,6,28,19,24,,,6,27,14,15,,,18,15,15,14,,,0,19,13,29,,,13.0,1.0,16.0,1.0,,,,,,
1,60.078125,42,,,,7,15,15,29,,,0,29,11,15,,,17,29,6,20,,,7,1,17,14,,,7,12,9,14,,,6,12,6,29,,,1,11,1,22,,,19.0,13.0,0.0,21.0,,,,,,
2,0.109375,42,47.0,17.0,16.0,19,4,13,14,28.0,27.0,0,14,6,9,47.0,46.0,18,15,0,15,11.0,10.0,17,15,19,23,5.0,4.0,3,0,7,0,14.0,13.0,11,0,19,5,39.0,38.0,1,7,12,22,,,,,,,7.0,6.0,10.0,0.0,15.0,1.0
3,60.015625,42,,,,15,29,1,5,,,15,14,14,28,,,1,14,12,28,,,6,11,19,12,,,7,4,19,22,,,7,11,6,22,,,0,10,6,2,,,9.0,15.0,19.0,8.0,,,,,,
4,60.0625,42,,,,6,12,7,6,,,0,17,6,3,,,7,5,1,21,,,16,15,10,15,,,1,13,12,14,,,7,4,19,16,,,0,29,6,28,,,12.0,29.0,1.0,6.0,,,,,,
5,0.0,42,50.0,22.0,21.0,11,0,6,16,15.0,14.0,13,14,19,6,27.0,26.0,0,22,4,0,10.0,9.0,5,29,1,24,21.0,20.0,15,15,12,28,32.0,31.0,6,27,11,1,50.0,49.0,16,28,1,2,,,,,,,22.0,21.0,17.0,22.0,17.0,29.0
6,0.203125,42,48.0,41.0,40.0,1,15,13,15,48.0,47.0,16,28,3,0,13.0,12.0,0,1,10,1,22.0,21.0,16,15,7,3,24.0,23.0,16,1,7,13,19.0,18.0,15,29,10,16,20.0,19.0,12,1,0,8,,,,,,,28.0,27.0,17.0,22.0,7.0,5.0
7,60.0625,42,,,,1,2,10,15,,,1,26,0,18,,,0,26,15,15,,,6,28,10,17,,,12,14,11,1,,,11,28,10,0,,,7,5,0,20,,,18.0,14.0,10.0,14.0,,,,,,
8,60.046875,42,,,,16,15,3,0,,,5,0,6,21,,,10,24,19,28,,,0,7,18,14,,,6,7,1,23,,,6,28,17,14,,,19,26,0,13,,,1.0,19.0,3.0,1.0,,,,,,
9,60.03125,42,,,,19,11,19,29,,,4,1,12,1,,,6,27,6,21,,,12,0,6,23,,,0,28,17,0,,,10,1,6,1,,,7,13,1,8,,,16.0,0.0,6.0,4.0,,,,,,
10,60.015625,42,,,,0,5,1,6,,,0,24,19,7,,,0,20,7,12,,,15,22,19,15,,,14,0,1,4,,,13,1,7,11,,,7,3,7,0,,,13.0,29.0,1.0,8.0,,,,,,
11,60.046875,42,,,,6,15,0,20,,,1,24,6,6,,,5,0,0,27,,,12,28,6,5,,,11,0,19,21,,,10,25,6,11,,,6,10,19,9,,,19.0,20.0,7.0,11.0,,,,,,
12,60.09375,42,,,,13,14,16,1,,,7,2,7,0,,,2,0,14,15,,,15,15,2,29,,,19,22,0,18,,,15,29,0,22,,,1,29,19,7,,,13.0,29.0,0.0,29.0,,,,,,
13,0.015625,42,45.0,18.0,17.0,13,15,7,4,45.0,44.0,1,16,18,15,19.0,18.0,14,0,0,4,11.0,10.0,5,1,15,1,35.0,34.0,16,29,7,10,15.0,14.0,10,18,13,29,23.0,22.0,9,15,12,0,,,,,,,17.0,16.0,7.0,2.0,1.0,10.0
14,60.0625,42,,,,6,26,15,1,,,5,1,6,23,,,10,29,16,1,,,1,2,0,9,,,10,19,1,11,,,0,21,7,11,,,11,22,1,13,,,0.0,19.0,6.0,3.0,,,,,,
15,60.046875,42,,,,12,0,4,29,,,1,3,19,12,,,12,22,19,27,,,0,23,10,19,,,1,10,7,0,,,10,20,6,7,,,16,14,10,26,,,1.0,9.0,10.0,21.0,,,,,,
16,60.03125,42,,,,4,1,0,14,,,0,5,0,18,,,1,4,3,0,,,19,20,7,9,,,6,23,12,14,,,7,8,7,10,,,7,4,6,29,,,16.0,0.0,19.0,15.0,,,,,,
17,60.046875,42,,,,1,6,8,1,,,10,16,18,1,,,9,14,6,28,,,7,6,3,29,,,16,28,0,4,,,2,1,6,11,,,19,19,17,15,,,6.0,3.0,0.0,2.0,,,,,,
18,60.046875,42,,,,19,6,12,14,,,9,14,0,27,,,1,2,3,1,,,5,0,1,25,,,10,0,12,0,,,6,0,14,14,,,0,24,14,1,,,12.0,1.0,19.0,15.0,,,,,,
19,60.03125,42,,,,15,22,0,8,,,6,1,1,2,,,0,24,10,1,,,10,26,9,15,,,19,10,6,12,,,19,24,5,1,,,1,22,17,22,,,1.0,24.0,7.0,3.0,,,,,,
20,60.078125,42,,,,16,29,7,15,,,19,21,19,8,,,6,0,1,28,,,1,16,19,28,,,19,19,19,15,,,11,1,1,11,,,4,0,1,7,,,10.0,28.0,9.0,0.0,,,,,,
21,0.453125,42,52.0,44.0,43.0,4,29,18,0,37.0,36.0,6,27,19,4,48.0,47.0,19,22,1,21,50.0,49.0,19,28,0,26,12.0,11.0,1,4,8,0,21.0,20.0,19,5,7,5,27.0,26.0,0,20,6,0,,,,,,,52.0,51.0,0.0,10.0,14.0,29.0
22,0.0,42,33.0,17.0,16.0,15,22,14,29,14.0,13.0,6,4,6,15,11.0,10.0,12,0,2,0,27.0,26.0,6,21,0,1,16.0,15.0,6,13,19,15,16.0,15.0,19,3,19,18,6.0,5.0,0,21,1,25,,,,,,,33.0,32.0,0.0,5.0,14.0,15.0
23,60.109375,42,,,,0,7,6,12,,,0,28,10,23,,,0,15,13,29,,,17,22,19,1,,,19,5,0,10,,,1,5,1,14,,,14,29,3,1,,,1.0,11.0,5.0,29.0,,,,,,
24,60.046875,42,,,,19,29,0,3,,,15,29,1,9,,,6,1,1,22,,,19,23,3,0,,,7,12,1,0,,,6,27,0,4,,,1,2,12,22,,,19.0,14.0,19.0,22.0,,,,,,
25,60.078125,42,,,,0,27,1,15,,,4,1,18,28,,,7,13,16,28,,,19,13,0,5,,,13,0,13,28,,,15,15,0,19,,,10,19,14,22,,,6.0,23.0,17.0,15.0,,,,,,
