episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
26,60.0625,42,,,,1,0,4,29,,,6,27,7,9,,,0,28,7,14,,,10,15,12,0,,,19,13,5,29,,,0,18,19,19,,,6,19,8,1,,,19.0,23.0,3.0,29.0,,,,,,
27,0.015625,42,42.0,42.0,41.0,19,12,0,24,20.0,19.0,7,12,14,0,5.0,4.0,0,5,1,2,12.0,11.0,10,22,14,29,27.0,26.0,10,1,6,23,4.0,3.0,1,3,0,1,30.0,29.0,11,1,19,22,,,,,,,12.0,11.0,19.0,20.0,17.0,29.0
28,60.015625,42,,,,1,8,11,1,,,10,22,16,0,,,1,11,18,0,,,19,14,0,4,,,14,22,12,0,,,16,28,0,24,,,6,26,3,29,,,7.0,5.0,17.0,15.0,,,,,,
29,0.21875,42,58.0,19.0,18.0,16,15,18,29,13.0,12.0,7,4,15,0,27.0,26.0,1,23,4,0,19.0,18.0,6,4,6,22,25.0,24.0,8,15,0,27,12.0,11.0,15,15,6,13,21.0,20.0,10,24,19,13,,,,,,,58.0,57.0,1.0,27.0,19.0,14.0
30,60.046875,42,,,,6,25,1,26,,,0,26,2,1,,,11,28,1,24,,,19,21,19,28,,,18,29,14,28,,,2,29,17,29,,,7,1,17,0,,,8.0,15.0,19.0,20.0,,,,,,
31,60.0625,42,,,,0,24,17,14,,,19,2,6,0,,,0,15,5,29,,,7,6,19,12,,,10,22,1,2,,,6,9,19,10,,,1,3,19,11,,,1.0,14.0,10.0,23.0,,,,,,
32,60.109375,42,,,,1,7,13,22,,,1,5,0,12,,,3,29,1,14,,,10,18,1,9,,,7,2,17,22,,,0,26,6,26,,,9,1,10,21,,,0.0,4.0,8.0,0.0,,,,,,
33,60.0625,42,,,,12,22,19,1,,,16,22,16,14,,,6,18,18,1,,,17,15,9,0,,,6,0,0,9,,,19,26,7,10,,,7,13,1,11,,,14.0,15.0,19.0,4.0,,,,,,
34,0.109375,42,44.0,23.0,22.0,1,22,0,1,44.0,43.0,1,27,6,13,11.0,10.0,11,15,19,13,20.0,19.0,10,16,8,1,14.0,13.0,19,18,19,5,19.0,18.0,6,23,0,23,24.0,23.0,3,1,0,21,,,,,,,15.0,14.0,1.0,24.0,0.0,11.0
35,0.109375,42,48.0,43.0,42.0,0,24,16,22,36.0,35.0,0,11,19,7,48.0,47.0,6,20,1,24,14.0,13.0,19,12,19,25,35.0,34.0,12,29,6,1,35.0,34.0,0,22,10,18,4.0,3.0,17,28,15,29,,,,,,,44.0,43.0,17.0,22.0,18.0,0.0
36,60.03125,42,,,,10,29,6,1,,,11,15,7,15,,,10,27,19,22,,,15,29,18,15,,,14,22,17,22,,,1,0,7,3,,,17,15,16,0,,,9.0,0.0,6.0,16.0,,,,,,
37,60.015625,42,,,,12,29,1,7,,,11,14,6,23,,,1,27,10,24,,,2,1,1,23,,,0,13,6,5,,,1,2,6,12,,,6,27,7,13,,,7.0,7.0,6.0,11.0,,,,,,
38,60.046875,42,,,,14,15,16,14,,,6,2,19,18,,,6,27,12,14,,,6,14,19,10,,,1,11,18,14,,,12,29,7,8,,,1,23,15,22,,,4.0,1.0,6.0,3.0,,,,,,
39,60.03125,42,,,,7,3,10,0,,,9,0,8,15,,,19,20,15,15,,,18,1,11,0,,,7,10,0,16,,,11,28,3,29,,,1,16,1,10,,,16.0,28.0,14.0,15.0,,,,,,
40,60.09375,42,,,,0,8,19,19,,,1,16,10,26,,,10,22,11,1,,,13,1,0,21,,,7,13,10,28,,,18,28,14,1,,,19,11,10,19,,,1.0,0.0,0.0,19.0,,,,,,
41,60.015625,42,,,,8,1,10,21,,,19,15,6,29,,,14,0,16,0,,,1,1,19,29,,,19,20,16,15,,,1,8,19,14,,,16,22,19,17,,,6.0,21.0,0.0,20.0,,,,,,
42,60.03125,42,,,,1,28,1,9,,,14,0,0,29,,,10,21,10,15,,,0,11,0,1,,,0,21,10,17,,,8,1,7,6,,,10,27,7,4,,,1.0,8.0,12.0,22.0,,,,,,
43,60.046875,42,,,,8,1,10,23,,,14,1,1,1,,,15,14,19,14,,,19,11,18,0,,,16,22,0,27,,,8,0,16,0,,,7,10,0,26,,,1.0,23.0,14.0,0.0,,,,,,
44,0.09375,42,37.0,13.0,12.0,7,9,14,14,31.0,30.0,11,29,6,4,36.0,35.0,14,1,14,22,31.0,30.0,6,23,19,6,14.0,13.0,19,12,17,1,23.0,22.0,15,28,15,14,27.0,26.0,1,17,11,1,,,,,,,37.0,36.0,0.0,20.0,12.0,14.0
45,60.015625,42,,,,2,1,1,3,,,16,15,0,19,,,6,11,19,15,,,8,15,10,1,,,6,0,6,28,,,5,29,14,15,,,1,6,6,15,,,19.0,21.0,0.0,29.0,,,,,,
46,0.0,42,37.0,9.0,8.0,1,10,1,2,19.0,18.0,10,0,6,14,19.0,18.0,19,18,11,28,12.0,11.0,19,15,19,26,16.0,15.0,6,10,0,1,3.0,2.0,15,29,13,29,37.0,36.0,10,26,18,0,,,,,,,15.0,14.0,14.0,14.0,7.0,7.0
47,60.078125,42,,,,19,18,7,7,,,6,25,10,20,,,0,27,0,7,,,2,29,12,29,,,18,1,9,14,,,19,2,0,2,,,11,1,0,21,,,0.0,28.0,7.0,2.0,,,,,,
48,0.046875,42,37.0,28.0,27.0,17,15,5,0,29.0,28.0,6,26,8,0,26.0,25.0,4,1,19,11,26.0,25.0,19,22,14,22,37.0,36.0,7,3,15,29,18.0,17.0,6,0,9,14,11.0,10.0,6,29,0,25,,,,,,,17.0,16.0,14.0,0.0,0.0,2.0
49,60.046875,42,,,,6,17,0,9,,,19,29,0,24,,,0,10,12,1,,,19,2,0,5,,,12,28,1,1,,,3,29,11,22,,,15,29,10,28,,,17.0,28.0,0.0,20.0,,,,,,
50,0.078125,42,43.0,27.0,26.0,19,6,15,28,4.0,3.0,18,28,16,29,11.0,10.0,0,6,1,15,25.0,24.0,1,26,0,3,43.0,42.0,1,25,19,9,5.0,4.0,7,1,4,0,40.0,39.0,1,2,11,29,,,,,,,19.0,18.0,12.0,22.0,18.0,14.0
51,60.0625,42,,,,19,9,16,22,,,0,8,19,21,,,0,1,1,24,,,1,5,3,29,,,0,11,18,1,,,17,1,1,26,,,10,24,0,13,,,19.0,25.0,12.0,14.0,,,,,,
52,0.4375,42,49.0,35.0,34.0,19,22,7,0,40.0,39.0,19,13,0,9,37.0,36.0,0,27,7,2,49.0,48.0,15,22,1,16,45.0,44.0,18,0,0,26,41.0,40.0,13,1,0,28,23.0,22.0,17,1,7,13,,,,,,,20.0,19.0,16.0,22.0,17.0,28.0
53,0.25,42,45.0,22.0,21.0,14,28,14,15,35.0,34.0,9,15,0,12,25.0,24.0,11,0,1,14,17.0,16.0,0,19,0,3,45.0,44.0,18,1,2,29,30.0,29.0,7,0,0,22,38.0,37.0,1,5,13,22,,,,,,,10.0,9.0,9.0,1.0,17.0,0.0
54,60.078125,42,,,,8,1,0,1,,,19,25,0,9,,,14,29,1,20,,,10,26,19,3,,,7,14,7,3,,,0,12,13,22,,,0,16,6,22,,,10.0,27.0,1.0,9.0,,,,,,
55,0.421875,42,38.0,38.0,37.0,0,21,16,0,37.0,36.0,15,22,1,28,24.0,23.0,1,12,11,1,28.0,27.0,6,14,19,0,22.0,21.0,19,25,10,17,25.0,24.0,10,21,7,0,11.0,10.0,7,3,1,3,,,,,,,6.0,5.0,6.0,12.0,9.0,14.0
56,60.03125,42,,,,1,26,11,22,,,19,17,6,29,,,9,1,19,16,,,5,0,1,6,,,6,23,1,3,,,10,18,7,3,,,13,14,7,14,,,1.0,28.0,13.0,0.0,,,,,,
57,60.03125,42,,,,6,20,3,0,,,19,10,0,21,,,7,6,5,0,,,0,29,10,26,,,0,27,6,25,,,19,23,16,0,,,1,0,10,25,,,19.0,18.0,6.0,19.0,,,,,,
58,60.09375,42,,,,11,1,10,20,,,19,23,10,23,,,6,22,6,0,,,1,5,19,11,,,6,21,0,8,,,17,29,4,29,,,1,19,6,23,,,19.0,18.0,7.0,7.0,,,,,,
59,60.09375,42,,,,7,6,13,14,,,1,3,9,15,,,1,21,11,22,,,0,21,10,20,,,10,17,11,28,,,6,8,10,27,,,10,15,6,0,,,10.0,21.0,1.0,26.0,,,,,,
60,60.046875,42,,,,16,1,6,10,,,6,6,19,21,,,9,15,7,15,,,1,15,16,29,,,6,26,14,15,,,8,15,10,1,,,10,29,19,3,,,8.0,14.0,0.0,29.0,,,,,,
61,60.015625,42,,,,19,11,6,0,,,18,1,8,0,,,7,13,17,28,,,14,14,6,15,,,8,1,7,11,,,2,1,0,9,,,16,22,0,26,,,1.0,26.0,0.0,12.0,,,,,,
62,60.03125,42,,,,0,16,6,4,,,18,29,7,9,,,17,29,1,9,,,17,14,14,14,,,0,12,5,29,,,0,17,0,15,,,3,1,14,28,,,10.0,15.0,19.0,7.0,,,,,,
63,60.03125,42,,,,0,3,1,5,,,6,27,1,24,,,17,15,10,23,,,13,15,12,14,,,18,15,0,27,,,6,23,7,14,,,6,13,6,11,,,13.0,22.0,7.0,12.0,,,,,,
64,60.0625,42,,,,19,20,1,2,,,0,17,13,15,,,19,28,15,0,,,7,0,6,16,,,15,22,19,12,,,6,25,11,14,,,5,29,6,4,,,12.0,29.0,0.0,2.0,,,,,,
65,60.078125,42,,,,12,15,17,28,,,1,17,19,11,,,15,1,19,27,,,8,14,19,20,,,7,4,10,1,,,1,7,1,15,,,13,22,17,29,,,6.0,23.0,16.0,22.0,,,,,,
66,60.046875,42,,,,19,27,0,18,,,11,28,17,28,,,1,2,15,0,,,7,13,0,9,,,7,0,6,27,,,18,0,7,7,,,6,17,7,5,,,6.0,3.0,19.0,11.0,,,,,,
67,0.03125,42,30.0,18.0,17.0,5,1,1,14,17.0,16.0,1,11,4,0,30.0,29.0,1,25,7,10,21.0,20.0,19,8,19,28,16.0,15.0,19,16,10,20,25.0,24.0,0,10,14,0,15.0,14.0,11,0,0,3,,,,,,,20.0,19.0,1.0,4.0,1.0,23.0
68,0.09375,42,43.0,43.0,42.0,2,1,6,21,31.0,30.0,1,25,12,14,21.0,20.0,17,29,16,14,20.0,19.0,18,0,15,14,21.0,20.0,18,14,10,26,37.0,36.0,11,14,0,13,5.0,4.0,10,1,14,1,,,,,,,43.0,42.0,0.0,19.0,11.0,22.0
69,60.046875,42,,,,6,11,7,8,,,14,28,8,15,,,9,1,15,22,,,19,2,12,29,,,6,5,18,14,,,19,14,6,12,,,18,0,7,13,,,6.0,3.0,6.0,26.0,,,,,,
70,0.0,42,38.0,19.0,18.0,5,0,8,15,25.0,24.0,10,20,8,0,4.0,3.0,0,27,0,24,23.0,22.0,18,1,0,5,5.0,4.0,6,15,6,19,38.0,37.0,6,5,19,29,18.0,17.0,10,19,19,11,,,,,,,20.0,19.0,19.0,9.0,7.0,12.0
71,0.15625,42,40.0,17.0,16.0,6,17,10,25,40.0,39.0,1,10,19,13,15.0,14.0,0,1,13,0,7.0,6.0,6,5,7,0,25.0,24.0,6,0,6,24,17.0,16.0,1,13,5,1,28.0,27.0,1,29,1,2,,,,,,,17.0,16.0,11.0,0.0,0.0,5.0
72,60.0625,42,,,,10,23,11,1,,,10,15,13,28,,,0,1,19,25,,,6,23,16,22,,,3,0,10,28,,,1,8,19,2,,,13,14,7,7,,,8.0,14.0,19.0,26.0,,,,,,
73,0.046875,42,41.0,30.0,29.0,11,28,7,3,24.0,23.0,19,7,18,29,37.0,36.0,7,15,0,16,41.0,40.0,14,0,0,26,20.0,19.0,3,29,7,14,13.0,12.0,19,21,14,14,8.0,7.0,10,28,16,29,,,,,,,32.0,31.0,15.0,14.0,16.0,0.0
74,60.0625,42,,,,6,28,19,26,,,11,22,1,5,,,10,0,4,0,,,19,21,17,14,,,11,28,14,15,,,6,23,14,29,,,19,23,11,1,,,0.0,24.0,6.0,7.0,,,,,,
75,60.015625,42,,,,0,1,19,1,,,0,28,19,26,,,4,29,18,15,,,0,9,7,4,,,7,14,6,2,,,15,29,19,24,,,19,21,1,25,,,7.0,10.0,6.0,22.0,,,,,,
76,60.03125,42,,,,0,16,2,0,,,16,14,19,12,,,11,22,6,29,,,0,19,17,14,,,1,20,1,24,,,10,1,0,8,,,9,1,0,12,,,16.0,22.0,6.0,13.0,,,,,,
77,60.046875,42,,,,19,19,11,29,,,0,11,15,28,,,6,12,0,1,,,0,25,18,29,,,19,14,14,22,,,12,15,6,18,,,15,14,16,22,,,13.0,28.0,6.0,15.0,,,,,,
78,1.90625,42,56.0,20.0,19.0,19,8,7,15,25.0,24.0,1,23,2,0,56.0,55.0,0,23,12,22,16.0,15.0,10,28,8,15,40.0,39.0,18,15,0,6,38.0,37.0,6,29,15,1,25.0,24.0,0,1,6,19,,,,,,,47.0,46.0,0.0,11.0,19.0,18.0
79,60.03125,42,,,,13,14,8,14,,,19,6,6,7,,,10,25,15,29,,,12,14,19,7,,,1,28,4,29,,,1,24,13,22,,,6,23,10,21,,,18.0,14.0,7.0,0.0,,,,,,
80,60.03125,42,,,,6,18,0,19,,,0,26,12,15,,,2,29,6,6,,,9,15,7,1,,,19,4,13,29,,,18,29,6,25,,,1,12,16,28,,,12.0,22.0,9.0,0.0,,,,,,
81,60.09375,42,,,,19,29,10,17,,,11,14,1,12,,,4,1,18,14,,,15,28,13,14,,,6,21,14,15,,,9,0,10,22,,,1,1,0,13,,,0.0,27.0,6.0,17.0,,,,,,
82,60.015625,42,,,,7,11,0,15,,,19,10,6,8,,,1,20,1,16,,,6,6,10,1,,,1,0,0,4,,,0,23,5,0,,,6,11,7,1,,,0.0,18.0,19.0,21.0,,,,,,
83,60.0625,42,,,,11,1,15,0,,,19,2,7,13,,,6,6,9,1,,,7,0,19,25,,,6,24,3,29,,,19,4,6,7,,,19,20,19,6,,,19.0,21.0,6.0,16.0,,,,,,
84,60.078125,42,,,,1,23,14,22,,,10,14,1,19,,,6,2,10,21,,,19,5,10,27,,,19,9,11,28,,,5,1,0,5,,,8,15,4,29,,,19.0,26.0,18.0,14.0,,,,,,
85,60.078125,42,,,,1,25,3,1,,,4,29,0,13,,,6,1,10,14,,,1,10,1,27,,,1,5,16,14,,,6,7,10,19,,,19,1,16,0,,,0.0,0.0,11.0,1.0,,,,,,
86,60.0625,42,,,,6,28,17,0,,,18,28,12,14,,,7,7,19,7,,,19,18,2,1,,,19,28,16,1,,,10,20,7,5,,,12,15,1,12,,,1.0,28.0,1.0,9.0,,,,,,
87,60.046875,42,,,,10,14,19,15,,,6,1,6,27,,,0,23,1,1,,,6,25,0,8,,,11,28,19,20,,,19,19,14,22,,,15,29,4,1,,,7.0,15.0,0.0,9.0,,,,,,
88,60.015625,42,,,,0,11,16,1,,,1,26,5,29,,,10,17,0,10,,,0,15,18,14,,,19,26,0,25,,,7,2,11,1,,,2,0,6,16,,,8.0,0.0,15.0,29.0,,,,,,
89,60.0625,42,,,,0,13,6,18,,,19,6,1,22,,,13,1,6,23,,,7,0,1,4,,,1,17,0,0,,,19,24,4,0,,,5,0,0,25,,,7.0,10.0,6.0,22.0,,,,,,
90,0.28125,42,39.0,34.0,33.0,1,7,6,21,33.0,32.0,0,0,6,26,36.0,35.0,0,25,10,0,24.0,23.0,7,14,15,29,31.0,30.0,2,29,7,4,30.0,29.0,7,10,17,29,28.0,27.0,0,6,8,15,,,,,,,39.0,38.0,18.0,28.0,6.0,4.0
91,60.046875,42,,,,1,29,12,28,,,1,22,6,4,,,6,1,14,28,,,10,22,6,3,,,1,25,1,26,,,19,10,19,14,,,7,7,7,8,,,18.0,28.0,0.0,11.0,,,,,,
92,60.015625,42,,,,7,11,6,1,,,7,3,1,1,,,18,28,0,4,,,13,22,19,11,,,1,13,0,20,,,1,4,0,2,,,10,24,19,14,,,0.0,10.0,17.0,0.0,,,,,,
93,0.0625,42,38.0,18.0,17.0,1,5,1,22,35.0,34.0,0,25,10,21,20.0,19.0,13,15,12,29,38.0,37.0,10,28,18,1,6.0,5.0,7,6,7,11,26.0,25.0,1,25,0,1,23.0,22.0,0,20,3,1,,,,,,,32.0,31.0,0.0,7.0,10.0,16.0
94,60.0625,42,,,,18,14,4,0,,,9,0,1,28,,,10,27,1,26,,,7,2,19,11,,,1,7,10,1,,,19,6,19,22,,,15,28,10,24,,,19.0,28.0,19.0,9.0,,,,,,
95,1.734375,42,36.0,8.0,7.0,0,18,0,25,20.0,17.0,6,10,10,23,25.0,24.0,14,15,4,1,36.0,35.0,17,0,1,19,12.0,11.0,1,4,8,0,23.0,22.0,6,0,6,22,21.0,20.0,9,15,11,1,,,,,,,24.0,23.0,19.0,26.0,16.0,22.0
96,0.015625,42,23.0,5.0,4.0,17,14,13,14,12.0,11.0,0,17,1,7,9.0,8.0,18,28,11,29,20.0,19.0,0,6,14,1,22.0,21.0,14,15,18,0,23.0,22.0,6,7,13,22,17.0,16.0,6,15,5,0,,,,,,,11.0,10.0,6.0,0.0,0.0,4.0
97,0.015625,42,42.0,32.0,31.0,17,15,1,2,21.0,20.0,6,0,12,14,42.0,41.0,0,28,13,0,35.0,34.0,19,4,0,13,7.0,6.0,1,3,1,9,14.0,13.0,10,21,16,14,27.0,26.0,1,24,7,14,,,,,,,16.0,15.0,14.0,22.0,15.0,28.0
98,60.03125,42,,,,0,27,10,19,,,19,28,6,16,,,2,0,0,29,,,0,0,10,17,,,19,12,19,6,,,0,3,0,20,,,10,0,19,2,,,10.0,18.0,6.0,23.0,,,,,,
99,60.078125,42,,,,9,0,10,22,,,1,7,1,0,,,10,28,4,1,,,1,11,6,6,,,2,29,12,0,,,14,0,19,24,,,0,11,17,28,,,7.0,0.0,1.0,13.0,,,,,,
100,60.0625,42,,,,0,4,1,28,,,0,11,10,27,,,10,22,10,25,,,1,5,1,12,,,1,22,10,0,,,18,1,8,14,,,19,1,6,18,,,17.0,29.0,15.0,0.0,,,,,,
