episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
1,1.46875,42,6.0,77,1.5,4,4,11,16,1.5,14,17,12,8,1.5,8,19,11,13,1.5,2,1,11,19
2,0.78125,42,6.0,43,1.5,8,17,8,13,1.5,8,0,14,9,1.5,13,10,3,19,1.5,2,16,6,19
3,0.328125,42,6.0,18,1.5,12,8,9,4,1.5,13,8,4,16,1.5,7,4,8,0,1.5,10,15,7,18
4,0.4375,42,6.0,25,1.5,1,19,13,13,1.5,1,7,10,13,1.5,14,4,5,10,1.5,9,5,13,8
5,0.4375,42,6.0,24,1.5,3,10,1,10,1.5,6,16,14,4,1.5,11,6,7,19,1.5,11,19,14,16
6,0.71875,42,6.0,40,1.5,11,3,6,18,1.5,4,1,0,19,1.5,11,19,8,13,1.5,12,7,8,2
7,0.59375,42,6.0,32,1.5,9,4,14,9,1.5,11,4,7,10,1.5,11,17,14,16,1.5,3,7,6,19
8,0.765625,42,6.0,38,1.5,6,4,8,2,1.5,1,13,8,1,1.5,6,19,4,0,1.5,14,6,12,12
9,0.40625,42,6.0,19,1.5,2,16,4,16,1.5,6,4,14,11,1.5,8,3,11,2,1.5,11,4,9,10
10,0.8125,42,6.0,39,1.5,7,18,11,6,1.5,10,13,11,20,1.5,13,9,6,1,1.5,3,10,2,1
11,0.453125,42,6.0,20,1.5,13,9,7,2,1.5,13,11,4,20,1.5,12,13,5,16,1.5,7,17,14,5
12,0.75,42,6.0,34,1.5,11,4,4,4,1.5,13,9,12,12,1.5,3,1,0,4,1.5,10,14,12,13
13,0.34375,42,6.0,14,1.5,12,8,11,7,1.5,8,3,8,1,1.5,11,1,9,5,1.5,12,7,5,10
14,0.671875,42,6.0,29,1.5,8,16,5,0,1.5,3,1,11,1,1.5,0,16,7,18,1.5,9,10,2,10
15,1.8125,42,6.0,82,1.5,10,16,1,13,1.5,9,10,10,13,1.5,13,13,9,13,1.5,8,3,11,20
16,0.78125,42,6.0,29,1.5,9,10,12,12,1.5,9,7,0,13,1.5,1,19,10,5,1.5,9,5,5,20
17,0.53125,42,6.0,24,1.5,6,13,5,10,1.5,4,10,13,12,1.5,14,18,14,19,1.5,7,17,7,7
18,0.8125,42,6.0,36,1.5,0,16,13,13,1.5,1,4,5,19,1.5,13,8,14,8,1.5,4,19,5,13
19,0.609375,42,6.0,27,1.5,7,17,8,16,1.5,9,7,11,1,1.5,2,16,14,20,1.5,11,0,12,8
20,0.609375,42,6.0,28,1.5,7,7,3,13,1.5,6,2,2,7,1.5,12,14,0,10,1.5,7,13,6,7
21,0.78125,42,6.0,35,1.5,1,19,8,1,1.5,11,6,14,5,1.5,11,14,3,10,1.5,12,6,11,13
22,0.671875,42,6.0,30,1.5,8,13,8,10,1.5,11,6,7,1,1.5,3,4,3,13,1.5,14,11,7,19
23,0.703125,42,6.0,31,1.5,4,20,10,5,1.5,10,13,1,19,1.5,11,4,14,14,1.5,5,20,6,18
24,0.734375,42,6.0,32,1.5,6,10,14,7,1.5,6,19,8,1,1.5,14,15,11,6,1.5,2,10,8,10
25,0.828125,42,6.0,36,1.5,5,7,12,7,1.5,5,4,7,19,1.5,14,16,12,10,1.5,11,20,11,13
26,0.5,42,6.0,22,1.5,11,16,7,19,1.5,2,1,8,0,1.5,1,13,2,16,1.5,5,10,14,6
27,0.8125,42,6.0,35,1.5,11,7,12,14,1.5,6,0,3,16,1.5,11,13,9,4,1.5,4,4,9,15
28,0.515625,42,6.0,19,1.5,8,1,8,10,1.5,11,19,7,17,1.5,0,7,11,1,1.5,13,13,11,13
29,1.234375,42,6.0,50,1.5,6,0,2,1,1.5,9,16,11,19,1.5,3,1,1,16,1.5,10,10,10,16
30,0.875,42,6.0,35,1.5,7,10,8,10,1.5,3,19,11,0,1.5,0,19,6,4,1.5,12,8,4,0
31,0.765625,42,6.0,33,1.5,3,1,9,16,1.5,3,16,5,20,1.5,2,4,3,13,1.5,11,3,12,10
32,0.3125,42,6.0,17,1.5,14,9,6,13,1.5,7,19,5,19,1.5,9,15,9,17,1.5,14,19,10,6
33,0.421875,42,6.0,24,1.5,0,10,8,4,1.5,7,13,1,7,1.5,14,14,12,8,1.5,3,4,8,2
34,0.5,42,6.0,27,1.5,1,16,8,10,1.5,11,2,3,10,1.5,8,7,14,11,1.5,5,10,7,18
35,0.9375,42,6.0,50,1.5,9,13,5,7,1.5,12,13,9,4,1.5,8,3,6,7,1.5,9,3,14,14
36,0.625,42,6.0,33,1.5,8,18,0,10,1.5,5,13,0,4,1.5,7,18,13,8,1.5,13,12,6,18
37,0.53125,42,6.0,29,1.5,14,5,9,5,1.5,5,20,11,1,1.5,3,1,2,7,1.5,9,3,6,1
38,0.46875,42,6.0,26,1.5,11,2,11,0,1.5,4,20,14,11,1.5,5,13,11,14,1.5,2,10,11,15
39,1.3125,42,6.0,68,1.5,12,6,14,8,1.5,10,6,4,19,1.5,2,7,4,16,1.5,6,2,14,17
40,0.25,42,6.0,12,1.5,0,16,6,20,1.5,9,4,8,1,1.5,9,5,13,9,1.5,3,1,6,0
41,0.90625,42,6.0,40,1.5,12,14,14,13,1.5,4,4,10,7,1.5,6,1,5,16,1.5,14,15,10,13
42,0.625,42,6.0,27,1.5,8,17,14,11,1.5,14,19,8,20,1.5,5,1,3,10,1.5,14,6,3,19
43,0.640625,42,6.0,34,1.5,0,19,14,19,1.5,14,16,1,19,1.5,7,17,14,4,1.5,5,20,3,4
44,0.53125,42,6.0,30,1.5,11,18,2,10,1.5,4,13,6,1,1.5,14,4,8,2,1.5,13,11,8,18
45,0.40625,42,6.0,22,1.5,0,10,7,7,1.5,11,0,2,1,1.5,6,7,14,3,1.5,12,6,6,20
46,0.625,42,6.0,35,1.5,11,16,0,1,1.5,5,4,4,20,1.5,7,1,14,13,1.5,11,17,14,11
47,0.484375,42,6.0,27,1.5,0,13,14,4,1.5,13,9,3,19,1.5,1,10,11,17,1.5,2,13,3,7
48,0.375,42,6.0,21,1.5,6,19,0,19,1.5,14,2,6,0,1.5,11,13,5,13,1.5,10,4,4,1
49,0.34375,42,6.0,19,1.5,14,20,8,13,1.5,14,16,14,11,1.5,6,2,3,1,1.5,12,7,7,17
50,0.59375,42,6.0,34,1.5,0,7,2,16,1.5,5,13,2,13,1.5,4,16,14,16,1.5,3,16,11,3
51,0.328125,42,6.0,17,1.5,5,19,11,20,1.5,11,5,4,4,1.5,14,10,7,10,1.5,8,16,9,15
52,2.078125,42,1.0,100,0.5,14,0,1,16,-0.5,11,13,2,16,0.5,0,10,13,8,0.5,12,13,11,16
53,0.59375,42,6.0,26,1.5,7,17,1,16,1.5,14,10,5,20,1.5,9,10,14,16,1.5,2,13,7,4
54,0.765625,42,6.0,33,1.5,2,16,6,1,1.5,11,1,5,16,1.5,8,16,8,18,1.5,8,7,14,14
55,0.5625,42,6.0,25,1.5,14,15,10,4,1.5,0,10,10,13,1.5,8,13,3,4,1.5,14,9,9,5
56,0.703125,42,6.0,29,1.5,13,10,11,18,1.5,3,1,14,15,1.5,11,14,0,1,1.5,2,4,7,13
57,0.390625,42,6.0,17,1.5,3,13,11,16,1.5,14,10,8,2,1.5,3,19,7,17,1.5,10,4,12,13
58,0.75,42,6.0,34,1.5,10,13,11,1,1.5,0,7,13,9,1.5,13,11,5,16,1.5,12,8,2,7
59,0.5625,42,6.0,31,1.5,5,0,6,7,1.5,4,19,10,5,1.5,8,1,11,20,1.5,12,12,8,20
60,0.71875,42,6.0,40,1.5,14,10,5,16,1.5,10,5,6,20,1.5,11,18,2,10,1.5,14,1,7,10
61,0.4375,42,6.0,25,1.5,14,9,14,15,1.5,10,16,8,0,1.5,2,10,5,10,1.5,7,16,14,0
62,0.484375,42,6.0,27,1.5,8,20,14,20,1.5,4,19,13,7,1.5,5,7,13,10,1.5,5,0,11,17
63,0.515625,42,6.0,29,1.5,14,14,8,3,1.5,1,10,3,4,1.5,14,3,6,18,1.5,2,4,9,17
64,0.46875,42,6.0,26,1.5,4,1,14,9,1.5,6,0,10,4,1.5,6,2,14,8,1.5,13,8,3,1
65,0.515625,42,6.0,29,1.5,3,10,8,0,1.5,9,15,0,10,1.5,5,13,9,3,1.5,3,7,2,10
66,0.703125,42,6.0,36,1.5,11,10,13,9,1.5,3,16,8,17,1.5,4,1,9,17,1.5,1,4,7,16
67,0.5,42,6.0,25,1.5,11,3,6,2,1.5,13,9,11,16,1.5,7,3,8,16,1.5,12,13,14,18
68,2.171875,42,-0.5,100,-1.0,14,2,0,19,0.5,9,3,14,4,-0.5,13,12,3,19,0.5,12,10,8,10
69,0.546875,42,6.0,24,1.5,4,19,9,13,1.5,10,15,5,13,1.5,5,0,7,10,1.5,4,16,14,13
70,0.890625,42,6.0,37,1.5,1,1,8,19,1.5,14,9,2,1,1.5,6,20,2,4,1.5,0,4,14,4
71,0.375,42,6.0,16,1.5,13,9,14,9,1.5,7,7,13,10,1.5,1,1,2,1,1.5,2,7,11,5
72,0.5,42,6.0,22,1.5,13,11,14,17,1.5,4,20,9,15,1.5,14,6,12,13,1.5,12,12,6,2
73,0.59375,42,6.0,26,1.5,12,7,11,16,1.5,10,7,8,20,1.5,10,15,13,8,1.5,10,10,2,19
74,0.6875,42,6.0,37,1.5,6,2,13,9,1.5,13,13,7,2,1.5,14,16,12,8,1.5,8,17,8,1
75,0.609375,42,6.0,34,1.5,11,4,1,7,1.5,5,7,8,4,1.5,5,0,7,17,1.5,10,14,3,1
76,0.546875,42,6.0,30,1.5,3,10,6,10,1.5,4,19,11,16,1.5,10,5,8,16,1.5,7,10,6,19
77,0.578125,42,6.0,32,1.5,6,4,11,4,1.5,3,19,12,10,1.5,7,1,5,19,1.5,7,17,4,19
78,0.546875,42,6.0,30,1.5,14,13,8,4,1.5,13,12,8,1,1.5,14,8,6,4,1.5,11,2,12,6
79,0.390625,42,6.0,22,1.5,8,20,10,16,1.5,8,7,9,5,1.5,13,12,12,13,1.5,14,15,4,4
80,1.125,42,6.0,59,1.5,8,20,5,16,1.5,1,10,0,16,1.5,10,13,11,15,1.5,11,20,3,16
81,0.640625,42,6.0,32,1.5,4,4,13,13,1.5,8,13,14,13,1.5,11,5,2,16,1.5,10,4,14,8
82,0.90625,42,6.0,40,1.5,10,6,11,14,1.5,10,7,8,19,1.5,2,1,1,16,1.5,10,14,9,15
83,0.703125,42,6.0,30,1.5,14,11,3,13,1.5,14,14,9,17,1.5,2,19,7,7,1.5,11,14,12,12
84,0.578125,42,6.0,27,1.5,7,19,14,10,1.5,12,12,5,1,1.5,14,20,1,19,1.5,12,8,14,12
85,0.96875,42,6.0,40,1.5,11,14,8,18,1.5,2,1,2,16,1.5,1,1,3,13,1.5,9,17,10,7
86,0.484375,42,6.0,21,1.5,9,10,8,2,1.5,8,3,11,14,1.5,9,13,8,18,1.5,0,4,11,3
87,0.84375,42,6.0,35,1.5,11,20,8,10,1.5,8,18,3,1,1.5,12,12,10,4,1.5,14,8,4,19
88,0.640625,42,6.0,27,1.5,14,10,2,10,1.5,12,8,8,7,1.5,2,13,1,19,1.5,13,11,11,13
89,1.828125,42,6.0,77,1.5,11,0,12,6,1.5,14,9,6,7,1.5,7,13,11,2,1.5,11,15,4,7
90,0.296875,42,6.0,11,1.5,11,16,10,13,1.5,11,20,6,18,1.5,13,7,12,12,1.5,14,5,5,7
91,1.03125,42,6.0,42,1.5,8,20,3,4,1.5,14,15,9,5,1.5,3,7,14,11,1.5,6,1,1,19
92,0.40625,42,6.0,16,1.5,7,18,11,15,1.5,2,16,14,13,1.5,7,1,9,5,1.5,11,16,3,16
93,0.828125,42,6.0,35,1.5,14,11,8,4,1.5,10,6,10,16,1.5,12,7,6,20,1.5,6,18,3,1
94,0.78125,42,6.0,32,1.5,14,18,14,13,1.5,13,11,5,7,1.5,11,13,2,10,1.5,0,1,7,13
95,0.53125,42,6.0,24,1.5,13,12,8,4,1.5,2,13,11,4,1.5,10,14,0,13,1.5,14,2,9,16
96,1.125,42,6.0,45,1.5,9,4,11,14,1.5,8,0,5,19,1.5,2,1,7,17,1.5,0,4,13,8
97,0.859375,42,6.0,36,1.5,14,16,0,4,1.5,7,18,14,8,1.5,6,1,8,17,1.5,8,1,5,20
98,0.875,42,6.0,36,1.5,11,16,7,3,1.5,2,7,14,2,1.5,9,4,0,19,1.5,12,7,14,20
99,0.78125,42,6.0,33,1.5,11,4,0,19,1.5,13,10,14,20,1.5,12,7,11,1,1.5,5,13,2,7
100,0.765625,42,6.0,35,1.5,0,10,10,10,1.5,10,16,14,5,1.5,2,19,11,3,1.5,11,1,1,19
