episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
11,11.109375,42,7.0,100,0.5,19,23,13,0,0.5,12,22,17,15,0.5,7,12,15,15,0.5,1,22,0,5,0.5,19,22,0,28,0.5,19,14,1,15,0.5,3,0,13,28,0.5,4,1,0,18,0.5,0,4,14,22,0.5,0,3,18,28,0.5,0,27,10,15,0.5,1,0,0,19,0.5,1,9,16,28,-1.0,6,27,10,19,0.5,6,1,19,13,0.5,7,13,6,19,0.5,1,2,6,23
12,10.5625,42,2.5,100,-1.0,4,29,17,29,0.5,7,12,14,22,0.5,1,0,0,24,0.5,8,1,19,22,-1.0,0,5,16,28,0.5,12,0,14,29,0.5,3,29,1,8,0.5,10,1,7,5,0.5,19,12,19,14,0.5,5,29,6,23,-1.0,10,22,6,26,-1.0,19,20,1,11,0.5,19,19,0,1,0.5,7,9,14,0,0.5,19,23,11,1,0.5,1,3,16,0,0.5,7,14,1,2
13,11.21875,42,5.5,100,-1.0,0,4,6,22,0.5,15,15,2,1,0.5,12,0,0,27,0.5,7,4,19,21,-1.0,10,24,1,24,0.5,17,15,6,25,0.5,1,23,2,29,0.5,18,29,14,28,0.5,8,15,1,26,0.5,1,27,0,26,0.5,19,14,19,28,0.5,6,4,7,1,0.5,16,15,11,28,0.5,0,24,6,13,0.5,18,0,4,0,0.5,15,0,17,29,0.5,3,29,19,13
14,10.6875,42,-6.0,100,-1.0,19,20,1,7,-1.0,5,29,17,22,0.5,0,24,1,5,0.5,1,3,0,4,0.5,19,12,6,26,-0.5,7,6,7,2,-1.0,1,14,13,22,0.5,19,10,8,0,0.5,6,0,1,9,-1.0,10,22,0,26,0.5,1,2,10,21,-1.0,17,14,0,12,-1.0,6,9,9,1,-1.0,19,2,3,29,-1.0,17,0,10,23,0.5,19,11,12,22,-1.0,0,15,10,18
15,10.46875,42,5.5,100,0.5,6,18,11,15,0.5,7,10,0,23,0.5,17,15,10,16,0.5,16,14,6,13,0.5,1,11,0,21,0.5,7,13,3,1,0.5,18,1,19,13,0.5,1,24,0,24,0.5,0,9,19,5,0.5,14,15,0,11,0.5,19,4,17,22,0.5,9,0,8,1,0.5,19,1,0,1,0.5,6,0,19,18,-1.0,16,22,1,27,0.5,1,22,6,20,-1.0,19,26,6,23
16,10.65625,42,25.5,100,1.5,12,29,9,0,1.5,10,29,0,13,1.5,0,22,7,15,1.5,19,25,6,16,1.5,11,15,1,2,1.5,16,22,17,22,1.5,6,1,11,14,1.5,14,22,7,7,1.5,15,29,2,1,1.5,19,7,7,3,1.5,10,27,6,27,1.5,10,18,1,27,1.5,1,24,16,0,1.5,17,28,19,22,1.5,19,12,17,15,1.5,1,0,1,7,1.5,18,0,18,15
17,10.453125,42,7.0,100,-1.0,10,24,18,14,0.5,12,29,16,28,0.5,1,23,7,8,0.5,6,2,18,1,0.5,4,1,10,0,0.5,7,13,7,3,0.5,6,27,7,10,0.5,19,18,15,15,0.5,1,11,1,16,0.5,6,11,9,0,0.5,16,14,8,15,0.5,6,14,11,28,0.5,14,15,19,20,0.5,6,5,15,22,0.5,6,23,19,10,0.5,12,14,11,0,0.5,6,12,6,3
18,10.359375,42,2.5,100,0.5,3,29,10,19,0.5,19,19,6,29,0.5,1,10,0,19,0.5,7,13,1,8,0.5,10,26,16,0,-1.0,1,16,14,0,0.5,18,28,16,22,0.5,0,21,16,15,-1.0,1,0,10,21,0.5,10,22,1,1,0.5,11,1,19,29,0.5,19,11,6,21,-1.0,13,1,19,20,0.5,14,15,8,1,0.5,0,16,14,1,0.5,10,28,19,14,-1.0,0,8,19,15
19,10.3125,42,4.0,100,-1.0,0,20,14,1,0.5,10,15,0,27,-1.0,1,28,15,14,0.5,10,27,10,23,0.5,0,1,16,0,0.5,0,11,8,0,0.5,1,8,1,1,0.5,7,6,7,9,0.5,0,29,18,0,0.5,0,21,7,10,0.5,10,17,0,26,0.5,1,9,19,14,0.5,8,1,1,23,0.5,14,0,19,11,-1.0,19,17,12,22,0.5,7,4,11,29,0.5,10,21,16,22
20,10.25,42,4.0,100,0.5,6,23,5,29,0.5,11,1,1,10,0.5,19,12,1,6,-1.0,14,22,6,28,0.5,2,1,10,0,0.5,12,14,0,19,0.5,19,6,14,15,0.5,6,11,6,10,-1.0,15,14,0,29,0.5,14,14,19,15,0.5,16,15,19,18,0.5,17,1,6,15,0.5,6,4,10,1,0.5,15,28,19,21,0.5,14,1,6,0,-1.0,8,15,15,29,0.5,1,17,1,3
21,10.3125,42,-8.0,100,-1.0,7,7,0,7,-1.0,2,29,7,3,-1.0,1,2,12,29,0.5,18,0,17,15,0.5,18,1,6,0,-1.0,19,26,0,21,0.5,19,18,6,26,0.5,11,1,5,0,-1.0,0,27,19,22,-1.0,0,1,7,2,-1.0,19,2,6,29,-1.0,6,25,4,1,-1.0,13,29,14,0,0.5,6,14,9,14,0.5,10,26,10,20,-1.0,0,28,8,0,-1.0,11,28,0,2
