episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
49,10.34375,42,5.5,100,0.5,19,2,19,20,0.5,1,29,5,29,-1.0,6,6,1,26,0.5,8,1,1,23,0.5,0,29,15,15,0.5,1,16,7,11,0.5,0,13,1,27,0.5,0,1,19,1,0.5,7,2,4,1,-1.0,19,24,19,3,0.5,0,10,5,0,0.5,7,5,1,1,0.5,1,12,0,25,0.5,3,0,11,28,0.5,10,19,0,20,0.5,7,8,15,22,0.5,7,7,12,15
50,11.359375,42,5.5,100,0.5,0,24,18,0,0.5,5,0,18,14,0.5,19,26,14,28,0.5,0,16,0,18,0.5,1,20,6,13,0.5,6,9,9,14,0.5,6,21,1,27,0.5,6,25,8,14,0.5,19,16,1,6,-1.0,19,19,8,1,0.5,10,0,10,19,0.5,1,1,7,2,0.5,10,20,1,7,0.5,10,26,10,27,0.5,19,7,17,0,-1.0,0,22,14,15,0.5,19,25,6,20
51,10.65625,42,-1.5,100,0.5,4,1,14,1,0.5,10,24,7,1,-1.0,18,1,0,22,-0.5,0,6,1,11,-1.0,19,16,1,12,-1.0,6,20,1,10,0.5,15,22,11,28,-1.0,0,27,19,2,0.5,1,17,0,14,-1.0,0,25,18,0,0.5,6,21,1,26,-1.0,0,9,6,22,0.5,15,14,10,27,0.5,6,13,6,16,0.5,14,22,19,6,0.5,1,23,13,22,0.5,17,28,2,0
52,10.40625,42,2.5,100,0.5,18,1,15,29,0.5,1,6,1,11,-1.0,10,17,6,3,0.5,13,29,17,15,-1.0,0,8,19,19,0.5,6,5,7,10,0.5,1,26,6,27,0.5,0,17,7,8,0.5,4,1,0,28,0.5,9,0,7,1,-1.0,19,16,0,20,0.5,6,4,6,10,0.5,8,15,6,18,0.5,19,1,8,0,0.5,1,0,0,0,0.5,19,4,17,28,-1.0,14,29,3,1
53,10.546875,42,2.5,100,0.5,1,3,7,4,0.5,1,5,6,12,0.5,1,7,19,23,-1.0,19,1,19,27,0.5,19,10,7,5,0.5,19,20,12,0,0.5,0,6,1,2,0.5,6,1,19,11,-1.0,0,27,14,22,0.5,1,17,1,12,0.5,0,0,17,15,-1.0,6,15,17,1,-1.0,1,27,17,29,0.5,6,13,6,19,0.5,19,19,0,16,0.5,10,25,12,28,0.5,10,0,8,15
54,10.53125,42,-0.5,100,-1.0,10,14,15,0,0.5,1,18,6,27,0.5,0,11,0,0,-1.0,0,12,6,19,0.5,19,12,1,4,0.5,16,14,3,1,0.5,14,29,7,2,0.5,6,28,11,0,-1.0,17,15,0,29,0.5,11,29,19,2,-1.0,8,15,16,1,0.5,11,1,16,15,0.5,10,28,0,14,-1.0,19,14,10,0,0.5,6,6,11,14,0.5,3,29,7,11,-1.0,0,13,19,28
55,11.375,42,4.0,100,0.5,1,5,6,6,0.5,10,23,4,0,0.5,19,12,10,1,0.5,7,3,10,19,0.5,0,16,19,5,0.5,6,22,12,22,0.5,5,0,0,9,0.5,10,26,14,29,0.5,11,29,7,0,-1.0,14,1,19,26,-1.0,7,6,14,28,0.5,12,0,19,27,-1.0,13,29,18,0,0.5,11,22,1,10,0.5,6,17,8,14,0.5,19,18,3,0,0.5,6,1,0,20
56,10.390625,42,-3.5,100,-1.0,7,1,13,29,-1.0,14,22,6,21,0.5,8,15,10,21,-1.0,19,17,1,13,0.5,6,18,7,4,-1.0,1,9,19,8,0.5,13,28,11,22,0.5,19,5,1,29,-1.0,14,15,13,1,0.5,5,0,6,3,0.5,6,20,6,28,0.5,6,11,6,6,-1.0,6,10,6,24,0.5,14,29,7,14,-1.0,19,28,1,4,-1.0,10,14,0,28,0.5,12,0,14,1
57,10.4375,42,-0.5,100,0.5,0,21,1,26,-1.0,1,15,14,22,-1.0,6,2,19,10,0.5,5,0,1,1,0.5,1,7,1,16,-1.0,11,29,19,0,0.5,0,4,3,1,0.5,19,16,9,14,-1.0,16,28,19,9,0.5,14,14,3,0,0.5,15,29,19,20,-1.0,19,4,12,15,0.5,12,0,15,15,0.5,12,1,1,9,-1.0,17,15,15,0,0.5,18,28,9,15,0.5,1,0,0,29
58,10.4375,42,2.5,100,0.5,15,22,0,5,0.5,19,24,18,15,-1.0,19,19,9,1,-1.0,10,29,19,15,0.5,8,0,13,15,0.5,14,28,6,11,0.5,0,14,18,1,0.5,6,28,11,0,0.5,13,29,6,3,0.5,1,28,6,29,0.5,6,19,7,10,0.5,6,1,18,14,0.5,5,1,1,10,-1.0,10,19,19,1,0.5,13,14,9,14,-1.0,12,28,17,0,0.5,10,25,19,21
59,10.453125,42,1.5,100,-1.0,16,29,7,8,0.5,14,28,10,20,-1.0,1,25,10,29,0.5,18,0,4,0,-1.0,19,29,6,11,-1.0,19,19,10,24,0.5,19,15,5,0,0.5,1,23,3,29,0.5,0,4,7,3,0.5,19,12,11,15,0.5,15,15,6,21,0.5,19,25,1,29,0.5,6,0,11,1,0.5,6,20,7,2,-0.5,6,4,0,24,0.5,15,14,1,20,0.5,19,10,13,14
60,10.390625,42,7.0,100,0.5,17,0,10,24,0.5,1,0,6,19,0.5,4,0,0,26,0.5,0,8,19,17,0.5,17,29,10,27,-1.0,1,8,19,29,0.5,6,4,1,5,0.5,1,1,19,14,0.5,16,15,6,24,0.5,6,11,3,29,0.5,1,23,19,2,0.5,7,2,0,6,0.5,0,1,1,14,0.5,18,28,6,17,0.5,11,29,15,28,0.5,13,14,19,25,0.5,10,16,7,1
61,10.359375,42,1.5,100,-0.5,0,15,1,5,0.5,7,1,19,28,0.5,19,15,6,24,0.5,7,7,12,29,0.5,0,25,0,5,-1.0,16,14,1,25,0.5,19,3,16,15,-1.0,17,22,0,7,0.5,12,0,0,0,0.5,1,27,7,12,0.5,13,22,19,29,-1.0,1,21,11,28,0.5,2,1,4,1,0.5,1,1,7,13,-1.0,11,0,1,10,0.5,10,17,8,0,0.5,10,20,10,0
62,10.484375,42,-0.5,100,0.5,0,21,6,2,0.5,1,18,13,28,-1.0,12,28,16,1,0.5,4,29,6,23,-1.0,0,11,16,22,0.5,19,24,19,8,0.5,7,3,6,18,0.5,12,14,7,10,0.5,6,25,14,29,0.5,6,1,17,14,0.5,6,12,1,8,0.5,1,10,1,23,-1.0,6,0,19,15,-1.0,14,1,12,22,0.5,0,24,6,8,-1.0,15,14,1,20,-1.0,0,27,17,22
63,10.546875,42,-2.0,100,0.5,2,1,6,27,-1.0,0,15,1,3,0.5,1,2,18,1,0.5,1,5,17,14,0.5,7,14,0,14,0.5,19,10,6,5,0.5,5,1,6,6,0.5,1,21,10,0,-1.0,3,1,0,6,0.5,0,22,11,28,-1.0,0,12,18,28,-1.0,9,0,1,8,0.5,6,2,14,29,0.5,10,16,15,28,-1.0,19,5,0,19,-1.0,0,0,9,1,-1.0,19,2,0,7
64,10.625,42,0.5,100,-0.5,17,1,5,1,-1.0,1,16,6,5,-1.0,0,9,6,12,-1.0,10,20,19,21,-0.5,7,13,1,10,0.5,6,18,10,29,0.5,1,28,0,27,-1.0,14,29,0,10,0.5,15,0,0,19,0.5,9,14,1,17,0.5,9,1,1,7,0.5,6,2,15,1,0.5,14,15,11,22,0.5,0,21,6,22,0.5,7,2,7,4,0.5,13,28,17,14,0.5,6,24,1,20
65,10.546875,42,-0.5,100,-1.0,6,19,10,27,0.5,19,1,10,0,0.5,13,14,1,20,0.5,7,0,14,15,0.5,19,19,6,15,0.5,1,1,19,17,0.5,19,11,0,1,0.5,19,0,6,12,-1.0,1,12,14,28,-1.0,11,28,4,0,0.5,19,24,17,15,0.5,6,17,10,15,0.5,1,11,1,27,-1.0,19,27,7,6,0.5,0,13,1,14,-1.0,7,2,13,22,-1.0,18,14,11,29
66,10.625,42,1.0,100,0.5,0,6,6,16,0.5,15,1,18,0,0.5,8,15,15,0,-1.0,10,27,7,1,0.5,0,23,0,15,-1.0,10,23,8,1,-1.0,1,29,10,15,0.5,6,7,0,0,-1.0,6,23,12,15,0.5,6,13,1,7,0.5,17,15,6,10,-1.0,4,0,11,14,0.5,7,9,6,0,0.5,0,11,2,1,0.5,7,4,1,6,0.5,10,14,0,2,0.5,19,14,1,0
67,10.375,42,2.5,100,0.5,10,22,10,20,0.5,7,7,8,1,0.5,19,5,7,4,0.5,19,4,6,22,0.5,19,15,1,10,-1.0,15,29,12,22,0.5,0,21,1,17,0.5,0,13,1,0,-1.0,17,22,6,24,0.5,1,9,0,6,0.5,7,6,0,17,0.5,7,5,0,23,-1.0,17,29,0,22,-1.0,15,28,1,14,0.5,1,18,1,19,0.5,6,5,11,28,0.5,11,22,4,29
68,10.546875,42,2.5,100,-1.0,1,11,0,22,0.5,6,23,19,21,-1.0,6,1,15,0,0.5,6,9,6,21,0.5,1,17,0,23,0.5,1,25,0,26,0.5,2,0,0,27,-1.0,19,4,13,0,0.5,10,25,18,14,0.5,0,12,7,3,0.5,16,22,17,1,0.5,19,13,1,15,0.5,8,14,10,27,-1.0,6,6,0,24,0.5,18,28,13,14,0.5,0,7,1,2,0.5,6,10,0,11
69,10.5,42,-0.5,100,0.5,6,29,8,15,-1.0,16,28,1,19,0.5,0,10,7,11,-1.0,19,18,10,19,0.5,19,12,1,14,-1.0,0,14,19,20,0.5,0,19,0,29,-1.0,16,22,18,29,0.5,19,10,6,1,0.5,6,2,6,15,0.5,1,9,0,23,0.5,10,18,11,28,0.5,7,5,16,15,0.5,1,18,4,0,-1.0,19,29,7,12,-1.0,19,25,0,7,0.5,6,19,19,23
70,10.5625,42,0.0,100,0.5,10,18,19,22,-0.5,14,14,6,7,0.5,6,10,10,16,0.5,11,0,10,0,0.5,6,17,0,16,0.5,6,28,4,0,0.5,6,14,6,12,0.5,6,3,0,21,0.5,19,14,19,23,-1.0,6,26,11,29,0.5,15,28,8,15,-1.0,19,13,6,1,-1.0,16,22,6,8,0.5,12,1,6,15,0.5,10,20,7,1,-1.0,2,29,5,1,-1.0,6,21,7,3
71,10.4375,42,-2.0,100,0.5,7,12,0,23,0.5,8,14,0,1,0.5,14,0,12,14,-1.0,10,14,19,12,-1.0,17,15,10,27,0.5,18,28,11,29,0.5,15,1,19,11,-1.0,19,13,19,15,-1.0,1,28,19,25,0.5,1,19,19,17,0.5,19,23,0,8,0.5,8,15,10,18,-1.0,15,29,18,1,0.5,19,22,19,28,-1.0,1,8,10,22,-1.0,1,11,12,22,0.5,6,17,0,12
72,10.515625,42,4.0,100,0.5,10,14,19,2,0.5,7,1,1,19,-1.0,0,19,19,27,0.5,1,24,12,14,0.5,0,1,9,0,0.5,14,28,10,15,0.5,7,11,1,6,0.5,16,1,19,22,-1.0,7,4,15,28,0.5,1,4,0,13,-1.0,10,16,1,25,0.5,1,16,6,27,0.5,18,14,2,1,0.5,0,6,6,13,0.5,19,10,6,3,0.5,19,15,0,17,0.5,6,4,18,1
73,10.609375,42,1.0,100,0.5,16,14,11,14,0.5,6,17,1,20,0.5,18,14,19,25,0.5,10,18,6,12,0.5,16,29,17,28,0.5,19,14,19,9,0.5,6,13,0,29,0.5,7,8,3,29,0.5,0,23,0,27,-1.0,10,22,6,25,0.5,7,13,0,15,0.5,0,26,6,23,-1.0,19,2,19,15,-1.0,18,1,14,14,0.5,19,21,10,15,-1.0,1,25,13,15,-1.0,1,12,10,25
74,10.609375,42,5.0,100,0.5,14,14,10,27,0.5,1,7,7,10,0.5,19,1,1,1,0.5,7,4,1,19,0.5,10,29,6,6,-0.5,19,16,7,3,0.5,6,27,7,0,0.5,0,26,0,22,0.5,10,18,1,13,0.5,8,1,19,21,-0.5,12,14,1,12,0.5,13,0,10,17,0.5,7,13,19,14,-1.0,0,15,0,9,0.5,5,0,16,14,0.5,6,14,7,15,0.5,0,5,10,19
75,10.015625,42,25.5,95,1.5,1,15,6,11,1.5,19,0,9,14,1.5,6,20,0,8,1.5,0,18,19,20,1.5,19,3,5,0,1.5,6,23,6,12,1.5,10,19,12,0,1.5,6,10,19,7,1.5,19,27,13,15,1.5,19,24,19,28,1.5,11,1,8,1,1.5,11,28,0,9,1.5,1,26,7,7,1.5,1,21,1,16,1.5,19,17,1,0,1.5,6,26,6,17,1.5,16,29,9,0
76,10.5,42,0.0,100,0.5,5,29,6,18,-1.0,9,0,1,15,0.5,19,15,16,14,0.5,0,13,4,0,0.5,0,15,19,21,-1.0,19,9,0,14,-0.5,0,1,1,13,0.5,19,0,12,15,-1.0,14,0,3,29,-1.0,0,26,1,9,0.5,19,10,0,21,0.5,1,5,7,15,0.5,3,1,19,22,-1.0,15,14,6,29,0.5,0,10,13,22,0.5,10,15,18,29,0.5,17,28,19,27
77,10.46875,42,-0.5,100,0.5,13,22,19,23,0.5,4,29,0,20,0.5,9,1,6,28,0.5,19,17,3,1,0.5,9,14,14,0,-1.0,10,27,7,8,-1.0,10,29,1,14,0.5,19,22,10,16,-1.0,16,15,0,26,0.5,17,29,7,2,0.5,6,16,0,17,0.5,19,12,6,17,-1.0,6,10,18,28,-1.0,17,22,13,15,0.5,0,29,1,19,-1.0,19,6,15,29,0.5,19,24,15,15
78,10.578125,42,4.5,100,0.5,7,0,12,1,0.5,3,1,1,4,0.5,1,14,19,15,0.5,6,0,6,9,0.5,19,24,10,16,0.5,10,26,1,24,-0.5,1,6,1,5,0.5,1,20,19,9,0.5,1,17,1,3,-1.0,0,19,10,14,0.5,17,1,6,11,-1.0,18,28,0,14,0.5,0,8,0,11,0.5,19,14,19,0,0.5,14,0,8,0,0.5,6,15,1,29,0.5,17,28,0,9
79,10.546875,42,1.0,100,-1.0,12,0,6,28,0.5,6,7,1,12,0.5,10,29,10,28,-1.0,10,27,0,28,0.5,0,25,1,9,0.5,7,14,6,14,-1.0,11,28,6,24,0.5,7,6,1,7,0.5,0,29,6,1,0.5,16,22,6,2,0.5,0,20,12,15,0.5,19,18,1,11,-1.0,18,28,15,22,0.5,16,15,19,17,-1.0,9,1,6,21,0.5,1,21,6,27,0.5,1,16,18,1
80,10.53125,42,-0.5,100,0.5,1,22,6,27,0.5,10,20,14,15,0.5,15,15,3,0,0.5,15,14,19,12,0.5,7,11,10,21,0.5,1,8,7,9,-1.0,1,13,6,24,-1.0,8,0,13,29,0.5,0,24,0,15,0.5,13,28,7,15,0.5,8,15,1,25,0.5,17,14,19,23,-1.0,19,15,7,7,-1.0,14,0,19,28,-1.0,16,29,7,14,-1.0,0,7,11,14,0.5,19,7,0,22
81,10.546875,42,2.5,100,0.5,0,11,6,26,0.5,16,22,15,29,0.5,10,22,7,2,0.5,3,1,5,0,0.5,17,14,12,14,-1.0,7,5,18,15,0.5,7,6,6,7,0.5,14,29,19,20,0.5,0,13,12,0,-1.0,7,11,15,22,0.5,11,22,19,13,-1.0,13,29,6,27,0.5,19,6,11,0,0.5,19,25,11,14,-1.0,10,25,19,7,0.5,16,0,13,15,0.5,0,3,1,14
82,10.59375,42,2.5,100,0.5,10,23,6,13,0.5,10,22,16,22,0.5,6,25,10,29,0.5,7,10,2,29,-1.0,14,28,1,5,0.5,7,13,1,21,0.5,7,3,10,14,-1.0,1,0,6,18,-1.0,1,19,19,19,-1.0,0,10,19,5,0.5,6,8,3,1,0.5,8,15,0,22,0.5,14,15,14,14,0.5,11,0,0,25,0.5,6,12,1,15,0.5,6,16,4,0,0.5,16,29,14,29
83,10.421875,42,4.0,100,0.5,8,15,1,26,0.5,16,1,1,25,0.5,1,13,5,1,-1.0,17,28,1,4,0.5,7,7,16,0,0.5,15,14,13,15,0.5,1,10,0,16,0.5,1,3,14,29,0.5,6,9,7,8,0.5,1,8,10,0,0.5,16,22,10,19,-1.0,15,0,6,24,0.5,13,22,17,15,0.5,19,3,6,15,0.5,6,3,2,29,0.5,6,17,0,24,-1.0,14,1,0,29
84,10.625,42,5.5,100,-1.0,1,17,5,29,0.5,7,5,1,24,0.5,7,0,1,12,0.5,6,10,5,0,0.5,6,6,9,1,0.5,3,0,0,29,0.5,1,11,18,28,0.5,13,29,0,13,-1.0,1,22,19,7,0.5,1,25,0,3,0.5,6,17,15,14,0.5,1,10,6,12,0.5,6,5,13,14,0.5,6,28,2,29,0.5,17,0,15,0,0.5,19,9,19,13,0.5,17,1,6,11
85,10.53125,42,-6.5,100,0.5,7,12,15,14,-1.0,17,22,10,0,-1.0,10,29,0,18,0.5,7,5,7,10,-1.0,19,9,17,28,-1.0,18,29,10,18,0.5,10,26,6,21,0.5,16,14,0,24,-1.0,19,4,10,16,-1.0,10,28,7,7,0.5,7,13,19,27,-1.0,6,29,7,1,-1.0,19,29,7,11,-1.0,11,15,13,22,0.5,6,11,7,3,-1.0,6,10,13,28,0.5,0,5,0,3
86,10.546875,42,2.5,100,-1.0,1,15,10,24,-1.0,5,29,14,28,0.5,16,14,11,0,0.5,19,0,4,1,0.5,0,29,0,13,0.5,15,22,6,6,0.5,0,27,1,19,-1.0,14,29,15,15,0.5,1,6,1,14,0.5,19,28,10,1,0.5,6,19,19,18,0.5,19,4,1,8,0.5,12,1,10,26,0.5,0,15,19,15,0.5,1,21,17,14,0.5,2,1,6,20,-1.0,18,1,6,26
87,10.4375,42,4.0,100,0.5,17,28,19,29,0.5,19,11,19,26,0.5,0,0,17,0,0.5,1,21,19,21,-1.0,19,10,6,27,-1.0,1,13,19,20,0.5,16,29,10,14,0.5,1,2,1,27,0.5,2,0,6,26,0.5,14,22,3,0,0.5,15,22,13,14,0.5,19,25,0,1,0.5,1,10,6,6,0.5,12,28,6,24,0.5,0,13,12,22,-1.0,4,29,15,28,0.5,12,14,1,23
88,9.28125,42,25.5,88,1.5,10,25,8,0,1.5,6,11,1,24,1.5,15,22,14,1,1.5,1,18,6,5,1.5,19,28,1,13,1.5,14,15,0,20,1.5,12,15,14,29,1.5,0,8,1,14,1.5,10,16,6,13,1.5,17,28,1,2,1.5,19,3,1,9,1.5,0,0,1,5,1.5,17,29,6,18,1.5,10,18,16,29,1.5,15,28,19,6,1.5,1,17,10,15,1.5,6,14,15,15
89,10.5,42,2.5,100,0.5,6,27,19,28,-1.0,11,28,1,24,0.5,7,7,14,14,0.5,1,0,1,15,0.5,6,20,4,0,0.5,8,14,19,23,0.5,19,26,1,9,0.5,19,12,16,15,0.5,6,22,7,4,0.5,11,15,0,22,-1.0,1,25,1,14,0.5,1,7,1,12,0.5,13,0,7,5,0.5,14,22,0,19,-1.0,6,21,1,26,-1.0,0,16,1,18,0.5,18,28,15,0
90,10.390625,42,4.0,100,0.5,9,1,11,0,0.5,19,17,6,17,-1.0,16,22,6,19,0.5,1,28,6,27,0.5,7,15,19,11,-1.0,10,23,1,7,0.5,3,0,16,0,0.5,19,13,18,1,0.5,0,5,1,18,0.5,2,29,16,1,0.5,6,20,10,26,0.5,1,0,1,6,-1.0,0,27,11,14,0.5,11,1,0,8,0.5,19,8,18,0,0.5,1,21,1,26,0.5,2,0,0,19
91,10.4375,42,-0.5,100,0.5,0,16,0,24,0.5,10,23,17,1,0.5,1,22,14,1,0.5,5,1,8,14,0.5,0,29,14,29,0.5,18,15,0,12,-1.0,0,22,19,26,-1.0,15,29,3,29,0.5,15,14,0,10,-1.0,18,29,19,1,-1.0,0,27,10,28,0.5,10,27,14,28,0.5,9,1,1,12,-1.0,8,1,19,24,0.5,18,1,19,15,-1.0,1,6,6,25,0.5,0,11,6,29
92,5.921875,42,25.5,55,1.5,19,26,12,22,1.5,19,10,1,5,1.5,1,24,1,27,1.5,6,18,0,1,1.5,16,15,6,17,1.5,12,14,6,5,1.5,17,22,14,0,1.5,15,28,6,9,1.5,19,21,19,11,1.5,10,19,7,1,1.5,1,26,6,8,1.5,16,1,17,0,1.5,18,15,19,20,1.5,5,1,8,1,1.5,0,26,4,0,1.5,14,15,11,14,1.5,7,13,1,13
93,9.8125,42,25.5,93,1.5,7,6,7,7,1.5,8,0,19,15,1.5,0,16,19,3,1.5,10,26,6,5,1.5,16,1,17,15,1.5,0,21,1,27,1.5,19,1,1,23,1.5,6,15,0,5,1.5,3,29,4,1,1.5,10,22,15,22,1.5,10,23,19,18,1.5,0,22,10,24,1.5,6,22,1,17,1.5,19,26,15,29,1.5,11,29,19,25,1.5,10,25,7,2,1.5,1,20,5,0
94,10.328125,42,-8.0,100,0.5,19,11,19,17,-1.0,18,29,1,19,-1.0,13,28,0,11,-1.0,0,12,14,28,-1.0,14,29,9,15,-1.0,10,24,1,28,-1.0,7,1,14,15,-1.0,17,29,6,21,0.5,17,1,4,29,-1.0,7,11,8,14,-1.0,0,7,8,15,0.5,6,7,19,3,0.5,7,6,1,21,0.5,6,1,6,10,0.5,1,20,6,23,-1.0,6,18,15,29,-1.0,10,15,9,1
95,10.453125,42,5.5,100,-1.0,1,26,7,0,0.5,14,28,19,23,0.5,1,22,0,14,0.5,13,22,17,28,0.5,19,13,10,18,0.5,6,5,1,16,-1.0,0,24,16,29,0.5,0,23,1,2,0.5,6,13,6,8,0.5,19,20,0,3,0.5,8,15,0,29,0.5,11,1,0,13,0.5,6,29,19,4,0.5,6,21,11,14,0.5,16,15,0,28,0.5,7,7,2,0,0.5,0,6,5,29
96,10.59375,42,5.5,100,0.5,1,8,8,14,0.5,0,27,6,28,0.5,19,7,14,15,-1.0,1,18,6,21,0.5,6,15,8,1,0.5,17,15,15,28,0.5,1,0,19,3,-1.0,0,14,13,28,0.5,1,12,11,14,0.5,6,4,0,8,0.5,0,16,19,15,0.5,0,20,5,1,0.5,4,0,11,0,0.5,12,22,10,18,0.5,19,23,0,6,0.5,19,27,6,22,0.5,19,12,0,19
97,10.578125,42,-0.5,100,0.5,13,15,11,15,0.5,1,26,0,25,0.5,6,7,18,15,-1.0,15,29,1,19,-1.0,16,22,4,1,0.5,0,15,15,15,-1.0,1,29,7,1,0.5,12,29,10,16,0.5,15,0,19,9,0.5,6,24,1,17,0.5,17,29,19,26,-1.0,1,5,11,22,0.5,16,15,5,1,-1.0,1,8,19,2,-1.0,7,0,19,19,0.5,6,3,4,0,0.5,7,5,0,17
98,10.421875,42,4.0,100,0.5,10,0,0,11,0.5,12,15,1,24,0.5,3,29,6,21,0.5,1,0,6,28,0.5,10,14,18,0,-1.0,10,25,19,29,-1.0,6,2,17,22,0.5,0,16,9,14,0.5,10,27,15,22,0.5,1,5,1,20,0.5,12,28,7,4,0.5,13,0,14,28,0.5,19,12,6,3,-1.0,10,28,6,27,0.5,6,5,7,0,0.5,15,0,0,8,0.5,6,29,0,19
99,10.53125,42,3.0,100,0.5,19,21,6,21,-0.5,11,15,7,1,0.5,7,6,8,0,0.5,19,13,7,11,0.5,10,23,10,20,0.5,0,18,7,15,0.5,7,10,10,1,0.5,14,15,6,25,0.5,8,15,19,22,-1.0,10,27,19,12,-1.0,19,29,1,11,-1.0,19,20,7,5,0.5,14,0,6,4,0.5,9,1,12,14,0.5,15,14,0,16,0.5,0,27,1,19,0.5,7,12,7,8
100,10.609375,42,-0.5,100,-1.0,0,21,19,22,0.5,1,19,15,1,-1.0,10,20,1,8,0.5,9,1,11,14,-1.0,10,16,1,22,0.5,6,26,1,14,0.5,14,14,5,1,0.5,1,5,19,8,0.5,0,7,4,0,0.5,6,11,6,2,-1.0,19,24,1,27,0.5,13,22,6,22,0.5,15,22,6,18,-1.0,0,0,6,19,0.5,1,2,19,16,-1.0,0,24,19,17,0.5,11,15,10,29
