episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.046875,42,,,,0,20,13,1,,,15,28,1,16,,,11,28,0,21,,,6,28,8,14,,,6,27,19,24,,,18,15,14,15,,,0.0,19.0,15.0,14.0,,,,,,
1,0.203125,42,49.0,26.0,25.0,16,1,1,11,15.0,14.0,7,15,19,13,44.0,43.0,0,29,15,29,23.0,22.0,17,29,11,15,49.0,48.0,7,1,6,20,13.0,12.0,7,12,17,14,,,,,,,25.0,24.0,13.0,29.0,6.0,12.0
2,60.046875,42,,,,9,14,0,14,,,6,29,18,15,,,7,1,17,15,,,1,22,3,0,,,0,21,11,0,,,10,0,1,7,,,19.0,4.0,15.0,1.0,,,,,,
3,0.671875,42,43.0,15.0,14.0,6,9,15,14,3.0,2.0,0,15,1,14,26.0,25.0,19,23,6,11,5.0,4.0,7,0,7,4,27.0,26.0,19,5,7,11,43.0,42.0,12,22,0,10,,,,,,,28.0,27.0,13.0,14.0,15.0,29.0
4,0.015625,42,47.0,11.0,10.0,1,5,6,2,26.0,25.0,14,28,19,8,23.0,22.0,12,28,6,12,47.0,46.0,19,12,0,17,8.0,7.0,6,11,7,5,11.0,10.0,19,22,16,15,,,,,,,11.0,10.0,9.0,15.0,6.0,22.0
5,60.0625,42,,,,1,13,10,15,,,7,4,12,14,,,0,29,19,16,,,12,29,6,28,,,7,6,1,6,,,6,3,17,22,,,1.0,21.0,11.0,0.0,,,,,,
6,60.09375,42,,,,13,14,17,29,,,0,22,6,16,,,5,29,19,6,,,15,15,4,0,,,17,22,1,24,,,6,27,12,28,,,16.0,28.0,11.0,1.0,,,,,,
7,60.015625,42,,,,1,2,15,29,,,17,22,12,1,,,1,15,7,5,,,16,28,13,15,,,0,1,3,0,,,16,15,10,1,,,16.0,1.0,7.0,3.0,,,,,,
8,60.046875,42,,,,7,13,12,14,,,10,16,11,28,,,0,8,7,5,,,1,2,18,14,,,1,26,10,15,,,0,26,0,18,,,6.0,28.0,15.0,15.0,,,,,,
9,60.09375,42,,,,10,17,5,0,,,11,1,10,24,,,10,15,0,7,,,10,0,6,7,,,0,20,6,28,,,10,14,19,26,,,16.0,15.0,1.0,19.0,,,,,,
10,0.0625,42,41.0,24.0,23.0,6,21,3,1,18.0,17.0,19,28,19,11,28.0,27.0,18,14,4,1,41.0,40.0,0,7,6,27,35.0,34.0,1,23,12,0,34.0,33.0,17,14,0,28,,,,,,,17.0,16.0,3.0,0.0,0.0,13.0
11,0.015625,42,39.0,14.0,13.0,7,13,6,1,24.0,23.0,16,0,1,8,39.0,38.0,19,29,6,4,17.0,16.0,12,1,0,5,20.0,19.0,6,21,0,24,22.0,21.0,6,23,0,20,,,,,,,9.0,8.0,10.0,1.0,17.0,0.0
12,60.015625,42,,,,15,22,7,12,,,14,0,19,15,,,13,1,1,4,,,7,3,7,11,,,13,29,7,0,,,1,6,1,8,,,19.0,7.0,6.0,15.0,,,,,,
13,0.03125,42,42.0,8.0,7.0,5,0,6,6,42.0,41.0,12,28,0,27,11.0,10.0,11,0,6,5,26.0,25.0,10,25,19,21,2.0,1.0,6,10,6,11,12.0,11.0,19,20,19,9,,,,,,,6.0,5.0,1.0,24.0,0.0,20.0
14,60.03125,42,,,,7,11,1,29,,,13,14,13,29,,,7,2,16,1,,,2,0,7,0,,,15,15,14,15,,,19,22,2,29,,,15.0,29.0,0.0,18.0,,,,,,
15,60.046875,42,,,,0,22,14,0,,,7,0,5,1,,,19,7,16,29,,,0,29,10,18,,,7,2,9,15,,,13,15,1,10,,,1.0,16.0,7.0,4.0,,,,,,
16,60.046875,42,,,,18,15,5,1,,,0,4,10,29,,,15,1,1,2,,,7,10,10,19,,,13,29,0,21,,,12,0,11,22,,,6.0,26.0,0.0,19.0,,,,,,
17,60.046875,42,,,,15,1,6,3,,,6,23,12,0,,,16,1,1,3,,,0,9,12,22,,,1,11,0,23,,,7,11,1,10,,,1.0,13.0,10.0,20.0,,,,,,
18,60.03125,42,,,,16,14,6,7,,,1,9,10,26,,,4,29,10,21,,,19,12,4,1,,,19,27,0,5,,,10,19,1,4,,,7.0,0.0,19.0,20.0,,,,,,
19,60.046875,42,,,,6,23,7,9,,,7,8,12,14,,,7,4,7,10,,,16,0,6,29,,,0,14,19,15,,,0,18,1,6,,,3.0,0.0,10.0,16.0,,,,,,
20,60.125,42,,,,9,14,18,1,,,7,6,6,28,,,16,28,3,29,,,2,1,0,4,,,19,19,6,11,,,6,3,17,15,,,8.0,1.0,0.0,2.0,,,,,,
21,60.046875,42,,,,19,6,12,1,,,9,14,12,14,,,1,2,0,27,,,5,0,3,1,,,10,0,1,25,,,6,0,12,0,,,0.0,24.0,14.0,14.0,,,,,,
22,0.0625,42,41.0,40.0,39.0,19,15,1,22,41.0,40.0,15,22,1,24,14.0,13.0,6,1,0,8,24.0,23.0,0,24,1,2,32.0,31.0,10,26,10,1,16.0,15.0,19,10,9,15,,,,,,,29.0,28.0,14.0,1.0,19.0,24.0
23,0.046875,42,36.0,33.0,32.0,5,1,19,19,36.0,35.0,17,22,11,1,7.0,6.0,7,3,4,0,8.0,7.0,16,29,10,28,19.0,18.0,19,21,7,15,22.0,21.0,6,0,19,8,,,,,,,32.0,31.0,6.0,12.0,1.0,16.0
24,0.15625,42,52.0,39.0,38.0,19,28,6,27,8.0,7.0,19,15,19,22,8.0,7.0,1,11,1,4,29.0,28.0,1,7,19,5,30.0,29.0,9,0,0,20,52.0,51.0,0,10,14,29,,,,,,,5.0,4.0,1.0,28.0,4.0,29.0
