episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
25,60.046875,42,,,,18,0,6,0,,,19,4,0,5,,,1,21,15,22,,,19,5,6,4,,,0,26,12,0,,,8,0,6,21,,,7.0,5.0,6.0,13.0,,,,,,
26,60.09375,42,,,,19,3,19,15,,,0,21,19,18,,,14,15,1,25,,,14,29,0,7,,,6,15,0,28,,,2,0,0,15,,,0.0,1.0,17.0,22.0,,,,,,
27,60.046875,42,,,,19,5,19,1,,,1,5,0,10,,,14,29,1,14,,,1,11,3,1,,,6,12,5,29,,,10,23,19,29,,,13.0,29.0,15.0,29.0,,,,,,
28,0.03125,42,48.0,48.0,47.0,19,23,1,22,17.0,16.0,7,12,3,0,33.0,32.0,6,27,1,0,4.0,3.0,1,2,0,4,20.0,19.0,19,14,12,22,45.0,44.0,0,3,19,22,,,,,,,14.0,13.0,6.0,1.0,1.0,9.0
29,60.03125,42,,,,0,27,6,23,,,4,1,1,15,,,7,13,18,28,,,19,13,16,28,,,13,0,0,5,,,15,15,13,28,,,10.0,19.0,0.0,19.0,,,,,,
30,60.03125,42,,,,14,22,0,18,,,17,15,6,19,,,1,0,19,23,,,6,27,4,29,,,0,28,7,9,,,10,15,7,14,,,19.0,13.0,12.0,0.0,,,,,,
31,0.015625,42,34.0,21.0,20.0,19,19,10,22,3.0,2.0,8,1,10,1,29.0,28.0,3,29,1,3,28.0,27.0,19,20,11,1,34.0,33.0,19,12,17,29,30.0,29.0,7,12,0,24,,,,,,,30.0,29.0,5.0,29.0,0.0,5.0
32,0.140625,42,44.0,10.0,9.0,1,2,1,11,21.0,20.0,14,29,19,14,24.0,23.0,6,23,14,22,44.0,43.0,0,1,16,28,32.0,31.0,19,22,6,26,20.0,19.0,1,8,7,5,,,,,,,33.0,32.0,14.0,0.0,10.0,22.0
33,60.09375,42,,,,11,1,17,15,,,16,0,1,27,,,18,0,16,15,,,0,4,7,4,,,12,0,1,23,,,0,24,6,4,,,3.0,29.0,8.0,15.0,,,,,,
34,0.859375,42,42.0,16.0,15.0,10,24,6,13,2.0,1.0,19,14,19,13,41.0,40.0,18,29,6,25,42.0,41.0,15,0,0,26,36.0,35.0,4,0,11,28,29.0,28.0,6,22,19,21,,,,,,,32.0,31.0,15.0,15.0,0.0,27.0
35,0.015625,42,43.0,40.0,39.0,2,29,14,28,41.0,40.0,7,1,17,29,27.0,26.0,8,15,17,0,41.0,40.0,1,26,19,20,26.0,25.0,2,1,0,24,43.0,42.0,1,24,19,2,,,,,,,3.0,2.0,18.0,29.0,19.0,28.0
36,60.109375,42,,,,0,15,6,0,,,7,6,5,29,,,10,22,19,12,,,6,9,1,2,,,1,3,19,10,,,1,14,19,11,,,17.0,14.0,10.0,23.0,,,,,,
37,60.046875,42,,,,1,7,0,4,,,1,5,13,22,,,3,29,0,12,,,10,18,1,14,,,7,2,1,9,,,0,26,17,22,,,9.0,1.0,6.0,26.0,,,,,,
38,60.046875,42,,,,10,21,19,26,,,8,0,7,13,,,12,22,14,15,,,16,22,19,1,,,6,18,16,14,,,17,15,18,1,,,6.0,0.0,9.0,0.0,,,,,,
39,0.203125,42,46.0,10.0,9.0,7,10,10,16,46.0,45.0,1,11,19,18,33.0,32.0,19,4,6,23,26.0,25.0,1,24,3,1,13.0,12.0,1,22,0,11,28.0,27.0,1,27,0,1,,,,,,,34.0,33.0,0.0,9.0,11.0,15.0
40,1.40625,42,65.0,44.0,43.0,19,13,0,11,22.0,21.0,8,1,6,20,8.0,7.0,19,5,19,12,65.0,64.0,0,23,12,29,2.0,1.0,0,21,0,22,21.0,20.0,17,22,17,28,,,,,,,28.0,27.0,6.0,13.0,0.0,24.0
41,60.015625,42,,,,18,0,15,29,,,16,22,10,29,,,19,7,11,15,,,1,24,10,27,,,19,25,14,22,,,6,1,1,0,,,10.0,18.0,17.0,15.0,,,,,,
42,0.078125,42,37.0,16.0,15.0,6,1,6,16,36.0,35.0,7,15,12,29,17.0,16.0,19,22,11,14,34.0,33.0,18,15,1,27,37.0,36.0,17,22,2,1,22.0,21.0,7,3,0,13,,,,,,,8.0,7.0,9.0,0.0,16.0,0.0
43,60.046875,42,,,,1,2,6,5,,,6,27,6,12,,,7,7,7,13,,,1,7,6,11,,,6,23,14,15,,,10,24,6,2,,,1.0,23.0,6.0,14.0,,,,,,
44,0.015625,42,38.0,24.0,23.0,12,29,18,14,34.0,33.0,1,23,7,8,33.0,32.0,4,1,15,22,22.0,21.0,16,14,6,3,28.0,27.0,19,18,7,3,22.0,21.0,12,14,9,0,,,,,,,38.0,37.0,1.0,11.0,19.0,10.0
45,60.046875,42,,,,19,20,8,15,,,18,1,15,15,,,7,10,11,0,,,11,28,0,16,,,1,16,3,29,,,16,28,1,10,,,10.0,0.0,14.0,15.0,,,,,,
46,0.046875,42,52.0,52.0,51.0,1,16,19,19,5.0,4.0,10,22,10,26,3.0,2.0,13,1,11,1,32.0,31.0,7,13,0,21,9.0,8.0,18,28,10,28,16.0,15.0,19,11,14,1,,,,,,,10.0,9.0,0.0,8.0,1.0,0.0
47,60.03125,42,,,,10,19,1,8,,,0,19,16,22,,,8,1,6,21,,,19,15,10,21,,,14,0,6,29,,,1,1,16,0,,,19.0,20.0,19.0,29.0,,,,,,
48,60.03125,42,,,,16,15,0,11,,,19,14,0,21,,,19,17,8,1,,,0,20,10,27,,,1,28,1,8,,,14,0,1,9,,,10.0,21.0,0.0,29.0,,,,,,
49,0.015625,42,32.0,29.0,28.0,0,1,15,14,16.0,15.0,10,17,19,11,28.0,27.0,7,6,16,22,6.0,5.0,7,4,8,0,18.0,17.0,12,22,7,10,32.0,31.0,8,1,1,23,,,,,,,25.0,24.0,10.0,15.0,14.0,1.0
50,0.1875,42,41.0,21.0,20.0,1,1,0,20,20.0,19.0,19,14,7,9,39.0,38.0,18,0,11,29,41.0,40.0,0,27,14,1,34.0,33.0,16,0,6,23,40.0,39.0,0,26,19,12,,,,,,,34.0,33.0,10.0,23.0,14.0,0.0
51,0.015625,42,42.0,42.0,41.0,1,17,15,14,23.0,22.0,12,14,11,1,26.0,25.0,14,14,2,1,22.0,21.0,6,4,16,15,20.0,19.0,14,22,6,11,21.0,20.0,19,6,8,15,,,,,,,34.0,33.0,15.0,28.0,17.0,1.0
52,60.046875,42,,,,6,0,10,1,,,5,29,6,28,,,1,6,14,15,,,19,21,6,15,,,1,3,0,29,,,0,19,14,14,,,19.0,15.0,1.0,10.0,,,,,,
53,2.109375,42,44.0,18.0,17.0,19,18,6,14,26.0,25.0,19,15,11,28,30.0,29.0,6,10,19,26,44.0,43.0,15,29,0,1,7.0,6.0,10,26,13,29,19.0,18.0,7,7,18,0,,,,,,,12.0,11.0,10.0,0.0,1.0,2.0
54,0.0625,42,56.0,20.0,19.0,6,25,7,7,56.0,55.0,0,27,10,20,25.0,24.0,2,29,0,7,37.0,36.0,18,1,12,29,23.0,22.0,19,2,9,14,13.0,12.0,11,1,0,2,,,,,,,38.0,37.0,19.0,18.0,0.0,28.0
55,60.125,42,,,,0,21,7,3,,,7,2,6,0,,,14,0,6,29,,,17,15,0,2,,,6,26,5,0,,,4,1,8,0,,,19.0,22.0,19.0,11.0,,,,,,
56,60.046875,42,,,,14,22,19,2,,,15,29,12,28,,,9,14,3,29,,,0,25,17,28,,,6,17,0,9,,,19,29,0,24,,,0.0,10.0,12.0,1.0,,,,,,
57,60.109375,42,,,,19,29,12,22,,,0,5,19,6,,,12,1,18,28,,,1,1,0,6,,,11,22,1,26,,,10,28,1,25,,,0.0,20.0,7.0,1.0,,,,,,
58,0.03125,42,50.0,25.0,24.0,18,14,11,29,50.0,49.0,15,28,0,8,45.0,44.0,16,29,0,1,11.0,10.0,1,15,1,5,9.0,8.0,0,3,0,11,11.0,10.0,19,9,17,1,,,,,,,6.0,5.0,1.0,2.0,4.0,0.0
59,60.046875,42,,,,10,24,1,26,,,19,25,0,13,,,16,22,12,14,,,19,21,19,22,,,1,24,19,13,,,3,29,0,27,,,18.0,1.0,15.0,22.0,,,,,,
60,60.03125,42,,,,18,0,1,16,,,13,1,0,26,,,17,1,0,28,,,17,28,7,13,,,7,0,9,1,,,0,9,14,28,,,7.0,2.0,9.0,15.0,,,,,,
61,0.015625,42,37.0,7.0,6.0,0,19,1,14,21.0,20.0,18,1,0,3,35.0,34.0,7,0,2,29,19.0,18.0,1,5,0,22,37.0,36.0,17,0,13,22,23.0,22.0,14,15,8,1,,,,,,,24.0,23.0,11.0,0.0,0.0,12.0
62,0.09375,42,51.0,51.0,50.0,14,29,0,9,44.0,43.0,10,26,1,20,24.0,23.0,7,14,19,3,21.0,20.0,0,12,7,3,50.0,49.0,0,16,13,22,24.0,23.0,10,27,6,22,,,,,,,44.0,43.0,19.0,25.0,0.0,1.0
63,0.078125,42,40.0,11.0,10.0,6,12,7,3,33.0,32.0,0,21,9,14,40.0,39.0,15,22,16,0,17.0,16.0,1,12,1,28,19.0,18.0,6,14,11,1,26.0,25.0,19,25,19,0,,,,,,,38.0,37.0,1.0,9.0,10.0,21.0
64,60.078125,42,,,,10,17,6,23,,,7,0,10,18,,,1,3,13,14,,,1,26,1,28,,,19,17,11,22,,,9,1,6,29,,,5.0,0.0,19.0,16.0,,,,,,
65,0.09375,42,36.0,28.0,27.0,1,3,0,29,36.0,35.0,7,3,0,27,22.0,21.0,7,14,19,23,13.0,12.0,13,0,1,0,22.0,21.0,6,20,19,18,27.0,26.0,19,10,3,0,,,,,,,17.0,16.0,1.0,6.0,7.0,6.0
66,0.59375,42,38.0,38.0,37.0,5,0,19,23,29.0,28.0,10,26,6,22,34.0,33.0,6,25,1,5,32.0,31.0,16,0,6,21,12.0,11.0,10,25,17,29,26.0,25.0,6,19,1,19,,,,,,,32.0,31.0,0.0,21.0,11.0,1.0
67,60.09375,42,,,,19,18,6,23,,,10,20,7,7,,,10,23,7,6,,,6,0,1,3,,,19,11,1,21,,,0,8,0,21,,,4.0,29.0,10.0,17.0,,,,,,
68,60.015625,42,,,,6,8,11,28,,,10,15,10,27,,,10,21,6,0,,,13,14,1,26,,,9,15,16,1,,,11,22,6,6,,,10.0,20.0,1.0,15.0,,,,,,
69,60.046875,42,,,,6,26,16,29,,,8,15,14,15,,,10,29,10,1,,,8,14,19,3,,,6,10,0,29,,,19,21,19,11,,,7.0,15.0,18.0,1.0,,,,,,
70,0.09375,42,46.0,22.0,21.0,14,14,17,28,17.0,16.0,8,1,6,15,16.0,15.0,2,1,7,11,46.0,45.0,16,22,0,9,2.0,1.0,1,26,0,26,19.0,18.0,6,0,0,12,,,,,,,15.0,14.0,7.0,13.0,8.0,0.0
71,60.0625,42,,,,0,16,10,15,,,18,29,6,4,,,17,29,7,9,,,17,14,1,9,,,0,12,14,14,,,0,17,5,29,,,3.0,1.0,0.0,15.0,,,,,,
72,60.046875,42,,,,14,28,6,23,,,19,7,6,13,,,0,3,13,22,,,6,27,1,5,,,17,15,1,24,,,13,15,10,23,,,18.0,15.0,12.0,14.0,,,,,,
73,0.0625,42,35.0,17.0,16.0,7,14,15,22,17.0,16.0,6,11,6,25,20.0,19.0,7,12,5,29,17.0,16.0,19,20,12,29,17.0,16.0,0,17,1,2,26.0,25.0,19,28,13,15,,,,,,,35.0,34.0,0.0,27.0,7.0,0.0
74,60.015625,42,,,,15,0,1,17,,,6,16,15,1,,,19,12,8,14,,,11,14,7,4,,,6,4,1,7,,,0,2,13,22,,,12.0,15.0,6.0,23.0,,,,,,
75,0.453125,42,48.0,28.0,27.0,19,11,11,28,48.0,47.0,19,27,1,2,20.0,19.0,19,20,7,13,5.0,4.0,10,1,7,0,33.0,32.0,1,15,18,0,28.0,27.0,17,29,6,17,,,,,,,20.0,19.0,17.0,28.0,16.0,22.0
76,60.03125,42,,,,6,3,7,5,,,0,18,19,11,,,17,28,1,4,,,15,0,5,1,,,0,9,1,11,,,6,27,1,25,,,7.0,7.0,19.0,8.0,,,,,,
77,60.03125,42,,,,19,16,19,28,,,0,10,10,20,,,11,0,14,0,,,1,23,0,3,,,1,14,0,19,,,4,0,2,1,,,7.0,10.0,1.0,25.0,,,,,,
78,0.1875,42,42.0,19.0,18.0,18,0,16,14,4.0,3.0,18,14,15,14,14.0,13.0,11,14,10,26,23.0,22.0,10,1,0,13,42.0,38.0,11,22,14,1,11.0,10.0,6,21,6,11,,,,,,,25.0,24.0,17.0,29.0,12.0,14.0
79,60.078125,42,,,,14,28,7,8,,,9,1,8,15,,,19,2,15,22,,,6,5,12,29,,,19,14,18,14,,,18,0,6,12,,,6.0,3.0,7.0,13.0,,,,,,
80,0.015625,42,42.0,20.0,19.0,19,9,10,19,15.0,14.0,5,0,7,12,8.0,7.0,10,20,8,15,36.0,35.0,0,27,8,0,42.0,41.0,18,1,0,24,25.0,24.0,6,15,0,5,,,,,,,22.0,21.0,6.0,26.0,6.0,5.0
81,0.671875,42,43.0,43.0,42.0,19,29,6,0,41.0,40.0,19,11,1,13,40.0,39.0,11,0,1,29,27.0,26.0,6,17,0,5,43.0,42.0,1,10,10,25,34.0,33.0,0,1,19,13,,,,,,,15.0,14.0,6.0,19.0,6.0,5.0
82,60.03125,42,,,,13,0,0,1,,,7,0,6,23,,,6,24,3,0,,,5,1,1,8,,,1,2,13,14,,,10,23,8,14,,,10.0,15.0,11.0,1.0,,,,,,
83,0.015625,42,34.0,34.0,33.0,19,25,11,28,32.0,30.0,16,22,19,7,17.0,16.0,10,28,7,15,8.0,7.0,19,2,14,0,27.0,26.0,7,7,3,29,6.0,5.0,19,26,19,21,,,,,,,23.0,22.0,13.0,28.0,15.0,14.0
84,0.140625,42,43.0,36.0,35.0,16,0,16,29,43.0,42.0,7,3,6,28,17.0,16.0,18,29,11,22,27.0,26.0,0,16,10,0,43.0,42.0,0,26,19,21,35.0,34.0,7,14,11,28,,,,,,,19.0,18.0,10.0,28.0,14.0,14.0
85,0.09375,42,37.0,12.0,11.0,19,23,14,29,35.0,34.0,0,24,11,1,37.0,36.0,19,26,6,7,6.0,5.0,1,5,0,1,33.0,32.0,4,0,0,28,29.0,28.0,17,14,4,29,,,,,,,17.0,16.0,6.0,23.0,14.0,15.0
86,60.109375,42,,,,0,9,18,15,,,7,14,7,4,,,15,29,6,2,,,19,21,19,24,,,7,10,1,25,,,19,1,6,22,,,19.0,26.0,0.0,16.0,,,,,,
87,0.09375,42,49.0,21.0,20.0,11,22,19,12,17.0,16.0,0,19,6,29,41.0,40.0,1,20,17,14,33.0,32.0,10,1,1,24,17.0,16.0,9,1,0,8,49.0,48.0,16,22,0,12,,,,,,,29.0,28.0,16.0,14.0,2.0,0.0
88,60.03125,42,,,,6,13,15,14,,,19,19,13,28,,,0,11,11,29,,,6,12,15,28,,,0,25,0,1,,,19,14,18,29,,,12.0,15.0,14.0,22.0,,,,,,
89,60.046875,42,,,,14,22,0,23,,,6,18,10,28,,,16,22,18,15,,,6,15,6,29,,,0,11,0,1,,,19,8,19,18,,,1.0,23.0,7.0,15.0,,,,,,
90,0.015625,42,38.0,6.0,5.0,12,22,10,25,6.0,5.0,8,15,12,14,24.0,23.0,0,6,1,28,38.0,37.0,15,1,1,24,5.0,4.0,6,19,6,23,6.0,5.0,13,14,18,14,,,,,,,24.0,23.0,2.0,0.0,19.0,6.0
91,60.046875,42,,,,8,14,10,21,,,6,7,7,0,,,15,29,6,18,,,18,14,0,26,,,19,7,2,29,,,4,29,9,15,,,13.0,22.0,19.0,4.0,,,,,,
92,0.0,42,29.0,27.0,26.0,1,12,6,25,15.0,14.0,12,22,16,28,29.0,28.0,0,19,9,0,22.0,21.0,12,15,19,29,14.0,13.0,6,6,11,14,4.0,3.0,7,1,4,1,,,,,,,6.0,5.0,18.0,29.0,13.0,29.0
93,0.296875,42,41.0,20.0,19.0,6,21,18,14,23.0,22.0,9,0,13,14,28.0,27.0,1,1,14,15,34.0,33.0,0,27,10,22,41.0,40.0,10,17,0,13,33.0,32.0,1,12,6,17,,,,,,,6.0,5.0,15.0,28.0,19.0,29.0
94,60.015625,42,,,,7,11,0,18,,,19,10,0,15,,,1,20,6,8,,,6,6,1,16,,,1,0,10,1,,,0,23,0,4,,,6.0,11.0,5.0,0.0,,,,,,
95,60.0625,42,,,,7,1,19,4,,,19,21,19,20,,,11,1,15,0,,,19,2,7,13,,,6,6,9,1,,,7,0,19,25,,,6.0,24.0,3.0,29.0,,,,,,
96,60.046875,42,,,,6,7,19,9,,,19,6,5,1,,,6,16,8,15,,,1,23,19,26,,,10,14,14,22,,,6,2,1,19,,,19.0,5.0,10.0,21.0,,,,,,
97,60.046875,42,,,,10,27,1,10,,,11,28,1,5,,,0,5,6,7,,,4,29,19,1,,,18,14,0,0,,,1,25,3,1,,,6.0,1.0,0.0,13.0,,,,,,
98,0.09375,42,39.0,39.0,38.0,1,27,7,7,8.0,7.0,16,14,19,18,19.0,18.0,10,19,19,28,33.0,32.0,16,0,10,20,24.0,23.0,11,1,12,15,8.0,7.0,6,28,1,28,,,,,,,23.0,22.0,10.0,14.0,18.0,28.0
99,0.015625,42,48.0,3.0,2.0,12,14,10,14,20.0,19.0,19,7,6,1,25.0,24.0,2,1,0,23,35.0,34.0,16,1,6,25,28.0,27.0,7,5,11,28,48.0,47.0,1,12,19,19,,,,,,,26.0,25.0,17.0,0.0,1.0,9.0
100,0.234375,42,30.0,28.0,27.0,7,15,0,23,30.0,29.0,19,15,4,1,29.0,28.0,6,27,0,9,12.0,11.0,1,1,0,11,20.0,19.0,0,8,1,26,17.0,16.0,19,20,10,17,,,,,,,17.0,16.0,15.0,29.0,14.0,22.0
