episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.015625,42,,,,0,10,7,1,,,7,19,7,18,,,6,11,6,19,,,3,18,8,1,,,9,3,5,1,,,0,9,0,14,,,6,16,9,1,,,1,10,4,0,,,5,10,5,0,,,9.0,17.0,3.0,11.0,,,,,,
1,60.0625,42,,,,1,1,0,10,,,9,11,6,0,,,8,0,9,6,,,6,10,0,7,,,3,14,9,3,,,8,19,9,0,,,5,19,3,0,,,3,19,6,9,,,4,0,0,19,,,2.0,0.0,7.0,10.0,,,,,,
2,60.03125,42,,,,6,17,3,10,,,3,9,4,9,,,0,7,4,19,,,9,16,0,5,,,3,19,5,19,,,9,7,0,17,,,6,14,7,9,,,8,0,6,15,,,7,18,9,11,,,1.0,9.0,3.0,15.0,,,,,,
3,60.015625,42,,,,3,5,4,10,,,9,9,3,6,,,3,10,2,0,,,0,8,6,1,,,4,9,6,13,,,8,9,9,13,,,1,1,3,18,,,4,1,0,18,,,0,15,9,0,,,6.0,15.0,6.0,9.0,,,,,,
4,0.109375,42,26.0,13.0,12.0,0,11,2,1,15.0,14.0,3,4,6,15,16.0,15.0,7,19,6,9,26.0,25.0,9,0,0,16,11.0,10.0,3,18,1,10,19.0,18.0,8,10,0,0,10.0,9.0,9,1,8,9,17.0,16.0,3,12,8,1,16.0,15.0,9,8,8,0,,,,,,,20.0,19.0,6.0,17.0,3.0,1.0
5,60.03125,42,,,,6,13,0,16,,,4,9,2,9,,,6,17,0,13,,,3,0,3,18,,,8,0,6,11,,,6,0,9,3,,,4,1,0,9,,,5,0,7,18,,,6,1,6,2,,,0.0,4.0,6.0,9.0,,,,,,
6,60.03125,42,,,,6,1,1,18,,,6,0,3,0,,,0,10,3,15,,,8,9,9,19,,,3,3,9,2,,,6,5,0,4,,,0,3,2,1,,,3,8,8,19,,,3,18,0,6,,,9.0,17.0,9.0,3.0,,,,,,
7,60.03125,42,,,,3,0,6,13,,,9,10,3,15,,,3,2,3,16,,,3,18,8,18,,,6,12,3,5,,,0,14,0,19,,,6,0,3,6,,,5,0,0,2,,,8,0,0,12,,,9.0,19.0,0.0,10.0,,,,,,
8,60.078125,42,,,,7,19,3,19,,,6,19,0,19,,,6,16,3,12,,,4,1,2,1,,,0,18,3,2,,,9,8,6,15,,,5,0,6,9,,,9,12,6,6,,,0,17,3,9,,,4.0,19.0,9.0,15.0,,,,,,
9,0.125,42,22.0,16.0,15.0,3,7,9,16,22.0,21.0,0,13,8,0,8.0,7.0,9,15,6,19,15.0,14.0,3,10,8,1,15.0,14.0,9,9,4,0,22.0,21.0,4,19,7,1,7.0,6.0,6,17,2,19,13.0,12.0,4,1,0,9,10.0,9.0,2,18,0,11,,,,,,,16.0,15.0,0.0,10.0,7.0,18.0
