episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
40,0.96875,42,7.5,33,1.5,6,27,1,22,1.5,19,14,1,0,1.5,1,2,3,0,1.5,0,3,0,4,1.5,7,12,1,9
41,1.0625,42,7.5,36,1.5,19,22,13,0,1.5,4,1,10,19,1.5,0,27,15,15,1.5,7,13,6,23,1.5,12,22,19,13
42,0.9375,42,7.5,32,1.5,18,28,14,22,1.5,0,5,1,0,1.5,16,28,17,15,1.5,13,28,6,27,1.5,1,15,0,19
43,1.734375,42,7.5,56,1.5,10,15,4,29,1.5,0,18,7,9,1.5,19,13,1,0,1.5,6,19,7,14,1.5,0,28,19,23
44,1.046875,42,7.5,38,1.5,5,29,19,12,1.5,8,1,0,5,1.5,19,19,7,12,1.5,3,29,10,22,1.5,12,0,19,20
45,1.59375,42,7.5,57,1.5,1,3,1,2,1.5,17,29,6,23,1.5,11,1,14,29,1.5,0,24,0,1,1.5,10,1,14,0
46,1.53125,42,7.5,55,1.5,1,8,16,28,1.5,1,11,7,5,1.5,10,22,6,26,1.5,19,14,11,1,1.5,19,22,14,22
47,1.53125,42,7.5,55,1.5,18,0,17,15,1.5,12,0,16,15,1.5,0,4,1,27,1.5,0,24,7,4,1.5,16,0,3,29
48,1.3125,42,7.5,46,1.5,6,4,18,29,1.5,15,15,4,0,1.5,8,15,15,0,1.5,10,24,6,22,1.5,1,23,19,14
49,2.359375,42,7.5,89,1.5,6,13,19,21,1.5,6,25,2,29,1.5,19,13,18,29,1.5,0,26,7,1,1.5,0,27,11,28
50,2.75,42,0.0,100,-1.0,1,26,17,29,-0.5,1,24,19,20,0.5,2,1,17,0,0.5,19,28,0,24,0.5,8,15,14,28
51,2.140625,42,7.5,72,1.5,0,15,1,14,1.5,10,22,6,0,1.5,7,6,17,14,1.5,6,9,5,29,1.5,19,2,1,3
52,1.734375,42,7.5,64,1.5,1,2,1,5,1.5,19,11,10,18,1.5,19,10,3,29,1.5,10,23,7,2,1.5,19,12,1,7
53,2.734375,42,-1.0,100,0.5,9,1,1,9,0.5,13,22,6,26,-1.0,0,4,17,22,-0.5,0,12,10,21,-0.5,0,26,1,14
54,0.5,42,7.5,20,1.5,12,22,19,26,1.5,6,18,14,15,1.5,16,22,7,13,1.5,17,15,19,1,1.5,8,0,6,0
55,1.1875,42,7.5,40,1.5,18,1,19,4,1.5,0,9,1,22,1.5,9,0,1,24,1.5,7,10,1,27,1.5,16,14,1,11
56,1.28125,42,7.5,40,1.5,10,16,0,1,1.5,6,23,19,13,1.5,19,18,6,13,1.5,3,1,8,1,1.5,11,15,0,11
57,1.578125,42,7.5,53,1.5,0,23,6,20,1.5,17,22,12,29,1.5,0,21,19,12,1.5,0,24,0,22,1.5,19,5,0,11
58,2.984375,42,0.0,100,-0.5,18,0,6,1,-1.0,19,7,15,29,0.5,16,22,10,18,0.5,1,24,10,29,0.5,17,28,19,25
59,1.484375,42,7.5,50,1.5,10,27,9,0,1.5,14,22,7,15,1.5,15,29,6,1,1.5,1,0,19,22,1.5,11,15,17,15
60,1.140625,42,7.5,40,1.5,17,22,11,14,1.5,16,0,2,1,1.5,7,3,1,27,1.5,6,16,0,13,1.5,18,15,12,29
61,1.671875,42,7.5,59,1.5,6,27,1,23,1.5,1,7,6,12,1.5,7,7,6,5,1.5,6,23,7,13,1.5,1,2,10,24
62,0.828125,42,7.5,28,1.5,14,15,12,29,1.5,6,27,4,1,1.5,6,2,1,23,1.5,6,14,16,14,1.5,6,11,1,11
63,1.40625,42,7.5,47,1.5,12,14,6,3,1.5,18,14,9,0,1.5,19,10,7,3,1.5,7,8,19,20,1.5,19,18,15,22
64,1.78125,42,7.5,60,1.5,7,10,8,15,1.5,1,16,11,0,1.5,11,28,15,15,1.5,16,28,0,16,1.5,18,1,10,0
65,1.8125,42,7.5,64,1.5,1,10,13,1,1.5,0,8,18,28,1.5,14,15,7,13,1.5,1,16,19,11,1.5,3,29,10,22
66,1.515625,42,7.5,68,1.5,19,19,14,1,1.5,11,1,0,19,1.5,10,26,10,19,1.5,0,21,8,1,1.5,1,0,10,28
67,0.78125,42,7.5,36,1.5,14,0,6,21,1.5,19,20,6,29,1.5,1,1,10,21,1.5,1,8,16,0,1.5,19,15,16,22
68,1.125,42,7.5,48,1.5,16,15,14,0,1.5,19,17,0,11,1.5,19,14,10,21,1.5,0,20,0,21,1.5,19,29,1,28
69,0.953125,42,7.5,36,1.5,10,27,0,1,1.5,1,9,7,6,1.5,1,8,10,17,1.5,0,29,7,4,1.5,8,1,10,15
70,1.03125,42,7.5,39,1.5,8,1,8,0,1.5,15,14,1,23,1.5,14,1,7,10,1.5,19,11,10,23,1.5,12,22,16,22
71,1.234375,42,7.5,43,1.5,19,14,14,0,1.5,0,27,7,9,1.5,18,0,0,20,1.5,16,0,11,29,1.5,1,1,0,26
72,1.25,42,7.5,41,1.5,6,23,14,14,1.5,15,28,14,22,1.5,19,12,6,4,1.5,1,17,19,6,1.5,14,1,12,14
73,0.921875,42,7.5,34,1.5,15,14,8,15,1.5,2,1,5,29,1.5,11,1,6,0,1.5,16,15,1,6,1.5,17,1,6,11
74,2.640625,42,-1.0,100,0.5,1,3,14,15,-1.0,19,15,0,29,-0.5,0,19,6,15,0.5,10,1,14,14,-0.5,19,21,6,28
75,2.828125,42,0.0,100,-0.5,10,0,10,26,0.5,19,15,1,2,0.5,19,18,7,7,0.5,6,10,6,14,-1.0,1,10,15,29
76,1.078125,42,7.5,39,1.5,19,26,6,25,1.5,13,29,2,29,1.5,0,1,0,27,1.5,18,0,18,1,1.5,11,28,19,18
77,1.296875,42,7.5,44,1.5,11,1,0,7,1.5,0,27,9,14,1.5,0,28,12,29,1.5,7,7,0,2,1.5,19,2,10,20
78,1.40625,42,7.5,46,1.5,7,2,19,22,1.5,17,15,6,0,1.5,14,0,7,3,1.5,6,26,6,29,1.5,0,21,4,1
79,2.265625,42,7.5,76,1.5,5,0,9,14,1.5,19,11,6,17,1.5,8,0,0,25,1.5,14,22,19,29,1.5,0,2,15,29
80,2.609375,42,7.5,88,1.5,19,2,0,9,1.5,3,29,12,1,1.5,12,28,0,24,1.5,15,29,19,29,1.5,0,10,17,28
81,1.359375,42,7.5,46,1.5,12,1,12,22,1.5,11,22,18,28,1.5,1,1,19,6,1.5,10,28,0,6,1.5,0,5,0,20
82,2.140625,42,7.5,85,1.5,1,25,16,29,1.5,1,2,0,3,1.5,7,1,1,15,1.5,18,14,19,9,1.5,1,26,15,28
83,1.578125,42,7.5,59,1.5,11,29,0,11,1.5,0,8,10,24,1.5,19,9,17,1,1.5,0,1,19,25,1.5,4,0,1,5
84,1.46875,42,7.5,68,1.5,19,21,0,13,1.5,3,29,19,22,1.5,1,24,12,14,1.5,18,1,19,13,1.5,16,22,1,26
85,1.3125,42,7.5,60,1.5,15,22,7,0,1.5,13,1,7,2,1.5,18,0,0,9,1.5,17,1,1,16,1.5,0,27,17,28
86,1.21875,42,7.5,50,1.5,0,28,9,15,1.5,7,13,0,19,1.5,13,1,11,0,1.5,9,1,18,1,1.5,0,26,14,28
87,1.546875,42,7.5,57,1.5,1,5,0,3,1.5,14,15,0,22,1.5,17,0,2,29,1.5,0,12,13,22,1.5,7,0,1,14
88,1.765625,42,7.5,68,1.5,19,25,0,16,1.5,10,26,0,1,1.5,14,29,10,27,1.5,7,14,0,9,1.5,8,1,0,12
89,1.109375,42,7.5,40,1.5,19,3,6,12,1.5,13,22,15,22,1.5,7,3,0,21,1.5,6,22,1,12,1.5,1,20,1,9
90,1.71875,42,7.5,54,1.5,19,25,1,28,1.5,7,3,19,0,1.5,10,21,11,1,1.5,9,14,10,17,1.5,6,14,16,0
91,1.15625,42,7.5,39,1.5,1,3,6,23,1.5,19,17,13,14,1.5,1,26,10,18,1.5,9,1,1,28,1.5,7,0,5,0
92,2.03125,42,7.5,74,1.5,6,29,7,14,1.5,1,6,6,20,1.5,19,16,13,0,1.5,1,3,19,10,1.5,11,22,7,3
93,1.265625,42,7.5,40,1.5,0,29,3,0,1.5,19,23,5,0,1.5,0,27,0,21,1.5,1,0,10,26,1.5,7,6,19,18
94,2.9375,42,1.5,100,-0.5,16,0,6,22,0.5,6,19,6,21,0.5,10,25,1,5,0.5,11,1,17,29,0.5,6,25,19,23
95,1.671875,42,7.5,48,1.5,19,18,0,8,1.5,10,23,6,23,1.5,10,20,4,29,1.5,6,0,7,7,1.5,1,19,19,11
96,2.96875,42,-1.0,100,-0.5,1,3,10,15,0.5,0,21,13,14,-1.0,1,21,10,21,-0.5,10,17,9,15,0.5,7,6,6,8
97,1.328125,42,7.5,46,1.5,10,20,16,1,1.5,10,27,9,15,1.5,11,28,6,6,1.5,6,0,1,15,1.5,11,22,1,26
98,0.859375,42,7.5,32,1.5,8,15,7,15,1.5,8,14,14,15,1.5,10,29,16,29,1.5,6,10,10,1,1.5,6,26,19,21
99,2.171875,42,7.5,75,1.5,0,29,8,1,1.5,18,1,16,22,1.5,19,11,2,1,1.5,7,13,1,26,1.5,19,3,14,14
100,1.6875,42,7.5,63,1.5,8,0,0,26,1.5,6,15,0,16,1.5,17,28,0,12,1.5,7,11,18,29,1.5,6,0,0,9
