episode,cpu_time,seed,total_reward,timesteps,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
29,1.90625,42,10.5,49,1.5,10,19,0,19,1.5,15,15,13,28,1.5,13,0,0,5,1.5,0,27,6,23,1.5,4,1,1,15,1.5,19,13,16,28,1.5,7,13,18,28
30,2.0625,42,10.5,53,1.5,19,13,12,0,1.5,10,15,7,14,1.5,0,28,7,9,1.5,14,22,0,18,1.5,17,15,6,19,1.5,6,27,4,29,1.5,1,0,19,23
31,2.234375,42,10.5,57,1.5,7,12,0,24,1.5,19,12,17,29,1.5,19,20,11,1,1.5,5,29,0,5,1.5,19,19,10,22,1.5,3,29,1,3,1.5,8,1,10,1
32,3.296875,42,10.5,85,1.5,1,8,7,5,1.5,19,22,6,26,1.5,0,1,16,28,1.5,14,0,10,22,1.5,1,2,1,11,1.5,6,23,14,22,1.5,14,29,19,14
33,2.703125,42,10.5,69,1.5,3,29,8,15,1.5,0,24,6,4,1.5,12,0,1,23,1.5,11,1,17,15,1.5,16,0,1,27,1.5,0,4,7,4,1.5,18,0,16,15
34,2.21875,42,10.5,57,1.5,6,22,19,21,1.5,4,0,11,28,1.5,15,0,0,26,1.5,15,15,0,27,1.5,10,24,6,13,1.5,18,29,6,25,1.5,19,14,19,13
35,2.609375,42,10.5,67,1.5,1,24,19,2,1.5,2,1,0,24,1.5,1,26,19,20,1.5,18,29,19,28,1.5,2,29,14,28,1.5,8,15,17,0,1.5,7,1,17,29
36,3.859375,42,1.0,100,0.5,17,14,10,23,0.5,1,14,19,11,-1.0,1,3,19,10,0.5,0,15,6,0,0.5,7,6,5,29,0.5,6,9,1,2,-0.5,10,22,19,12
37,3.21875,42,2.0,100,0.5,9,1,6,26,-1.0,0,26,17,22,0.5,7,2,1,9,0.5,1,7,0,4,0.5,1,5,13,22,0.5,10,18,1,14,0.5,3,29,0,12
38,3.546875,42,2.0,100,0.5,6,0,9,0,0.5,17,15,18,1,0.5,6,18,16,14,0.5,10,21,19,26,0.5,8,0,7,13,-1.0,16,22,19,1,0.5,12,22,14,15
39,1.9375,42,10.5,49,1.5,1,27,0,1,1.5,1,22,0,11,1.5,1,24,3,1,1.5,0,9,11,15,1.5,7,10,10,16,1.5,19,4,6,23,1.5,1,11,19,18
40,2.84375,42,10.5,72,1.5,17,22,17,28,1.5,0,21,0,22,1.5,0,23,12,29,1.5,6,13,0,24,1.5,19,13,0,11,1.5,19,5,19,12,1.5,8,1,6,20
41,2.46875,42,10.5,63,1.5,10,18,17,15,1.5,6,1,1,0,1.5,19,25,14,22,1.5,18,0,15,29,1.5,16,22,10,29,1.5,1,24,10,27,1.5,19,7,11,15
42,1.984375,42,10.5,49,1.5,7,3,0,13,1.5,17,22,2,1,1.5,18,15,1,27,1.5,9,0,16,0,1.5,6,1,6,16,1.5,19,22,11,14,1.5,7,15,12,29
43,4.03125,42,2.0,100,-1.0,1,23,6,14,0.5,10,24,6,2,0.5,6,23,14,15,0.5,1,2,6,5,0.5,6,27,6,12,0.5,1,7,6,11,0.5,7,7,7,13
44,3.40625,42,2.0,100,0.5,12,14,9,0,0.5,19,18,7,3,0.5,16,14,6,3,0.5,1,11,19,10,0.5,12,29,18,14,0.5,4,1,15,22,-1.0,1,23,7,8
45,2.046875,42,10.5,56,1.5,10,0,14,15,1.5,16,28,1,10,1.5,1,16,3,29,1.5,19,20,8,15,1.5,18,1,15,15,1.5,11,28,0,16,1.5,7,10,11,0
46,2.53125,42,10.5,63,1.5,19,11,14,1,1.5,18,28,10,28,1.5,7,13,0,21,1.5,0,8,1,0,1.5,1,16,19,19,1.5,13,1,11,1,1.5,10,22,10,26
47,3.984375,42,2.0,100,0.5,19,20,19,29,0.5,1,1,16,0,0.5,14,0,6,29,0.5,10,19,1,8,-1.0,0,19,16,22,0.5,19,15,10,21,0.5,8,1,6,21
48,2.703125,42,10.5,64,1.5,10,21,0,29,1.5,14,0,1,9,1.5,1,28,1,8,1.5,16,15,0,11,1.5,19,14,0,21,1.5,0,20,10,27,1.5,19,17,8,1
49,2.15625,42,10.5,51,1.5,8,1,1,23,1.5,12,22,7,10,1.5,7,4,8,0,1.5,10,15,14,1,1.5,0,1,15,14,1.5,7,6,16,22,1.5,10,17,19,11
50,3.0,42,10.5,73,1.5,0,26,19,12,1.5,16,0,6,23,1.5,0,27,14,1,1.5,10,23,14,0,1.5,1,1,0,20,1.5,18,0,11,29,1.5,19,14,7,9
51,2.53125,42,10.5,59,1.5,19,6,8,15,1.5,14,22,6,11,1.5,6,4,16,15,1.5,15,28,17,1,1.5,1,17,15,14,1.5,14,14,2,1,1.5,12,14,11,1
52,1.703125,42,10.5,48,1.5,19,15,1,10,1.5,0,19,14,14,1.5,1,3,0,29,1.5,6,0,10,1,1.5,5,29,6,28,1.5,19,21,6,15,1.5,1,6,14,15
53,1.53125,42,10.5,47,1.5,7,7,18,0,1.5,10,26,13,29,1.5,15,29,0,1,1.5,10,0,1,2,1.5,19,18,6,14,1.5,6,10,19,26,1.5,19,15,11,28
54,2.421875,42,10.5,71,1.5,11,1,0,2,1.5,19,2,9,14,1.5,18,1,12,29,1.5,19,18,0,28,1.5,6,25,7,7,1.5,2,29,0,7,1.5,0,27,10,20
