episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.046875,42,,,,0,20,6,27,,,15,28,18,15,,,11,28,0,19,,,6.0,28.0,13.0,1.0,,,,,,
1,0.015625,42,41.0,39.0,38.0,0,21,15,14,21.0,20.0,8,14,13,29,27.0,26.0,19,24,16,1,,,,,,,41.0,40.0,1.0,16.0,14.0,15.0
2,60.0625,42,,,,7,15,7,12,,,0,29,6,12,,,17,29,1,11,,,7.0,1.0,19.0,13.0,,,,,,
3,60.046875,42,,,,15,29,9,14,,,11,15,6,29,,,6,20,7,1,,,17.0,14.0,1.0,22.0,,,,,,
4,60.03125,42,,,,0,21,18,15,,,10,0,17,15,,,19,4,3,0,,,0.0,14.0,11.0,0.0,,,,,,
5,0.0,42,27.0,27.0,26.0,15,1,19,23,21.0,20.0,13,14,7,0,26.0,25.0,6,9,19,5,,,,,,,10.0,9.0,1.0,7.0,0.0,15.0
6,60.03125,42,,,,12,22,6,11,,,15,29,7,4,,,15,14,7,11,,,1.0,14.0,0.0,10.0,,,,,,
7,0.0,42,27.0,20.0,19.0,1,5,6,11,12.0,11.0,14,28,19,22,27.0,26.0,12,28,6,22,,,,,,,14.0,13.0,9.0,15.0,19.0,12.0
8,0.015625,42,29.0,11.0,10.0,19,8,16,15,29.0,28.0,6,12,1,13,29.0,28.0,0,17,7,4,,,,,,,5.0,4.0,6.0,2.0,7.0,5.0
9,0.0625,42,27.0,17.0,16.0,12,29,10,15,14.0,13.0,7,6,12,14,27.0,26.0,6,3,19,16,,,,,,,10.0,9.0,0.0,29.0,1.0,21.0
10,0.0,42,34.0,18.0,17.0,1,6,0,22,34.0,33.0,17,22,5,29,28.0,27.0,11,0,15,15,,,,,,,22.0,21.0,6.0,28.0,13.0,14.0
11,60.078125,42,,,,17,22,6,16,,,6,27,19,6,,,16,28,4,0,,,17.0,29.0,1.0,24.0,,,,,,
