episode,cpu_time,seed,total_reward,timesteps,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
53,9.234375,42,4.5,100,0.5,6,18,1,18,0.5,7,5,14,14,-1.0,11,29,1,25,0.5,1,10,0,20,0.5,2,0,8,0,0.5,1,6,6,6,0.5,19,4,19,9,-1.0,12,28,19,2,0.5,1,4,11,15,0.5,0,21,18,15,0.5,6,10,6,14,0.5,19,21,6,22,0.5,19,16,19,11,0.5,6,21,1,15,0.5,15,22,19,26
54,9.234375,42,0.0,100,0.5,10,16,7,2,-1.0,15,29,19,25,-1.0,19,18,14,28,0.5,16,15,19,14,-1.0,18,28,13,29,0.5,6,29,0,5,-1.0,16,0,6,26,0.5,0,23,1,18,-1.0,19,8,19,27,0.5,14,14,0,0,0.5,13,14,6,14,0.5,18,29,16,28,0.5,11,28,0,22,0.5,14,22,7,13,0.5,9,0,1,16
55,9.296875,42,-1.5,100,0.5,10,16,15,22,-1.0,6,21,1,7,0.5,10,25,6,11,0.5,7,13,19,19,-0.5,19,15,0,5,-1.0,10,19,1,0,0.5,6,7,6,14,-0.5,6,16,6,4,0.5,0,2,5,1,0.5,6,18,1,15,0.5,10,23,12,28,0.5,10,17,0,10,-1.0,10,29,0,15,-1.0,19,4,7,5,-0.5,6,1,6,5
56,8.6875,42,-1.5,100,0.5,10,19,0,1,0.5,3,0,19,20,-1.0,15,0,0,10,-1.0,8,1,19,3,-1.0,1,12,7,11,0.5,19,2,7,8,0.5,7,6,0,29,0.5,6,6,0,20,-1.0,7,7,1,26,0.5,1,15,7,2,-1.0,1,16,11,28,0.5,19,24,12,15,-1.0,1,25,7,5,0.5,14,1,0,13,0.5,0,22,1,29
57,8.515625,42,3.0,100,0.5,15,15,1,20,0.5,15,22,0,22,0.5,5,29,19,16,0.5,19,25,6,20,0.5,10,26,10,27,0.5,5,0,10,0,-1.0,4,1,6,21,0.5,19,1,6,25,0.5,19,7,17,0,0.5,1,27,10,20,-1.0,0,24,18,0,0.5,19,26,14,28,-1.0,1,23,19,19,0.5,0,25,6,9,0.5,1,1,0,16
58,9.078125,42,4.5,100,0.5,1,6,15,22,-1.0,6,13,10,24,0.5,7,2,0,6,0.5,4,1,19,6,0.5,14,22,1,23,0.5,0,24,0,9,0.5,1,27,15,14,0.5,18,14,1,17,0.5,10,19,19,16,0.5,1,7,6,20,-1.0,8,14,6,21,0.5,14,15,0,27,0.5,8,1,17,28,0.5,9,14,18,1,0.5,0,18,0,25
59,9.265625,42,3.0,100,0.5,10,27,6,5,-1.0,6,22,13,29,-1.0,18,0,14,29,0.5,19,2,19,16,0.5,1,26,0,8,0.5,1,11,9,0,0.5,1,10,19,1,0.5,11,28,8,15,0.5,0,14,6,4,0.5,6,16,18,1,0.5,7,1,4,1,0.5,1,12,1,6,0.5,0,22,1,0,-1.0,14,1,13,22,0.5,2,0,10,17
60,9.203125,42,22.5,98,1.5,3,1,17,28,1.5,8,15,6,13,1.5,8,0,7,8,1.5,6,10,19,1,1.5,6,27,1,27,1.5,7,10,1,3,1.5,6,3,0,20,1.5,7,1,1,7,1.5,6,18,10,0,1.5,0,0,1,11,1.5,9,0,19,20,1.5,17,15,1,17,1.5,19,4,0,28,1.5,0,17,1,0,1.5,15,29,19,19
61,5.65625,42,22.5,61,1.5,6,1,7,5,1.5,7,4,12,28,1.5,0,0,6,12,1.5,1,12,0,13,1.5,12,0,19,14,1.5,10,25,17,15,1.5,19,10,14,22,1.5,0,16,19,11,1.5,19,23,6,6,1.5,0,27,1,2,1.5,6,19,10,14,1.5,8,15,0,11,1.5,6,15,19,27,1.5,0,6,17,29,1.5,1,5,17,1
62,9.59375,42,6.0,100,0.5,17,15,7,2,0.5,8,15,6,27,0.5,11,1,6,19,-1.0,0,0,6,17,0.5,15,0,7,11,0.5,1,18,16,15,0.5,14,29,0,14,0.5,19,12,0,29,0.5,6,28,1,4,0.5,10,28,3,1,0.5,3,29,16,1,0.5,11,14,11,0,0.5,11,29,19,28,0.5,16,14,10,0,0.5,0,12,19,2
63,8.78125,42,4.5,100,-1.0,13,29,12,22,0.5,12,0,10,19,0.5,14,1,0,20,0.5,10,26,19,5,0.5,7,6,4,0,-1.0,7,3,19,26,0.5,6,22,1,10,0.5,5,0,18,0,0.5,11,29,0,9,0.5,11,22,6,6,0.5,10,23,19,27,0.5,0,16,7,0,0.5,19,12,8,14,0.5,1,5,19,18,0.5,6,1,10,1
64,10.375,42,3.0,100,-1.0,12,0,10,21,0.5,6,10,19,8,0.5,8,15,13,29,0.5,14,22,6,6,-1.0,14,15,11,22,0.5,1,9,7,14,0.5,7,1,1,4,0.5,5,0,14,1,0.5,19,17,6,3,0.5,3,0,19,5,0.5,13,28,6,24,0.5,6,11,1,13,0.5,14,29,6,20,-1.0,14,28,6,18,0.5,19,28,10,14
65,8.640625,42,22.5,86,1.5,17,15,19,16,1.5,12,1,1,26,1.5,0,28,15,29,1.5,5,0,3,0,1.5,12,0,19,0,1.5,0,21,18,28,1.5,1,29,1,7,1.5,6,2,15,0,1.5,1,0,19,10,1.5,7,4,16,28,1.5,11,29,1,9,1.5,14,14,0,29,1.5,6,21,19,4,1.5,13,1,0,4,1.5,6,28,1,15
66,9.859375,42,0.5,100,0.5,14,22,6,1,0.5,9,14,8,0,0.5,19,9,0,14,0.5,10,19,9,1,0.5,19,19,0,5,-1.0,1,16,13,29,0.5,19,10,10,29,0.5,19,20,19,24,0.5,9,15,6,19,0.5,3,1,1,28,-1.0,13,14,6,28,-1.0,15,22,12,28,-1.0,1,1,14,28,0.5,15,15,10,25,-0.5,12,15,5,1
67,10.0625,42,3.0,100,0.5,6,29,1,25,-1.0,18,1,19,19,0.5,6,11,16,29,0.5,9,14,0,4,0.5,18,15,19,25,0.5,1,10,6,20,0.5,10,25,6,4,0.5,19,15,19,10,-1.0,18,14,19,12,0.5,19,1,11,0,0.5,6,3,6,0,0.5,6,1,18,0,0.5,13,14,7,10,0.5,6,19,13,15,-1.0,19,21,17,0
68,10.15625,42,0.0,100,-1.0,7,8,3,29,0.5,13,14,17,0,0.5,0,24,6,21,0.5,4,0,0,8,0.5,11,1,0,1,-1.0,10,29,1,20,0.5,15,14,6,11,0.5,7,2,11,29,0.5,1,25,18,28,0.5,15,15,7,3,0.5,10,24,10,16,0.5,11,15,1,8,-1.0,19,29,1,29,-1.0,14,28,5,0,-1.0,1,23,10,20
69,9.84375,42,0.0,100,-1.0,1,1,10,27,0.5,10,24,4,0,-1.0,1,23,6,19,0.5,3,29,10,20,0.5,19,29,19,15,0.5,13,14,19,2,0.5,17,29,6,24,-1.0,15,28,19,14,-1.0,0,26,19,25,0.5,16,15,1,5,0.5,6,17,11,0,0.5,7,1,0,15,-1.0,7,2,19,17,0.5,6,4,1,14,0.5,1,0,0,6
70,9.890625,42,6.0,100,0.5,12,0,16,15,0.5,13,22,19,28,0.5,1,21,12,29,0.5,6,24,0,24,0.5,1,5,8,0,0.5,7,1,11,28,0.5,19,3,4,1,0.5,0,25,0,0,0.5,17,22,0,5,0.5,2,1,1,25,-1.0,10,17,19,29,0.5,1,10,0,7,0.5,1,27,10,0,0.5,16,14,7,13,0.5,7,7,7,12
71,9.96875,42,4.5,100,0.5,6,0,19,8,0.5,1,10,6,23,-1.0,6,1,17,22,0.5,12,14,16,22,0.5,6,12,13,28,-1.0,4,29,17,14,0.5,19,24,12,22,0.5,7,3,19,15,0.5,6,25,6,18,0.5,14,1,6,2,0.5,1,18,1,23,0.5,0,11,14,29,0.5,12,28,6,8,0.5,0,21,15,14,0.5,0,27,16,1
72,7.890625,42,22.5,85,1.5,10,16,6,27,1.5,0,22,0,7,1.5,1,2,0,19,1.5,3,1,6,6,1.5,9,0,17,14,1.5,19,2,18,1,1.5,2,1,0,0,1.5,19,10,15,28,1.5,6,2,6,5,1.5,1,20,0,12,1.5,1,5,11,28,1.5,5,1,14,29,1.5,7,10,7,14,1.5,1,8,0,15,1.5,19,5,1,21
73,8.28125,42,-3.0,100,-1.0,17,14,1,16,0.5,7,2,13,28,0.5,2,1,15,0,-1.0,6,18,1,20,0.5,6,24,6,22,-1.0,10,0,7,13,-1.0,18,28,6,2,0.5,9,1,14,29,0.5,17,1,7,4,0.5,1,3,10,20,0.5,0,9,5,1,-1.0,0,21,6,12,-1.0,0,6,14,15,-1.0,1,8,9,14,0.5,0,14,1,28
74,9.484375,42,6.0,100,0.5,15,1,7,0,0.5,1,10,1,12,0.5,0,27,1,11,0.5,6,19,7,2,0.5,0,13,19,0,-1.0,0,19,19,11,0.5,19,21,11,28,0.5,6,5,6,17,0.5,1,7,19,1,0.5,11,22,18,14,0.5,0,10,19,19,0.5,17,14,19,24,0.5,1,17,19,27,0.5,10,29,13,14,0.5,15,0,1,1
75,8.25,42,5.0,100,0.5,4,0,19,14,0.5,0,1,7,9,0.5,19,17,0,11,0.5,17,15,6,7,0.5,6,15,0,23,0.5,1,27,10,23,0.5,11,29,8,15,-0.5,14,15,6,13,-1.0,10,15,1,29,0.5,1,20,7,4,0.5,14,28,6,23,0.5,10,0,15,1,0.5,10,27,13,22,0.5,1,14,6,12,0.5,7,6,0,6
76,9.25,42,-1.5,100,-1.0,8,1,15,28,0.5,7,1,1,9,-1.0,1,0,19,5,-1.0,0,15,17,22,0.5,18,0,7,5,-1.0,1,7,11,22,-1.0,2,1,10,22,0.5,6,0,15,29,-1.0,10,15,17,29,0.5,6,16,0,2,0.5,11,14,19,4,0.5,12,15,0,21,0.5,1,6,0,0,0.5,10,14,6,10,0.5,15,0,1,18
77,9.359375,42,0.0,100,0.5,1,19,0,17,-1.0,1,14,18,28,0.5,6,5,1,10,0.5,0,22,1,25,0.5,19,5,6,10,-1.0,10,20,1,0,0.5,0,13,8,1,0.5,7,4,11,28,0.5,4,29,1,11,-1.0,19,15,0,23,0.5,12,22,6,1,0.5,0,6,6,6,-1.0,17,29,1,17,0.5,7,7,6,22,-1.0,7,6,6,24
78,9.375,42,6.0,100,0.5,10,25,0,27,0.5,16,22,19,21,0.5,19,13,6,21,-1.0,15,0,19,29,0.5,0,22,1,2,0.5,6,23,1,15,0.5,2,0,10,27,0.5,1,17,18,14,0.5,19,4,0,23,0.5,6,9,0,26,0.5,0,7,17,1,0.5,13,14,13,0,0.5,8,14,0,11,0.5,0,12,0,24,0.5,6,6,7,3
79,9.3125,42,4.5,100,0.5,7,5,19,20,0.5,10,18,10,19,-1.0,6,2,19,23,-1.0,16,22,1,14,0.5,1,9,1,19,0.5,19,18,6,15,0.5,0,14,4,0,0.5,0,19,16,15,0.5,19,10,0,29,0.5,1,18,8,15,0.5,16,28,11,28,0.5,19,12,6,1,0.5,0,10,7,12,0.5,6,29,19,25,0.5,6,19,7,11
80,9.46875,42,3.0,100,0.5,10,18,2,29,0.5,6,21,10,16,0.5,10,20,6,3,0.5,6,14,6,8,-1.0,11,0,11,29,0.5,6,10,7,1,0.5,0,7,15,28,-1.0,12,1,19,22,0.5,6,28,6,15,0.5,16,15,14,14,0.5,6,26,7,3,0.5,16,22,4,0,0.5,0,23,19,14,0.5,19,25,19,13,-1.0,18,29,6,17
81,8.53125,42,0.0,100,0.5,6,14,8,14,0.5,5,1,1,11,0.5,0,16,1,28,0.5,6,17,0,12,-1.0,19,22,19,28,0.5,8,15,17,15,0.5,6,7,15,1,0.5,0,21,19,13,-1.0,1,8,10,22,-1.0,6,1,15,29,0.5,7,12,0,23,0.5,14,0,12,14,0.5,6,12,1,19,-1.0,10,0,18,28,-1.0,19,23,10,14
82,9.40625,42,-1.5,100,0.5,19,11,18,14,0.5,0,1,1,16,-1.0,19,12,1,4,0.5,19,10,6,3,-1.0,12,22,16,1,-1.0,10,18,1,24,-1.0,0,23,14,28,0.5,19,25,7,11,0.5,10,27,7,4,0.5,18,1,0,6,0.5,0,8,7,1,0.5,19,15,10,16,-1.0,19,17,0,19,-1.0,11,29,10,14,0.5,6,17,6,4
83,9.21875,42,4.5,100,0.5,2,1,1,12,-1.0,6,27,10,18,0.5,0,13,18,14,0.5,9,0,7,13,-1.0,1,19,16,29,0.5,12,14,19,14,0.5,10,15,16,14,0.5,1,6,10,22,0.5,15,28,0,26,0.5,6,13,0,17,0.5,1,4,0,23,0.5,7,11,6,17,0.5,19,27,19,22,0.5,19,2,1,25,0.5,18,1,19,21
84,8.421875,42,6.0,100,0.5,10,25,5,0,0.5,19,15,19,16,0.5,14,14,13,15,0.5,19,2,13,0,0.5,0,27,6,27,0.5,19,9,19,1,-1.0,19,25,3,29,0.5,6,25,0,5,0.5,6,12,8,1,0.5,10,15,17,28,0.5,0,29,7,13,0.5,6,23,7,4,0.5,1,25,1,20,0.5,7,8,16,14,0.5,11,14,0,15
85,8.65625,42,-4.5,100,-1.0,16,14,1,12,0.5,0,9,19,17,0.5,6,14,6,6,0.5,19,14,6,23,0.5,8,1,16,29,-1.0,10,27,0,22,-1.0,0,26,7,10,-1.0,1,1,7,15,-1.0,10,19,1,15,0.5,10,29,10,17,-1.0,7,3,6,20,-1.0,19,21,1,21,0.5,1,7,7,0,-1.0,10,18,1,19,0.5,12,14,1,13
86,9.390625,42,6.0,100,0.5,19,0,0,9,0.5,6,10,5,0,0.5,19,27,12,0,0.5,1,16,5,29,0.5,0,8,0,10,0.5,19,3,13,15,0.5,11,28,19,20,0.5,11,1,9,14,-1.0,6,26,8,1,0.5,0,18,19,28,0.5,1,0,19,7,0.5,6,11,6,17,0.5,1,26,6,12,0.5,19,24,9,0,0.5,10,19,7,7
87,8.109375,42,-7.5,100,-1.0,0,13,1,9,-1.0,14,0,5,29,0.5,3,1,0,14,0.5,10,15,19,21,-1.0,19,0,1,15,-1.0,0,1,19,22,-1.0,0,26,19,27,0.5,1,5,4,0,-1.0,9,0,1,13,-1.0,17,28,16,14,0.5,0,15,7,15,-1.0,19,10,3,29,0.5,15,14,6,18,-1.0,19,15,13,22,-1.0,19,9,6,29
88,9.140625,42,6.0,100,0.5,9,1,1,19,0.5,10,27,13,15,0.5,13,22,19,6,0.5,19,12,3,1,0.5,10,29,18,28,0.5,17,22,19,23,-1.0,0,29,19,22,0.5,19,24,6,28,0.5,17,29,15,15,0.5,12,15,9,14,0.5,6,10,7,8,0.5,19,17,7,2,0.5,0,21,4,29,0.5,1,15,16,15,0.5,18,29,6,16
89,7.453125,42,22.5,80,1.5,0,17,17,1,1.5,7,0,8,0,1.5,14,0,19,24,1.5,0,8,1,24,1.5,0,19,0,9,1.5,10,16,1,20,1.5,0,20,3,1,1.5,15,29,6,15,1.5,19,14,12,1,1.5,6,17,18,28,1.5,17,28,19,15,1.5,10,26,19,0,1.5,1,14,1,6,1.5,6,10,6,0,1.5,0,26,1,17
90,9.15625,42,0.0,100,0.5,1,3,10,27,0.5,10,16,0,29,-1.0,0,14,18,28,0.5,12,0,1,21,0.5,9,1,7,6,-1.0,1,14,11,28,0.5,19,14,16,22,-1.0,1,4,19,18,0.5,6,11,6,7,0.5,6,9,1,16,0.5,19,9,0,25,0.5,1,29,0,20,-1.0,0,11,16,15,0.5,10,14,10,29,-1.0,1,5,7,14
91,9.109375,42,1.5,100,0.5,6,2,1,22,0.5,9,1,19,7,-1.0,6,14,16,29,0.5,1,12,1,13,0.5,6,1,15,14,0.5,15,22,15,15,0.5,18,1,6,27,0.5,0,28,14,0,0.5,6,24,1,8,0.5,10,28,12,15,-1.0,1,11,13,28,-1.0,10,27,19,15,0.5,6,28,1,9,-1.0,6,21,11,28,0.5,19,17,1,7
92,9.1875,42,1.5,100,-1.0,0,7,10,21,-1.0,6,27,13,29,0.5,8,0,14,15,-1.0,7,15,19,25,-1.0,7,9,10,22,0.5,7,14,1,25,0.5,8,15,0,15,0.5,19,15,1,22,0.5,3,0,11,14,0.5,10,20,6,24,0.5,19,28,10,25,0.5,0,22,0,11,0.5,0,24,19,12,0.5,17,14,7,7,0.5,7,11,19,23
93,9.0625,42,3.0,100,-1.0,13,29,5,0,0.5,17,14,12,0,0.5,7,6,11,0,0.5,6,26,13,15,0.5,19,7,19,20,0.5,0,13,6,7,0.5,3,1,15,22,-1.0,16,22,6,27,-1.0,11,22,15,29,0.5,7,11,1,14,0.5,14,29,12,14,0.5,16,0,19,13,0.5,7,5,11,14,0.5,0,3,7,2,0.5,19,6,18,15
94,9.046875,42,4.5,100,0.5,0,10,14,29,0.5,7,3,14,14,-1.0,7,13,0,25,0.5,6,8,16,22,0.5,14,28,19,19,0.5,14,15,1,21,0.5,16,29,10,29,0.5,7,10,19,5,0.5,8,15,2,29,-1.0,6,25,1,15,0.5,1,19,10,14,0.5,10,22,0,22,0.5,10,23,6,16,0.5,6,12,1,0,0.5,11,0,6,13
95,7.125,42,22.5,76,1.5,8,15,6,17,1.5,14,1,5,1,1.5,6,3,1,3,1.5,1,10,17,15,1.5,17,28,10,0,1.5,1,13,2,29,1.5,4,0,16,22,1.5,19,3,1,26,1.5,15,14,6,15,1.5,1,15,16,1,1.5,1,8,0,29,1.5,13,22,13,15,1.5,3,1,6,9,1.5,1,5,15,0,1.5,6,18,7,7
96,9.078125,42,-2.5,100,-0.5,16,0,7,5,-1.0,0,24,13,29,0.5,1,25,1,22,-1.0,17,1,2,29,0.5,6,28,1,12,-1.0,10,19,6,6,0.5,7,8,1,10,0.5,14,29,6,17,0.5,17,0,19,9,-1.0,0,16,6,10,0.5,1,17,15,0,-1.0,7,0,5,29,0.5,1,4,6,5,0.5,13,15,3,0,-1.0,6,24,1,11
97,9.125,42,-1.5,100,-1.0,18,28,7,5,0.5,1,24,19,4,-1.0,5,0,19,29,0.5,7,12,6,10,0.5,19,13,16,14,-1.0,6,12,10,26,-1.0,13,14,10,28,0.5,19,7,6,29,0.5,9,1,17,22,0.5,0,3,0,5,0.5,15,14,19,9,0.5,0,13,7,13,0.5,0,29,11,15,-1.0,6,11,10,29,-1.0,6,28,18,29
98,6.359375,42,22.5,70,1.5,7,7,16,14,1.5,7,10,15,22,1.5,10,18,1,15,1.5,11,15,19,4,1.5,10,0,0,27,1.5,7,5,0,15,1.5,0,3,1,21,1.5,7,11,18,1,1.5,6,21,19,28,1.5,0,18,0,24,1.5,7,1,12,1,1.5,10,16,19,0,1.5,15,14,19,27,1.5,7,3,17,28,1.5,13,22,13,28
99,9.15625,42,6.0,100,0.5,17,14,0,13,0.5,19,15,6,20,0.5,2,1,14,28,0.5,10,26,1,13,0.5,10,1,12,14,0.5,10,24,19,18,-1.0,14,29,1,14,0.5,11,0,15,15,0.5,6,26,17,28,0.5,0,29,1,8,0.5,6,6,0,0,0.5,19,28,12,28,0.5,5,29,1,19,0.5,1,6,4,1,0.5,6,19,1,21
100,9.09375,42,1.5,100,0.5,19,11,0,1,0.5,1,2,6,27,0.5,2,0,10,14,0.5,6,24,10,18,0.5,17,0,10,25,-1.0,19,10,6,26,0.5,19,25,19,21,-1.0,15,22,19,26,-1.0,4,29,13,14,0.5,1,21,3,0,0.5,12,22,1,27,0.5,19,29,15,28,-1.0,1,10,19,20,0.5,14,22,1,23,0.5,16,29,6,6
