episode,cpu_time,seed,total_reward,timesteps,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
13,9.59375,42,0.0,100,0.5,19,13,0,28,0.5,10,19,6,19,0.5,7,13,6,27,0.5,0,5,12,0,0.5,16,28,7,14,-1.0,13,0,10,15,0.5,4,1,1,0,0.5,15,15,0,18,0.5,6,23,19,23,-1.0,19,22,14,22,0.5,1,15,4,29,-1.0,18,28,7,9,0.5,12,22,0,19,-1.0,0,4,13,28,-1.0,0,27,17,15
14,8.71875,42,3.0,100,0.5,7,12,1,11,-1.0,10,1,16,28,0.5,19,12,1,8,0.5,14,0,0,4,0.5,0,24,18,0,0.5,0,5,19,14,0.5,19,20,19,22,0.5,10,22,14,22,0.5,1,3,6,26,-1.0,8,1,6,23,0.5,11,1,7,5,-1.0,17,29,16,0,0.5,19,19,14,29,0.5,5,29,1,2,0.5,3,29,0,1
15,9.890625,42,4.5,100,0.5,7,4,0,26,0.5,8,15,2,29,0.5,16,15,6,25,0.5,15,0,19,28,0.5,18,29,1,24,0.5,1,23,11,28,0.5,1,27,19,13,0.5,6,4,19,21,0.5,15,15,7,1,0.5,3,29,0,27,-1.0,10,24,1,26,0.5,19,14,2,1,-1.0,0,24,6,22,0.5,12,0,4,0,0.5,17,15,6,13
16,9.765625,42,3.0,100,0.5,0,15,1,5,0.5,6,9,7,2,0.5,19,2,1,7,0.5,5,29,0,12,-1.0,6,0,13,22,0.5,7,6,3,29,-1.0,0,24,10,23,0.5,10,22,10,18,0.5,1,3,0,26,0.5,17,0,19,10,0.5,1,14,9,1,0.5,17,14,0,4,-1.0,17,29,1,2,0.5,14,28,19,12,0.5,19,20,19,11
17,9.0,42,6.0,100,0.5,8,0,1,11,0.5,6,18,1,22,0.5,10,21,7,10,-1.0,14,15,6,23,0.5,7,13,19,18,0.5,12,22,19,4,0.5,6,26,0,9,0.5,16,22,1,24,0.5,17,15,1,27,0.5,17,22,18,1,0.5,6,0,11,15,0.5,19,26,10,16,0.5,1,9,16,14,0.5,1,14,19,1,0.5,0,12,9,0
18,9.703125,42,-4.5,100,0.5,19,5,6,1,-1.0,17,22,10,29,0.5,8,1,19,25,-1.0,0,22,17,15,-1.0,12,29,1,0,0.5,0,23,10,18,0.5,19,13,1,24,-1.0,0,21,15,29,0.5,0,24,11,15,-1.0,0,1,16,22,-1.0,6,20,10,27,-1.0,19,12,14,22,0.5,0,11,18,0,-1.0,3,1,17,28,0.5,6,13,19,7
19,9.734375,42,-1.0,100,-0.5,7,3,6,5,0.5,12,29,6,11,-1.0,17,22,1,23,0.5,1,2,4,1,0.5,0,13,1,11,-1.0,16,0,6,12,0.5,18,15,10,24,0.5,6,16,7,13,0.5,11,14,14,15,-1.0,7,15,1,7,0.5,1,27,6,2,-1.0,2,1,6,14,0.5,6,1,7,7,-1.0,9,0,6,27,0.5,19,22,6,23
20,9.3125,42,4.5,100,0.5,15,22,3,29,0.5,9,0,0,8,0.5,7,8,0,16,0.5,1,16,19,11,0.5,11,28,18,28,0.5,6,3,1,10,0.5,18,14,11,0,-1.0,7,3,14,15,0.5,19,20,10,22,0.5,12,14,8,15,0.5,18,1,13,1,0.5,7,10,7,13,0.5,19,18,10,0,-1.0,16,14,16,28,0.5,19,10,15,15
21,8.96875,42,3.0,100,0.5,14,1,16,15,0.5,8,1,0,20,0.5,10,28,19,29,0.5,1,8,0,29,0.5,19,20,1,9,0.5,10,19,19,14,0.5,0,21,16,0,0.5,0,19,19,17,0.5,19,15,1,28,0.5,10,26,10,21,0.5,14,0,0,11,-1.0,1,1,10,27,0.5,19,19,6,21,-1.0,1,0,16,22,-1.0,11,1,6,29
22,3.765625,42,22.5,41,1.5,8,1,14,0,1.5,19,11,11,29,1.5,12,22,0,26,1.5,10,23,12,14,1.5,1,23,1,17,1.5,14,1,0,20,1.5,7,4,16,0,1.5,15,14,7,9,1.5,16,22,6,23,1.5,10,17,18,0,1.5,8,0,19,12,1.5,7,10,15,28,1.5,0,1,19,14,1.5,10,15,1,1,1.5,7,6,0,27
23,9.1875,42,6.0,100,0.5,11,1,6,15,0.5,6,11,10,0,0.5,15,14,14,15,0.5,19,21,7,7,0.5,1,6,10,26,0.5,2,1,0,29,0.5,17,1,6,28,0.5,16,15,1,10,0.5,8,15,19,18,0.5,14,22,19,15,0.5,6,0,6,10,-1.0,5,29,15,29,0.5,6,4,0,19,0.5,14,14,1,3,0.5,19,6,10,1
24,7.75,42,22.5,85,1.5,18,0,0,21,1.5,0,27,17,15,1.5,13,29,0,2,1.5,0,28,6,0,1.5,11,1,7,3,1.5,19,18,7,2,1.5,0,1,9,14,1.5,6,25,14,0,1.5,2,29,6,26,1.5,11,28,0,7,1.5,18,1,4,1,1.5,19,2,19,22,1.5,6,14,10,20,1.5,1,2,7,7,1.5,19,26,12,29
25,9.03125,42,3.0,100,0.5,15,29,11,22,-1.0,6,17,12,22,0.5,14,22,1,1,0.5,3,29,1,25,-1.0,12,28,1,26,0.5,9,14,10,28,0.5,19,11,0,5,-1.0,0,25,0,20,0.5,19,29,19,6,0.5,5,0,0,24,0.5,0,10,18,28,0.5,19,2,0,6,0.5,0,2,0,9,0.5,6,29,17,28,0.5,8,0,12,1
26,9.0,42,-4.5,100,0.5,0,3,18,1,0.5,11,29,12,14,0.5,1,15,3,29,0.5,17,1,18,0,-1.0,0,11,15,22,0.5,19,9,1,26,-1.0,16,29,1,24,0.5,4,0,0,13,-1.0,0,8,19,22,-1.0,18,14,16,22,0.5,0,1,19,13,-1.0,1,5,0,27,-1.0,1,2,19,25,-1.0,7,1,10,24,-1.0,15,28,19,21
27,4.09375,42,22.5,45,1.5,1,16,0,3,1.5,7,13,13,22,1.5,7,2,1,14,1.5,0,19,7,14,1.5,11,0,10,26,1.5,0,26,2,29,1.5,0,9,0,12,1.5,0,28,0,22,1.5,9,1,8,1,1.5,17,28,17,0,1.5,14,28,19,25,1.5,9,15,14,29,1.5,17,1,1,5,1.5,13,1,18,1,1.5,7,0,14,15
