episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
20,60.046875,42,,,,0,27,16,28,,,4,1,0,5,,,7,13,13,28,,,19,13,0,19,,,13,0,14,22,,,15,15,17,15,,,10,19,1,0,,,6,23,6,27,,,1,15,0,28,,,18.0,28.0,10.0,15.0,,,,,,
21,60.0625,42,,,,19,13,19,19,,,0,18,8,1,,,6,19,3,29,,,19,23,19,20,,,4,29,19,12,,,1,0,7,12,,,7,9,0,5,,,7,14,10,22,,,12,0,10,1,,,5.0,29.0,1.0,3.0,,,,,,
22,60.0625,42,,,,11,1,10,22,,,17,29,1,11,,,0,24,19,14,,,14,0,14,22,,,1,2,16,28,,,14,29,6,26,,,6,23,7,5,,,0,1,16,0,,,19,22,18,0,,,1.0,8.0,0.0,4.0,,,,,,
23,60.046875,42,,,,12,0,15,15,,,0,24,10,24,,,3,29,19,14,,,17,15,18,29,,,1,27,15,0,,,16,15,4,0,,,7,4,6,22,,,1,23,0,27,,,6,4,6,13,,,8.0,15.0,19.0,13.0,,,,,,
24,60.03125,42,,,,6,25,1,24,,,0,26,19,28,,,11,28,14,28,,,19,21,17,29,,,18,29,17,0,,,2,29,19,20,,,7,1,0,24,,,8,15,19,2,,,1,26,0,15,,,2.0,1.0,7.0,6.0,,,,,,
25,60.03125,42,,,,10,22,19,11,,,6,9,10,23,,,1,3,1,7,,,1,14,1,5,,,17,14,3,29,,,6,0,10,18,,,5,29,7,2,,,19,12,0,26,,,1,2,9,1,,,19.0,10.0,0.0,4.0,,,,,,
26,60.03125,42,,,,13,22,6,18,,,0,12,17,15,,,1,14,6,0,,,1,9,19,26,,,17,22,7,13,,,6,26,14,15,,,10,21,19,1,,,8,0,16,14,,,12,22,18,1,,,16.0,22.0,9.0,0.0,,,,,,
27,60.046875,42,,,,0,9,6,23,,,7,10,3,1,,,1,11,0,11,,,19,4,0,1,,,1,24,6,13,,,1,22,19,13,,,1,27,8,1,,,11,15,19,5,,,10,16,0,23,,,19.0,18.0,0.0,21.0,,,,,,
28,60.9375,42,,,,17,22,19,7,,,0,24,1,24,,,0,11,19,25,,,6,20,6,1,,,19,12,10,18,,,12,29,15,29,,,0,22,10,29,,,17,28,11,15,,,18,0,10,27,,,16.0,22.0,14.0,22.0,,,,,,
29,60.046875,42,,,,1,0,6,16,,,17,15,12,29,,,9,0,11,14,,,6,1,1,27,,,7,15,2,1,,,19,22,0,13,,,18,15,1,2,,,17,22,6,27,,,7,3,7,7,,,16.0,0.0,1.0,7.0,,,,,,
30,60.03125,42,,,,6,23,6,14,,,10,24,1,11,,,1,23,12,29,,,6,5,4,1,,,6,12,16,14,,,7,13,19,18,,,6,11,12,14,,,14,15,19,10,,,6,2,18,14,,,6.0,27.0,7.0,8.0,,,,,,
31,60.0625,42,,,,15,22,10,0,,,6,3,8,15,,,7,3,15,15,,,9,0,11,0,,,19,20,0,16,,,18,1,3,29,,,7,10,1,10,,,11,28,14,15,,,1,16,0,8,,,16.0,28.0,10.0,22.0,,,,,,
32,60.046875,42,,,,13,1,14,1,,,7,13,10,19,,,18,28,0,19,,,19,11,8,1,,,1,0,19,15,,,19,19,14,0,,,10,26,1,1,,,11,1,19,20,,,0,21,1,8,,,10.0,28.0,16.0,22.0,,,,,,
33,60.03125,42,,,,6,21,14,0,,,10,21,0,11,,,6,29,0,21,,,16,0,8,1,,,19,29,10,27,,,16,15,1,8,,,19,14,1,9,,,19,17,0,29,,,0,20,10,15,,,1.0,28.0,0.0,1.0,,,,,,
34,0.546875,42,41.0,34.0,33.0,7,6,1,23,25.0,24.0,7,4,10,23,33.0,32.0,12,22,1,1,27.0,26.0,8,1,19,14,6.0,5.0,14,1,18,0,33.0,32.0,15,14,0,27,15.0,14.0,19,11,16,0,41.0,40.0,16,22,0,26,7.0,6.0,8,0,14,0,,,,,,,13.0,12.0,10.0,17.0,7.0,10.0
