episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
1,0.375,42,6.0,20,1.5,5,10,6,19,1.5,7,1,5,1,1.5,0,10,7,18,1.5,9,17,8,1
2,0.328125,42,6.0,18,1.5,9,1,1,1,1.5,5,0,8,0,1.5,0,14,3,11,1.5,4,0,9,11
3,0.453125,42,6.0,26,1.5,3,14,4,0,1.5,5,19,0,10,1.5,6,10,3,19,1.5,8,19,2,0
4,0.578125,42,6.0,32,1.5,9,6,3,0,1.5,9,3,0,19,1.5,6,0,9,0,1.5,0,7,6,9
5,0.21875,42,6.0,13,1.5,6,17,3,19,1.5,0,7,6,14,1.5,7,10,9,16,1.5,3,9,9,7
6,0.796875,42,6.0,45,1.5,7,18,4,19,1.5,3,10,5,19,1.5,8,0,4,9,1.5,1,9,0,5
7,0.296875,42,6.0,17,1.5,7,9,9,16,1.5,9,11,3,5,1.5,0,17,3,10,1.5,6,15,3,15
8,0.296875,42,6.0,17,1.5,3,10,1,1,1.5,4,9,0,15,1.5,9,9,8,9,1.5,0,8,4,1
9,0.375,42,6.0,22,1.5,4,10,6,13,1.5,2,0,3,18,1.5,6,15,6,1,1.5,3,6,9,13
10,0.203125,42,6.0,11,1.5,9,0,3,4,1.5,6,17,3,18,1.5,0,18,0,11,1.5,6,9,7,19
11,0.234375,42,6.0,14,1.5,9,1,2,1,1.5,9,8,6,9,1.5,8,10,3,1,1.5,3,12,6,15
12,0.65625,42,6.0,38,1.5,9,0,8,9,1.5,8,10,8,0,1.5,0,16,0,0,1.5,1,10,8,1
13,0.34375,42,6.0,20,1.5,4,9,6,0,1.5,3,0,5,0,1.5,6,13,8,0,1.5,6,17,4,1
14,0.359375,42,6.0,19,1.5,0,4,3,18,1.5,2,9,6,11,1.5,6,1,0,13,1.5,0,16,6,13
15,0.3125,42,6.0,17,1.5,9,3,6,2,1.5,0,9,6,0,1.5,4,9,7,18,1.5,6,1,6,9
16,0.359375,42,6.0,19,1.5,6,0,0,3,1.5,3,3,3,18,1.5,0,10,6,5,1.5,8,9,3,8
17,0.484375,42,6.0,26,1.5,1,18,9,2,1.5,3,15,2,1,1.5,9,17,9,19,1.5,3,0,0,4
18,0.4375,42,6.0,21,1.5,0,6,3,2,1.5,3,0,6,12,1.5,8,19,9,10,1.5,9,3,3,18
19,2.078125,42,1.0,100,0.5,6,0,6,13,0.5,8,0,3,16,0.5,0,14,9,19,-0.5,5,0,3,15
20,0.625,42,6.0,29,1.5,3,5,0,12,1.5,3,6,7,19,1.5,8,18,0,2,1.5,0,19,0,10
21,0.578125,42,6.0,26,1.5,6,16,5,0,1.5,0,18,0,17,1.5,6,19,9,8,1.5,4,1,9,12
22,0.515625,42,6.0,23,1.5,6,16,2,1,1.5,0,19,6,15,1.5,4,19,3,12,1.5,3,19,3,2
23,0.328125,42,6.0,15,1.5,6,6,3,7,1.5,9,15,3,10,1.5,6,9,0,10,1.5,3,9,0,13
24,0.359375,42,6.0,16,1.5,4,19,7,18,1.5,4,1,8,0,1.5,9,9,2,18,1.5,6,17,9,16
