episode,cpu_time,seed,total_reward,timesteps,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
1,0.203125,42,-4.0,100,-1.0,9,17,8,1,-1.0,5,10,6,19,-1.0,7,1,5,1,-1.0,0,10,7,18
2,0.15625,42,-3.5,100,-1.0,4,0,9,11,-1.0,9,1,1,1,-0.5,5,0,8,0,-1.0,0,14,3,11
3,0.203125,42,-4.0,100,-1.0,8,19,2,0,-1.0,3,14,4,0,-1.0,5,19,0,10,-1.0,6,10,3,19
4,0.171875,42,-4.0,100,-1.0,0,7,6,9,-1.0,9,6,3,0,-1.0,9,3,0,19,-1.0,6,0,9,0
5,0.1875,42,-3.5,100,-1.0,3,9,9,7,-0.5,6,17,3,19,-1.0,0,7,6,14,-1.0,7,10,9,16
6,0.171875,42,-3.5,100,-0.5,1,9,0,5,-1.0,7,18,4,19,-1.0,3,10,5,19,-1.0,8,0,4,9
7,0.171875,42,-4.0,100,-1.0,6,15,3,15,-1.0,7,9,9,16,-1.0,9,11,3,5,-1.0,0,17,3,10
8,0.171875,42,-3.5,100,-1.0,0,8,4,1,-1.0,3,10,1,1,-1.0,4,9,0,15,-0.5,9,9,8,9
9,0.1875,42,-4.0,100,-1.0,3,6,9,13,-1.0,4,10,6,13,-1.0,2,0,3,18,-1.0,6,15,6,1
10,0.1875,42,-3.0,100,-1.0,6,9,7,19,-1.0,9,0,3,4,-0.5,6,17,3,18,-0.5,0,18,0,11
11,0.203125,42,-4.0,100,-1.0,3,12,6,15,-1.0,9,1,2,1,-1.0,9,8,6,9,-1.0,8,10,3,1
12,0.171875,42,-4.0,100,-1.0,1,10,8,1,-1.0,9,0,8,9,-1.0,8,10,8,0,-1.0,0,16,0,0
13,0.203125,42,-3.5,100,-1.0,6,17,4,1,-1.0,4,9,6,0,-0.5,3,0,5,0,-1.0,6,13,8,0
14,0.1875,42,-4.0,100,-1.0,0,16,6,13,-1.0,0,4,3,18,-1.0,2,9,6,11,-1.0,6,1,0,13
15,0.171875,42,-3.5,100,-1.0,6,1,6,9,-0.5,9,3,6,2,-1.0,0,9,6,0,-1.0,4,9,7,18
16,0.171875,42,-4.0,100,-1.0,8,9,3,8,-1.0,6,0,0,3,-1.0,3,3,3,18,-1.0,0,10,6,5
17,0.1875,42,-3.5,100,-1.0,3,0,0,4,-1.0,1,18,9,2,-1.0,3,15,2,1,-0.5,9,17,9,19
18,0.171875,42,-4.0,100,-1.0,9,3,3,18,-1.0,0,6,3,2,-1.0,3,0,6,12,-1.0,8,19,9,10
19,0.15625,42,-4.0,100,-1.0,5,0,3,15,-1.0,6,0,6,13,-1.0,8,0,3,16,-1.0,0,14,9,19
