episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.078125,42,,,,0,8,3,15,,,8,1,9,6,,,6,12,0,7,,,3.0,16.0,6.0,16.0,,,,,,
1,60.078125,42,,,,0,18,6,19,,,0,8,8,0,,,6,0,6,18,,,9.0,17.0,9.0,0.0,,,,,,
2,60.09375,42,,,,5,1,5,0,,,0,11,3,10,,,9,5,0,16,,,3.0,17.0,9.0,13.0,,,,,,
3,60.09375,42,,,,8,1,6,2,,,6,11,3,16,,,3,13,3,17,,,9.0,3.0,1.0,0.0,,,,,,
4,58.375,42,35.0,14.0,12.0,6,3,9,4,15.0,14.0,9,9,3,1,28.0,23.0,0,5,6,10,,,,,,,35.0,23.0,0.0,8.0,9.0,6.0
5,60.09375,42,,,,0,15,0,6,,,7,1,9,17,,,6,16,3,17,,,3.0,8.0,9.0,10.0,,,,,,
6,21.6875,42,32.0,23.0,22.0,8,1,3,18,4.0,3.0,7,1,4,1,14.0,13.0,0,17,0,4,,,,,,,32.0,24.0,6.0,14.0,3.0,9.0
7,60.09375,42,,,,6,2,9,12,,,0,14,3,9,,,7,0,9,17,,,6.0,14.0,3.0,13.0,,,,,,
8,60.0625,42,,,,3,5,3,19,,,9,11,9,1,,,3,10,0,17,,,0.0,7.0,3.0,18.0,,,,,,
9,60.078125,42,,,,0,11,1,0,,,6,15,6,3,,,3,19,6,13,,,3.0,6.0,9.0,14.0,,,,,,
10,60.109375,42,,,,3,16,6,16,,,0,14,0,8,,,9,4,3,4,,,6.0,9.0,8.0,0.0,,,,,,
11,60.125,42,,,,9,4,3,11,,,3,16,9,10,,,9,2,3,2,,,9.0,5.0,2.0,0.0,,,,,,
12,60.109375,42,,,,6,14,0,18,,,6,10,9,2,,,0,12,0,0,,,9.0,4.0,9.0,1.0,,,,,,
13,33.171875,42,29.0,6.0,5.0,8,1,3,1,11.0,10.0,6,13,6,3,2.0,1.0,3,19,3,18,,,,,,,29.0,27.0,9.0,0.0,6.0,16.0
14,60.109375,42,,,,5,0,2,0,,,6,4,0,10,,,0,3,3,16,,,0.0,12.0,6.0,13.0,,,,,,
15,60.15625,42,,,,6,12,0,7,,,3,19,8,0,,,9,6,6,10,,,6.0,4.0,6.0,2.0,,,,,,
16,13.828125,42,32.0,21.0,9.0,6,3,0,2,13.0,12.0,9,1,3,7,14.0,13.0,3,3,3,16,,,,,,,32.0,21.0,0.0,8.0,6.0,7.0
17,12.03125,42,33.0,33.0,32.0,0,19,9,6,6.0,5.0,3,1,0,3,15.0,14.0,3,13,1,1,,,,,,,2.0,1.0,9.0,18.0,9.0,19.0
18,60.09375,42,,,,9,3,9,12,,,0,5,3,3,,,9,6,3,15,,,3.0,1.0,6.0,12.0,,,,,,
19,60.078125,42,,,,0,11,9,19,,,6,3,6,13,,,5,0,3,13,,,9.0,0.0,3.0,14.0,,,,,,
20,60.140625,42,,,,9,2,0,2,,,3,5,0,9,,,0,15,0,8,,,3.0,6.0,8.0,0.0,,,,,,
21,60.0625,42,,,,6,18,0,14,,,6,16,9,10,,,3,18,5,0,,,6.0,17.0,9.0,14.0,,,,,,
22,6.671875,42,32.0,32.0,29.0,4,1,3,11,21.0,20.0,6,16,1,1,15.0,14.0,3,17,3,3,,,,,,,2.0,1.0,0.0,14.0,0.0,15.0
23,60.078125,42,,,,6,14,9,16,,,6,9,0,8,,,6,7,3,7,,,3.0,9.0,0.0,10.0,,,,,,
24,60.09375,42,,,,3,7,4,1,,,9,16,6,16,,,3,9,3,18,,,9.0,11.0,3.0,0.0,,,,,,
25,0.03125,42,21.0,18.0,17.0,9,17,9,0,18.0,17.0,3,0,3,17,21.0,20.0,8,1,6,19,,,,,,,20.0,19.0,8.0,0.0,6.0,17.0
26,60.078125,42,,,,3,1,9,11,,,0,7,0,11,,,0,8,6,16,,,3.0,17.0,0.0,18.0,,,,,,
27,60.09375,42,,,,6,18,6,2,,,3,4,0,16,,,9,2,3,18,,,6.0,5.0,9.0,6.0,,,,,,
28,60.140625,42,,,,0,1,6,13,,,7,1,3,15,,,4,1,3,4,,,6.0,18.0,6.0,9.0,,,,,,
29,60.109375,42,,,,0,12,6,9,,,6,5,0,7,,,0,8,7,1,,,6.0,11.0,3.0,14.0,,,,,,
30,60.09375,42,,,,9,0,0,17,,,0,3,3,6,,,0,16,6,12,,,4.0,1.0,0.0,13.0,,,,,,
31,29.15625,42,40.0,40.0,36.0,0,9,0,15,30.0,28.0,0,16,3,3,25.0,24.0,6,6,9,13,,,,,,,28.0,18.0,6.0,14.0,9.0,1.0
32,60.125,42,,,,9,19,6,8,,,6,5,6,6,,,3,17,3,3,,,3.0,7.0,0.0,2.0,,,,,,
33,60.109375,42,,,,0,13,3,18,,,9,16,9,0,,,3,14,0,5,,,4.0,0.0,0.0,7.0,,,,,,
34,60.09375,42,,,,3,1,3,16,,,4,0,9,14,,,6,13,0,14,,,4.0,1.0,6.0,4.0,,,,,,
35,60.109375,42,,,,6,1,9,15,,,3,19,3,6,,,9,2,6,2,,,3.0,0.0,5.0,1.0,,,,,,
36,60.140625,42,,,,9,6,3,9,,,3,16,9,4,,,3,2,0,0,,,0.0,1.0,9.0,10.0,,,,,,
37,60.125,42,,,,6,1,3,5,,,0,12,0,9,,,3,3,6,13,,,6.0,2.0,0.0,10.0,,,,,,
38,60.078125,42,,,,3,1,6,18,,,2,0,9,14,,,6,12,8,0,,,6.0,19.0,3.0,5.0,,,,,,
39,19.75,42,39.0,18.0,15.0,6,8,0,3,39.0,33.0,9,12,0,12,25.0,21.0,9,17,6,3,,,,,,,10.0,9.0,0.0,9.0,1.0,1.0
40,60.109375,42,,,,6,2,3,18,,,3,10,9,2,,,3,4,9,16,,,9.0,4.0,3.0,5.0,,,,,,
41,60.125,42,,,,0,18,6,9,,,9,15,5,1,,,6,10,9,11,,,3.0,2.0,2.0,1.0,,,,,,
42,4.796875,42,33.0,32.0,27.0,9,14,0,4,33.0,20.0,0,16,3,3,33.0,32.0,0,15,3,16,,,,,,,22.0,21.0,9.0,19.0,6.0,1.0
43,60.140625,42,,,,9,17,0,8,,,9,19,7,0,,,0,13,9,5,,,9.0,10.0,9.0,9.0,,,,,,
44,3.09375,42,22.0,22.0,19.0,9,10,3,5,9.0,8.0,0,10,0,2,4.0,3.0,5,1,8,1,,,,,,,22.0,21.0,1.0,0.0,3.0,19.0
