episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
34,1.15625,42,9.0,42,1.5,0,27,10,19,1.5,0,4,19,13,1.5,4,1,6,23,1.5,12,22,13,0,1.5,7,13,1,15,1.5,19,22,15,15
35,2.671875,42,9.0,95,1.5,13,28,0,28,1.5,18,28,17,15,1.5,0,19,10,15,1.5,16,28,1,0,1.5,14,22,19,13,1.5,0,5,6,27
36,1.84375,42,9.0,54,1.5,4,29,19,19,1.5,0,18,7,14,1.5,1,0,8,1,1.5,6,19,12,0,1.5,7,9,3,29,1.5,19,23,5,29
37,2.078125,42,9.0,58,1.5,0,5,0,24,1.5,19,20,1,3,1.5,10,22,14,0,1.5,19,12,11,1,1.5,10,1,1,2,1.5,7,12,17,29
38,1.703125,42,9.0,51,1.5,19,22,16,28,1.5,14,29,1,11,1.5,1,8,6,26,1.5,6,23,19,14,1.5,10,22,7,5,1.5,0,1,14,22
39,1.828125,42,9.0,51,1.5,0,4,16,15,1.5,11,1,3,29,1.5,12,0,7,4,1.5,16,0,17,15,1.5,0,24,1,23,1.5,18,0,1,27
40,1.640625,42,9.0,49,1.5,10,24,0,27,1.5,6,4,15,0,1.5,19,14,6,13,1.5,8,15,4,0,1.5,18,29,19,13,1.5,15,15,6,22
41,3.453125,42,1.5,100,0.5,19,21,2,1,0.5,6,25,7,1,0.5,18,29,1,24,-1.0,0,26,8,15,0.5,2,29,19,28,0.5,11,28,1,26
42,2.90625,42,9.0,81,1.5,19,20,6,9,1.5,14,28,0,15,1.5,0,24,1,3,1.5,17,29,7,6,1.5,19,2,1,14,1.5,17,0,10,22
43,1.53125,42,9.0,43,1.5,19,12,1,5,1.5,17,14,19,11,1.5,1,2,3,29,1.5,6,0,10,23,1.5,19,10,10,18,1.5,5,29,1,7
