episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_steps,agent_12_total_distance,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.03125,42,,,,0,20,14,15,,,15,28,15,14,,,11,28,13,29,,,6,28,16,1,,,6,27,7,15,,,18,15,0,29,,,0,19,17,29,,,13,1,7,1,,,1,16,7,12,,,0,21,6,12,,,8,14,1,11,,,19.0,24.0,19.0,13.0,,,,,,
1,0.3125,42,39.0,7.0,6.0,11,15,17,15,24.0,23.0,6,20,3,0,31.0,30.0,17,14,11,0,28.0,27.0,9,14,1,7,38.0,37.0,6,29,15,1,20.0,19.0,7,1,13,14,33.0,32.0,1,22,6,9,7.0,6.0,0,21,0,15,33.0,32.0,10,0,19,23,17.0,16.0,19,4,7,0,39.0,38.0,0,14,19,5,,,,,,,20.0,19.0,15.0,29.0,18.0,15.0
2,60.078125,42,,,,12,22,19,12,,,15,29,19,22,,,15,14,6,22,,,1,14,6,2,,,6,11,19,8,,,7,4,6,12,,,7,11,0,17,,,0,10,7,5,,,9,15,16,15,,,1,5,1,13,,,14,28,0,29,,,12.0,28.0,12.0,29.0,,,,,,
3,60.03125,42,,,,7,6,5,29,,,6,3,15,15,,,1,21,6,27,,,10,15,16,28,,,12,14,17,29,,,19,16,6,16,,,6,28,19,6,,,1,6,4,0,,,17,22,1,24,,,11,0,12,28,,,13,14,11,1,,,0.0,22.0,1.0,2.0,,,,,,
4,60.015625,42,,,,17,22,7,3,,,1,15,7,13,,,16,28,10,16,,,0,1,0,8,,,16,15,1,2,,,16,1,1,26,,,15,29,0,26,,,12,1,6,28,,,7,5,12,14,,,13,15,11,28,,,3,0,18,14,,,10.0,1.0,10.0,15.0,,,,,,
5,60.0625,42,,,,0,18,6,7,,,15,15,6,28,,,10,17,19,26,,,11,1,1,19,,,10,15,3,0,,,10,0,6,21,,,0,20,19,28,,,10,14,18,14,,,16,15,1,23,,,5,0,17,14,,,10,24,0,13,,,0.0,7.0,3.0,1.0,,,,,,
6,60.03125,42,,,,19,11,17,0,,,4,1,6,1,,,6,27,1,8,,,12,0,6,4,,,0,28,0,5,,,10,1,0,24,,,7,13,0,20,,,16,0,15,22,,,19,29,14,0,,,12,1,13,1,,,6,21,7,3,,,6.0,23.0,13.0,29.0,,,,,,
7,60.03125,42,,,,1,6,12,28,,,19,7,11,0,,,7,12,10,25,,,19,15,6,10,,,1,4,19,20,,,7,11,0,20,,,13,1,6,6,,,7,0,0,27,,,1,8,6,5,,,6,15,19,21,,,1,24,6,11,,,5.0,0.0,19.0,9.0,,,,,,
8,60.03125,42,,,,7,11,2,29,,,13,14,0,18,,,7,2,0,22,,,2,0,19,7,,,15,15,0,29,,,19,22,13,15,,,15,29,1,16,,,1,29,14,0,,,13,29,5,1,,,16,1,16,29,,,7,0,10,18,,,14.0,15.0,9.0,15.0,,,,,,
9,60.03125,42,,,,1,10,10,19,,,7,4,0,21,,,18,15,11,22,,,0,4,0,19,,,15,1,6,23,,,7,10,16,1,,,13,29,0,9,,,12,0,1,11,,,6,26,7,11,,,5,1,1,13,,,10,29,6,3,,,1.0,2.0,1.0,3.0,,,,,,
10,60.015625,42,,,,12,22,10,26,,,0,23,10,21,,,1,10,4,1,,,10,20,0,5,,,16,14,1,4,,,1,9,19,20,,,4,29,6,23,,,19,12,7,8,,,19,27,7,4,,,10,19,16,0,,,7,0,0,14,,,6.0,7.0,0.0,18.0,,,,,,
11,60.0625,42,,,,3,0,19,19,,,7,9,6,3,,,12,14,8,1,,,7,10,18,1,,,6,29,6,28,,,19,15,3,29,,,1,6,0,4,,,10,16,6,11,,,9,14,17,15,,,7,6,0,2,,,16,28,19,6,,,2.0,1.0,1.0,2.0,,,,,,
12,60.03125,42,,,,5,0,19,15,,,10,0,15,22,,,6,0,6,1,,,0,24,10,26,,,12,1,19,10,,,12,14,19,24,,,0,27,1,22,,,3,1,1,24,,,1,25,0,8,,,12,0,1,2,,,14,14,10,1,,,14.0,1.0,9.0,15.0,,,,,,
13,60.03125,42,,,,6,12,7,15,,,5,1,19,8,,,17,22,1,28,,,7,3,19,28,,,16,29,19,15,,,19,21,1,11,,,6,0,1,7,,,1,16,9,0,,,19,19,0,10,,,11,1,4,29,,,4,0,6,27,,,10.0,28.0,19.0,22.0,,,,,,
14,60.109375,42,,,,19,28,0,5,,,1,4,15,22,,,19,5,6,4,,,0,20,12,0,,,14,29,6,21,,,18,0,6,13,,,19,4,19,3,,,1,21,0,21,,,0,26,14,15,,,8,0,6,15,,,7,5,2,0,,,6.0,0.0,0.0,1.0,,,,,,
15,60.046875,42,,,,19,15,10,23,,,19,18,13,29,,,1,25,19,1,,,0,7,0,10,,,0,28,1,14,,,0,15,3,1,,,17,22,5,29,,,19,5,19,29,,,1,5,15,29,,,14,29,6,1,,,1,11,19,23,,,6.0,12.0,7.0,12.0,,,,,,
16,60.078125,42,,,,7,12,0,27,,,6,27,4,1,,,1,2,7,13,,,19,14,19,13,,,0,3,13,0,,,1,9,15,15,,,1,22,10,19,,,3,0,6,23,,,1,0,1,15,,,0,4,18,28,,,12,22,16,28,,,19.0,22.0,0.0,5.0,,,,,,
17,60.046875,42,,,,13,28,4,29,,,0,19,7,9,,,14,22,7,14,,,17,15,12,0,,,1,0,5,29,,,6,27,19,19,,,0,28,8,1,,,10,15,3,29,,,19,13,19,20,,,0,18,19,12,,,6,19,7,12,,,19.0,23.0,0.0,5.0,,,,,,
18,60.046875,42,,,,10,22,1,8,,,10,1,1,11,,,1,3,19,14,,,11,1,14,22,,,17,29,16,28,,,0,24,6,26,,,14,0,7,5,,,1,2,16,0,,,14,29,18,0,,,6,23,0,4,,,0,1,12,0,,,19.0,22.0,3.0,29.0,,,,,,
