episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_steps,agent_12_total_distance,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
19,60.046875,42,,,,17,15,4,0,,,1,27,6,22,,,16,15,0,27,,,7,4,6,13,,,1,23,19,13,,,6,4,6,25,,,8,15,0,26,,,15,15,11,28,,,10,24,19,21,,,19,14,2,29,,,18,29,7,1,,,15.0,0.0,1.0,26.0,,,,,,
20,60.046875,42,,,,2,1,6,9,,,1,24,1,3,,,19,28,1,14,,,14,28,17,14,,,17,29,6,0,,,17,0,5,29,,,19,20,19,12,,,0,24,1,2,,,19,2,19,10,,,0,15,19,11,,,7,6,10,23,,,10.0,22.0,1.0,7.0,,,,,,
21,60.140625,42,,,,1,5,6,26,,,3,29,10,21,,,10,18,8,0,,,7,2,12,22,,,0,26,16,22,,,9,1,6,18,,,0,4,17,15,,,13,22,6,0,,,0,12,19,26,,,1,14,7,13,,,1,9,14,15,,,17.0,22.0,19.0,1.0,,,,,,
22,60.046875,42,,,,16,14,19,18,,,18,1,6,23,,,9,0,3,1,,,0,9,0,11,,,7,10,0,1,,,1,11,6,13,,,19,4,19,13,,,1,24,8,1,,,1,22,19,5,,,1,27,0,23,,,11,15,0,21,,,10.0,16.0,17.0,22.0,,,,,,
23,60.0625,42,,,,0,24,6,1,,,0,11,10,18,,,6,20,15,29,,,19,12,10,29,,,12,29,11,15,,,0,22,10,27,,,17,28,14,22,,,18,0,1,0,,,16,22,17,15,,,19,7,9,0,,,1,24,7,15,,,19.0,25.0,19.0,22.0,,,,,,
24,60.03125,42,,,,18,15,7,7,,,17,22,1,7,,,7,3,6,23,,,16,0,10,24,,,6,16,1,23,,,12,29,6,5,,,11,14,6,12,,,1,27,7,13,,,2,1,6,11,,,0,13,14,15,,,1,2,6,2,,,6.0,27.0,6.0,14.0,,,,,,
25,60.0625,42,,,,1,11,7,3,,,12,29,9,0,,,1,23,19,20,,,4,1,18,1,,,16,14,7,10,,,19,18,11,28,,,12,14,1,16,,,19,10,16,28,,,18,14,10,0,,,7,8,8,15,,,15,22,15,15,,,6.0,3.0,11.0,0.0,,,,,,
26,60.046875,42,,,,0,16,19,19,,,3,29,10,26,,,1,10,11,1,,,14,15,0,21,,,0,8,10,28,,,1,16,14,1,,,10,22,10,19,,,13,1,0,19,,,7,13,8,1,,,18,28,19,15,,,19,11,14,0,,,1.0,0.0,1.0,1.0,,,,,,
27,60.046875,42,,,,19,20,1,28,,,1,8,14,0,,,16,22,0,11,,,6,21,0,21,,,10,21,8,1,,,6,29,10,27,,,16,0,1,9,,,19,29,0,29,,,16,15,10,15,,,19,14,0,1,,,19,17,10,17,,,0.0,20.0,7.0,6.0,,,,,,
28,60.03125,42,,,,7,4,19,14,,,12,22,18,0,,,8,1,0,27,,,14,1,16,0,,,15,14,0,26,,,19,11,14,0,,,16,22,0,20,,,8,0,7,9,,,7,10,11,29,,,1,23,6,23,,,10,23,19,12,,,1.0,1.0,15.0,28.0,,,,,,
29,60.03125,42,,,,1,17,8,15,,,12,14,6,0,,,14,14,5,29,,,6,4,1,6,,,14,22,19,21,,,19,6,1,3,,,17,1,0,19,,,15,14,19,15,,,11,1,10,1,,,2,1,6,28,,,16,15,14,15,,,6.0,11.0,6.0,15.0,,,,,,
30,60.046875,42,,,,0,29,11,28,,,14,14,19,26,,,1,10,0,1,,,10,0,13,29,,,19,18,18,0,,,19,15,6,25,,,6,10,0,27,,,15,29,2,29,,,10,26,18,1,,,7,7,19,2,,,1,2,11,1,,,6.0,14.0,0.0,28.0,,,,,,
31,60.015625,42,,,,0,27,4,1,,,7,7,19,22,,,10,20,7,3,,,0,7,6,0,,,12,29,6,29,,,9,14,5,0,,,0,2,8,0,,,0,21,19,11,,,7,2,14,22,,,14,0,15,29,,,17,15,0,25,,,6.0,26.0,6.0,17.0,,,,,,
32,60.015625,42,,,,19,29,11,22,,,0,10,10,28,,,19,2,0,20,,,12,28,12,22,,,3,29,19,6,,,15,29,18,28,,,17,28,0,6,,,0,9,1,26,,,0,24,1,25,,,12,1,7,1,,,0,5,1,2,,,1.0,1.0,18.0,14.0,,,,,,
33,60.046875,42,,,,15,28,10,24,,,16,29,19,25,,,1,15,16,22,,,0,3,19,21,,,19,9,1,24,,,4,0,3,29,,,11,29,18,1,,,0,8,1,26,,,0,1,0,13,,,1,5,12,14,,,0,11,19,22,,,17.0,1.0,19.0,13.0,,,,,,
34,60.03125,42,,,,0,27,7,13,,,15,22,9,1,,,18,0,14,28,,,13,1,9,15,,,17,1,11,0,,,17,28,0,19,,,7,0,18,1,,,0,9,1,5,,,7,2,17,0,,,1,16,14,15,,,0,26,0,12,,,0.0,28.0,1.0,14.0,,,,,,
35,0.625,42,50.0,23.0,22.0,2,29,0,9,4.0,3.0,0,22,1,20,32.0,31.0,13,22,19,3,4.0,3.0,8,1,7,3,31.0,30.0,19,25,6,22,50.0,49.0,14,29,1,9,19.0,18.0,10,26,6,12,31.0,30.0,7,14,0,21,48.0,47.0,0,12,15,22,6.0,5.0,0,16,1,12,18.0,17.0,10,27,6,14,,,,,,,3.0,2.0,0.0,3.0,0.0,1.0
36,60.046875,42,,,,19,25,19,17,,,10,21,9,1,,,7,3,5,0,,,9,14,6,23,,,16,0,10,18,,,1,28,13,14,,,11,1,11,22,,,19,0,6,29,,,10,17,19,16,,,7,0,1,6,,,1,3,7,14,,,1.0,26.0,13.0,0.0,,,,,,
37,60.03125,42,,,,6,20,6,25,,,19,10,16,0,,,7,6,10,25,,,0,29,6,19,,,0,27,11,1,,,19,23,6,22,,,1,0,1,5,,,19,18,6,21,,,3,0,17,29,,,0,21,1,19,,,5,0,10,20,,,10.0,26.0,10.0,23.0,,,,,,
38,60.0625,42,,,,6,0,10,15,,,19,11,10,21,,,0,8,13,14,,,4,29,9,15,,,6,23,11,22,,,7,7,10,20,,,7,6,11,28,,,1,3,10,27,,,1,21,1,26,,,0,21,16,1,,,10,17,6,6,,,6.0,8.0,1.0,15.0,,,,,,
39,60.046875,42,,,,6,26,19,11,,,8,15,18,1,,,10,29,7,13,,,8,14,14,14,,,6,10,8,1,,,19,21,2,1,,,7,15,16,22,,,16,29,1,26,,,14,15,6,0,,,10,1,8,0,,,19,3,17,28,,,0.0,29.0,6.0,15.0,,,,,,
40,0.9375,42,33.0,2.0,1.0,0,9,1,9,33.0,32.0,0,26,14,14,23.0,22.0,0,12,5,29,2.0,1.0,0,16,0,15,6.0,5.0,18,29,14,28,25.0,24.0,17,29,19,7,33.0,32.0,17,14,0,3,21.0,20.0,0,17,6,27,29.0,28.0,3,1,17,15,4.0,3.0,10,15,13,15,24.0,23.0,6,4,18,15,,,,,,,3.0,2.0,7.0,11.0,7.0,9.0
41,60.015625,42,,,,6,23,0,17,,,6,13,19,28,,,13,22,7,0,,,1,5,15,22,,,1,24,6,25,,,10,23,5,29,,,12,14,12,29,,,0,27,1,2,,,7,14,13,15,,,6,11,15,0,,,7,12,6,16,,,19.0,20.0,19.0,12.0,,,,,,
42,60.03125,42,,,,11,14,19,11,,,6,4,19,27,,,0,2,19,20,,,12,15,10,1,,,1,17,1,15,,,15,1,17,29,,,8,14,16,22,,,7,4,11,28,,,1,7,1,2,,,13,22,7,13,,,6,23,7,0,,,17.0,28.0,18.0,0.0,,,,,,
43,60.046875,42,,,,6,17,1,11,,,6,3,1,25,,,0,18,19,8,,,17,28,19,16,,,15,0,0,10,,,0,9,11,0,,,6,27,1,23,,,7,7,1,14,,,7,5,4,0,,,19,11,7,10,,,1,4,19,28,,,5.0,1.0,10.0,20.0,,,,,,
44,60.03125,42,,,,14,0,6,21,,,7,10,12,14,,,0,3,16,14,,,0,19,15,14,,,2,1,10,26,,,1,25,0,13,,,17,29,14,1,,,18,0,6,11,,,18,14,14,28,,,11,14,9,1,,,10,1,19,2,,,11.0,22.0,6.0,5.0,,,,,,
45,60.03125,42,,,,19,14,5,0,,,18,0,10,20,,,6,3,0,27,,,7,8,18,1,,,8,15,6,15,,,15,22,6,5,,,12,29,10,19,,,18,14,7,12,,,6,12,8,0,,,7,13,0,24,,,6,26,0,5,,,19.0,9.0,6.0,19.0,,,,,,
46,60.015625,42,,,,19,29,19,13,,,19,11,13,0,,,11,0,7,0,,,6,17,6,24,,,1,10,5,1,,,0,1,1,2,,,6,5,10,23,,,6,0,10,15,,,1,13,6,23,,,1,29,3,0,,,0,5,1,8,,,10.0,25.0,13.0,14.0,,,,,,
47,60.03125,42,,,,8,14,7,15,,,11,1,14,0,,,13,28,3,29,,,19,25,19,21,,,16,22,16,0,,,10,28,7,3,,,19,2,18,29,,,7,7,0,16,,,19,26,0,26,,,15,14,7,14,,,11,28,14,14,,,19.0,7.0,16.0,29.0,,,,,,
48,60.015625,42,,,,6,28,14,15,,,11,22,14,29,,,10,0,11,1,,,19,21,6,7,,,11,28,0,1,,,6,23,0,28,,,19,23,4,29,,,0,24,0,9,,,19,26,7,14,,,1,5,15,29,,,4,0,7,10,,,17.0,14.0,19.0,1.0,,,,,,
49,60.03125,42,,,,19,26,10,1,,,18,15,9,1,,,7,4,16,22,,,6,2,2,0,,,19,24,19,12,,,1,25,6,29,,,6,22,17,14,,,0,16,1,24,,,16,14,0,8,,,11,22,0,12,,,0,19,6,13,,,1.0,20.0,19.0,19.0,,,,,,
50,60.046875,42,,,,0,11,6,18,,,6,12,16,22,,,0,25,6,15,,,19,14,19,8,,,12,15,1,23,,,15,14,0,23,,,13,28,10,28,,,11,29,18,15,,,15,28,6,29,,,0,1,19,18,,,18,29,7,15,,,14.0,22.0,2.0,0.0,,,,,,
51,60.03125,42,,,,12,22,18,14,,,8,15,8,14,,,0,6,6,7,,,15,1,15,29,,,6,19,19,7,,,13,14,4,29,,,19,6,13,22,,,10,25,10,21,,,12,14,7,0,,,1,28,6,18,,,1,24,0,26,,,6.0,23.0,2.0,29.0,,,,,,
52,60.046875,42,,,,9,15,9,0,,,19,4,19,29,,,18,29,11,14,,,1,12,4,1,,,12,22,15,28,,,0,19,6,21,,,12,15,1,1,,,6,6,0,27,,,7,1,10,17,,,13,29,18,14,,,6,25,13,14,,,16.0,28.0,14.0,15.0,,,,,,
53,60.015625,42,,,,10,22,6,8,,,0,13,1,16,,,6,17,10,1,,,7,11,0,4,,,19,10,5,0,,,1,20,7,1,,,6,6,19,21,,,1,0,11,1,,,0,23,19,2,,,6,11,7,0,,,0,18,6,24,,,0.0,15.0,19.0,4.0,,,,,,
54,60.0625,42,,,,19,20,6,2,,,19,21,19,5,,,15,0,19,9,,,7,13,5,1,,,9,1,8,15,,,19,25,19,26,,,3,29,14,22,,,6,7,1,19,,,19,6,10,21,,,6,16,10,27,,,1,23,11,28,,,10.0,14.0,0.0,5.0,,,,,,
55,60.109375,42,,,,4,29,1,27,,,18,14,16,14,,,1,25,10,19,,,6,1,16,0,,,1,10,11,1,,,1,5,6,28,,,6,7,18,28,,,19,1,7,7,,,0,0,19,18,,,3,1,19,28,,,0,13,10,20,,,10.0,14.0,12.0,15.0,,,,,,
56,60.03125,42,,,,1,28,6,25,,,17,0,11,28,,,12,14,19,19,,,19,7,15,29,,,2,1,7,15,,,16,1,19,15,,,7,5,6,27,,,1,12,1,1,,,1,9,0,8,,,10,14,19,20,,,6,1,14,22,,,0.0,23.0,4.0,1.0,,,,,,
57,60.046875,42,,,,0,9,18,14,,,0,11,0,25,,,1,26,11,1,,,10,17,6,16,,,0,15,15,29,,,19,26,0,13,,,7,2,19,6,,,2,0,13,1,,,8,0,7,0,,,16,1,1,17,,,5,29,19,24,,,0.0,10.0,5.0,0.0,,,,,,
58,60.03125,42,,,,7,10,2,29,,,6,18,0,6,,,1,22,6,4,,,6,23,6,21,,,1,4,6,26,,,0,0,10,0,,,4,0,15,29,,,0,25,7,4,,,6,22,17,29,,,18,28,8,15,,,1,7,1,29,,,7.0,14.0,6.0,1.0,,,,,,
59,60.03125,42,,,,10,22,7,8,,,1,25,0,11,,,19,10,7,11,,,7,7,7,3,,,18,28,13,22,,,12,28,1,13,,,6,4,1,4,,,1,22,10,24,,,14,28,0,10,,,6,3,6,1,,,1,26,1,1,,,19.0,14.0,0.0,4.0,,,,,,
60,60.046875,42,,,,19,11,1,25,,,0,20,10,16,,,0,2,1,22,,,19,14,10,21,,,1,13,12,29,,,17,0,18,1,,,0,7,7,11,,,1,5,0,1,,,0,25,3,1,,,13,15,18,14,,,10,28,9,0,,,7.0,6.0,10.0,27.0,,,,,,
61,60.0625,42,,,,7,2,10,24,,,1,7,19,9,,,19,6,19,26,,,15,28,0,18,,,19,28,6,10,,,18,14,14,15,,,4,0,17,0,,,1,28,1,4,,,1,26,6,0,,,19,11,9,15,,,10,1,16,22,,,19.0,22.0,0.0,25.0,,,,,,
62,60.015625,42,,,,10,23,6,7,,,4,1,6,15,,,1,19,0,4,,,8,0,13,14,,,6,22,1,7,,,11,1,11,29,,,6,0,14,1,,,17,14,18,0,,,0,17,13,22,,,18,28,5,0,,,0,6,14,22,,,14.0,15.0,17.0,15.0,,,,,,
63,60.140625,42,,,,6,0,16,14,,,0,28,7,14,,,19,4,0,27,,,1,3,19,28,,,10,21,2,0,,,1,24,0,0,,,15,28,19,12,,,1,2,0,3,,,12,14,10,0,,,13,0,10,18,,,0,13,10,19,,,1.0,9.0,6.0,16.0,,,,,,
64,60.03125,42,,,,0,29,0,11,,,10,17,7,0,,,19,6,10,22,,,0,20,1,0,,,19,2,4,1,,,6,23,6,6,,,9,0,12,0,,,1,7,19,24,,,10,28,17,28,,,1,11,1,13,,,2,29,0,4,,,14.0,0.0,1.0,5.0,,,,,,
65,60.078125,42,,,,1,22,12,22,,,18,1,8,15,,,19,1,14,1,,,17,29,15,14,,,1,28,10,15,,,10,27,2,1,,,10,25,15,1,,,1,12,13,29,,,10,0,19,26,,,8,14,1,4,,,6,18,6,24,,,15.0,0.0,19.0,12.0,,,,,,
66,60.046875,42,,,,7,15,11,29,,,19,16,6,18,,,0,2,1,6,,,0,8,12,28,,,16,15,7,5,,,6,10,1,4,,,8,1,19,21,,,6,26,2,0,,,6,21,1,10,,,0,21,1,15,,,15,22,19,11,,,19.0,4.0,18.0,15.0,,,,,,
67,60.0625,42,,,,19,26,0,20,,,19,9,14,22,,,1,25,11,28,,,1,18,9,0,,,6,6,16,0,,,7,5,19,18,,,19,2,10,16,,,14,14,6,29,,,11,15,0,23,,,6,14,15,29,,,6,22,19,8,,,8.0,0.0,13.0,14.0,,,,,,
68,60.03125,42,,,,18,29,19,25,,,18,28,19,27,,,16,15,6,14,,,7,13,16,28,,,0,22,13,29,,,0,0,19,14,,,1,16,19,4,,,6,26,10,29,,,14,28,6,18,,,7,2,6,1,,,0,5,6,7,,,1.0,18.0,10.0,25.0,,,,,,
69,60.015625,42,,,,10,16,6,5,,,10,19,6,14,,,6,16,6,11,,,6,21,6,18,,,0,2,15,22,,,10,23,1,0,,,10,17,6,4,,,19,15,1,7,,,7,13,5,1,,,7,5,12,28,,,0,15,0,10,,,1.0,15.0,0.0,5.0,,,,,,
70,60.046875,42,,,,19,19,1,16,,,14,1,19,24,,,1,25,1,12,,,1,15,8,1,,,0,22,0,13,,,7,6,7,5,,,15,0,7,2,,,10,19,1,29,,,19,2,0,29,,,6,6,0,10,,,3,0,0,1,,,7.0,7.0,7.0,8.0,,,,,,
71,60.140625,42,,,,0,20,5,29,,,19,20,15,15,,,1,26,5,0,,,11,28,19,1,,,12,15,15,22,,,7,11,19,7,,,19,3,0,24,,,0,25,19,26,,,1,23,10,26,,,1,27,19,25,,,1,1,6,9,,,4.0,1.0,19.0,19.0,,,,,,
72,60.0625,42,,,,10,20,14,28,,,0,16,10,27,,,6,21,6,20,,,1,1,9,14,,,19,16,8,1,,,5,0,1,7,,,1,20,0,18,,,10,0,1,27,,,6,25,7,2,,,0,22,1,6,,,17,0,0,24,,,18.0,0.0,18.0,14.0,,,,,,
73,60.015625,42,,,,6,13,15,22,,,10,19,0,9,,,8,14,1,17,,,14,15,10,24,,,14,22,19,16,,,4,1,6,21,,,18,1,0,27,,,17,28,1,23,,,6,20,19,6,,,0,25,14,1,,,15,14,0,22,,,0.0,6.0,6.0,16.0,,,,,,
74,60.03125,42,,,,2,0,13,22,,,1,10,1,0,,,18,0,18,1,,,10,27,10,17,,,1,11,19,1,,,11,28,14,29,,,6,22,6,5,,,0,14,9,0,,,7,1,8,15,,,1,12,13,29,,,1,26,6,4,,,19.0,2.0,4.0,1.0,,,,,,
75,60.03125,42,,,,1,6,8,15,,,0,8,6,18,,,19,16,9,0,,,0,17,17,15,,,19,4,6,27,,,0,0,6,10,,,15,29,1,0,,,6,3,0,28,,,8,0,1,11,,,3,1,19,19,,,7,10,0,20,,,7.0,1.0,7.0,8.0,,,,,,
76,60.03125,42,,,,17,28,0,27,,,19,19,1,5,,,1,3,19,10,,,1,7,0,0,,,6,13,6,1,,,10,0,10,25,,,19,20,0,16,,,1,17,7,4,,,1,27,19,23,,,19,1,6,19,,,0,6,8,15,,,6.0,15.0,12.0,0.0,,,,,,
77,60.03125,42,,,,1,12,6,6,,,17,29,10,14,,,19,27,0,11,,,1,2,19,14,,,17,1,0,13,,,14,22,16,14,,,6,12,11,29,,,7,5,10,28,,,1,5,0,12,,,17,15,14,29,,,19,11,11,1,,,12.0,28.0,1.0,18.0,,,,,,
78,60.03125,42,,,,1,18,0,14,,,19,12,6,19,,,8,15,7,2,,,6,28,16,15,,,3,29,0,29,,,11,14,6,27,,,15,0,1,4,,,0,0,16,1,,,10,0,11,0,,,19,28,7,11,,,3,1,6,17,,,19.0,2.0,1.0,5.0,,,,,,
79,60.046875,42,,,,19,12,7,6,,,11,22,10,26,,,6,1,19,18,,,6,22,8,14,,,14,1,6,6,,,13,29,10,1,,,7,3,1,10,,,5,0,0,20,,,12,0,12,22,,,11,29,19,26,,,10,23,18,0,,,0.0,16.0,10.0,19.0,,,,,,
80,60.03125,42,,,,0,9,1,9,,,19,27,5,0,,,7,0,6,10,,,4,0,19,17,,,19,5,13,28,,,14,28,6,11,,,14,29,14,15,,,3,0,14,22,,,19,28,6,18,,,7,1,6,20,,,8,15,10,14,,,12.0,0.0,1.0,4.0,,,,,,
81,60.03125,42,,,,13,29,6,21,,,10,21,7,4,,,7,14,6,28,,,14,1,1,29,,,19,8,0,28,,,6,3,17,15,,,6,24,0,21,,,1,13,6,2,,,11,22,12,1,,,6,20,1,0,,,6,6,11,29,,,13.0,1.0,14.0,14.0,,,,,,
82,60.0625,42,,,,12,0,1,26,,,5,0,19,10,,,0,4,12,1,,,19,4,1,9,,,6,2,0,29,,,16,28,19,0,,,1,15,3,0,,,1,7,15,15,,,15,29,1,1,,,19,16,3,1,,,18,28,12,15,,,15.0,0.0,19.0,9.0,,,,,,
83,60.046875,42,,,,14,22,5,1,,,1,16,10,29,,,19,20,0,14,,,9,14,6,1,,,9,15,13,29,,,13,14,19,24,,,15,22,8,0,,,19,19,6,19,,,10,19,6,28,,,10,25,12,28,,,14,28,0,5,,,1.0,28.0,9.0,1.0,,,,,,
84,60.046875,42,,,,6,19,6,1,,,13,14,18,15,,,19,1,9,14,,,19,21,13,15,,,10,25,7,10,,,6,11,11,0,,,6,29,17,0,,,1,10,6,4,,,19,15,16,29,,,18,1,1,25,,,18,14,6,20,,,6.0,3.0,19.0,10.0,,,,,,
