episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y
0,62.734375,42,,,,0,10,9,17,,,7,19,7,1,,,6,11,7,18,,,3,18,6,19,,,9,3,8,1,,,0,9,5,1,,,6,16,0,14,,,1,10,9,1,,,5,10,4,0
1,68.21875,42,,,,5,0,3,19,,,3,11,4,0,,,1,1,2,0,,,9,11,0,10,,,8,0,6,0,,,6,10,9,6,,,3,14,0,7,,,8,19,9,3,,,5,19,9,0
2,71.625,42,,,,3,0,9,7,,,6,9,6,14,,,0,19,8,0,,,7,10,7,18,,,6,17,1,9,,,3,9,3,10,,,0,7,4,9,,,9,16,4,19,,,3,19,0,5
3,63.25,42,,,,5,19,9,9,,,0,17,0,8,,,7,9,4,9,,,6,15,8,9,,,9,11,1,1,,,3,10,4,1,,,9,16,0,15,,,3,15,4,10,,,3,5,3,6
4,62.3125,42,,,,2,0,0,11,,,6,1,3,4,,,6,13,7,19,,,9,13,8,10,,,3,18,9,1,,,0,18,3,12,,,9,0,9,8,,,6,9,3,1,,,6,17,2,1
5,66.359375,42,,,,6,15,8,0,,,6,9,6,13,,,0,16,4,9,,,9,0,6,17,,,1,10,3,0,,,8,10,6,0,,,0,0,4,1,,,8,9,5,0,,,8,1,6,1
6,65.78125,42,,,,0,4,6,1,,,0,16,0,9,,,2,9,7,18,,,0,13,6,2,,,3,18,6,9,,,6,13,6,0,,,6,11,0,10,,,4,9,8,9,,,9,3,3,3
7,62.171875,42,,,,6,5,9,2,,,0,3,0,4,,,3,8,2,1,,,3,18,8,19,,,9,17,0,6,,,1,18,9,3,,,3,0,9,10,,,3,15,3,2,,,9,19,6,12
8,69.3125,42,,,,0,14,3,5,,,6,0,0,19,,,5,0,3,6,,,8,0,0,2,,,9,19,0,12,,,6,13,0,10,,,3,15,7,19,,,3,16,6,19,,,8,18,6,16
9,69.265625,42,,,,4,1,3,19,,,6,19,0,19,,,0,18,3,12,,,9,8,2,1,,,5,0,3,2,,,9,12,6,15,,,0,17,6,9,,,4,19,6,6,,,6,16,3,9
10,67.328125,42,,,,9,15,2,18,,,0,10,7,18,,,3,7,9,16,,,0,13,8,0,,,3,10,6,19,,,9,9,8,1,,,4,19,4,0,,,6,17,7,1,,,4,1,2,19
11,64.34375,42,,,,0,9,3,3,,,0,11,8,10,,,3,19,6,3,,,9,8,5,19,,,0,14,1,0,,,4,0,4,1,,,6,17,9,3,,,1,10,0,2,,,6,19,7,10
12,71.953125,42,,,,4,19,6,11,,,6,19,0,9,,,6,12,7,10,,,3,18,3,16,,,3,3,8,1,,,6,8,0,4,,,0,16,1,0,,,6,3,1,1,,,0,10,3,6
13,69.796875,42,,,,6,12,9,11,,,0,16,9,18,,,6,14,6,3,,,0,11,3,19,,,1,0,3,8,,,6,4,6,7,,,8,9,0,2,,,0,19,0,17,,,3,2,9,15
14,63.953125,42,,,,3,16,3,19,,,4,10,9,12,,,4,9,0,18,,,8,0,6,2,,,0,7,5,18,,,0,9,8,10,,,2,19,2,18,,,4,18,9,14,,,6,13,3,6
15,65.125,42,,,,5,19,9,7,,,5,9,5,18,,,9,2,0,16,,,3,18,3,3,,,3,1,6,0,,,0,2,3,4,,,3,10,0,12,,,8,19,6,13,,,0,1,0,13
16,70.40625,42,,,,3,0,9,10,,,2,9,9,17,,,6,12,2,0,,,7,0,2,1,,,9,12,0,4,,,7,19,0,16,,,3,5,6,0,,,0,12,5,19,,,6,7,3,11
17,68.203125,42,,,,3,3,3,1,,,9,0,6,8,,,4,1,5,1,,,8,10,9,9,,,9,15,2,10,,,3,4,9,19,,,1,10,9,12,,,9,14,1,0,,,6,9,0,19
18,70.625,42,,,,5,10,7,9,,,0,5,9,2,,,3,2,1,19,,,3,18,0,13,,,9,16,5,9,,,9,19,4,9,,,0,17,3,4,,,9,7,0,2,,,0,10,7,19
19,64.875,42,,,,3,6,2,18,,,6,12,0,0,,,3,15,9,12,,,3,11,9,13,,,9,6,2,1,,,0,10,0,3,,,7,1,0,14,,,7,9,0,7,,,3,12,9,0
20,65.828125,42,,,,9,7,1,9,,,0,17,3,0,,,7,9,3,3,,,1,0,9,19,,,3,10,8,0,,,6,5,3,5,,,6,19,9,16,,,9,5,4,19,,,0,5,5,0
21,65.5,42,,,,3,18,6,14,,,0,16,9,16,,,9,12,0,14,,,0,1,3,2,,,1,0,5,0,,,2,0,9,11,,,3,0,6,16,,,0,15,7,18,,,0,2,6,3
22,68.421875,42,,,,3,16,0,15,,,1,10,3,18,,,9,4,0,14,,,8,10,6,1,,,0,2,9,11,,,6,18,3,14,,,0,9,9,16,,,7,1,3,2,,,8,19,4,18
23,65.40625,42,,,,5,0,0,2,,,6,12,6,5,,,3,4,6,0,,,9,14,0,17,,,5,9,6,9,,,3,1,9,1,,,9,15,0,12,,,9,11,6,19,,,4,19,0,16
24,67.453125,42,,,,7,9,8,10,,,3,16,3,18,,,0,0,4,9,,,9,16,6,9,,,0,19,8,1,,,6,5,9,2,,,1,1,0,2,,,9,12,6,12,,,7,1,0,12
25,68.265625,42,,,,3,1,6,6,,,9,0,9,12,,,2,10,9,4,,,8,9,7,10,,,4,1,6,5,,,2,0,3,15,,,3,6,0,13,,,5,10,3,11,,,7,18,9,11
26,72.015625,42,,,,3,17,2,1,,,0,13,9,19,,,6,11,7,9,,,9,15,9,1,,,9,4,8,18,,,2,19,0,12,,,4,0,9,6,,,5,10,0,7,,,2,9,4,10
27,66.28125,42,,,,6,4,6,5,,,3,9,0,19,,,0,16,0,18,,,1,9,3,1,,,8,19,6,2,,,3,4,0,17,,,3,3,4,0,,,9,11,0,13,,,9,10,5,18
28,63.625,42,,,,0,2,6,14,,,6,18,8,10,,,0,6,3,13,,,1,9,3,4,,,1,0,9,18,,,9,0,5,0,,,3,17,7,1,,,6,4,9,5,,,5,1,8,1
