episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
17,60.046875,42,,,,10,23,7,12,,,13,29,6,27,,,19,1,1,2,,,0,10,19,14,,,1,14,0,3,,,3,1,1,9,,,5,29,1,22,,,19,29,3,0,,,15,29,1,0,,,6,1,0,4,,,19.0,23.0,12.0,22.0,,,,,,
18,60.03125,42,,,,19,22,16,28,,,0,27,0,5,,,4,1,13,28,,,7,13,0,19,,,19,13,14,22,,,13,0,17,15,,,15,15,1,0,,,10,19,6,27,,,6,23,0,28,,,1,15,10,15,,,18.0,28.0,0.0,18.0,,,,,,
19,60.0625,42,,,,6,19,19,20,,,19,23,19,12,,,4,29,7,12,,,1,0,0,5,,,7,9,10,22,,,7,14,10,1,,,12,0,1,3,,,5,29,11,1,,,19,19,17,29,,,8,1,0,24,,,3.0,29.0,14.0,0.0,,,,,,
20,60.046875,42,,,,1,2,6,26,,,14,29,7,5,,,6,23,11,1,,,0,1,16,0,,,19,22,18,0,,,1,8,0,4,,,10,22,12,0,,,1,11,0,24,,,19,14,3,29,,,14,22,17,15,,,16.0,28.0,1.0,27.0,,,,,,
21,60.0625,42,,,,16,15,6,22,,,7,4,0,27,,,1,23,6,13,,,6,4,19,13,,,8,15,6,25,,,15,15,0,26,,,10,24,11,28,,,19,14,19,21,,,18,29,2,29,,,15,0,7,1,,,4.0,0.0,1.0,26.0,,,,,,
22,60.03125,42,,,,2,1,10,22,,,1,24,6,9,,,19,28,1,3,,,14,28,1,14,,,17,29,17,14,,,17,0,6,0,,,19,20,5,29,,,0,24,19,12,,,19,2,1,2,,,0,15,19,10,,,7.0,6.0,19.0,11.0,,,,,,
23,60.046875,42,,,,10,23,1,14,,,1,7,1,9,,,1,5,17,22,,,3,29,6,26,,,10,18,10,21,,,7,2,8,0,,,0,26,12,22,,,9,1,16,22,,,0,4,6,18,,,13,22,17,15,,,0.0,12.0,6.0,0.0,,,,,,
24,60.03125,42,,,,19,26,1,24,,,7,13,1,22,,,14,15,1,27,,,19,1,11,15,,,16,14,10,16,,,18,1,19,18,,,9,0,6,23,,,0,9,3,1,,,7,10,0,11,,,1,11,0,1,,,19.0,4.0,6.0,13.0,,,,,,
25,60.03125,42,,,,19,13,0,22,,,8,1,17,28,,,19,5,18,0,,,0,23,16,22,,,0,21,19,7,,,17,22,1,24,,,0,24,19,25,,,0,11,6,1,,,6,20,10,18,,,19,12,15,29,,,12.0,29.0,10.0,29.0,,,,,,
26,60.03125,42,,,,11,15,17,22,,,10,27,7,3,,,15,29,16,0,,,14,22,6,16,,,1,0,12,29,,,17,15,11,14,,,9,0,1,27,,,6,1,2,1,,,7,15,0,13,,,19,22,1,2,,,18.0,15.0,6.0,27.0,,,,,,
27,60.0625,42,,,,7,7,6,27,,,1,7,6,14,,,6,23,1,11,,,10,24,12,29,,,1,23,4,1,,,6,5,16,14,,,6,12,19,18,,,7,13,12,14,,,6,11,19,10,,,14,15,18,14,,,6.0,2.0,7.0,8.0,,,,,,
28,60.0625,42,,,,15,22,8,15,,,6,3,15,15,,,7,3,11,0,,,9,0,0,16,,,19,20,3,29,,,18,1,1,10,,,7,10,14,15,,,11,28,0,8,,,1,16,10,22,,,16,28,13,1,,,10.0,0.0,7.0,13.0,,,,,,
29,60.046875,42,,,,18,28,8,1,,,19,11,19,15,,,1,0,14,0,,,19,19,1,1,,,10,26,19,20,,,11,1,1,8,,,0,21,16,22,,,10,28,6,21,,,14,1,10,21,,,10,19,6,29,,,0.0,19.0,16.0,0.0,,,,,,
30,60.015625,42,,,,19,29,10,27,,,16,15,1,8,,,19,14,1,9,,,19,17,0,29,,,0,20,10,15,,,1,28,0,1,,,14,0,10,17,,,10,21,7,6,,,0,11,7,4,,,0,21,12,22,,,8.0,1.0,14.0,1.0,,,,,,
31,60.03125,42,,,,15,14,16,0,,,19,11,0,26,,,16,22,14,0,,,8,0,0,20,,,7,10,7,9,,,1,23,11,29,,,10,23,14,1,,,1,1,6,23,,,19,14,19,12,,,18,0,15,28,,,0.0,27.0,1.0,17.0,,,,,,
32,60.03125,42,,,,12,14,8,15,,,14,14,6,0,,,6,4,5,29,,,14,22,1,6,,,19,6,19,21,,,17,1,1,3,,,15,14,0,19,,,11,1,19,15,,,2,1,10,1,,,16,15,6,28,,,6.0,11.0,14.0,15.0,,,,,,
33,60.0625,42,,,,6,15,1,2,,,0,29,6,14,,,14,14,11,28,,,1,10,19,26,,,10,0,0,1,,,19,18,13,29,,,19,15,18,0,,,6,10,6,25,,,15,29,0,27,,,10,26,2,29,,,7.0,7.0,18.0,1.0,,,,,,
34,60.015625,42,,,,19,2,7,2,,,11,1,14,0,,,0,28,17,15,,,0,27,6,26,,,7,7,4,1,,,10,20,19,22,,,0,7,7,3,,,12,29,6,0,,,9,14,6,29,,,0,2,5,0,,,0.0,21.0,8.0,0.0,,,,,,
35,60.09375,42,,,,19,11,17,28,,,14,22,0,9,,,15,29,0,24,,,9,14,12,1,,,0,25,0,5,,,6,17,1,1,,,19,29,11,22,,,0,10,10,28,,,19,2,0,20,,,12,28,12,22,,,3.0,29.0,19.0,6.0,,,,,,
36,60.046875,42,,,,18,28,19,9,,,0,6,4,0,,,1,26,11,29,,,1,25,0,8,,,7,1,0,1,,,1,2,1,5,,,18,14,0,11,,,15,28,17,1,,,16,29,10,24,,,1,15,19,25,,,0.0,3.0,16.0,22.0,,,,,,
37,60.0625,42,,,,19,21,15,22,,,1,24,18,0,,,3,29,13,1,,,18,1,17,1,,,1,26,17,28,,,0,13,7,0,,,12,14,0,9,,,16,22,7,2,,,19,22,1,16,,,19,13,0,26,,,0.0,27.0,0.0,28.0,,,,,,
