episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
68,60.0625,42,,,,6,10,8,0,,,14,15,6,22,,,17,0,11,1,,,1,4,17,14,,,6,0,0,17,,,9,15,18,28,,,16,22,0,6,,,0,25,6,7,,,10,23,6,15,,,4,1,0,4,,,1.0,19.0,13.0,14.0,,,,,,
69,60.03125,42,,,,1,7,1,3,,,11,29,10,21,,,14,1,1,24,,,18,0,15,28,,,13,22,1,2,,,5,0,12,14,,,14,22,13,0,,,17,15,0,13,,,6,0,1,9,,,0,28,16,14,,,19.0,4.0,7.0,14.0,,,,,,
70,60.046875,42,,,,0,27,10,17,,,19,28,19,6,,,2,0,0,20,,,0,0,19,2,,,19,12,6,23,,,0,3,9,0,,,10,0,1,7,,,10,18,10,28,,,10,19,1,11,,,6,16,2,29,,,0.0,29.0,14.0,0.0,,,,,,
71,60.046875,42,,,,0,11,1,5,,,7,0,1,22,,,10,22,18,1,,,1,0,19,1,,,4,1,17,29,,,6,6,1,28,,,12,0,10,27,,,19,24,10,25,,,17,28,1,12,,,1,13,10,0,,,0.0,4.0,8.0,14.0,,,,,,
72,60.015625,42,,,,6,18,1,4,,,15,0,6,24,,,12,22,19,12,,,8,15,7,15,,,14,1,19,16,,,15,14,0,2,,,10,15,0,8,,,2,1,16,15,,,15,1,6,10,,,13,29,8,1,,,19.0,26.0,6.0,26.0,,,,,,
73,60.03125,42,,,,6,21,6,10,,,19,16,19,21,,,0,21,2,0,,,15,22,1,10,,,19,4,1,15,,,11,29,19,11,,,6,18,18,15,,,1,6,19,26,,,12,28,19,9,,,7,5,1,25,,,1.0,4.0,1.0,18.0,,,,,,
74,60.03125,42,,,,6,6,9,0,,,7,5,16,0,,,19,2,19,18,,,14,14,10,16,,,11,15,6,29,,,6,14,0,23,,,6,22,15,29,,,8,0,19,8,,,0,20,13,14,,,14,22,18,29,,,11.0,28.0,18.0,28.0,,,,,,
75,60.046875,42,,,,16,15,19,27,,,7,13,6,14,,,0,22,16,28,,,0,0,13,29,,,1,16,19,14,,,6,26,19,4,,,14,28,10,29,,,7,2,6,18,,,0,5,6,1,,,1,18,6,7,,,19.0,25.0,10.0,25.0,,,,,,
76,60.0625,42,,,,10,16,1,15,,,10,19,6,5,,,6,16,6,14,,,6,21,6,11,,,0,2,6,18,,,10,23,15,22,,,10,17,1,0,,,19,15,6,4,,,7,13,1,7,,,7,5,5,1,,,0.0,15.0,12.0,28.0,,,,,,
77,60.03125,42,,,,0,10,19,2,,,6,5,6,6,,,0,5,3,0,,,19,19,7,7,,,14,1,1,16,,,1,25,19,24,,,1,15,1,12,,,0,22,8,1,,,7,6,0,13,,,15,0,7,5,,,10.0,19.0,7.0,2.0,,,,,,
78,60.046875,42,,,,1,29,19,3,,,0,29,0,25,,,0,10,1,23,,,0,1,1,27,,,7,8,1,1,,,0,20,4,1,,,19,20,5,29,,,1,26,15,15,,,11,28,5,0,,,12,15,19,1,,,7.0,11.0,15.0,22.0,,,,,,
79,60.015625,42,,,,19,7,19,16,,,0,24,5,0,,,19,26,1,20,,,10,26,10,0,,,19,25,6,25,,,6,9,0,22,,,19,19,17,0,,,10,20,18,0,,,0,16,14,28,,,6,21,10,27,,,1.0,1.0,6.0,20.0,,,,,,
80,60.03125,42,,,,9,14,8,14,,,8,1,14,15,,,1,7,14,22,,,0,18,4,1,,,1,27,18,1,,,7,2,17,28,,,1,6,6,20,,,0,24,0,25,,,18,14,15,14,,,6,13,0,6,,,10.0,19.0,15.0,22.0,,,,,,
81,60.046875,42,,,,0,9,2,0,,,1,17,1,10,,,10,24,18,0,,,19,16,10,27,,,6,21,1,11,,,0,27,11,28,,,1,23,6,22,,,19,6,0,14,,,14,1,7,1,,,0,22,1,12,,,6.0,16.0,1.0,26.0,,,,,,
82,60.046875,42,,,,19,2,1,26,,,13,22,6,4,,,1,0,4,1,,,18,1,1,6,,,10,17,0,8,,,19,1,19,16,,,14,29,0,17,,,6,5,19,4,,,9,0,0,0,,,8,15,15,29,,,13.0,29.0,6.0,3.0,,,,,,
83,60.03125,42,,,,8,0,0,28,,,3,1,1,11,,,7,10,19,19,,,7,1,0,20,,,8,15,7,8,,,6,18,17,28,,,9,0,1,3,,,17,15,1,7,,,6,27,6,13,,,6,10,10,0,,,1.0,0.0,19.0,20.0,,,,,,
84,60.046875,42,,,,1,17,10,25,,,1,7,0,16,,,1,27,7,4,,,19,1,19,23,,,0,6,6,19,,,6,15,8,15,,,0,27,12,0,,,1,5,1,12,,,19,10,17,29,,,0,0,19,27,,,6.0,1.0,1.0,2.0,,,,,,
85,0.78125,42,43.0,22.0,21.0,14,22,19,14,32.0,31.0,6,12,0,13,19.0,18.0,7,5,16,14,7.0,6.0,17,29,11,29,41.0,40.0,1,5,10,28,43.0,42.0,17,15,0,12,24.0,23.0,19,11,14,29,37.0,36.0,12,28,11,1,30.0,29.0,6,6,1,18,12.0,11.0,10,14,19,12,,,,,,,28.0,27.0,17.0,1.0,0.0,11.0
86,60.015625,42,,,,8,15,6,19,,,6,28,7,2,,,3,29,16,15,,,11,14,0,29,,,15,0,6,27,,,0,0,1,4,,,10,0,16,1,,,19,28,11,0,,,3,1,7,11,,,19,2,6,17,,,0.0,14.0,1.0,5.0,,,,,,
87,60.078125,42,,,,19,12,0,16,,,11,22,7,6,,,6,1,10,26,,,6,22,19,18,,,14,1,8,14,,,13,29,6,6,,,7,3,10,1,,,5,0,1,10,,,12,0,0,20,,,11,29,12,22,,,10.0,23.0,19.0,26.0,,,,,,
88,60.0625,42,,,,18,0,7,1,,,10,19,8,15,,,0,9,12,0,,,19,27,1,9,,,7,0,5,0,,,4,0,6,10,,,19,5,19,17,,,14,28,13,28,,,14,29,6,11,,,3,0,14,15,,,19.0,28.0,14.0,22.0,,,,,,
89,60.0625,42,,,,6,18,6,24,,,6,20,1,13,,,19,5,11,22,,,10,14,6,6,,,1,4,13,1,,,13,29,6,21,,,10,21,7,4,,,7,14,6,28,,,14,1,1,29,,,19,8,0,28,,,6.0,3.0,17.0,15.0,,,,,,
90,60.03125,42,,,,0,21,1,15,,,6,2,1,7,,,12,1,15,29,,,1,0,19,16,,,11,29,18,28,,,14,14,15,0,,,12,0,1,26,,,5,0,19,10,,,0,4,1,9,,,19,4,0,29,,,16.0,28.0,19.0,0.0,,,,,,
91,60.0625,42,,,,3,0,9,15,,,15,15,13,14,,,1,1,15,22,,,3,1,19,19,,,12,15,10,19,,,19,10,10,25,,,19,9,14,28,,,14,22,1,28,,,1,16,5,1,,,19,20,10,29,,,9.0,14.0,0.0,14.0,,,,,,
92,60.03125,42,,,,6,1,19,1,,,13,29,19,21,,,19,24,10,25,,,8,0,6,11,,,6,19,6,29,,,6,28,1,10,,,12,28,19,15,,,9,14,18,1,,,0,5,18,14,,,9,1,6,3,,,13.0,14.0,18.0,15.0,,,,,,
93,60.046875,42,,,,9,14,19,19,,,13,15,19,12,,,7,10,6,0,,,6,29,18,0,,,11,0,19,15,,,17,0,19,25,,,6,4,0,4,,,16,29,14,28,,,1,25,19,29,,,6,20,15,15,,,19.0,10.0,1.0,23.0,,,,,,
94,60.0625,42,,,,15,14,5,0,,,0,24,1,29,,,7,8,7,3,,,10,29,10,20,,,7,2,6,11,,,13,14,6,21,,,1,25,3,29,,,10,24,1,20,,,11,15,11,29,,,11,1,17,0,,,4.0,0.0,18.0,28.0,,,,,,
95,60.03125,42,,,,10,16,1,1,,,1,8,13,14,,,6,11,15,28,,,0,1,10,24,,,0,8,0,26,,,6,4,6,17,,,7,2,7,1,,,16,15,19,29,,,1,0,3,29,,,17,29,1,14,,,1.0,23.0,19.0,17.0,,,,,,
96,60.078125,42,,,,1,5,19,15,,,0,6,1,1,,,6,24,10,20,,,6,19,16,14,,,10,27,1,27,,,19,2,2,1,,,19,14,7,7,,,4,0,19,3,,,19,25,1,21,,,11,0,12,0,,,0.0,15.0,7.0,1.0,,,,,,
97,1.015625,42,50.0,13.0,12.0,13,22,12,29,21.0,20.0,17,22,16,15,13.0,12.0,10,17,11,28,12.0,11.0,1,10,0,0,50.0,49.0,1,5,19,28,36.0,35.0,6,24,0,5,29.0,28.0,7,13,19,29,18.0,17.0,10,0,0,7,33.0,32.0,1,25,8,0,30.0,29.0,7,12,0,24,,,,,,,29.0,28.0,0.0,25.0,4.0,1.0
98,60.03125,42,,,,0,21,1,18,,,12,28,0,11,,,14,1,6,12,,,0,27,12,14,,,19,24,15,14,,,6,1,6,8,,,6,0,6,2,,,4,29,16,1,,,7,3,12,22,,,1,10,17,22,,,6.0,25.0,19.0,8.0,,,,,,
99,60.046875,42,,,,17,14,1,20,,,19,15,19,5,,,6,23,2,1,,,6,18,1,2,,,6,1,10,16,,,1,23,19,2,,,14,29,19,10,,,13,28,0,22,,,16,22,6,2,,,1,8,1,5,,,7.0,10.0,5.0,1.0,,,,,,
100,60.046875,42,,,,9,0,0,22,,,3,1,0,7,,,0,15,6,5,,,7,14,11,28,,,0,12,14,29,,,1,21,17,14,,,0,0,6,6,,,0,19,1,8,,,6,27,0,6,,,18,1,1,3,,,15.0,28.0,0.0,14.0,,,,,,
