episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
0,0.078125,42,21.0,9.0,8.0,1.0,19.0,7.0,17.0,9.0,8.0,12,6,13,13,10.0,9.0,10,16,1,16,21.0,20.0,7,18,11,6,,,,,,
1,60.015625,42,,,,,,,,,,4,4,11,16,,,2,1,11,19,,,8,19,11,13,,,14.0,17.0,12.0,8.0
2,60.078125,42,,,,,,,,,,8,17,8,13,,,2,16,6,19,,,13,10,3,19,,,8.0,0.0,14.0,9.0
3,0.0,42,18.0,8.0,7.0,12.0,8.0,9.0,4.0,7.0,6.0,10,15,7,18,6.0,5.0,7,4,8,0,18.0,17.0,13,8,4,16,,,,,,
4,60.03125,42,,,,,,,,,,1,19,13,13,,,9,5,13,8,,,14,4,5,10,,,1.0,7.0,10.0,13.0
5,0.078125,42,22.0,3.0,2.0,3.0,10.0,1.0,10.0,13.0,12.0,11,19,14,16,22.0,21.0,11,6,7,19,21.0,20.0,6,16,14,4,,,,,,
6,0.171875,42,41.0,25.0,24.0,11.0,3.0,6.0,18.0,10.0,9.0,12,7,8,2,10.0,9.0,11,19,8,13,41.0,40.0,4,1,0,19,,,,,,
7,0.0,42,30.0,11.0,10.0,9.0,4.0,14.0,9.0,30.0,29.0,3,7,6,19,11.0,10.0,11,17,14,16,15.0,14.0,11,4,7,10,,,,,,
8,60.046875,42,,,,,,,,,,6,4,8,2,,,14,6,12,12,,,6,19,4,0,,,1.0,13.0,8.0,1.0
9,0.0,42,16.0,3.0,2.0,2.0,16.0,4.0,16.0,13.0,12.0,11,4,9,10,7.0,6.0,8,3,11,2,16.0,15.0,6,4,14,11,,,,,,
10,60.046875,42,,,,,,,,,,7,18,11,6,,,3,10,2,1,,,13,9,6,1,,,10.0,13.0,11.0,20.0
11,0.015625,42,20.0,14.0,13.0,13.0,9.0,7.0,2.0,20.0,19.0,7,17,14,5,11.0,10.0,12,13,5,16,19.0,18.0,13,11,4,20,,,,,,
12,60.078125,42,,,,,,,,,,11,4,4,4,,,10,14,12,13,,,3,1,0,4,,,13.0,9.0,12.0,12.0
13,0.03125,42,13.0,3.0,2.0,12.0,8.0,11.0,7.0,13.0,12.0,12,7,5,10,7.0,6.0,11,1,9,5,3.0,2.0,8,3,8,1,,,,,,
14,0.0,42,30.0,30.0,29.0,8.0,16.0,5.0,0.0,8.0,7.0,9,10,2,10,10.0,9.0,0,16,7,18,15.0,14.0,3,1,11,1,,,,,,
15,0.125,42,25.0,13.0,12.0,10.0,16.0,1.0,13.0,25.0,24.0,8,3,11,20,6.0,4.0,13,13,9,13,11.0,10.0,9,10,10,13,,,,,,
16,0.546875,42,30.0,8.0,7.0,9.0,10.0,12.0,12.0,28.0,27.0,9,5,5,20,30.0,29.0,1,19,10,5,24.0,23.0,9,7,0,13,,,,,,
17,0.125,42,23.0,19.0,18.0,6.0,13.0,5.0,10.0,23.0,22.0,7,17,7,7,2.0,1.0,14,18,14,19,14.0,13.0,4,10,13,12,,,,,,
18,0.0,42,36.0,17.0,16.0,0.0,16.0,13.0,13.0,18.0,17.0,4,19,5,13,2.0,1.0,13,8,14,8,36.0,35.0,1,4,5,19,,,,,,
19,60.03125,42,,,,,,,,,,7,17,8,16,,,11,0,12,8,,,2,16,14,20,,,9.0,7.0,11.0,1.0
20,0.015625,42,23.0,23.0,22.0,7.0,7.0,3.0,13.0,22.0,21.0,7,13,6,7,19.0,18.0,12,14,0,10,18.0,17.0,6,2,2,7,,,,,,
21,0.375,42,36.0,36.0,35.0,1.0,19.0,8.0,1.0,13.0,12.0,12,6,11,13,17.0,16.0,11,14,3,10,7.0,6.0,11,6,14,5,,,,,,
22,0.1875,42,30.0,14.0,13.0,8.0,13.0,8.0,10.0,17.0,15.0,14,11,7,19,30.0,29.0,3,4,3,13,10.0,9.0,11,6,7,1,,,,,,
23,0.203125,42,28.0,28.0,27.0,4.0,20.0,10.0,5.0,4.0,3.0,5,20,6,18,14.0,13.0,11,4,14,14,16.0,15.0,10,13,1,19,,,,,,
24,0.0,42,31.0,12.0,11.0,6.0,10.0,14.0,7.0,7.0,6.0,2,10,8,10,13.0,12.0,14,15,11,6,31.0,30.0,6,19,8,1,,,,,,
25,60.015625,42,,,,,,,,,,5,7,12,7,,,11,20,11,13,,,14,16,12,10,,,5.0,4.0,7.0,19.0
26,0.0,42,21.0,8.0,7.0,11.0,16.0,7.0,19.0,14.0,13.0,5,10,14,6,21.0,20.0,1,13,2,16,8.0,7.0,2,1,8,0,,,,,,
27,0.4375,42,34.0,13.0,12.0,11.0,7.0,12.0,14.0,25.0,24.0,4,4,9,15,16.0,15.0,11,13,9,4,34.0,33.0,6,0,3,16,,,,,,
28,0.0,42,20.0,20.0,19.0,8.0,1.0,8.0,10.0,3.0,2.0,13,13,11,13,18.0,17.0,0,7,11,1,9.0,8.0,11,19,7,17,,,,,,
29,0.0,42,38.0,6.0,5.0,6.0,0.0,2.0,1.0,13.0,12.0,10,10,10,16,38.0,37.0,3,1,1,16,6.0,5.0,9,16,11,19,,,,,,
30,0.015625,42,36.0,2.0,1.0,7.0,10.0,8.0,10.0,17.0,16.0,12,8,4,0,36.0,35.0,0,19,6,4,32.0,31.0,3,19,11,0,,,,,,
31,0.0,42,31.0,30.0,29.0,3.0,1.0,9.0,16.0,11.0,10.0,11,3,12,10,31.0,30.0,2,4,3,13,11.0,10.0,3,16,5,20,,,,,,
32,0.0,42,18.0,13.0,12.0,14.0,9.0,6.0,13.0,18.0,17.0,14,19,10,6,3.0,2.0,9,15,9,17,3.0,2.0,7,19,5,19,,,,,,
33,0.3125,42,25.0,25.0,24.0,0.0,10.0,8.0,4.0,8.0,7.0,3,4,8,2,9.0,8.0,14,14,12,8,25.0,24.0,7,13,1,7,,,,,,
34,0.015625,42,24.0,24.0,23.0,1.0,16.0,8.0,10.0,23.0,22.0,5,10,7,18,11.0,10.0,8,7,14,11,21.0,20.0,11,2,3,10,,,,,,
35,60.03125,42,,,,,,,,,,9,13,5,7,,,9,3,14,14,,,8,3,6,7,,,12.0,13.0,9.0,4.0
36,0.015625,42,31.0,27.0,26.0,8.0,18.0,0.0,10.0,14.0,13.0,13,12,6,18,17.0,16.0,7,18,13,8,31.0,30.0,5,13,0,4,,,,,,
37,0.125,42,30.0,10.0,9.0,14.0,5.0,9.0,5.0,6.0,5.0,9,3,6,1,22.0,21.0,3,1,2,7,30.0,29.0,5,20,11,1,,,,,,
38,60.046875,42,,,,,,,,,,11,2,11,0,,,2,10,11,15,,,5,13,11,14,,,4.0,20.0,14.0,11.0
39,0.0,42,30.0,5.0,4.0,12.0,6.0,14.0,8.0,24.0,23.0,6,2,14,17,30.0,29.0,2,7,4,16,26.0,25.0,10,6,4,19,,,,,,
40,0.0,42,13.0,13.0,12.0,0.0,16.0,6.0,20.0,5.0,4.0,3,1,6,0,9.0,8.0,9,5,13,9,5.0,4.0,9,4,8,1,,,,,,
41,0.859375,42,31.0,6.0,5.0,12.0,14.0,14.0,13.0,7.0,6.0,14,15,10,13,31.0,30.0,6,1,5,16,10.0,9.0,4,4,10,7,,,,,,
42,0.359375,42,28.0,13.0,12.0,8.0,17.0,14.0,11.0,25.0,24.0,14,6,3,19,28.0,27.0,5,1,3,10,22.0,21.0,14,19,8,20,,,,,,
43,0.03125,42,35.0,27.0,26.0,0.0,19.0,14.0,19.0,35.0,34.0,5,20,3,4,21.0,20.0,7,17,14,4,23.0,22.0,14,16,1,19,,,,,,
44,0.0,42,29.0,22.0,21.0,11.0,18.0,2.0,10.0,13.0,12.0,13,11,8,18,15.0,14.0,14,4,8,2,29.0,28.0,4,13,6,1,,,,,,
45,0.015625,42,23.0,23.0,22.0,0.0,10.0,7.0,7.0,23.0,22.0,12,6,6,20,13.0,12.0,6,7,14,3,17.0,16.0,11,0,2,1,,,,,,
46,0.09375,42,34.0,31.0,30.0,11.0,16.0,0.0,1.0,10.0,9.0,11,17,14,11,20.0,19.0,7,1,14,13,34.0,33.0,5,4,4,20,,,,,,
47,0.0,42,28.0,24.0,23.0,0.0,13.0,14.0,4.0,28.0,27.0,2,13,3,7,24.0,23.0,1,10,11,17,21.0,20.0,13,9,3,19,,,,,,
48,0.015625,42,21.0,7.0,6.0,6.0,19.0,0.0,19.0,10.0,9.0,10,4,4,1,7.0,6.0,11,13,5,13,21.0,20.0,14,2,6,0,,,,,,
49,0.0,42,18.0,14.0,13.0,14.0,20.0,8.0,13.0,18.0,17.0,12,7,7,17,5.0,4.0,6,2,3,1,6.0,5.0,14,16,14,11,,,,,,
50,0.015625,42,34.0,34.0,33.0,0.0,7.0,2.0,16.0,28.0,27.0,3,16,11,3,17.0,16.0,4,16,14,16,4.0,3.0,5,13,2,13,,,,,,
51,0.0,42,14.0,14.0,13.0,5.0,19.0,11.0,20.0,3.0,2.0,8,16,9,15,8.0,7.0,14,10,7,10,9.0,8.0,11,5,4,4,,,,,,
52,60.015625,42,,,,,,,,,,14,0,1,16,,,12,13,11,16,,,0,10,13,8,,,11.0,13.0,2.0,16.0
53,0.0,42,27.0,8.0,7.0,7.0,17.0,1.0,16.0,27.0,26.0,2,13,7,4,12.0,11.0,9,10,14,16,20.0,19.0,14,10,5,20,,,,,,
54,0.015625,42,34.0,34.0,33.0,2.0,16.0,6.0,1.0,14.0,13.0,8,7,14,14,3.0,2.0,8,16,8,18,26.0,25.0,11,1,5,16,,,,,,
55,60.03125,42,,,,,,,,,,14,15,10,4,,,14,9,9,5,,,8,13,3,4,,,0.0,10.0,10.0,13.0
56,0.03125,42,29.0,11.0,10.0,13.0,10.0,11.0,18.0,27.0,26.0,2,4,7,13,29.0,28.0,11,14,0,1,26.0,25.0,3,1,14,15,,,,,,
57,0.203125,42,16.0,12.0,11.0,3.0,13.0,11.0,16.0,14.0,13.0,10,4,12,13,7.0,6.0,3,19,7,17,16.0,14.0,14,10,8,2,,,,,,
