episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
48,0.46875,42,6.0,20,1.5,14,2,6,0,1.5,11,13,5,13,1.5,10,4,4,1,1.5,6,19,0,19
49,0.421875,42,6.0,20,1.5,14,16,14,11,1.5,6,2,3,1,1.5,12,7,7,17,1.5,14,20,8,13
50,0.734375,42,6.0,33,1.5,5,13,2,13,1.5,4,16,14,16,1.5,3,16,11,3,1.5,0,7,2,16
51,0.34375,42,6.0,15,1.5,11,5,4,4,1.5,14,10,7,10,1.5,8,16,9,15,1.5,5,19,11,20
52,0.78125,42,6.0,34,1.5,11,13,2,16,1.5,0,10,13,8,1.5,12,13,11,16,1.5,14,0,1,16
53,0.578125,42,6.0,26,1.5,14,10,5,20,1.5,9,10,14,16,1.5,2,13,7,4,1.5,7,17,1,16
54,0.984375,42,6.0,42,1.5,11,1,5,16,1.5,8,16,8,18,1.5,8,7,14,14,1.5,2,16,6,1
55,0.703125,42,6.0,30,1.5,0,10,10,13,1.5,8,13,3,4,1.5,14,9,9,5,1.5,14,15,10,4
56,1.0625,42,6.0,46,1.5,3,1,14,15,1.5,11,14,0,1,1.5,2,4,7,13,1.5,13,10,11,18
57,0.828125,42,6.0,35,1.5,14,10,8,2,1.5,3,19,7,17,1.5,10,4,12,13,1.5,3,13,11,16
58,0.828125,42,6.0,34,1.5,0,7,13,9,1.5,13,11,5,16,1.5,12,8,2,7,1.5,10,13,11,1
59,1.28125,42,6.0,53,1.5,4,19,10,5,1.5,8,1,11,20,1.5,12,12,8,20,1.5,5,0,6,7
60,1.21875,42,6.0,50,1.5,10,5,6,20,1.5,11,18,2,10,1.5,14,1,7,10,1.5,14,10,5,16
61,0.78125,42,6.0,33,1.5,10,16,8,0,1.5,2,10,5,10,1.5,7,16,14,0,1.5,14,9,14,15
62,1.1875,42,6.0,48,1.5,4,19,13,7,1.5,5,7,13,10,1.5,5,0,11,17,1.5,8,20,14,20
63,0.75,42,6.0,32,1.5,1,10,3,4,1.5,14,3,6,18,1.5,2,4,9,17,1.5,14,14,8,3
64,2.265625,42,-1.5,100,-0.5,6,0,10,4,-0.5,6,2,14,8,0.5,13,8,3,1,-1.0,4,1,14,9
65,2.265625,42,-0.5,100,-1.0,9,15,0,10,0.5,5,13,9,3,-0.5,3,7,2,10,0.5,3,10,8,0
66,1.21875,42,6.0,48,1.5,3,16,8,17,1.5,4,1,9,17,1.5,1,4,7,16,1.5,11,10,13,9
67,1.234375,42,6.0,50,1.5,13,9,11,16,1.5,7,3,8,16,1.5,12,13,14,18,1.5,11,3,6,2
68,1.171875,42,6.0,48,1.5,9,3,14,4,1.5,13,12,3,19,1.5,12,10,8,10,1.5,14,2,0,19
69,0.5625,42,6.0,25,1.5,10,15,5,13,1.5,5,0,7,10,1.5,4,16,14,13,1.5,4,19,9,13
70,1.078125,42,6.0,45,1.5,14,9,2,1,1.5,6,20,2,4,1.5,0,4,14,4,1.5,1,1,8,19
71,0.375,42,6.0,15,1.5,7,7,13,10,1.5,1,1,2,1,1.5,2,7,11,5,1.5,13,9,14,9
72,0.421875,42,6.0,19,1.5,4,20,9,15,1.5,14,6,12,13,1.5,12,12,6,2,1.5,13,11,14,17
73,0.59375,42,6.0,26,1.5,10,7,8,20,1.5,10,15,13,8,1.5,10,10,2,19,1.5,12,7,11,16
74,2.3125,42,-0.5,100,0.5,13,13,7,2,-1.0,14,16,12,8,0.5,8,17,8,1,-0.5,6,2,13,9
75,0.828125,42,6.0,34,1.5,5,7,8,4,1.5,5,0,7,17,1.5,10,14,3,1,1.5,11,4,1,7
76,0.609375,42,6.0,26,1.5,4,19,11,16,1.5,10,5,8,16,1.5,7,10,6,19,1.5,3,10,6,10
77,0.796875,42,6.0,35,1.5,3,19,12,10,1.5,7,1,5,19,1.5,7,17,4,19,1.5,6,4,11,4
78,0.53125,42,6.0,24,1.5,13,12,8,1,1.5,14,8,6,4,1.5,11,2,12,6,1.5,14,13,8,4
79,0.484375,42,6.0,21,1.5,8,7,9,5,1.5,13,12,12,13,1.5,14,15,4,4,1.5,8,20,10,16
80,2.265625,42,-1.5,100,-1.0,1,10,0,16,-0.5,10,13,11,15,0.5,11,20,3,16,-0.5,8,20,5,16
81,0.609375,42,6.0,25,1.5,8,13,14,13,1.5,11,5,2,16,1.5,10,4,14,8,1.5,4,4,13,13
82,0.96875,42,6.0,40,1.5,10,7,8,19,1.5,2,1,1,16,1.5,10,14,9,15,1.5,10,6,11,14
83,0.75,42,6.0,31,1.5,14,14,9,17,1.5,2,19,7,7,1.5,11,14,12,12,1.5,14,11,3,13
84,0.875,42,6.0,37,1.5,12,12,5,1,1.5,14,20,1,19,1.5,12,8,14,12,1.5,7,19,14,10
85,0.9375,42,6.0,39,1.5,2,1,2,16,1.5,1,1,3,13,1.5,9,17,10,7,1.5,11,14,8,18
86,0.46875,42,6.0,20,1.5,8,3,11,14,1.5,9,13,8,18,1.5,0,4,11,3,1.5,9,10,8,2
87,0.84375,42,6.0,36,1.5,8,18,3,1,1.5,12,12,10,4,1.5,14,8,4,19,1.5,11,20,8,10
88,0.671875,42,6.0,28,1.5,12,8,8,7,1.5,2,13,1,19,1.5,13,11,11,13,1.5,14,10,2,10
89,0.875,42,6.0,37,1.5,14,9,6,7,1.5,7,13,11,2,1.5,11,15,4,7,1.5,11,0,12,6
90,0.5625,42,6.0,24,1.5,11,20,6,18,1.5,13,7,12,12,1.5,14,5,5,7,1.5,11,16,10,13
