episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
45,0.125,42,-4.0,100,-1.0,3,6,9,9,-1.0,6,12,0,8,-1.0,3,13,6,19,-1.0,3,10,7,0
46,0.15625,42,-3.5,100,-1.0,3,10,9,15,-1.0,3,0,2,0,-0.5,0,0,0,2,-1.0,9,14,0,11
47,0.140625,42,-4.0,100,-1.0,0,6,7,0,-1.0,9,4,0,16,-1.0,9,10,3,9,-1.0,0,14,6,7
48,0.109375,42,-4.0,100,-1.0,6,18,3,1,-1.0,9,8,3,4,-1.0,0,4,9,19,-1.0,0,18,8,1
49,0.171875,42,-4.0,100,-1.0,3,5,3,15,-1.0,9,17,0,13,-1.0,4,1,9,13,-1.0,5,0,0,1
50,0.140625,42,-3.5,100,-1.0,0,16,0,1,-1.0,1,1,6,14,-1.0,3,1,9,17,-0.5,0,12,0,11
51,0.15625,42,-4.0,100,-1.0,3,3,8,0,-1.0,5,0,6,5,-1.0,9,13,3,14,-1.0,6,15,0,18
52,0.140625,42,-4.0,100,-1.0,9,7,0,7,-1.0,9,1,6,19,-1.0,0,2,9,3,-1.0,6,17,0,12
53,0.125,42,-4.0,100,-1.0,3,15,0,7,-1.0,0,11,3,12,-1.0,6,4,9,17,-1.0,9,13,3,3
54,0.15625,42,-3.5,100,-1.0,0,12,3,4,-1.0,4,0,9,15,-0.5,5,0,5,1,-1.0,6,12,3,2
55,0.15625,42,-4.0,100,-1.0,9,16,6,6,-1.0,9,13,6,3,-1.0,4,1,0,13,-1.0,0,2,6,10
56,0.140625,42,-3.5,100,-0.5,9,5,7,0,-1.0,0,9,3,14,-1.0,6,18,0,0,-1.0,0,12,9,16
57,0.125,42,-4.0,100,-1.0,0,15,6,19,-1.0,6,6,9,2,-1.0,0,16,3,15,-1.0,9,13,3,18
58,0.15625,42,-3.5,100,-0.5,6,10,6,13,-1.0,9,0,0,10,-1.0,9,5,3,2,-1.0,0,1,9,4
59,0.15625,42,-3.5,100,-1.0,2,1,3,6,-0.5,9,1,6,0,-1.0,3,18,8,0,-1.0,1,1,6,7
60,0.140625,42,-4.0,100,-1.0,9,13,3,2,-1.0,9,7,3,13,-1.0,7,1,0,10,-1.0,6,7,3,10
61,0.125,42,-3.5,100,-0.5,9,13,9,16,-1.0,3,15,9,7,-1.0,0,10,3,1,-1.0,6,11,3,17
62,0.1875,42,-4.0,100,-1.0,6,0,9,19,-1.0,2,0,7,0,-1.0,3,0,9,5,-1.0,1,1,9,3
63,0.125,42,-4.0,100,-1.0,9,16,3,19,-1.0,0,9,6,6,-1.0,9,9,3,8,-1.0,0,6,0,13
64,0.15625,42,-4.0,100,-1.0,0,17,9,12,-1.0,9,3,0,13,-1.0,3,5,6,7,-1.0,3,4,0,15
65,0.140625,42,-3.0,100,-0.5,0,14,0,10,-0.5,3,2,6,1,-1.0,6,5,0,1,-1.0,3,17,6,17
66,0.140625,42,-3.5,100,-0.5,0,5,0,4,-1.0,0,17,3,15,-1.0,0,16,6,6,-1.0,9,4,5,1
67,0.140625,42,-4.0,100,-1.0,6,14,3,5,-1.0,9,1,9,18,-1.0,3,12,5,0,-1.0,9,4,6,19
68,0.15625,42,-3.5,100,-1.0,9,8,0,3,-0.5,9,0,4,1,-1.0,9,6,0,16,-1.0,6,1,9,9
69,0.15625,42,-4.0,100,-1.0,1,1,6,4,-1.0,1,0,9,15,-1.0,2,0,3,14,-1.0,6,11,3,1
70,0.140625,42,-4.0,100,-1.0,0,4,6,0,-1.0,0,0,9,10,-1.0,3,10,0,9,-1.0,9,13,0,8
71,0.140625,42,-4.0,100,-1.0,9,4,9,13,-1.0,0,9,6,15,-1.0,0,4,9,5,-1.0,3,13,9,1
72,0.140625,42,-3.5,100,-1.0,9,11,9,1,-0.5,2,0,6,5,-1.0,9,18,8,1,-1.0,3,5,6,9
73,0.140625,42,-3.5,100,-1.0,6,11,0,12,-1.0,6,8,9,3,-0.5,8,1,6,1,-1.0,6,19,3,5
