episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
0,0.140625,42,61.0,42.0,41.0,0.0,20.0,18.0,15.0,61.0,60.0,15,28,0,19,38.0,37.0,11,28,13,1,20.0,19.0,6,28,1,16,17.0,16.0,6,27,0,21,,,,,,
1,0.3125,42,35.0,24.0,23.0,8.0,14.0,16.0,1.0,22.0,21.0,19,24,7,15,29.0,28.0,14,15,0,29,27.0,23.0,15,14,17,29,35.0,34.0,13,29,7,1,,,,,,
2,60.078125,42,,,,,,,,,,7,12,11,15,,,6,12,6,20,,,1,11,17,14,,,19,13,9,14,,,15.0,29.0,6.0,29.0
3,0.015625,42,40.0,21.0,20.0,7.0,1.0,0.0,14.0,39.0,38.0,1,22,18,15,40.0,39.0,0,21,17,15,8.0,7.0,10,0,3,0,13.0,12.0,19,4,11,0,,,,,,
4,0.015625,42,58.0,47.0,46.0,1.0,7.0,19.0,23.0,10.0,9.0,15,1,7,0,16.0,15.0,13,14,19,5,20.0,19.0,6,9,12,22,58.0,57.0,0,15,15,29,,,,,,
5,60.03125,42,,,,,,,,,,15,14,0,10,,,1,14,9,15,,,6,11,1,5,,,7,4,14,28,,,7.0,11.0,12.0,28.0
6,0.0625,42,53.0,26.0,25.0,19.0,12.0,6.0,2.0,26.0,25.0,14,28,19,8,2.0,1.0,6,11,6,12,53.0,52.0,19,22,0,17,19.0,18.0,6,22,7,5,,,,,,
7,0.015625,42,30.0,19.0,18.0,16.0,15.0,7.0,6.0,22.0,21.0,1,13,6,3,30.0,29.0,7,4,1,21,25.0,24.0,0,29,10,15,20.0,19.0,12,29,12,14,,,,,,
8,0.0,42,33.0,9.0,8.0,19.0,16.0,13.0,14.0,15.0,14.0,6,28,0,22,28.0,27.0,1,6,5,29,20.0,19.0,17,22,15,15,33.0,32.0,11,0,6,27,,,,,,
9,0.078125,42,48.0,48.0,47.0,16.0,28.0,1.0,24.0,7.0,6.0,17,29,12,28,23.0,22.0,6,16,11,1,25.0,24.0,19,6,1,2,36.0,35.0,4,0,17,22,,,,,,
