episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_steps,agent_12_total_distance,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
17,60.03125,42,,,,6,19,3,18,,,0,16,4,9,,,7,9,6,9,,,3,16,8,1,,,0,0,9,2,,,9,16,0,2,,,0,19,6,12,,,6,5,0,12,,,1,1,3,1,,,9,12,9,0,,,7,1,2,10,,,8.0,10.0,8.0,9.0,,,,,,
18,60.03125,42,,,,4,1,0,13,,,2,0,3,11,,,3,6,9,11,,,5,10,3,17,,,7,18,6,11,,,6,6,9,15,,,9,12,2,19,,,9,4,4,0,,,7,10,2,9,,,6,5,2,1,,,3,1,9,19,,,3.0,15.0,7.0,9.0,,,,,,
19,60.015625,42,,,,9,1,3,4,,,8,18,3,3,,,9,15,9,11,,,0,12,9,10,,,9,6,6,5,,,0,7,0,19,,,4,10,0,18,,,6,4,3,1,,,3,9,6,2,,,0,16,0,17,,,1,9,4,0,,,8.0,19.0,0.0,13.0,,,,,,
20,60.109375,42,,,,5,18,3,13,,,0,2,3,4,,,6,18,9,18,,,0,6,5,0,,,1,9,7,1,,,1,0,9,5,,,9,0,8,1,,,3,17,9,2,,,6,4,0,5,,,5,1,4,19,,,6,14,1,1,,,8.0,10.0,9.0,7.0,,,,,,
21,60.109375,42,,,,2,1,5,9,,,2,0,9,7,,,2,9,0,11,,,6,10,0,10,,,6,2,9,0,,,9,14,0,12,,,3,16,0,6,,,3,0,3,14,,,0,5,6,15,,,0,0,9,1,,,3,11,8,9,,,9.0,11.0,9.0,8.0,,,,,,
22,60.015625,42,,,,2,1,5,18,,,9,17,5,1,,,3,5,9,16,,,8,10,9,3,,,6,3,9,0,,,8,0,4,1,,,6,8,3,12,,,6,10,6,15,,,6,7,2,9,,,7,1,2,18,,,0,15,0,7,,,8.0,19.0,0.0,16.0,,,,,,
23,60.03125,42,,,,3,18,1,1,,,4,10,6,15,,,0,19,2,1,,,3,16,3,2,,,6,6,8,1,,,2,0,9,14,,,3,7,6,13,,,3,10,9,10,,,5,0,9,3,,,7,1,7,19,,,3,5,3,6,,,3.0,12.0,4.0,1.0,,,,,,
24,60.046875,42,,,,5,18,3,1,,,9,15,1,0,,,9,2,7,1,,,4,18,0,4,,,6,11,6,5,,,1,10,6,16,,,8,10,5,0,,,6,0,9,3,,,5,10,9,10,,,7,18,0,15,,,6,9,9,14,,,0.0,8.0,6.0,7.0,,,,,,
25,60.046875,42,,,,6,9,8,9,,,0,11,3,15,,,6,8,6,4,,,7,0,3,19,,,6,3,8,0,,,0,9,9,19,,,5,9,9,13,,,9,12,0,10,,,6,19,2,10,,,0,15,0,5,,,9,15,6,7,,,0.0,19.0,6.0,1.0,,,,,,
26,60.03125,42,,,,0,0,6,5,,,6,2,0,16,,,4,10,9,12,,,4,9,9,2,,,6,14,0,13,,,5,9,8,1,,,7,0,6,19,,,7,18,0,10,,,9,10,4,18,,,8,9,6,12,,,4,19,3,16,,,2.0,1.0,7.0,19.0,,,,,,
27,60.046875,42,,,,1,18,5,10,,,6,13,3,4,,,7,0,0,18,,,3,6,9,15,,,7,1,0,17,,,9,8,0,10,,,8,18,9,12,,,7,18,6,0,,,6,9,3,18,,,2,19,3,12,,,8,9,0,14,,,3.0,10.0,1.0,0.0,,,,,,
28,60.03125,42,,,,6,0,6,19,,,9,14,9,2,,,9,12,3,17,,,3,9,0,13,,,8,0,2,19,,,6,7,9,5,,,4,10,6,9,,,0,16,0,14,,,3,11,6,4,,,6,11,0,3,,,9,18,6,15,,,0.0,0.0,5.0,19.0,,,,,,
29,60.046875,42,,,,0,1,5,1,,,0,11,9,10,,,4,0,7,1,,,6,19,8,0,,,8,19,5,19,,,3,18,0,12,,,3,2,3,13,,,9,16,9,19,,,4,1,0,5,,,3,4,9,5,,,3,19,6,15,,,3.0,3.0,3.0,0.0,,,,,,
30,60.03125,42,,,,8,0,9,8,,,9,1,9,4,,,0,5,0,3,,,0,12,2,9,,,6,13,2,1,,,9,19,4,0,,,0,2,0,16,,,0,15,9,3,,,6,11,8,10,,,6,8,1,9,,,0,10,0,1,,,6.0,14.0,9.0,9.0,,,,,,
31,60.03125,42,,,,3,1,2,1,,,6,12,9,2,,,9,9,2,9,,,0,4,0,6,,,0,0,6,13,,,0,18,9,16,,,0,5,9,11,,,8,19,0,13,,,6,6,7,19,,,9,17,6,16,,,8,9,9,1,,,9.0,15.0,3.0,19.0,,,,,,
32,60.03125,42,,,,0,4,9,2,,,4,0,0,18,,,1,10,8,18,,,0,13,7,1,,,0,14,0,6,,,6,16,1,9,,,5,0,0,1,,,5,18,2,19,,,7,9,0,11,,,5,19,6,18,,,6,9,5,9,,,0.0,9.0,9.0,17.0,,,,,,
33,0.015625,42,27.0,12.0,11.0,6,6,1,0,13.0,12.0,5,1,3,11,5.0,4.0,0,6,0,10,19.0,18.0,0,8,7,19,12.0,11.0,6,7,1,1,27.0,26.0,0,0,9,17,15.0,14.0,0,4,6,4,6.0,5.0,1,19,5,18,8.0,7.0,9,6,8,0,12.0,11.0,4,1,2,10,10.0,9.0,6,18,6,9,,,,,,,11.0,10.0,7.0,9.0,3.0,15.0
34,60.046875,42,,,,9,5,6,11,,,6,2,0,18,,,3,19,0,17,,,0,16,4,1,,,2,9,5,0,,,9,13,6,16,,,5,18,3,14,,,3,2,9,9,,,3,16,4,10,,,6,3,0,15,,,6,17,0,13,,,2.0,10.0,9.0,16.0,,,,,,
35,60.046875,42,,,,0,15,3,15,,,9,13,0,17,,,3,0,9,1,,,0,10,1,19,,,3,3,9,14,,,6,7,6,4,,,3,17,6,5,,,8,1,3,4,,,6,6,9,10,,,3,14,0,4,,,6,9,3,2,,,9.0,16.0,3.0,16.0,,,,,,
36,60.015625,42,,,,4,10,6,7,,,4,9,3,4,,,0,17,2,9,,,2,0,8,1,,,0,11,3,7,,,6,2,1,9,,,3,8,3,18,,,6,1,5,10,,,6,4,6,8,,,6,17,3,9,,,5,19,9,15,,,6.0,11.0,5.0,1.0,,,,,,
37,60.046875,42,,,,8,10,3,4,,,7,1,9,1,,,6,0,3,12,,,9,6,4,19,,,0,14,0,4,,,9,10,0,13,,,9,2,0,6,,,5,0,0,8,,,5,9,9,4,,,2,19,8,19,,,8,9,0,9,,,2.0,9.0,3.0,0.0,,,,,,
38,60.03125,42,,,,6,1,6,17,,,3,6,9,3,,,4,18,3,16,,,1,0,3,11,,,7,0,6,18,,,3,4,0,17,,,0,7,2,1,,,7,9,6,5,,,9,8,6,13,,,0,1,0,13,,,3,18,5,0,,,8.0,19.0,3.0,10.0,,,,,,
