episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
12,10.75,42,3.5,100,-1.0,1,22,16,28,0.5,4,1,0,28,0.5,1,15,7,14,0.5,13,0,6,19,0.5,19,13,0,18,0.5,15,15,19,23,0.5,6,23,7,9,0.5,0,27,6,27,0.5,7,13,10,15,-1.0,1,0,13,28,0.5,10,19,4,29,0.5,3,0,0,5,-1.0,1,9,18,28,0.5,19,22,17,15,0.5,12,22,14,22,0.5,0,4,0,19
13,10.3125,42,3.5,100,0.5,5,29,14,29,0.5,0,5,14,22,0.5,14,0,17,15,0.5,1,3,7,5,0.5,10,1,6,26,0.5,11,1,16,0,0.5,0,24,0,4,0.5,7,12,19,14,0.5,10,22,16,28,0.5,8,1,0,1,-1.0,17,29,18,0,0.5,19,19,6,23,0.5,12,0,1,2,-1.0,19,12,1,11,-1.0,19,20,1,8,0.5,3,29,19,22
14,9.546875,42,0.5,100,-1.0,16,15,0,26,-1.0,19,14,1,24,0.5,19,13,19,2,0.5,4,0,17,29,0.5,15,0,14,28,0.5,6,22,17,0,0.5,6,13,0,24,0.5,10,24,2,1,0.5,18,29,19,28,-1.0,1,23,19,21,0.5,0,27,19,20,0.5,7,4,11,28,-1.0,1,27,6,25,-1.0,15,15,1,26,0.5,8,15,7,1,0.5,6,4,2,29
15,9.9375,42,-2.5,100,0.5,7,6,10,18,0.5,5,29,1,9,-1.0,1,5,6,18,-1.0,19,10,10,21,-1.0,1,2,6,26,0.5,19,11,8,0,-1.0,1,7,16,22,0.5,6,0,0,12,-1.0,19,12,17,22,-1.0,6,9,0,26,0.5,10,23,12,22,0.5,10,22,7,2,0.5,0,15,3,29,-1.0,17,14,13,22,0.5,1,14,0,4,0.5,1,3,9,1
16,9.9375,42,6.5,100,0.5,6,0,10,16,0.5,9,0,19,13,0.5,1,27,6,20,0.5,1,11,0,23,0.5,7,10,19,5,0.5,19,4,0,21,0.5,1,22,0,24,0.5,18,1,6,13,0.5,0,9,8,1,0.5,7,13,6,23,-1.0,1,24,17,22,0.5,19,26,19,18,0.5,17,15,11,15,0.5,16,14,0,1,0.5,19,1,0,11,0.5,14,15,3,1
17,10.65625,42,6.5,100,0.5,12,29,17,15,0.5,19,25,16,0,0.5,14,22,6,27,-1.0,15,29,1,27,0.5,10,18,11,14,0.5,10,29,2,1,0.5,10,27,1,2,0.5,1,24,7,3,0.5,6,1,6,16,0.5,17,28,7,15,0.5,11,15,0,13,0.5,0,22,9,0,0.5,19,12,1,0,0.5,19,7,17,22,0.5,16,22,18,15,0.5,18,0,19,22
18,9.765625,42,-7.0,100,-1.0,1,7,19,18,-1.0,6,11,7,3,-1.0,4,1,16,28,-1.0,6,27,18,1,-1.0,6,2,19,20,0.5,6,14,7,10,-1.0,12,29,1,16,-1.0,7,13,6,3,-1.0,14,15,9,0,0.5,10,24,19,10,-1.0,1,11,11,28,0.5,6,23,12,14,0.5,7,7,16,14,0.5,6,12,15,22,0.5,6,5,7,8,-1.0,1,23,18,14
19,9.0,42,0.5,100,0.5,8,15,10,26,0.5,0,8,8,1,0.5,1,0,6,21,0.5,13,1,1,1,0.5,10,22,14,0,0.5,7,13,19,20,-1.0,19,11,16,22,0.5,14,15,0,19,-1.0,1,16,19,15,0.5,11,0,0,21,-1.0,18,28,1,8,0.5,15,15,11,1,0.5,10,0,19,19,0.5,1,10,10,19,-1.0,3,29,14,1,-1.0,0,16,10,28
20,10.046875,42,-5.5,100,0.5,6,29,10,15,-1.0,1,28,15,14,0.5,1,9,1,1,-1.0,0,21,8,0,-1.0,0,11,16,22,0.5,8,1,7,10,-1.0,1,8,10,23,-1.0,0,20,14,1,0.5,14,0,19,11,-1.0,19,29,10,17,-1.0,10,27,1,23,0.5,16,0,0,1,-1.0,10,21,0,29,-1.0,19,17,12,22,0.5,19,14,7,4,0.5,16,15,7,6
21,9.640625,42,0.5,100,0.5,18,0,14,22,0.5,11,29,6,11,0.5,14,14,0,19,-1.0,19,12,5,29,-1.0,6,23,6,0,-1.0,15,28,1,6,0.5,12,14,1,3,0.5,7,9,16,15,0.5,14,1,8,15,0.5,16,0,17,1,-1.0,1,17,19,21,0.5,0,27,19,6,0.5,19,14,6,4,0.5,0,20,2,1,0.5,14,0,11,1,-1.0,0,26,15,14
