episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
53,10.828125,42,5.0,100,0.5,1,27,0,16,0.5,15,22,17,0,0.5,19,19,1,7,0.5,19,26,10,27,-1.0,0,24,14,28,0.5,10,26,6,20,0.5,6,9,8,1,0.5,19,1,0,22,0.5,19,7,18,0,0.5,4,1,19,16,0.5,19,25,9,14,-1.0,1,1,6,21,0.5,1,23,10,20,0.5,5,0,6,25,0.5,15,15,10,0,0.5,5,29,1,20
54,10.390625,42,2.0,100,-1.0,1,27,0,6,-1.0,8,14,0,27,0.5,0,25,1,10,0.5,4,1,14,1,0.5,14,22,19,6,-1.0,18,1,0,22,0.5,6,20,2,0,0.5,10,19,6,21,-1.0,14,15,1,23,0.5,1,6,0,9,0.5,17,28,6,16,0.5,7,2,15,22,0.5,0,18,15,14,0.5,6,13,19,16,0.5,18,14,10,24,0.5,0,24,1,17
55,9.828125,42,24.0,89,1.5,10,27,9,0,1.5,1,26,19,16,1.5,14,29,3,1,1.5,1,0,0,0,1.5,13,22,19,4,1.5,18,1,15,29,1.5,19,1,8,0,1.5,1,12,0,8,1.5,19,2,0,17,1.5,11,28,13,29,1.5,10,17,6,3,1.5,1,11,8,15,1.5,18,0,6,5,1.5,7,1,1,6,1.5,0,14,4,1,1.5,6,22,6,4
56,8.171875,42,24.0,76,1.5,7,1,6,13,1.5,1,0,6,15,1.5,1,3,0,16,1.5,19,19,19,10,1.5,1,11,1,5,1.5,0,20,0,0,1.5,17,28,10,25,1.5,6,10,0,6,1.5,0,28,0,27,1.5,6,18,19,20,1.5,7,8,6,1,1.5,8,15,10,0,1.5,7,10,1,7,1.5,6,27,19,1,1.5,17,15,1,27,1.5,9,0,1,17
57,10.34375,42,5.0,100,0.5,19,23,6,6,0.5,1,2,10,28,0.5,19,11,3,29,0.5,6,12,11,1,0.5,14,22,14,29,0.5,7,5,1,18,0.5,17,15,6,28,0.5,19,27,11,29,0.5,17,1,0,12,0.5,8,15,0,11,0.5,1,5,19,12,0.5,6,19,10,14,-1.0,7,4,12,28,-1.0,17,29,16,14,0.5,1,12,0,13,0.5,12,0,19,14
58,10.109375,42,5.0,100,0.5,15,0,6,17,0.5,6,19,13,29,-1.0,11,0,7,6,0.5,0,29,12,0,0.5,16,15,5,0,0.5,6,27,11,29,0.5,16,1,0,16,0.5,0,14,14,1,0.5,7,2,7,3,0.5,10,0,19,12,-1.0,1,4,10,23,0.5,0,0,1,5,0.5,11,14,7,11,0.5,19,2,6,22,0.5,3,1,6,1,0.5,19,28,11,22
59,10.0,42,6.5,100,0.5,19,18,14,29,0.5,19,26,5,0,-1.0,19,5,6,18,0.5,0,9,13,28,0.5,10,19,19,17,0.5,19,27,6,11,0.5,4,0,14,22,0.5,12,22,1,9,0.5,18,0,6,10,0.5,6,6,19,28,0.5,7,0,14,15,0.5,8,14,3,0,0.5,10,26,14,28,0.5,0,20,12,0,0.5,1,10,8,15,0.5,10,1,7,1
60,10.0,42,5.0,100,0.5,19,5,6,28,0.5,19,8,1,0,0.5,6,21,16,28,0.5,1,13,12,0,0.5,6,24,14,14,0.5,11,22,5,0,0.5,13,1,19,4,0.5,14,1,12,1,0.5,6,3,11,29,0.5,1,4,0,28,0.5,6,6,0,4,-1.0,10,14,1,29,0.5,6,20,7,4,0.5,7,14,6,2,-1.0,10,21,0,21,0.5,13,29,17,15
61,9.796875,42,3.5,100,0.5,1,7,19,9,0.5,12,1,15,22,0.5,3,1,10,29,0.5,19,0,10,25,-1.0,0,29,10,19,0.5,3,0,14,28,0.5,1,1,5,1,0.5,19,10,13,14,0.5,1,9,19,19,0.5,19,16,1,16,0.5,15,15,1,28,-1.0,15,29,14,22,-1.0,1,15,12,15,0.5,1,26,9,15,0.5,15,0,9,14,0.5,18,28,19,20
62,9.703125,42,0.5,100,0.5,6,1,1,10,0.5,9,14,7,10,-1.0,6,11,19,10,0.5,13,14,6,4,0.5,9,1,17,0,-1.0,19,1,16,29,0.5,10,25,6,20,0.5,12,28,13,15,0.5,0,5,11,0,-1.0,19,24,18,1,-1.0,19,21,1,25,-1.0,13,29,19,15,0.5,0,14,6,29,0.5,6,28,18,15,0.5,6,19,6,3,0.5,8,0,18,14
63,9.84375,42,5.0,100,0.5,19,12,1,25,0.5,19,29,7,3,0.5,7,2,17,0,0.5,15,14,6,21,0.5,1,23,6,11,0.5,0,24,3,29,0.5,10,29,11,29,-1.0,14,28,1,29,0.5,15,15,10,20,0.5,18,0,11,15,0.5,7,8,1,20,-1.0,6,0,10,24,0.5,19,19,13,14,0.5,0,4,5,0,0.5,19,25,4,0,0.5,19,15,11,1
64,9.84375,42,-1.0,100,-1.0,18,28,0,26,0.5,7,2,1,5,-1.0,15,28,19,25,-1.0,17,29,6,19,-1.0,1,0,6,24,-1.0,1,23,10,27,0.5,13,14,19,14,0.5,6,4,19,17,0.5,16,15,0,6,0.5,1,8,7,1,0.5,1,1,19,2,0.5,10,16,6,17,0.5,4,0,10,24,0.5,0,8,1,14,0.5,0,1,3,29,-1.0,6,11,19,29
65,10.0,42,6.5,100,0.5,0,15,1,10,0.5,7,7,4,1,0.5,17,22,19,29,0.5,12,0,11,28,0.5,1,21,16,15,0.5,7,1,0,0,0.5,13,22,0,5,0.5,2,1,7,12,0.5,19,3,12,29,0.5,1,1,6,24,-1.0,0,25,19,28,0.5,19,15,1,5,0.5,11,0,10,17,0.5,1,27,1,25,0.5,16,14,10,0,0.5,10,20,7,13
66,9.84375,42,-1.0,100,0.5,8,0,12,14,0.5,6,1,19,8,0.5,0,11,13,28,-1.0,7,3,6,23,0.5,4,29,19,15,0.5,1,10,6,18,-1.0,1,18,14,29,-1.0,19,24,17,22,0.5,6,0,17,14,0.5,0,21,6,8,0.5,6,25,1,23,-1.0,0,24,15,14,0.5,0,7,6,12,-1.0,0,27,12,22,0.5,14,1,16,1,-1.0,12,28,6,2
67,9.875,42,4.0,100,0.5,1,8,7,14,0.5,19,2,15,28,0.5,3,1,0,6,0.5,6,2,11,28,-0.5,0,22,6,5,0.5,1,5,14,29,0.5,9,0,6,6,0.5,10,16,18,1,-1.0,19,10,0,7,0.5,1,20,1,21,0.5,5,1,17,14,0.5,7,10,0,12,-1.0,16,22,0,15,0.5,1,2,6,27,0.5,2,1,0,19,0.5,19,5,0,0
68,9.9375,42,0.5,100,0.5,0,14,6,2,0.5,17,1,5,1,-1.0,10,20,19,21,-1.0,6,24,1,20,0.5,0,21,6,22,0.5,6,18,10,29,0.5,14,15,11,22,0.5,7,2,7,4,-1.0,0,9,6,12,0.5,2,1,1,16,-1.0,9,14,1,17,-1.0,18,28,15,0,0.5,1,3,1,28,0.5,9,1,13,28,0.5,10,0,14,29,0.5,17,14,7,13
69,9.8125,42,2.0,100,0.5,15,1,19,11,0.5,0,13,7,2,0.5,1,11,4,0,-1.0,19,27,1,20,0.5,13,14,10,27,0.5,18,14,7,6,0.5,11,28,19,17,0.5,17,14,19,0,0.5,6,19,1,14,0.5,6,5,1,12,-1.0,1,1,11,29,0.5,0,19,6,17,0.5,0,27,7,0,-1.0,0,10,19,24,-1.0,1,7,19,19,0.5,1,10,19,1
70,9.953125,42,2.0,100,0.5,14,15,7,9,0.5,6,12,6,7,0.5,10,23,8,1,-1.0,0,6,6,16,0.5,7,4,1,6,0.5,8,15,15,0,0.5,19,14,1,0,-1.0,17,15,0,23,0.5,13,22,10,14,-1.0,10,15,1,29,0.5,0,11,2,1,-1.0,0,1,10,27,0.5,1,27,6,13,0.5,6,15,15,1,0.5,10,0,6,23,0.5,14,28,4,0
71,9.75,42,-1.0,100,0.5,6,0,1,9,0.5,6,10,19,15,-1.0,11,22,1,14,-1.0,1,18,6,5,0.5,0,2,0,13,0.5,10,22,1,19,-1.0,15,28,7,4,-1.0,0,15,7,7,0.5,0,0,7,6,0.5,10,15,19,4,0.5,19,5,10,20,-1.0,7,1,17,29,-1.0,1,7,15,29,0.5,18,0,17,22,0.5,12,15,7,5,0.5,11,14,0,21
72,10.03125,42,6.5,100,0.5,12,22,6,1,0.5,0,23,2,0,0.5,18,28,13,14,0.5,1,10,6,23,0.5,8,1,10,25,-1.0,0,17,16,22,0.5,11,28,0,7,0.5,1,17,6,9,0.5,6,24,19,13,0.5,1,19,6,10,0.5,1,0,19,4,0.5,0,6,6,6,0.5,4,29,1,11,0.5,6,22,8,14,0.5,0,22,0,12,0.5,19,5,1,25
73,9.796875,42,-1.0,100,0.5,15,0,19,29,-1.0,0,27,7,5,-1.0,8,14,1,9,0.5,19,21,10,18,-1.0,18,14,0,19,-1.0,0,23,19,10,0.5,13,0,19,12,0.5,6,21,6,2,-1.0,1,15,19,18,0.5,0,11,0,10,0.5,17,1,16,28,0.5,0,24,6,29,0.5,0,22,1,2,-1.0,10,27,0,14,0.5,7,3,6,19,0.5,0,26,1,18
74,9.515625,42,0.5,100,-1.0,19,25,6,1,0.5,19,20,10,18,-1.0,0,29,6,14,0.5,6,19,6,21,-1.0,16,28,12,1,-1.0,16,15,6,28,0.5,7,5,11,0,-1.0,19,23,10,20,0.5,6,15,6,10,0.5,7,12,1,14,0.5,10,19,6,26,0.5,6,2,1,19,0.5,16,22,11,28,0.5,4,0,0,7,0.5,7,11,18,29,0.5,8,15,0,23
75,9.578125,42,-5.5,100,0.5,16,22,6,12,0.5,7,1,0,21,-1.0,6,8,15,29,0.5,6,15,7,12,0.5,10,16,1,8,0.5,7,3,14,0,-1.0,11,29,1,19,-1.0,2,29,8,15,-1.0,19,22,5,1,0.5,14,14,19,23,-1.0,4,0,18,28,-1.0,19,14,6,1,0.5,19,13,10,0,-1.0,6,3,6,14,-1.0,15,28,0,16,-1.0,6,17,6,7
76,10.390625,42,-2.5,100,0.5,15,1,6,17,0.5,1,11,0,8,0.5,19,17,14,28,-1.0,12,14,19,10,-1.0,0,23,12,22,-1.0,19,28,0,19,0.5,11,29,6,4,-1.0,19,13,10,27,-1.0,10,22,19,15,-1.0,1,28,19,11,0.5,0,12,0,6,-1.0,8,15,19,12,0.5,10,14,18,1,0.5,19,23,0,1,0.5,17,15,19,25,0.5,8,14,10,18
77,10.59375,42,3.5,100,0.5,18,14,0,13,0.5,10,16,9,0,0.5,18,1,19,14,0.5,6,3,0,17,-1.0,19,15,19,22,-1.0,19,2,19,21,0.5,6,13,1,12,0.5,0,1,1,19,0.5,16,1,1,25,0.5,7,11,12,14,-1.0,19,27,16,14,0.5,1,24,2,1,0.5,1,4,10,15,0.5,7,1,15,28,0.5,7,4,6,27,0.5,1,16,1,6
78,9.828125,42,2.0,100,0.5,19,21,19,9,-1.0,16,29,16,14,0.5,14,14,19,1,0.5,1,25,0,15,-1.0,7,8,17,28,0.5,10,15,3,29,-1.0,19,25,5,0,0.5,6,17,0,27,0.5,7,13,1,20,0.5,10,18,19,15,0.5,11,14,13,15,-1.0,19,2,6,25,0.5,10,22,10,25,0.5,0,23,6,23,0.5,0,26,0,29,0.5,6,13,6,12
79,9.90625,42,3.5,100,0.5,0,5,0,9,0.5,10,18,10,17,-1.0,10,27,19,17,0.5,12,14,6,6,-1.0,10,29,7,10,0.5,0,26,1,12,0.5,16,14,7,15,0.5,13,0,7,0,0.5,1,7,1,13,0.5,8,1,7,3,0.5,6,14,0,22,-1.0,19,16,10,19,0.5,0,15,1,1,0.5,6,27,1,19,0.5,7,4,19,14,0.5,7,13,19,21
80,9.625,42,2.5,100,0.5,6,20,6,11,0.5,10,19,19,20,0.5,6,26,19,7,0.5,19,0,13,15,0.5,19,27,0,9,0.5,19,3,9,14,-0.5,6,10,8,1,0.5,0,18,7,7,-1.0,11,28,12,0,-1.0,16,29,1,16,0.5,11,1,5,0,0.5,1,21,0,8,0.5,1,15,1,0,0.5,1,26,19,28,-1.0,19,24,6,12,0.5,6,23,9,0
81,9.90625,42,2.0,100,0.5,0,10,10,15,0.5,3,1,1,9,0.5,19,10,19,21,0.5,1,5,1,13,0.5,0,1,4,0,0.5,14,0,7,15,0.5,0,15,1,15,0.5,0,26,0,14,-1.0,0,13,19,22,0.5,19,15,6,18,-1.0,9,0,3,29,0.5,5,29,13,22,0.5,6,17,19,0,-1.0,19,9,19,27,-1.0,17,28,6,29,0.5,15,14,16,14
82,10.34375,42,3.5,100,0.5,0,21,9,14,0.5,19,24,13,15,-1.0,16,15,6,17,0.5,6,10,7,2,0.5,17,29,7,8,0.5,19,17,18,28,0.5,19,12,1,14,-1.0,17,22,6,28,0.5,10,27,15,15,0.5,18,29,19,22,0.5,10,29,3,1,0.5,12,15,6,16,0.5,1,15,4,29,-1.0,9,1,19,23,0.5,13,22,1,19,0.5,0,29,19,6
83,10.75,42,6.5,100,0.5,0,20,3,1,0.5,19,14,19,15,-1.0,18,28,1,5,0.5,0,19,1,24,0.5,10,26,0,9,0.5,0,8,10,14,0.5,1,6,6,9,0.5,1,14,12,1,0.5,17,28,19,0,0.5,0,17,17,1,0.5,6,0,0,11,0.5,14,0,19,24,0.5,0,26,1,17,0.5,7,0,8,0,0.5,15,29,6,15,0.5,10,16,1,20
84,10.0625,42,-0.5,100,-1.0,0,14,10,27,0.5,1,29,7,6,0.5,16,22,6,14,0.5,10,29,6,28,0.5,12,0,6,21,-0.5,16,15,10,28,0.5,7,14,18,1,0.5,19,9,0,20,0.5,9,1,1,21,-1.0,1,14,19,18,-1.0,1,16,19,17,-1.0,1,3,11,28,-1.0,19,14,18,28,0.5,6,11,0,25,0.5,10,16,6,7,0.5,1,4,0,29
85,10.390625,42,0.5,100,0.5,15,22,14,0,-1.0,1,12,17,14,0.5,1,22,7,14,0.5,12,15,7,11,-1.0,1,9,10,20,0.5,1,7,8,15,0.5,16,29,0,7,0.5,6,1,1,13,0.5,11,28,0,24,0.5,9,1,1,8,0.5,6,27,8,0,0.5,0,28,19,7,-1.0,6,2,15,15,0.5,10,27,15,14,-1.0,1,11,19,15,-1.0,6,24,13,28
86,9.984375,42,-5.5,100,0.5,6,27,11,14,-1.0,19,12,7,11,-1.0,1,22,11,22,-1.0,0,15,7,6,0.5,19,23,3,1,-1.0,14,15,0,13,-1.0,1,25,17,14,0.5,7,7,7,5,0.5,6,24,19,6,-1.0,19,28,0,11,0.5,10,21,16,22,-1.0,3,0,10,25,-1.0,19,15,13,29,0.5,7,15,0,3,0.5,7,9,19,25,-1.0,0,22,10,22
87,9.421875,42,-3.5,100,-1.0,16,0,19,20,-1.0,15,22,0,10,0.5,12,14,14,28,0.5,6,7,7,3,0.5,5,0,7,10,0.5,6,27,8,15,0.5,15,29,10,22,-0.5,18,15,7,13,-1.0,11,0,14,15,-1.0,6,26,6,12,0.5,12,0,1,19,0.5,19,7,13,15,0.5,14,29,19,13,-1.0,1,14,16,29,-1.0,11,14,6,25,-1.0,7,2,10,23
88,9.515625,42,3.5,100,0.5,1,0,3,1,-1.0,1,21,14,1,0.5,16,22,6,9,-1.0,2,29,13,22,-1.0,14,14,1,8,0.5,10,14,17,28,0.5,19,19,15,0,0.5,14,29,19,3,0.5,19,5,15,14,0.5,1,15,4,0,0.5,0,22,1,10,0.5,6,16,6,18,0.5,6,8,1,5,0.5,0,25,1,13,0.5,10,29,8,15,0.5,6,13,6,3
89,9.09375,42,-1.0,100,-1.0,7,7,1,25,0.5,6,15,7,0,-1.0,6,24,1,10,0.5,10,0,3,0,-1.0,13,15,17,1,0.5,17,15,6,5,0.5,0,16,1,11,0.5,5,1,1,17,0.5,0,29,6,28,0.5,1,3,10,19,-1.0,1,4,6,10,-1.0,16,22,16,0,0.5,16,1,7,8,0.5,1,26,17,0,-1.0,2,29,0,24,0.5,6,17,14,29
90,9.140625,42,5.0,100,0.5,7,5,5,0,0.5,1,10,0,13,0.5,6,28,10,28,-1.0,2,29,10,29,0.5,1,12,7,12,0.5,6,11,11,15,0.5,0,3,18,29,0.5,15,0,15,14,0.5,5,29,19,13,0.5,6,17,6,12,0.5,0,29,0,5,0.5,6,6,18,28,-1.0,1,22,13,14,0.5,19,9,9,1,0.5,1,25,1,24,0.5,13,29,19,7
91,10.234375,42,3.5,100,0.5,7,5,7,11,0.5,16,14,17,28,0.5,10,18,18,1,-1.0,15,14,13,28,0.5,7,3,0,24,0.5,0,18,1,21,0.5,0,3,0,15,0.5,7,13,11,15,0.5,6,10,19,27,0.5,6,29,6,21,0.5,13,22,1,15,-1.0,10,26,7,10,0.5,19,29,7,7,0.5,19,9,10,0,-1.0,17,22,10,16,0.5,19,4,7,1
92,9.46875,42,6.5,100,0.5,19,28,6,6,0.5,0,29,1,14,0.5,19,15,0,0,0.5,2,1,19,18,0.5,14,29,0,13,0.5,17,14,15,15,0.5,11,0,17,28,0.5,5,29,1,21,0.5,6,19,14,28,0.5,19,0,10,26,0.5,10,24,6,20,0.5,12,1,10,1,-1.0,15,22,6,26,0.5,1,6,1,8,0.5,19,4,1,19,0.5,0,27,4,1
93,10.328125,42,2.0,100,0.5,12,14,6,24,0.5,2,0,0,1,0.5,19,29,10,25,-1.0,15,22,6,27,0.5,19,10,19,26,0.5,1,2,13,14,-1.0,12,22,15,28,0.5,19,25,10,14,-1.0,19,11,6,26,0.5,14,22,19,20,0.5,4,29,1,27,0.5,1,13,1,23,-1.0,12,28,17,0,0.5,16,29,19,21,0.5,1,21,6,6,0.5,1,10,3,0
94,8.921875,42,2.0,100,-1.0,10,18,14,1,0.5,0,0,14,29,0.5,19,6,10,15,0.5,19,28,1,24,0.5,6,11,6,13,0.5,19,3,1,13,0.5,1,17,1,14,0.5,12,15,6,5,0.5,10,16,1,5,0.5,14,15,15,15,0.5,0,8,1,9,0.5,6,14,16,29,-1.0,15,22,8,0,0.5,1,18,6,18,-1.0,17,29,1,2,-1.0,17,28,0,20
95,9.984375,42,3.5,100,0.5,6,27,1,26,0.5,1,0,7,5,-1.0,19,12,1,14,-1.0,6,22,1,12,0.5,1,7,1,9,0.5,11,28,7,4,0.5,1,25,4,0,0.5,13,0,0,22,0.5,19,26,1,15,0.5,14,22,14,14,0.5,6,20,1,24,0.5,7,7,19,28,0.5,6,21,0,16,-1.0,11,15,19,23,0.5,8,14,15,0,0.5,18,28,0,19
96,9.890625,42,-5.5,100,-1.0,1,18,19,13,-1.0,2,29,1,7,0.5,7,15,19,11,-1.0,3,0,6,27,-1.0,1,28,11,14,0.5,1,0,16,0,0.5,19,17,6,17,-1.0,10,23,0,19,-1.0,0,27,16,1,-1.0,9,1,18,0,0.5,0,5,1,6,-1.0,19,8,1,21,0.5,16,15,6,20,0.5,2,0,0,8,-1.0,11,1,6,19,0.5,16,22,11,0
97,9.0,42,2.0,100,-1.0,18,1,15,29,0.5,18,29,0,12,0.5,0,29,17,1,0.5,0,22,8,14,0.5,5,1,1,12,0.5,10,27,19,26,-1.0,10,23,0,10,0.5,18,15,6,29,0.5,9,1,19,1,0.5,0,16,19,15,0.5,15,14,14,28,0.5,1,26,1,6,-1.0,10,26,0,27,-1.0,0,11,19,24,0.5,8,1,14,1,0.5,1,22,0,24
98,9.0625,42,6.5,100,0.5,14,29,19,10,0.5,5,1,1,27,0.5,16,1,14,0,0.5,10,19,6,5,0.5,12,14,1,13,0.5,18,15,7,1,0.5,17,22,0,1,0.5,1,24,12,22,0.5,7,13,8,1,0.5,3,29,1,26,0.5,6,18,19,20,0.5,10,28,16,15,-1.0,1,6,19,21,0.5,19,26,4,0,0.5,0,26,14,15,0.5,6,25,15,28
99,9.984375,42,0.5,100,-1.0,19,11,0,22,0.5,11,29,19,25,0.5,10,26,1,17,-1.0,1,20,15,29,-1.0,0,16,19,3,0.5,0,21,5,0,-1.0,6,22,15,22,-1.0,11,14,10,25,0.5,7,6,7,7,0.5,19,26,8,0,0.5,10,22,1,27,0.5,1,5,3,29,0.5,17,0,19,1,0.5,6,9,6,15,0.5,6,8,10,23,0.5,6,17,16,1
100,10.203125,42,-1.0,100,0.5,1,23,0,12,-1.0,0,5,17,29,0.5,7,11,1,28,0.5,19,11,19,17,0.5,1,20,6,23,-1.0,13,28,0,11,-1.0,10,15,9,1,0.5,19,18,0,7,-1.0,7,2,6,18,0.5,4,1,6,7,0.5,6,1,6,10,-1.0,10,24,7,1,0.5,6,5,7,6,0.5,17,15,14,29,0.5,19,15,18,29,-1.0,11,29,17,1
