episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
22,60.046875,42,,,,0,3,4,1,,,1,9,7,13,,,1,22,19,13,,,3,0,13,0,,,1,0,15,15,,,0,4,10,19,,,12,22,6,23,,,19,22,1,15,,,0.0,27.0,18.0,28.0,,,,,,
23,0.34375,42,62.0,36.0,35.0,0,5,19,13,58.0,57.0,13,28,0,18,27.0,26.0,0,19,6,19,29.0,28.0,14,22,19,23,62.0,61.0,17,15,4,29,16.0,15.0,1,0,7,9,15.0,14.0,6,27,7,14,41.0,40.0,0,28,12,0,,,,,,,20.0,19.0,16.0,28.0,10.0,15.0
24,60.03125,42,,,,5,29,10,1,,,19,19,1,3,,,8,1,11,1,,,3,29,17,29,,,19,20,0,24,,,19,12,14,0,,,7,12,1,2,,,0,5,14,29,,,10.0,22.0,6.0,23.0,,,,,,
25,0.015625,42,41.0,30.0,29.0,19,22,11,1,24.0,23.0,1,8,16,0,33.0,32.0,10,22,18,0,9.0,8.0,1,11,0,4,22.0,21.0,19,14,12,0,41.0,40.0,14,22,0,24,41.0,40.0,16,28,3,29,25.0,24.0,6,26,17,15,,,,,,,12.0,11.0,0.0,1.0,7.0,5.0
26,60.015625,42,,,,1,27,18,29,,,16,15,15,0,,,7,4,4,0,,,1,23,6,22,,,6,4,0,27,,,8,15,6,13,,,15,15,19,13,,,10,24,6,25,,,19.0,14.0,0.0,26.0,,,,,,
27,60.015625,42,,,,11,28,19,28,,,19,21,14,28,,,18,29,17,29,,,2,29,17,0,,,7,1,19,20,,,8,15,0,24,,,1,26,19,2,,,2,1,0,15,,,1.0,24.0,7.0,6.0,,,,,,
28,60.09375,42,,,,10,22,19,10,,,6,9,19,11,,,1,3,10,23,,,1,14,1,7,,,17,14,1,5,,,6,0,3,29,,,5,29,10,18,,,19,12,7,2,,,1.0,2.0,0.0,26.0,,,,,,
29,60.03125,42,,,,9,1,8,0,,,0,4,12,22,,,13,22,16,22,,,0,12,6,18,,,1,14,17,15,,,1,9,6,0,,,17,22,19,26,,,6,26,7,13,,,10.0,21.0,14.0,15.0,,,,,,
30,60.015625,42,,,,19,1,1,22,,,16,14,1,27,,,18,1,11,15,,,9,0,10,16,,,0,9,19,18,,,7,10,6,23,,,1,11,3,1,,,19,4,0,11,,,1.0,24.0,0.0,1.0,,,,,,
31,60.046875,42,,,,6,13,6,20,,,19,13,19,12,,,8,1,12,29,,,19,5,0,22,,,0,23,17,28,,,0,21,18,0,,,17,22,16,22,,,0,24,19,7,,,0.0,11.0,1.0,24.0,,,,,,
32,60.046875,42,,,,19,25,1,0,,,6,1,17,15,,,16,22,9,0,,,10,18,7,15,,,15,29,19,22,,,10,29,18,15,,,11,15,17,22,,,10,27,7,3,,,14.0,22.0,16.0,0.0,,,,,,
33,60.046875,42,,,,6,16,1,7,,,12,29,6,23,,,11,14,10,24,,,1,27,1,23,,,2,1,6,5,,,0,13,6,12,,,1,2,7,13,,,6,27,6,11,,,7.0,7.0,14.0,15.0,,,,,,
34,0.71875,42,31.0,31.0,30.0,6,27,19,10,13.0,12.0,6,14,18,14,24.0,23.0,1,11,7,8,15.0,14.0,12,29,15,22,30.0,29.0,1,23,6,3,6.0,5.0,4,1,7,3,28.0,27.0,16,14,9,0,3.0,2.0,19,18,19,20,,,,,,,19.0,18.0,6.0,2.0,12.0,14.0
35,60.046875,42,,,,18,1,0,16,,,7,10,3,29,,,11,28,1,10,,,1,16,14,15,,,16,28,0,8,,,10,0,10,22,,,8,15,13,1,,,15,15,7,13,,,11.0,0.0,18.0,28.0,,,,,,
36,60.03125,42,,,,19,11,0,19,,,1,0,8,1,,,19,19,19,15,,,10,26,14,0,,,11,1,1,1,,,0,21,19,20,,,10,28,1,8,,,14,1,16,22,,,10.0,19.0,6.0,21.0,,,,,,
37,60.046875,42,,,,10,21,14,0,,,6,29,0,11,,,16,0,0,21,,,19,29,8,1,,,16,15,10,27,,,19,14,1,8,,,19,17,1,9,,,0,20,0,29,,,1.0,28.0,10.0,15.0,,,,,,
38,60.0625,42,,,,0,1,16,22,,,10,17,8,0,,,7,6,7,10,,,7,4,1,23,,,12,22,10,23,,,8,1,1,1,,,14,1,19,14,,,15,14,18,0,,,19.0,11.0,0.0,27.0,,,,,,
39,0.203125,42,39.0,11.0,10.0,0,26,1,17,27.0,26.0,14,0,12,14,39.0,38.0,0,20,14,14,7.0,6.0,7,9,6,4,13.0,12.0,11,29,14,22,11.0,10.0,14,1,19,6,34.0,33.0,6,23,17,1,7.0,6.0,19,12,15,14,,,,,,,36.0,35.0,16.0,0.0,15.0,28.0
40,60.03125,42,,,,11,1,1,3,,,2,1,0,19,,,16,15,19,15,,,6,11,10,1,,,8,15,6,28,,,6,0,14,15,,,5,29,6,15,,,1,6,0,29,,,19.0,21.0,14.0,14.0,,,,,,
41,60.015625,42,,,,1,10,6,14,,,10,0,11,28,,,19,18,19,26,,,19,15,0,1,,,6,10,13,29,,,15,29,18,0,,,10,26,6,25,,,7,7,0,27,,,1.0,2.0,2.0,29.0,,,,,,
42,60.046875,42,,,,18,1,9,14,,,19,2,0,2,,,11,1,0,21,,,0,28,7,2,,,0,27,14,0,,,7,7,17,15,,,10,20,6,26,,,0,7,4,1,,,12.0,29.0,19.0,22.0,,,,,,
43,60.078125,42,,,,7,3,9,14,,,6,0,0,25,,,6,29,6,17,,,0,2,19,29,,,5,0,0,10,,,8,0,19,2,,,19,11,12,28,,,14,22,3,29,,,15.0,29.0,17.0,28.0,,,,,,
44,0.4375,42,53.0,48.0,47.0,0,24,19,6,36.0,35.0,12,1,18,28,53.0,52.0,19,29,0,6,23.0,22.0,0,5,1,26,25.0,24.0,1,1,1,25,26.0,25.0,11,22,7,1,38.0,37.0,10,28,1,2,43.0,42.0,0,20,18,14,,,,,,,42.0,41.0,0.0,9.0,12.0,22.0
45,1.546875,42,55.0,55.0,54.0,16,29,0,11,31.0,30.0,1,15,17,1,36.0,35.0,0,3,10,24,17.0,16.0,19,9,19,25,35.0,34.0,4,0,16,22,31.0,30.0,11,29,19,21,18.0,17.0,0,8,1,24,32.0,31.0,0,1,3,29,,,,,,,46.0,45.0,15.0,28.0,1.0,5.0
46,60.0625,42,,,,18,1,18,0,,,1,26,13,1,,,0,13,17,1,,,12,14,17,28,,,16,22,7,0,,,19,22,0,9,,,19,13,7,2,,,0,27,1,16,,,15.0,22.0,0.0,26.0,,,,,,
47,60.03125,42,,,,0,28,7,0,,,13,1,1,5,,,7,13,17,0,,,9,1,14,15,,,14,28,0,12,,,9,15,1,14,,,11,0,0,3,,,0,19,2,29,,,18.0,1.0,0.0,22.0,,,,,,
48,60.078125,42,,,,13,22,0,1,,,8,1,0,9,,,19,25,1,20,,,14,29,19,3,,,10,26,7,3,,,7,14,6,22,,,0,12,1,9,,,0,16,6,12,,,10.0,27.0,0.0,21.0,,,,,,
49,60.03125,42,,,,15,22,11,1,,,1,12,19,0,,,6,14,10,17,,,19,25,7,0,,,10,21,1,3,,,7,3,1,26,,,9,14,19,17,,,16,0,9,1,,,1.0,28.0,5.0,0.0,,,,,,
50,60.03125,42,,,,6,23,1,3,,,10,18,7,3,,,9,1,7,14,,,13,14,13,0,,,1,28,6,20,,,11,22,19,10,,,6,29,7,6,,,19,16,0,29,,,1.0,6.0,0.0,27.0,,,,,,
51,60.109375,42,,,,19,23,10,25,,,1,0,6,19,,,19,18,11,1,,,3,0,6,22,,,0,21,1,5,,,5,0,6,21,,,10,26,17,29,,,6,25,1,19,,,16.0,0.0,10.0,20.0,,,,,,
52,60.0625,42,,,,10,23,1,21,,,6,0,0,21,,,19,11,10,17,,,0,8,6,8,,,4,29,10,15,,,6,23,10,21,,,7,7,13,14,,,7,6,9,15,,,1.0,3.0,11.0,22.0,,,,,,
53,60.015625,42,,,,10,20,6,26,,,11,28,8,15,,,10,27,10,29,,,6,0,8,14,,,1,26,6,10,,,16,1,19,21,,,6,6,7,15,,,9,15,16,29,,,1.0,15.0,14.0,15.0,,,,,,
54,60.03125,42,,,,10,1,16,22,,,19,3,1,26,,,0,29,6,0,,,19,11,8,0,,,18,1,17,28,,,7,13,6,15,,,14,14,7,11,,,8,1,0,9,,,2.0,1.0,0.0,26.0,,,,,,
55,60.140625,42,,,,0,12,7,9,,,0,16,1,9,,,18,29,14,14,,,17,29,5,29,,,17,14,0,15,,,0,17,14,28,,,3,1,19,7,,,10,15,0,3,,,6.0,4.0,6.0,27.0,,,,,,
56,60.03125,42,,,,17,15,12,14,,,13,15,0,27,,,18,15,7,14,,,6,23,6,11,,,6,13,7,12,,,13,22,19,20,,,1,5,0,17,,,1,24,19,28,,,10.0,23.0,7.0,0.0,,,,,,
57,0.015625,42,36.0,22.0,21.0,6,25,6,4,33.0,32.0,5,29,0,2,19.0,18.0,12,29,12,15,16.0,15.0,1,2,1,17,25.0,24.0,13,15,15,1,24.0,23.0,15,0,8,14,14.0,13.0,6,16,7,4,36.0,35.0,19,12,1,7,,,,,,,15.0,14.0,15.0,22.0,11.0,14.0
58,0.578125,42,49.0,43.0,42.0,1,7,16,22,27.0,26.0,6,23,11,28,49.0,48.0,17,28,1,2,17.0,16.0,19,11,7,13,40.0,39.0,19,27,7,0,22.0,21.0,19,20,18,0,21.0,20.0,10,1,6,17,22.0,21.0,1,15,6,3,,,,,,,18.0,17.0,13.0,22.0,17.0,29.0
59,60.0625,42,,,,0,18,5,1,,,17,28,1,11,,,15,0,1,25,,,0,9,19,8,,,6,27,19,16,,,7,7,0,10,,,7,5,11,0,,,19,11,1,23,,,1.0,4.0,1.0,14.0,,,,,,
60,60.015625,42,,,,4,0,1,25,,,1,14,17,29,,,7,10,18,0,,,19,28,18,14,,,10,20,11,14,,,14,0,10,1,,,0,3,11,22,,,0,19,6,21,,,2.0,1.0,12.0,14.0,,,,,,
61,60.046875,42,,,,16,14,6,5,,,15,14,19,14,,,10,26,18,0,,,0,13,6,3,,,14,1,7,8,,,6,11,8,15,,,14,28,15,22,,,9,1,12,29,,,19.0,2.0,18.0,14.0,,,,,,
62,60.0625,42,,,,6,12,6,5,,,7,13,10,19,,,6,26,7,12,,,19,9,8,15,,,5,0,8,0,,,10,20,0,24,,,0,27,0,5,,,18,1,6,19,,,6.0,15.0,19.0,29.0,,,,,,
63,60.03125,42,,,,19,11,0,5,,,11,0,10,25,,,6,17,19,13,,,1,10,13,0,,,0,1,7,0,,,6,5,6,24,,,6,0,5,1,,,1,13,1,2,,,1.0,29.0,10.0,23.0,,,,,,
64,60.03125,42,,,,10,15,19,25,,,0,1,16,22,,,6,23,10,28,,,3,0,19,2,,,1,8,7,7,,,13,14,19,26,,,8,14,15,14,,,11,1,11,28,,,13.0,28.0,19.0,7.0,,,,,,
65,60.015625,42,,,,7,15,0,26,,,14,0,7,14,,,3,29,14,14,,,19,21,16,29,,,10,28,6,28,,,16,0,11,22,,,7,3,10,0,,,18,29,11,28,,,0.0,16.0,6.0,23.0,,,,,,
66,60.078125,42,,,,19,23,6,7,,,0,24,0,1,,,19,26,0,28,,,1,5,4,29,,,4,0,0,9,,,17,14,7,14,,,14,15,15,29,,,14,29,19,21,,,11.0,1.0,7.0,10.0,,,,,,
67,60.03125,42,,,,19,1,16,14,,,19,26,11,22,,,18,15,0,19,,,7,4,1,20,,,6,2,10,1,,,19,24,9,1,,,1,25,16,22,,,6,22,2,0,,,0.0,16.0,19.0,12.0,,,,,,
68,0.125,42,52.0,3.0,2.0,17,14,19,14,49.0,48.0,1,24,12,15,36.0,35.0,0,8,15,14,52.0,51.0,0,12,13,28,22.0,21.0,6,13,11,29,14.0,13.0,19,19,15,28,11.0,10.0,0,11,0,1,30.0,29.0,6,12,18,29,,,,,,,11.0,10.0,6.0,29.0,0.0,25.0
69,60.0625,42,,,,14,22,18,15,,,6,18,6,29,,,16,22,0,1,,,6,15,19,18,,,0,11,7,15,,,19,8,2,0,,,1,23,12,22,,,0,23,8,15,,,10.0,28.0,0.0,6.0,,,,,,
70,9.5,42,56.0,8.0,7.0,6,19,8,14,15.0,14.0,13,14,6,7,28.0,27.0,19,6,15,29,28.0,27.0,10,25,19,7,56.0,55.0,12,14,4,29,35.0,34.0,1,28,13,22,35.0,34.0,1,24,10,21,25.0,24.0,6,23,7,0,,,,,,,19.0,18.0,15.0,1.0,18.0,14.0
71,0.125,42,43.0,37.0,36.0,0,26,6,6,34.0,33.0,2,29,7,1,19.0,18.0,9,15,13,29,35.0,34.0,19,4,6,25,4.0,3.0,18,29,16,28,21.0,20.0,1,12,9,0,19.0,18.0,12,22,19,29,43.0,42.0,0,19,11,14,,,,,,,10.0,9.0,6.0,18.0,12.0,15.0
72,60.03125,42,,,,4,1,18,14,,,15,28,13,14,,,6,21,14,15,,,9,0,10,22,,,1,1,0,13,,,0,27,6,17,,,10,17,7,11,,,1,12,19,10,,,19.0,29.0,1.0,20.0,,,,,,
73,60.015625,42,,,,7,11,10,1,,,6,6,0,4,,,1,0,5,0,,,0,23,7,1,,,6,11,19,21,,,0,18,11,1,,,0,15,19,2,,,6,8,7,0,,,1.0,16.0,6.0,24.0,,,,,,
74,60.078125,42,,,,19,4,19,6,,,19,20,6,16,,,19,21,1,23,,,15,0,10,14,,,7,13,6,2,,,9,1,19,5,,,19,25,19,9,,,3,29,5,1,,,6.0,7.0,8.0,15.0,,,,,,
75,60.0625,42,,,,19,26,1,25,,,14,22,6,1,,,1,19,1,10,,,10,21,1,5,,,10,27,6,7,,,11,28,19,1,,,0,5,0,0,,,4,29,3,1,,,18.0,14.0,0.0,13.0,,,,,,
76,60.109375,42,,,,10,14,19,18,,,1,27,19,28,,,16,14,10,20,,,10,19,12,15,,,16,0,1,28,,,11,1,17,0,,,6,28,12,14,,,18,28,19,7,,,7.0,7.0,2.0,1.0,,,,,,
77,60.0625,42,,,,16,1,19,19,,,7,5,15,29,,,1,12,7,15,,,1,9,19,15,,,10,14,6,27,,,6,1,1,1,,,0,23,0,8,,,6,25,19,20,,,11.0,28.0,14.0,22.0,,,,,,
78,60.0625,42,,,,0,23,2,0,,,4,1,8,0,,,0,9,16,1,,,0,11,5,29,,,1,26,0,10,,,10,17,18,14,,,0,15,0,25,,,19,26,11,1,,,7.0,2.0,6.0,16.0,,,,,,
79,60.046875,42,,,,15,29,6,18,,,0,13,1,22,,,19,6,6,23,,,13,1,1,4,,,7,0,0,0,,,1,17,4,0,,,19,24,0,25,,,5,0,6,22,,,7.0,10.0,18.0,28.0,,,,,,
80,60.015625,42,,,,1,7,6,26,,,0,0,10,0,,,0,25,15,29,,,7,14,7,4,,,2,29,17,29,,,7,10,8,15,,,0,6,1,29,,,6,4,1,22,,,6.0,21.0,6.0,1.0,,,,,,
81,60.03125,42,,,,10,22,6,3,,,1,25,1,26,,,19,10,19,14,,,7,7,7,8,,,18,28,0,11,,,12,28,7,11,,,6,4,7,3,,,1,22,13,22,,,14.0,28.0,1.0,13.0,,,,,,
82,60.0625,42,,,,1,4,19,14,,,10,24,1,13,,,0,10,17,0,,,6,1,0,7,,,1,1,1,5,,,0,4,0,25,,,19,11,13,15,,,0,20,10,28,,,0.0,2.0,7.0,6.0,,,,,,
83,60.015625,42,,,,1,25,3,1,,,0,20,18,14,,,10,16,9,0,,,1,22,10,27,,,10,21,7,2,,,12,29,1,7,,,18,1,19,6,,,7,11,15,28,,,0.0,1.0,19.0,28.0,,,,,,
84,60.0625,42,,,,18,14,19,9,,,4,0,19,26,,,1,28,0,18,,,1,26,6,10,,,19,11,14,15,,,10,1,17,0,,,7,2,1,4,,,19,22,6,0,,,10.0,24.0,9.0,15.0,,,,,,
85,60.03125,42,,,,16,22,17,14,,,0,25,0,17,,,10,23,18,28,,,4,1,0,6,,,1,19,14,15,,,8,0,6,7,,,6,22,6,15,,,11,1,0,4,,,6.0,0.0,13.0,14.0,,,,,,
86,0.203125,42,39.0,34.0,33.0,11,29,19,4,16.0,15.0,14,1,1,3,32.0,31.0,18,0,10,21,39.0,38.0,13,22,1,24,39.0,38.0,5,0,15,28,36.0,35.0,14,22,1,2,7.0,6.0,17,15,12,14,8.0,7.0,6,0,13,0,,,,,,,23.0,22.0,1.0,7.0,0.0,28.0
87,60.03125,42,,,,0,13,0,3,,,1,9,10,0,,,16,14,10,18,,,7,14,10,19,,,0,27,6,16,,,19,28,0,29,,,2,0,10,17,,,0,0,19,6,,,19.0,12.0,0.0,20.0,,,,,,
88,60.046875,42,,,,19,2,7,0,,,6,23,10,22,,,9,0,1,0,,,1,7,4,1,,,10,28,6,6,,,1,11,12,0,,,2,29,19,24,,,14,0,17,28,,,0.0,11.0,1.0,13.0,,,,,,
89,60.046875,42,,,,0,4,10,27,,,0,11,10,25,,,10,22,1,12,,,1,5,10,0,,,1,22,8,14,,,18,1,6,18,,,19,1,15,0,,,17,29,12,22,,,1.0,28.0,8.0,15.0,,,,,,
90,0.578125,42,30.0,10.0,9.0,15,14,7,15,14.0,12.0,10,15,19,16,4.0,3.0,2,1,0,2,25.0,24.0,15,1,0,8,24.0,23.0,13,29,16,15,30.0,29.0,19,26,6,10,11.0,10.0,1,4,8,1,3.0,2.0,6,24,6,26,,,,,,,17.0,16.0,14.0,1.0,19.0,12.0
91,60.171875,42,,,,6,21,7,5,,,19,16,1,4,,,0,21,6,10,,,15,22,19,21,,,19,4,2,0,,,11,29,1,10,,,6,18,1,15,,,1,6,19,11,,,12.0,28.0,18.0,15.0,,,,,,
92,60.0625,42,,,,19,26,6,14,,,19,9,6,22,,,1,25,8,0,,,1,18,0,20,,,6,6,14,22,,,7,5,11,28,,,19,2,9,0,,,14,14,16,0,,,11.0,15.0,19.0,18.0,,,,,,
93,60.015625,42,,,,10,16,7,13,,,6,29,0,22,,,0,23,0,0,,,15,29,1,16,,,19,8,6,26,,,13,14,14,28,,,18,29,7,2,,,18,28,0,5,,,16.0,15.0,1.0,18.0,,,,,,
94,60.09375,42,,,,19,25,6,1,,,19,27,6,7,,,6,14,10,25,,,16,28,10,16,,,13,29,10,19,,,19,14,6,16,,,19,4,6,21,,,10,29,0,2,,,6.0,18.0,10.0,23.0,,,,,,
95,60.046875,42,,,,10,17,6,18,,,19,15,15,22,,,7,13,1,0,,,7,5,6,4,,,0,15,1,7,,,1,15,5,1,,,6,5,12,28,,,6,14,0,10,,,6.0,11.0,0.0,5.0,,,,,,
96,60.03125,42,,,,19,19,6,6,,,14,1,3,0,,,1,25,7,7,,,1,15,1,16,,,0,22,19,24,,,7,6,1,12,,,15,0,8,1,,,10,19,0,13,,,19.0,2.0,7.0,5.0,,,,,,
97,60.046875,42,,,,7,2,11,28,,,1,29,12,15,,,0,29,7,11,,,0,10,19,3,,,0,1,0,25,,,7,8,1,23,,,0,20,1,27,,,19,20,1,1,,,1.0,26.0,4.0,1.0,,,,,,
98,60.078125,42,,,,5,29,19,25,,,15,15,6,9,,,5,0,19,19,,,19,1,10,20,,,15,22,0,16,,,19,7,6,21,,,0,24,1,1,,,19,26,19,16,,,10.0,26.0,1.0,20.0,,,,,,
99,60.03125,42,,,,10,0,8,1,,,6,25,1,7,,,0,22,0,18,,,17,0,1,27,,,18,0,7,2,,,14,28,1,6,,,10,27,0,24,,,6,20,18,14,,,9.0,14.0,6.0,13.0,,,,,,
100,60.046875,42,,,,10,19,0,25,,,8,14,15,14,,,14,15,0,6,,,14,22,15,22,,,4,1,0,9,,,18,1,1,17,,,6,13,10,24,,,17,28,19,16,,,6.0,20.0,6.0,21.0,,,,,,
