episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.03125,42,,,,0,20,0,21,,,15,28,8,14,,,11,28,19,24,,,6,28,14,15,,,6,27,15,14,,,18,15,13,29,,,0,19,16,1,,,13,1,7,15,,,1.0,16.0,0.0,29.0,,,,,,
1,60.015625,42,,,,17,29,17,14,,,7,1,9,14,,,7,12,6,29,,,6,12,1,22,,,1,11,0,21,,,19,13,10,0,,,15,29,19,4,,,11,15,0,14,,,6.0,20.0,18.0,15.0,,,,,,
2,60.109375,42,,,,17,15,7,0,,,3,0,19,5,,,11,0,12,22,,,1,7,15,29,,,15,1,15,14,,,13,14,1,14,,,6,9,6,11,,,0,15,7,4,,,19.0,23.0,7.0,11.0,,,,,,
3,60.046875,42,,,,0,10,6,2,,,9,15,19,8,,,1,5,6,12,,,14,28,0,17,,,12,28,7,5,,,19,12,16,15,,,6,11,1,13,,,19,22,7,4,,,6.0,22.0,0.0,29.0,,,,,,
4,60.046875,42,,,,12,29,17,22,,,7,6,11,0,,,6,3,13,14,,,1,21,0,22,,,10,15,5,29,,,12,14,15,15,,,19,16,6,27,,,6,28,16,28,,,1.0,6.0,17.0,29.0,,,,,,
5,60.03125,42,,,,6,16,16,28,,,19,6,0,1,,,4,0,16,15,,,1,24,16,1,,,12,28,15,29,,,11,1,12,1,,,1,2,7,5,,,17,22,13,15,,,1.0,15.0,3.0,0.0,,,,,,
6,0.40625,42,47.0,22.0,21.0,10,1,12,14,30.0,29.0,7,3,11,28,11.0,10.0,7,13,7,5,11.0,10.0,10,16,18,14,32.0,31.0,0,8,10,15,18.0,17.0,1,2,0,18,32.0,31.0,1,26,15,15,30.0,29.0,0,26,10,17,,,,,,,47.0,46.0,15.0,29.0,6.0,28.0
7,0.109375,42,43.0,18.0,17.0,10,15,6,28,36.0,35.0,10,0,19,26,3.0,2.0,0,20,1,19,22.0,21.0,10,14,3,0,17.0,16.0,16,15,6,21,43.0,42.0,5,0,19,28,19.0,18.0,10,24,18,14,18.0,17.0,0,7,1,23,,,,,,,12.0,11.0,11.0,1.0,6.0,7.0
8,60.0625,42,,,,17,14,10,1,,,0,13,7,13,,,18,14,16,0,,,3,1,19,29,,,19,11,12,1,,,4,1,6,21,,,6,27,6,23,,,12,0,17,0,,,0.0,28.0,6.0,1.0,,,,,,
9,60.015625,42,,,,1,8,13,29,,,6,4,1,6,,,0,5,19,7,,,0,24,7,12,,,0,20,19,15,,,15,22,1,4,,,14,0,7,11,,,13,1,7,0,,,7.0,3.0,6.0,15.0,,,,,,
10,0.421875,42,28.0,9.0,8.0,5,0,6,5,15.0,14.0,12,28,19,21,17.0,16.0,11,0,6,11,26.0,25.0,10,25,19,9,3.0,2.0,6,10,7,11,13.0,12.0,19,20,13,14,28.0,27.0,0,20,7,2,11.0,10.0,6,6,2,0,,,,,,,5.0,4.0,1.0,24.0,0.0,27.0
11,60.109375,42,,,,15,15,2,29,,,19,22,0,18,,,2,0,0,22,,,15,29,19,7,,,1,29,0,29,,,13,29,7,2,,,16,1,13,15,,,7,0,1,16,,,14.0,15.0,14.0,0.0,,,,,,
12,60.03125,42,,,,5,1,7,10,,,16,29,13,29,,,10,18,12,0,,,9,15,6,26,,,1,10,10,29,,,7,4,1,2,,,18,15,10,19,,,0,4,0,21,,,15.0,1.0,11.0,22.0,,,,,,
13,60.03125,42,,,,10,29,6,3,,,0,19,12,0,,,15,1,1,3,,,6,23,12,22,,,16,1,0,23,,,0,9,1,10,,,1,11,10,20,,,7,11,16,14,,,1.0,13.0,1.0,9.0,,,,,,
14,60.03125,42,,,,4,29,0,5,,,19,12,1,4,,,19,27,19,20,,,10,19,6,23,,,7,0,7,8,,,6,7,7,4,,,10,26,16,0,,,10,21,0,14,,,4.0,1.0,0.0,18.0,,,,,,
15,60.046875,42,,,,3,0,7,6,,,7,9,16,28,,,12,14,2,1,,,7,10,19,19,,,6,29,6,3,,,19,15,8,1,,,1,6,18,1,,,10,16,6,28,,,9.0,14.0,3.0,29.0,,,,,,
16,60.078125,42,,,,0,4,6,0,,,6,11,0,24,,,17,15,12,1,,,0,2,12,14,,,19,6,0,27,,,9,14,3,1,,,1,2,1,25,,,5,0,12,0,,,10.0,0.0,14.0,14.0,,,,,,
17,60.03125,42,,,,14,1,1,24,,,19,15,0,8,,,15,22,1,2,,,6,1,10,1,,,0,24,9,15,,,10,26,6,12,,,19,10,5,1,,,19,24,17,22,,,1.0,22.0,7.0,3.0,,,,,,
18,60.015625,42,,,,16,29,19,8,,,19,21,1,28,,,6,0,19,28,,,1,16,19,15,,,19,19,1,11,,,11,1,1,7,,,4,0,9,0,,,10,28,0,10,,,7.0,15.0,4.0,29.0,,,,,,
19,0.015625,42,44.0,44.0,43.0,19,22,0,26,40.0,39.0,19,28,8,0,14.0,13.0,1,4,7,5,19.0,18.0,19,5,6,0,16.0,15.0,0,20,0,5,17.0,16.0,14,29,15,22,17.0,16.0,18,0,6,4,12.0,11.0,19,4,12,0,,,,,,,16.0,15.0,6.0,27.0,1.0,21.0
20,60.03125,42,,,,6,21,19,15,,,6,13,19,18,,,19,3,1,25,,,0,21,0,7,,,14,15,0,28,,,14,29,0,15,,,6,15,17,22,,,2,0,19,5,,,0.0,1.0,1.0,5.0,,,,,,
21,60.109375,42,,,,14,29,5,29,,,1,11,19,29,,,6,12,15,29,,,10,23,6,1,,,13,29,19,23,,,19,1,7,12,,,0,10,6,27,,,1,14,1,2,,,3.0,1.0,19.0,14.0,,,,,,
