episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
51,0.875,42,26,11,5,0,2,3,2,19,17,6,14,5,0,6,5,9,16,9,11,26,12,0,14,6,16
52,0.046875,42,18,17,16,7,18,9,4,10,9,6,3,8,10,18,17,3,16,0,2,17,15,1,10,6,18
53,0.28125,42,31,16,14,0,9,3,18,26,22,7,1,0,14,21,20,8,19,6,1,31,15,0,15,9,11
54,0.203125,42,21,7,6,0,9,0,15,6,5,3,14,4,18,21,20,9,16,5,0,14,13,3,2,6,12
55,0.84375,42,24,24,23,3,4,9,15,4,3,9,14,9,11,15,13,5,9,4,19,5,4,3,1,0,2
56,0.046875,42,19,8,7,6,5,9,1,19,18,6,0,0,12,9,8,0,17,6,19,14,13,6,9,0,16
57,0.453125,42,18,18,17,7,9,0,19,15,14,3,16,6,5,3,2,0,0,1,1,5,4,9,16,9,12
58,0.34375,42,23,10,9,7,1,6,9,21,11,8,10,8,1,23,22,3,18,9,2,12,11,4,9,0,2
59,0.03125,42,12,7,6,6,12,2,10,12,11,0,12,8,9,2,1,3,1,4,1,8,7,9,0,2,0
60,1.34375,42,21,14,12,3,6,9,12,21,18,5,10,9,4,15,10,7,18,7,10,2,1,6,6,6,5
61,5.734375,42,23,17,16,3,1,9,11,3,2,3,15,3,17,12,10,0,13,6,11,23,16,3,11,9,15
62,0.265625,42,37,13,12,9,4,2,9,37,20,2,19,2,1,25,24,4,0,9,19,4,3,5,10,7,9
63,2.328125,42,31,6,5,9,1,9,6,20,19,8,18,0,7,11,10,9,15,4,10,31,20,0,12,6,4
64,3.140625,42,21,6,5,3,9,3,4,21,20,0,16,3,3,21,12,1,9,9,11,11,10,8,19,9,10
65,0.0625,42,23,16,15,9,10,3,1,4,3,6,5,6,2,3,2,0,19,0,17,23,22,0,18,4,0
66,0.171875,42,29,8,7,0,13,0,6,29,15,5,18,1,9,4,3,0,2,1,0,22,21,6,18,9,0
67,1.421875,42,21,21,20,0,6,6,14,13,12,3,17,8,10,13,12,6,4,3,13,6,5,5,1,9,0
68,1.640625,42,39,39,15,3,4,9,5,28,22,9,18,8,1,7,6,5,0,9,2,34,19,7,1,5,18
69,0.25,42,34,25,6,0,5,2,1,25,23,4,19,2,0,34,11,1,1,2,9,7,6,9,7,6,10
70,2.734375,42,31,31,17,6,2,0,5,24,23,9,14,0,0,6,5,3,16,3,11,23,21,3,0,9,11
71,0.03125,42,15,14,13,5,9,9,0,15,14,9,7,0,12,6,5,0,11,0,6,8,7,0,10,3,14
72,0.109375,42,17,4,3,9,11,8,9,17,12,6,15,9,8,13,12,0,11,2,1,17,16,9,1,9,17
73,0.0625,42,9,9,8,3,5,6,8,3,2,8,10,6,10,5,4,6,3,6,7,3,2,8,0,7,1
74,0.203125,42,24,20,19,0,15,5,1,5,4,8,19,9,16,24,23,5,18,9,3,12,11,3,5,9,0
75,0.1875,42,24,12,11,4,1,6,10,24,17,8,0,2,9,8,7,3,12,2,18,15,14,6,15,0,7
76,0.21875,42,28,18,15,0,16,3,16,28,25,3,18,6,6,23,14,4,10,2,0,21,19,0,19,3,7
77,2.078125,42,20,9,8,3,10,3,18,15,14,5,0,3,12,7,6,7,1,1,1,20,19,3,5,6,15
78,0.375,42,17,17,16,2,1,6,13,16,14,3,2,9,10,4,3,8,1,9,3,10,9,9,14,4,10
79,0.234375,42,30,7,6,7,19,9,15,16,12,3,6,9,2,30,21,4,1,4,18,9,8,5,18,6,11
80,0.046875,42,15,15,14,1,10,7,18,4,3,8,10,6,9,15,14,6,0,0,8,12,11,5,10,3,1
81,0.21875,42,26,18,16,1,0,6,5,17,16,7,1,6,16,10,9,0,4,5,0,26,19,1,10,9,3
82,0.03125,42,10,5,4,9,10,6,9,5,4,0,15,0,11,10,9,9,14,6,8,9,8,6,7,7,0
83,0.21875,42,24,20,16,6,3,6,19,7,6,0,9,0,15,24,16,5,9,9,15,17,16,9,12,0,19
84,5.734375,42,26,20,11,8,9,8,0,12,10,3,15,9,19,12,11,6,4,9,12,26,18,3,19,9,13
85,0.046875,42,16,6,5,0,10,0,5,4,3,2,10,0,11,16,13,6,19,5,9,4,3,6,4,6,7
86,6.171875,42,36,26,25,0,19,6,2,10,9,0,15,4,10,27,12,6,1,4,9,36,28,0,0,6,14
87,0.359375,42,42,4,3,5,9,8,9,42,24,7,0,4,19,23,22,7,18,2,1,9,8,9,10,6,5
88,0.0625,42,24,24,23,0,16,8,1,11,10,9,12,6,19,18,17,9,2,0,10,18,17,0,13,4,18
89,1.78125,42,27,14,12,6,12,7,19,27,26,7,0,1,18,19,12,3,16,6,13,11,10,9,10,3,6
90,1.046875,42,24,10,9,7,1,6,9,24,22,9,8,2,19,22,11,8,18,8,9,13,12,7,18,3,10
91,0.46875,42,36,21,12,5,10,0,17,10,9,3,4,0,10,36,27,0,18,9,12,21,20,9,15,6,0
92,4.421875,42,34,23,22,3,18,7,0,8,7,7,1,1,0,16,15,3,12,6,0,34,17,0,14,9,14
93,0.03125,42,17,8,7,9,12,4,10,11,10,3,9,0,16,17,16,8,0,3,11,5,4,6,7,6,11
94,0.734375,42,26,5,4,9,18,9,14,26,24,0,0,3,17,13,12,6,19,0,13,25,24,9,2,2,19
95,3.84375,42,29,16,15,9,2,4,10,21,10,9,5,6,4,13,12,6,9,0,3,29,13,0,14,6,15
96,0.140625,42,27,2,1,5,19,6,19,27,26,0,1,8,19,11,10,0,11,3,18,4,3,4,0,3,2
97,0.0625,42,25,25,24,9,16,0,1,7,5,4,1,3,3,6,5,3,4,5,1,16,15,3,19,9,10
98,1.0,42,36,17,16,7,1,3,13,21,20,8,0,9,19,20,19,5,19,0,5,36,24,0,12,9,5
99,0.078125,42,23,23,22,6,15,0,5,23,21,3,0,0,12,16,15,8,0,6,13,19,18,9,1,9,19
100,2.375,42,25,15,14,0,2,6,8,16,11,6,13,0,10,25,17,0,15,6,14,12,8,6,11,9,8
