episode,cpu_time,seed,total_reward,timesteps,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
1,0.375,42,6.0,21,1.5,9,17,8,1,1.5,5,10,6,19,1.5,7,1,5,1,1.5,0,10,7,18
2,0.34375,42,6.0,19,1.5,4,0,9,11,1.5,9,1,1,1,1.5,5,0,8,0,1.5,0,14,3,11
3,0.453125,42,6.0,26,1.5,8,19,2,0,1.5,3,14,4,0,1.5,5,19,0,10,1.5,6,10,3,19
4,0.59375,42,6.0,35,1.5,0,7,6,9,1.5,9,6,3,0,1.5,9,3,0,19,1.5,6,0,9,0
5,0.34375,42,6.0,20,1.5,3,9,9,7,1.5,6,17,3,19,1.5,0,7,6,14,1.5,7,10,9,16
6,1.078125,42,6.0,61,1.5,1,9,0,5,1.5,7,18,4,19,1.5,3,10,5,19,1.5,8,0,4,9
7,1.703125,42,-0.5,100,-1.0,6,15,3,15,0.5,7,9,9,16,0.5,9,11,3,5,-0.5,0,17,3,10
8,0.296875,42,6.0,17,1.5,0,8,4,1,1.5,3,10,1,1,1.5,4,9,0,15,1.5,9,9,8,9
9,0.4375,42,6.0,23,1.5,3,6,9,13,1.5,4,10,6,13,1.5,2,0,3,18,1.5,6,15,6,1
10,0.21875,42,6.0,11,1.5,6,9,7,19,1.5,9,0,3,4,1.5,6,17,3,18,1.5,0,18,0,11
11,0.265625,42,6.0,14,1.5,3,12,6,15,1.5,9,1,2,1,1.5,9,8,6,9,1.5,8,10,3,1
12,0.53125,42,6.0,28,1.5,1,10,8,1,1.5,9,0,8,9,1.5,8,10,8,0,1.5,0,16,0,0
13,0.859375,42,6.0,42,1.5,6,17,4,1,1.5,4,9,6,0,1.5,3,0,5,0,1.5,6,13,8,0
14,0.40625,42,6.0,19,1.5,0,16,6,13,1.5,0,4,3,18,1.5,2,9,6,11,1.5,6,1,0,13
15,0.328125,42,6.0,15,1.5,6,1,6,9,1.5,9,3,6,2,1.5,0,9,6,0,1.5,4,9,7,18
16,0.375,42,6.0,17,1.5,8,9,3,8,1.5,6,0,0,3,1.5,3,3,3,18,1.5,0,10,6,5
17,0.734375,42,6.0,27,1.5,3,0,0,4,1.5,1,18,9,2,1.5,3,15,2,1,1.5,9,17,9,19
18,0.59375,42,6.0,26,1.5,9,3,3,18,1.5,0,6,3,2,1.5,3,0,6,12,1.5,8,19,9,10
19,2.171875,42,0.0,100,-0.5,5,0,3,15,0.5,6,0,6,13,0.5,8,0,3,16,-0.5,0,14,9,19
20,0.84375,42,6.0,39,1.5,0,19,0,10,1.5,3,5,0,12,1.5,3,6,7,19,1.5,8,18,0,2
21,0.5625,42,6.0,26,1.5,4,1,9,12,1.5,6,16,5,0,1.5,0,18,0,17,1.5,6,19,9,8
22,0.515625,42,6.0,23,1.5,3,19,3,2,1.5,6,16,2,1,1.5,0,19,6,15,1.5,4,19,3,12
23,1.40625,42,6.0,66,1.5,3,9,0,13,1.5,6,6,3,7,1.5,9,15,3,10,1.5,6,9,0,10
24,0.46875,42,6.0,22,1.5,6,17,9,16,1.5,4,19,7,18,1.5,4,1,8,0,1.5,9,9,2,18
25,0.5,42,6.0,22,1.5,8,1,0,9,1.5,6,19,2,19,1.5,4,0,0,11,1.5,2,18,7,1
26,0.375,42,6.0,17,1.5,0,14,6,19,1.5,9,8,1,10,1.5,4,0,3,3,1.5,3,19,6,17
27,0.5,42,6.0,22,1.5,5,19,0,2,1.5,6,3,9,3,1.5,1,0,7,10,1.5,8,10,4,1
28,0.796875,42,6.0,37,1.5,6,12,0,16,1.5,6,19,6,8,1.5,3,18,6,3,1.5,4,19,3,3
29,0.359375,42,6.0,16,1.5,6,8,8,1,1.5,6,11,3,16,1.5,0,9,0,4,1.5,0,10,7,10
30,0.484375,42,6.0,20,1.5,1,1,6,14,1.5,4,19,0,16,1.5,3,6,0,11,1.5,1,0,6,12
31,0.546875,42,6.0,23,1.5,8,9,9,18,1.5,6,4,9,11,1.5,0,19,6,3,1.5,1,0,3,2
32,0.390625,42,6.0,17,1.5,6,7,0,17,1.5,3,8,0,2,1.5,6,4,9,15,1.5,3,19,3,2
33,1.265625,42,6.0,52,1.5,4,9,2,19,1.5,4,10,0,9,1.5,8,0,4,18,1.5,3,16,0,7
34,0.4375,42,6.0,19,1.5,3,19,5,18,1.5,4,18,6,2,1.5,9,12,4,9,1.5,6,13,0,18
35,0.375,42,6.0,20,1.5,9,14,9,2,1.5,2,18,5,9,1.5,3,6,3,18,1.5,8,10,5,19
36,0.75,42,6.0,44,1.5,3,10,5,18,1.5,0,2,9,7,1.5,8,19,0,16,1.5,3,1,0,1
37,1.0,42,6.0,57,1.5,3,4,3,0,1.5,6,0,0,13,1.5,0,12,2,9,1.5,3,3,6,13
38,0.328125,42,6.0,19,1.5,9,12,6,7,1.5,7,0,0,12,1.5,7,19,9,10,1.5,6,12,3,5
39,0.453125,42,6.0,26,1.5,2,1,5,19,1.5,2,0,6,0,1.5,0,4,3,11,1.5,9,17,0,16
40,1.78125,42,1.0,100,0.5,4,1,1,10,0.5,9,0,3,4,-0.5,8,10,9,14,0.5,3,3,9,15
41,2.09375,42,-0.5,100,0.5,6,8,9,19,0.5,3,1,2,10,-1.0,5,1,9,12,-0.5,6,9,9,9
