episode,cpu_time,seed,total_reward,timesteps,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
24,4.65625,42,15.0,94,1.5,11,28,14,28,1.5,1,26,0,15,1.5,2,1,7,6,1.5,7,1,0,24,1.5,18,29,17,0,1.5,6,25,1,24,1.5,0,26,19,28,1.5,8,15,19,2,1.5,19,21,17,29,1.5,2,29,19,20
25,4.140625,42,15.0,67,1.5,1,3,1,7,1.5,1,2,9,1,1.5,19,10,0,4,1.5,5,29,7,2,1.5,17,14,3,29,1.5,10,22,19,11,1.5,6,9,10,23,1.5,19,12,0,26,1.5,1,14,1,5,1.5,6,0,10,18
26,5.0,42,3.5,100,0.5,1,14,6,0,0.5,12,22,18,1,0.5,16,22,9,0,0.5,10,21,19,1,0.5,17,22,7,13,0.5,13,22,6,18,0.5,0,12,17,15,-1.0,8,0,16,14,0.5,1,9,19,26,0.5,6,26,14,15
27,5.359375,42,-2.5,100,0.5,1,11,0,11,-1.0,10,16,0,23,-1.0,19,18,0,21,-1.0,1,27,8,1,-1.0,1,24,6,13,-1.0,0,9,6,23,0.5,7,10,3,1,0.5,11,15,19,5,0.5,19,4,0,1,0.5,1,22,19,13
28,5.625,42,0.5,100,0.5,0,11,19,25,0.5,18,0,10,27,0.5,16,22,14,22,-1.0,0,22,10,29,0.5,19,12,10,18,-1.0,17,22,19,7,0.5,0,24,1,24,-1.0,17,28,11,15,0.5,6,20,6,1,0.5,12,29,15,29
29,4.1875,42,15.0,73,1.5,9,0,11,14,1.5,7,3,7,7,1.5,16,0,1,7,1.5,18,15,1,2,1.5,7,15,2,1,1.5,1,0,6,16,1.5,17,15,12,29,1.5,17,22,6,27,1.5,6,1,1,27,1.5,19,22,0,13
30,3.78125,42,15.0,66,1.5,1,23,12,29,1.5,6,2,18,14,1.5,6,27,7,8,1.5,6,11,12,14,1.5,6,12,16,14,1.5,6,23,6,14,1.5,10,24,1,11,1.5,14,15,19,10,1.5,6,5,4,1,1.5,7,13,19,18
31,4.328125,42,15.0,75,1.5,7,3,15,15,1.5,1,16,0,8,1.5,16,28,10,22,1.5,7,10,1,10,1.5,19,20,0,16,1.5,15,22,10,0,1.5,6,3,8,15,1.5,11,28,14,15,1.5,9,0,11,0,1.5,18,1,3,29
32,5.828125,42,3.5,100,0.5,18,28,0,19,0.5,0,21,1,8,0.5,10,28,16,22,0.5,10,26,1,1,0.5,1,0,19,15,0.5,13,1,14,1,0.5,7,13,10,19,-1.0,11,1,19,20,0.5,19,11,8,1,0.5,19,19,14,0
33,3.265625,42,15.0,54,1.5,6,29,0,21,1.5,0,20,10,15,1.5,1,28,0,1,1.5,19,14,1,9,1.5,19,29,10,27,1.5,6,21,14,0,1.5,10,21,0,11,1.5,19,17,0,29,1.5,16,0,8,1,1.5,16,15,1,8
34,3.5625,42,15.0,60,1.5,7,4,10,23,1.5,16,22,0,26,1.5,8,0,14,0,1.5,15,14,0,27,1.5,8,1,19,14,1.5,10,17,7,10,1.5,7,6,1,23,1.5,19,11,16,0,1.5,12,22,1,1,1.5,14,1,18,0
35,3.328125,42,15.0,55,1.5,11,29,19,6,1.5,12,14,6,11,1.5,14,14,8,15,1.5,15,28,2,1,1.5,6,23,15,14,1.5,0,20,6,4,1.5,7,9,14,22,1.5,1,17,16,15,1.5,14,1,17,1,1.5,19,12,11,1
36,5.765625,42,3.5,100,0.5,1,6,14,14,0.5,6,28,10,26,0.5,14,15,7,7,0.5,19,15,6,10,0.5,1,3,10,0,0.5,6,0,6,15,0.5,5,29,0,29,-1.0,10,1,15,29,0.5,19,21,1,10,0.5,0,19,19,18
37,5.90625,42,3.5,100,-1.0,11,28,19,2,0.5,6,25,12,29,0.5,0,27,9,14,0.5,18,0,10,20,0.5,0,1,0,28,0.5,1,2,2,29,0.5,6,14,18,1,0.5,19,18,0,7,0.5,19,26,11,1,0.5,13,29,7,7
38,5.359375,42,15.0,92,1.5,7,2,8,0,1.5,7,3,6,17,1.5,6,0,19,29,1.5,4,1,9,14,1.5,17,15,14,22,1.5,0,2,6,29,1.5,0,21,5,0,1.5,19,22,0,25,1.5,14,0,19,11,1.5,6,26,15,29
39,5.78125,42,0.5,100,0.5,12,28,11,22,0.5,12,1,0,6,-1.0,19,29,1,26,0.5,0,9,19,6,0.5,15,29,0,20,0.5,0,10,0,5,0.5,19,2,1,1,-1.0,0,24,18,28,0.5,3,29,10,28,-1.0,17,28,12,22
