episode,cpu_time,seed,total_reward,timesteps,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_18_reward,agent_18_start_x,agent_18_start_y,agent_18_goal_x,agent_18_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_17_reward,agent_17_start_x,agent_17_start_y,agent_17_goal_x,agent_17_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_19_reward,agent_19_start_x,agent_19_start_y,agent_19_goal_x,agent_19_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y
11,13.140625,42,4.0,100,0.5,19,13,10,22,0.5,18,29,17,29,0.5,6,13,7,6,0.5,4,0,0,24,-0.5,0,26,1,3,-1.0,8,15,19,12,-1.0,1,24,19,11,0.5,11,28,1,14,0.5,2,29,6,0,-0.5,1,26,1,2,0.5,7,1,5,29,0.5,2,1,19,10,0.5,10,24,19,20,0.5,19,14,14,28,0.5,19,28,10,23,0.5,6,22,19,2,0.5,6,25,6,9,0.5,15,0,17,0,0.5,0,27,0,15,-0.5,19,21,17,14
12,14.125,42,6.0,100,0.5,13,22,0,9,-1.0,1,5,19,26,0.5,0,4,9,0,0.5,7,2,19,1,0.5,1,14,1,11,0.5,8,0,11,15,0.5,6,18,6,23,-1.0,1,9,19,4,0.5,6,26,1,22,0.5,12,22,10,16,0.5,10,21,1,27,0.5,16,22,19,18,0.5,10,18,14,15,0.5,1,7,6,0,0.5,17,15,3,1,-0.5,0,26,16,14,0.5,0,12,7,10,0.5,3,29,7,13,0.5,9,1,18,1,0.5,17,22,1,24
13,14.96875,42,-4.0,100,-1.0,17,22,17,15,-1.0,0,1,10,18,-0.5,0,21,1,0,-0.5,8,1,11,15,0.5,6,20,7,15,-0.5,18,0,6,16,0.5,1,24,2,1,0.5,19,12,19,22,0.5,0,22,7,3,-0.5,16,22,11,14,-1.0,17,28,16,0,0.5,19,7,1,27,0.5,19,13,10,29,0.5,0,11,6,1,-1.0,19,25,0,13,0.5,19,5,10,27,0.5,0,24,9,0,-1.0,6,13,15,29,-1.0,0,23,14,22,-0.5,12,29,18,15
14,15.640625,42,1.0,100,0.5,6,12,18,1,-0.5,6,27,18,14,0.5,6,5,19,20,-0.5,6,23,6,3,0.5,6,11,11,28,0.5,12,29,15,15,0.5,19,18,3,29,-0.5,14,15,1,16,-0.5,6,14,10,0,0.5,4,1,11,0,0.5,1,11,8,15,-1.0,16,14,0,16,0.5,1,7,15,22,-1.0,1,2,19,10,0.5,12,14,1,10,-0.5,10,24,7,3,-0.5,7,13,7,10,0.5,7,7,7,8,0.5,1,23,9,0,0.5,6,2,16,28
15,14.296875,42,-2.0,100,-1.0,1,0,19,29,0.5,0,8,19,20,0.5,19,11,16,0,-0.5,13,1,6,21,0.5,10,26,19,14,0.5,10,19,10,27,-0.5,19,15,10,15,0.5,11,1,19,17,-1.0,10,28,1,28,-0.5,0,19,1,9,-1.0,14,1,0,11,-0.5,8,1,0,29,0.5,10,22,16,22,-0.5,14,15,1,1,0.5,14,0,0,1,-1.0,7,13,10,21,0.5,19,19,16,15,-0.5,1,16,1,8,0.5,18,28,6,29,0.5,0,21,0,20
16,12.90625,42,7.5,100,0.5,16,22,14,14,0.5,7,6,7,9,0.5,19,11,12,14,0.5,8,1,19,12,0.5,7,10,14,22,0.5,18,0,16,15,0.5,0,26,6,0,-1.0,1,23,19,6,0.5,1,1,11,1,0.5,0,27,6,11,0.5,19,14,2,1,0.5,16,0,8,15,-0.5,12,22,6,23,0.5,10,17,0,20,0.5,14,0,5,29,0.5,14,1,15,28,0.5,8,0,6,4,0.5,7,4,11,29,0.5,15,14,1,17,0.5,10,23,17,1
17,14.421875,42,-6.0,100,-0.5,6,15,18,1,0.5,19,21,19,26,-1.0,14,15,2,29,0.5,19,15,18,0,0.5,14,14,11,1,-0.5,15,29,9,14,0.5,1,2,7,2,-0.5,1,10,0,28,0.5,19,18,0,7,-0.5,10,26,0,2,-1.0,6,10,12,29,0.5,7,7,0,21,-1.0,0,19,13,29,-0.5,1,6,11,28,-0.5,6,14,14,0,0.5,10,1,6,25,-1.0,0,29,19,2,-0.5,1,3,0,1,-1.0,6,28,0,27,-1.0,10,0,10,20
18,12.640625,42,-4.5,100,-1.0,5,0,10,28,-1.0,6,26,17,28,-1.0,0,2,11,22,0.5,7,3,12,1,-1.0,19,11,12,22,0.5,6,17,1,25,0.5,19,2,18,14,-1.0,14,22,19,6,-0.5,9,14,0,6,-0.5,19,29,7,1,0.5,0,25,1,26,-0.5,0,10,1,2,-1.0,19,22,0,24,0.5,17,15,3,29,0.5,12,28,15,28,-1.0,6,0,0,5,0.5,8,0,0,20,0.5,4,1,0,9,-0.5,6,29,1,1,0.5,15,29,18,28
19,13.515625,42,2.5,100,-0.5,1,5,7,0,0.5,1,15,19,22,0.5,0,1,17,28,0.5,4,0,15,22,-0.5,17,1,7,2,-0.5,1,24,9,1,-1.0,1,26,11,0,0.5,10,24,1,16,0.5,16,22,0,28,0.5,3,29,14,28,0.5,19,21,7,13,0.5,18,1,9,15,-1.0,19,9,0,27,0.5,16,29,12,14,0.5,0,13,0,19,0.5,11,29,18,0,0.5,0,11,0,9,0.5,0,3,19,13,0.5,0,8,13,1,-1.0,19,25,0,26
20,12.734375,42,4.0,100,-0.5,2,29,1,12,0.5,7,0,19,3,-1.0,0,3,15,22,0.5,14,15,1,9,0.5,13,22,10,21,0.5,7,14,19,0,0.5,0,1,1,26,0.5,8,1,9,14,-0.5,14,29,1,28,-0.5,0,16,10,17,0.5,10,26,11,1,0.5,10,27,1,3,0.5,17,0,6,22,0.5,18,1,1,20,0.5,0,9,19,17,0.5,0,12,6,12,-1.0,0,22,6,14,0.5,1,5,7,3,0.5,1,14,0,21,0.5,19,25,16,0
