episode,cpu_time,seed,total_reward,timesteps,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_18_reward,agent_18_start_x,agent_18_start_y,agent_18_goal_x,agent_18_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_17_reward,agent_17_start_x,agent_17_start_y,agent_17_goal_x,agent_17_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_19_reward,agent_19_start_x,agent_19_start_y,agent_19_goal_x,agent_19_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y
31,13.90625,42,-7.5,100,-1.0,6,6,19,26,-1.0,10,1,1,23,-0.5,19,2,8,15,0.5,7,1,19,5,0.5,6,24,1,19,-1.0,9,1,4,29,-0.5,6,7,6,1,-1.0,19,4,10,21,-1.0,15,0,11,28,-0.5,19,25,18,14,0.5,7,13,0,5,0.5,3,29,1,25,-0.5,5,0,6,2,-0.5,1,16,6,16,0.5,19,6,1,10,-1.0,19,21,19,9,-1.0,7,0,14,22,-0.5,0,4,10,14,-0.5,11,1,5,1,0.5,19,20,10,27
32,13.34375,42,1.0,100,0.5,16,14,6,1,0.5,6,7,12,14,0.5,1,27,1,9,-0.5,3,1,16,1,-0.5,16,0,6,25,-0.5,19,18,19,15,0.5,12,15,0,8,0.5,11,1,11,28,0.5,18,28,15,29,-1.0,19,28,6,27,-0.5,7,7,7,15,0.5,10,20,1,1,0.5,0,0,2,1,-1.0,1,5,17,0,0.5,1,28,19,20,0.5,0,13,7,5,0.5,10,19,0,23,0.5,19,1,19,7,-0.5,10,14,1,12,-0.5,6,28,19,19
33,12.953125,42,1.5,100,0.5,19,26,6,18,-1.0,0,23,19,6,0.5,0,15,7,10,0.5,0,11,1,17,-1.0,2,0,6,23,-0.5,18,14,18,28,0.5,6,16,2,29,0.5,8,0,1,4,-0.5,5,29,4,0,0.5,0,25,1,7,-1.0,0,10,6,22,-0.5,11,1,7,14,0.5,0,9,7,0,0.5,14,22,0,13,0.5,15,29,0,6,0.5,1,26,19,24,0.5,7,2,1,22,0.5,4,1,13,1,-0.5,10,17,5,0,0.5,16,1,0,0
34,13.71875,42,-6.0,100,-0.5,1,29,10,24,0.5,6,21,7,8,-1.0,8,15,1,4,0.5,15,29,7,3,-0.5,6,1,1,1,0.5,18,28,17,0,0.5,6,3,0,25,-1.0,10,22,0,4,-1.0,19,10,0,20,-1.0,12,28,0,7,0.5,7,7,0,2,-1.0,14,28,1,5,0.5,10,0,7,11,-0.5,6,4,19,14,0.5,1,26,13,15,-1.0,7,4,13,22,-0.5,1,22,0,10,-1.0,6,26,0,11,0.5,17,29,1,13,-1.0,1,25,19,11
35,14.90625,42,-1.5,100,0.5,18,1,19,26,-0.5,7,6,1,28,-0.5,12,29,19,9,0.5,10,16,10,1,0.5,0,1,6,10,0.5,7,2,9,15,-0.5,15,28,10,23,0.5,3,1,14,15,0.5,9,0,1,4,-1.0,1,7,16,22,-0.5,10,27,6,0,0.5,19,6,0,25,-0.5,0,20,19,11,-0.5,10,28,4,0,-1.0,19,28,4,1,-1.0,1,22,19,22,0.5,7,11,0,18,0.5,1,25,1,26,-0.5,10,21,10,24,0.5,18,14,17,0
36,12.765625,42,-4.0,100,-0.5,0,6,1,2,-1.0,8,0,17,15,0.5,18,28,15,28,-0.5,6,0,1,3,0.5,6,7,13,0,-1.0,11,29,0,27,-1.0,13,22,0,0,0.5,6,15,0,13,-0.5,13,14,16,14,-1.0,14,1,19,28,0.5,1,7,7,14,0.5,18,0,2,0,-0.5,11,1,19,4,-1.0,1,19,14,22,-1.0,5,0,19,12,0.5,17,14,10,21,-0.5,14,15,12,14,0.5,6,22,0,28,0.5,0,17,1,24,0.5,0,4,1,9
37,11.921875,42,-5.5,100,-1.0,19,6,0,4,0.5,10,0,1,0,-1.0,10,17,1,13,0.5,10,19,12,0,0.5,19,2,1,22,-1.0,1,11,10,27,0.5,0,11,8,14,0.5,6,23,18,1,-1.0,1,7,17,29,-0.5,2,29,10,25,-1.0,10,28,1,28,-1.0,14,0,1,12,0.5,10,18,6,6,-0.5,0,3,10,22,0.5,7,0,6,18,0.5,6,16,19,24,-0.5,0,20,1,5,-1.0,19,28,4,1,-0.5,0,29,17,28,-0.5,9,0,19,1
38,12.859375,42,-2.5,100,0.5,13,29,12,28,0.5,12,22,6,21,-0.5,15,1,1,6,-0.5,15,14,19,4,-1.0,1,4,19,21,-1.0,0,2,18,15,0.5,6,10,1,18,-0.5,6,24,2,0,0.5,7,15,1,15,-0.5,0,8,19,9,-1.0,19,16,19,11,0.5,16,15,1,25,-1.0,14,1,15,22,-1.0,15,0,6,26,0.5,8,1,6,6,0.5,10,15,11,29,0.5,19,26,7,5,0.5,8,15,0,21,0.5,2,1,6,18,-0.5,19,12,1,10
39,13.9375,42,0.5,100,0.5,14,22,7,2,-0.5,19,2,16,15,-1.0,0,20,14,28,0.5,6,14,0,0,0.5,9,0,1,18,-0.5,0,23,19,14,0.5,13,14,6,18,-0.5,16,0,19,25,-0.5,10,16,16,28,-1.0,15,29,19,4,0.5,6,29,13,29,0.5,19,8,10,29,0.5,11,15,0,22,-1.0,7,5,18,28,0.5,18,29,6,1,0.5,6,22,1,16,0.5,11,28,0,5,0.5,14,14,7,13,0.5,8,0,6,26,-0.5,19,18,19,27
40,12.625,42,-1.0,100,0.5,10,17,1,25,0.5,10,25,1,7,0.5,10,23,14,1,0.5,6,16,0,10,-0.5,7,13,7,6,0.5,6,14,7,7,-1.0,15,22,1,12,-0.5,7,5,15,0,-0.5,1,15,6,6,0.5,6,11,1,16,0.5,6,5,3,0,0.5,6,18,19,24,0.5,10,19,12,28,-0.5,6,7,6,4,-0.5,1,0,8,1,-1.0,6,21,0,5,0.5,19,15,0,22,0.5,10,16,5,1,-1.0,0,2,19,19,-1.0,0,15,19,2
41,13.046875,42,0.5,100,-1.0,0,20,10,26,0.5,7,5,15,15,-0.5,7,8,19,26,-1.0,0,29,15,22,0.5,1,26,6,9,-1.0,0,25,19,16,0.5,1,1,6,25,0.5,11,28,19,19,0.5,7,11,0,16,0.5,1,23,1,20,0.5,19,3,6,21,0.5,1,27,10,0,-0.5,1,29,19,1,-0.5,0,13,5,29,0.5,4,1,0,22,0.5,0,10,19,7,-0.5,19,20,19,25,0.5,7,2,5,0,0.5,0,1,0,24,-0.5,12,15,10,20
42,12.984375,42,1.5,100,0.5,0,18,10,24,0.5,18,0,17,28,-1.0,1,7,1,17,0.5,6,20,0,6,0.5,7,2,6,21,-0.5,10,19,0,22,-0.5,14,22,1,10,-1.0,1,6,0,27,0.5,18,14,19,6,0.5,8,14,6,16,0.5,6,13,14,1,0.5,14,15,2,0,0.5,10,27,15,14,0.5,17,0,18,1,0.5,4,1,1,11,0.5,9,14,15,22,0.5,1,27,19,16,-1.0,14,28,0,25,-0.5,8,1,0,9,-0.5,0,24,1,23
43,12.609375,42,3.0,100,0.5,1,0,3,1,0.5,6,22,19,16,0.5,13,22,8,0,0.5,1,12,0,0,0.5,10,17,6,18,0.5,8,15,1,11,-0.5,4,1,7,8,-1.0,19,1,17,15,-0.5,6,5,6,10,0.5,13,29,19,19,0.5,9,0,0,28,0.5,6,4,0,20,0.5,7,1,19,4,0.5,11,28,0,8,-1.0,1,6,17,28,-0.5,1,26,15,29,-0.5,18,1,7,10,0.5,0,14,0,17,0.5,19,2,6,3,0.5,14,29,6,27
44,12.546875,42,8.0,100,0.5,19,1,14,22,0.5,1,3,8,15,0.5,1,27,17,1,0.5,10,0,17,29,0.5,6,15,7,5,0.5,6,1,10,14,0.5,7,4,0,13,0.5,0,27,17,15,0.5,19,10,12,28,0.5,10,25,0,11,0.5,0,0,6,6,-0.5,0,16,19,14,0.5,6,13,1,12,0.5,19,19,6,19,-0.5,19,23,16,14,0.5,19,20,19,27,0.5,0,6,6,12,0.5,1,7,12,0,0.5,1,17,1,2,0.5,1,5,19,11
45,12.953125,42,-1.5,100,-0.5,19,12,7,11,-0.5,10,28,7,2,0.5,1,18,11,0,-1.0,11,1,6,27,0.5,6,28,1,5,0.5,10,0,13,29,0.5,19,2,12,0,0.5,3,29,11,22,-1.0,15,0,6,22,-0.5,19,28,7,3,0.5,0,0,14,1,-0.5,3,1,5,0,0.5,14,29,0,29,-0.5,11,29,6,19,-1.0,0,14,10,23,0.5,16,14,1,4,-0.5,8,15,6,17,0.5,0,12,16,15,0.5,17,15,16,1,-0.5,11,14,6,1
46,13.0,42,-8.0,100,-1.0,0,20,19,17,-1.0,7,6,19,28,-0.5,1,10,6,10,0.5,8,14,12,0,-0.5,19,26,6,11,-1.0,7,0,10,14,-0.5,14,28,10,21,-1.0,18,0,14,15,-1.0,0,9,6,18,0.5,4,0,1,4,-1.0,19,27,6,20,-1.0,19,5,13,29,-0.5,19,18,8,15,0.5,0,16,3,0,-0.5,14,29,7,14,0.5,6,6,1,9,0.5,12,22,13,28,0.5,10,26,7,1,-0.5,10,1,5,0,-1.0,10,19,14,22
47,13.96875,42,6.5,100,0.5,13,1,15,29,0.5,19,8,12,0,-0.5,6,6,1,7,0.5,1,13,19,4,-0.5,7,4,18,28,0.5,0,21,0,29,0.5,1,0,15,15,0.5,6,28,15,0,0.5,0,28,19,10,0.5,6,2,19,0,-1.0,17,15,1,9,0.5,12,1,3,0,0.5,6,24,0,4,0.5,14,1,14,14,0.5,11,29,1,1,0.5,11,22,16,28,0.5,6,21,19,16,0.5,6,3,5,0,0.5,6,20,1,15,0.5,1,29,1,26
48,13.3125,42,-2.5,100,0.5,9,15,19,1,0.5,12,15,19,24,0.5,9,14,9,1,-0.5,14,22,6,28,-0.5,15,22,6,11,-0.5,1,28,18,14,-1.0,0,14,13,15,-1.0,19,19,6,29,0.5,10,25,19,15,0.5,5,1,6,3,0.5,14,28,18,1,0.5,10,29,18,15,-1.0,19,9,6,19,-1.0,3,1,13,29,-0.5,6,1,7,10,-0.5,1,16,12,28,-1.0,13,14,19,21,0.5,19,10,8,0,0.5,19,20,0,5,0.5,10,19,1,10
49,15.1875,42,-3.5,100,-0.5,19,19,4,0,0.5,11,0,7,8,0.5,19,10,11,1,-0.5,16,29,13,14,0.5,6,0,1,29,-1.0,14,28,3,29,-1.0,1,23,18,28,0.5,18,0,7,3,0.5,19,25,6,11,-1.0,19,29,1,20,-0.5,0,4,6,21,0.5,15,15,11,29,-0.5,6,4,7,2,-0.5,6,29,0,24,-0.5,15,14,10,16,-1.0,1,25,10,24,0.5,19,12,5,0,-1.0,17,0,10,29,0.5,6,20,11,15,0.5,19,15,10,20
50,13.890625,42,-1.5,100,-0.5,17,29,4,0,0.5,6,11,1,5,0.5,1,0,19,14,0.5,6,4,6,19,0.5,1,1,11,0,-1.0,6,17,1,27,0.5,3,29,19,3,0.5,13,14,0,15,0.5,10,24,10,20,-0.5,7,1,2,1,-1.0,0,26,16,14,0.5,19,29,7,7,-1.0,0,8,6,24,-0.5,1,8,19,17,0.5,1,14,1,21,0.5,7,2,10,27,-1.0,1,23,19,25,0.5,0,1,0,6,-1.0,16,15,19,2,-0.5,15,28,19,15
51,14.40625,42,-7.5,100,0.5,6,24,19,24,-1.0,7,1,0,7,0.5,1,5,0,27,-1.0,17,22,0,21,-0.5,10,0,6,0,-1.0,16,15,0,11,0.5,19,28,15,14,0.5,1,25,4,29,-1.0,4,1,6,25,0.5,11,28,6,12,-1.0,12,29,1,18,-1.0,0,0,12,14,-1.0,13,22,0,24,0.5,12,0,19,29,-1.0,0,5,6,8,0.5,10,17,12,28,0.5,7,13,6,1,-1.0,0,25,8,0,-1.0,1,10,14,1,-1.0,7,12,7,3
52,14.015625,42,5.0,100,0.5,6,18,0,15,0.5,16,1,19,2,-0.5,6,23,3,1,0.5,19,8,1,5,0.5,1,23,0,12,0.5,7,10,18,1,0.5,2,1,6,5,-1.0,14,29,1,21,0.5,16,22,0,19,0.5,1,20,15,28,-0.5,1,8,6,27,0.5,19,5,0,7,-1.0,17,22,0,22,0.5,6,2,10,16,0.5,1,2,11,28,0.5,17,14,5,1,0.5,6,1,7,14,0.5,12,22,19,10,0.5,19,15,9,0,0.5,13,28,0,0
53,13.21875,42,2.5,100,-0.5,2,1,6,12,0.5,17,14,6,2,-0.5,18,28,5,1,-0.5,0,6,7,13,0.5,9,1,1,20,0.5,6,24,0,27,0.5,14,15,6,5,0.5,7,2,10,29,0.5,0,9,11,22,-0.5,6,18,15,1,0.5,0,21,19,21,0.5,9,14,0,19,0.5,1,8,1,16,0.5,14,29,1,28,-0.5,10,20,1,10,0.5,1,3,13,28,-1.0,10,0,6,22,0.5,6,6,15,0,-0.5,0,14,7,4,0.5,17,1,1,17
54,14.40625,42,7.5,100,0.5,18,14,1,27,0.5,1,10,1,14,0.5,19,27,4,0,0.5,0,13,7,6,0.5,11,28,0,1,0.5,1,12,17,15,-0.5,19,24,7,4,0.5,1,11,10,15,0.5,19,11,10,0,0.5,19,1,6,12,0.5,6,17,6,15,0.5,19,19,13,22,0.5,17,14,1,20,0.5,1,7,7,2,0.5,19,0,0,6,0.5,6,19,11,29,0.5,1,1,14,15,-1.0,0,10,10,27,0.5,13,14,19,17,0.5,7,0,14,28
55,14.96875,42,-9.0,100,0.5,4,0,0,15,-0.5,0,11,1,7,-1.0,1,29,18,0,-0.5,6,13,10,15,-0.5,15,1,0,0,-1.0,1,6,15,28,-0.5,2,1,1,9,0.5,0,23,0,2,-1.0,6,7,10,22,-1.0,6,16,11,22,0.5,10,14,19,5,-1.0,15,0,15,29,-0.5,10,23,7,1,-0.5,8,15,8,1,-1.0,1,0,17,29,-0.5,7,9,11,14,0.5,6,23,6,10,0.5,19,14,6,0,-1.0,10,27,12,15,-1.0,17,15,1,18
56,12.96875,42,-1.0,100,-1.0,0,13,18,28,0.5,0,21,0,23,0.5,7,6,11,28,-0.5,7,7,1,10,-0.5,1,19,6,1,-0.5,12,22,8,14,0.5,0,22,19,13,0.5,10,20,6,6,0.5,1,14,1,25,-0.5,0,6,6,9,-0.5,4,29,0,12,-0.5,19,5,2,0,-0.5,17,22,8,1,0.5,19,4,1,17,0.5,6,22,10,25,-1.0,17,29,0,17,-0.5,6,5,1,11,0.5,7,5,6,24,0.5,19,15,1,0,0.5,7,4,6,10
57,14.078125,42,-1.0,100,0.5,15,0,6,19,0.5,1,17,13,0,0.5,0,22,1,18,-1.0,0,7,19,29,0.5,0,11,6,2,-1.0,0,27,19,10,-0.5,19,21,1,9,0.5,0,26,7,5,0.5,10,27,0,19,-1.0,1,15,16,28,0.5,6,21,10,18,-0.5,18,14,19,12,0.5,19,4,1,2,0.5,6,23,17,1,-1.0,0,23,19,25,0.5,19,13,6,29,-0.5,0,24,0,14,-0.5,16,22,8,14,0.5,13,14,0,10,-0.5,7,3,19,18
58,13.375,42,-7.0,100,-0.5,16,28,6,26,0.5,7,12,0,7,0.5,6,15,6,28,-0.5,4,0,6,10,0.5,16,15,11,0,-1.0,6,1,6,17,-1.0,19,25,2,29,-0.5,10,19,6,14,0.5,0,29,19,14,-1.0,1,19,15,28,0.5,11,28,14,14,-0.5,1,14,6,3,-1.0,7,11,10,18,-1.0,6,2,18,29,-0.5,0,23,7,1,-0.5,19,23,12,1,0.5,6,19,16,22,-1.0,8,15,10,20,-0.5,19,20,6,21,-0.5,7,5,19,13
59,12.625,42,-4.5,100,0.5,6,12,17,15,-1.0,10,16,18,28,-0.5,10,0,8,14,-1.0,4,0,10,14,-1.0,19,23,1,11,-0.5,0,21,0,12,-1.0,7,12,19,12,0.5,6,7,10,22,-0.5,6,14,12,14,0.5,5,1,19,17,-1.0,8,15,19,28,0.5,1,8,18,1,0.5,7,3,15,29,0.5,19,22,6,17,-1.0,14,0,19,11,-0.5,11,29,15,1,-1.0,6,1,19,13,0.5,6,15,1,19,0.5,6,8,1,28,0.5,0,16,0,23
60,12.65625,42,-1.0,100,0.5,10,14,0,13,0.5,19,25,16,1,-0.5,19,10,10,15,-1.0,0,8,19,27,0.5,0,6,12,14,-1.0,1,24,9,0,-1.0,7,4,0,17,0.5,6,4,1,6,0.5,1,4,15,28,-1.0,7,11,1,25,-1.0,18,14,1,19,-1.0,1,16,19,22,0.5,10,27,19,2,0.5,10,18,10,16,-0.5,7,1,19,21,0.5,19,15,6,13,0.5,0,19,2,1,0.5,0,1,6,3,0.5,12,22,18,1,0.5,14,28,6,27
61,12.71875,42,-1.0,100,-1.0,10,18,0,27,0.5,18,14,10,25,-0.5,19,2,6,23,-0.5,19,14,19,15,-1.0,0,26,17,28,0.5,7,8,19,1,0.5,11,14,8,1,-0.5,0,23,0,15,0.5,16,29,13,15,0.5,1,25,0,5,0.5,7,13,5,0,0.5,10,15,19,16,-0.5,1,12,6,25,0.5,16,14,14,14,0.5,19,25,7,4,-0.5,10,22,6,12,0.5,6,13,1,20,0.5,18,1,19,9,-1.0,19,21,0,29,-1.0,6,17,3,29
62,12.8125,42,2.5,100,0.5,16,14,6,20,0.5,13,0,7,10,0.5,6,14,1,15,-1.0,10,29,0,22,0.5,1,1,16,29,0.5,8,1,11,28,0.5,7,0,19,3,0.5,0,9,6,23,-1.0,7,3,1,26,-0.5,19,14,19,27,0.5,19,21,0,18,0.5,1,19,19,0,0.5,1,7,1,12,-0.5,6,27,1,13,0.5,10,17,11,1,0.5,12,14,7,15,-1.0,10,27,1,21,0.5,10,18,6,6,-0.5,0,26,19,17,0.5,10,19,19,24
63,13.796875,42,4.0,100,0.5,19,28,0,1,0.5,6,26,19,15,0.5,6,12,0,13,-1.0,0,8,19,9,0.5,19,20,14,0,0.5,5,0,13,22,0.5,6,17,6,29,0.5,12,0,0,15,-1.0,13,15,19,0,0.5,8,1,6,18,0.5,9,14,10,15,-1.0,19,7,16,14,0.5,6,11,17,28,0.5,6,10,5,29,-1.0,0,10,19,27,0.5,1,16,0,26,0.5,7,7,1,5,0.5,1,0,15,14,0.5,9,0,3,1,0.5,0,9,19,10
64,12.3125,42,-3.0,100,-0.5,3,29,6,16,-0.5,1,9,6,10,0.5,7,15,9,14,-1.0,5,29,19,12,-1.0,19,21,1,19,-0.5,13,22,7,8,0.5,19,24,3,1,0.5,0,21,19,23,-0.5,18,29,13,15,-0.5,9,1,7,2,-0.5,0,29,15,15,0.5,17,22,18,28,0.5,4,0,10,29,-1.0,0,14,17,29,0.5,10,27,1,14,0.5,16,14,16,15,-1.0,1,15,19,6,-0.5,19,22,19,17,0.5,1,13,4,29,0.5,12,15,6,28
65,12.03125,42,-2.5,100,0.5,1,14,1,24,0.5,0,26,1,20,0.5,7,0,0,9,-1.0,0,17,12,1,-1.0,17,28,0,11,-0.5,1,6,1,4,0.5,3,1,1,29,0.5,10,26,6,9,-1.0,0,8,0,14,0.5,18,28,6,11,-0.5,6,0,1,3,0.5,1,17,19,9,-0.5,14,0,8,0,0.5,6,17,17,1,0.5,19,24,9,1,-0.5,10,16,19,15,0.5,19,14,10,14,-1.0,0,20,6,15,-0.5,15,29,19,0,-1.0,0,19,1,5
66,12.578125,42,-2.0,100,-0.5,11,28,6,1,0.5,10,29,6,14,-0.5,10,27,1,11,0.5,7,14,0,28,-0.5,0,29,1,9,0.5,1,21,1,22,-1.0,10,28,19,7,0.5,6,7,12,15,0.5,0,20,6,27,0.5,6,21,15,15,-1.0,7,6,16,29,0.5,6,28,14,0,-1.0,1,16,15,22,-0.5,12,0,18,1,-0.5,19,17,1,8,0.5,16,22,9,1,-1.0,19,18,1,12,0.5,16,15,6,2,0.5,18,28,6,24,-0.5,0,25,1,7
67,13.28125,42,-8.0,100,-1.0,8,15,11,14,-0.5,19,15,19,23,0.5,7,11,13,29,-1.0,17,14,10,21,0.5,0,7,0,11,-1.0,0,22,19,6,-0.5,7,7,0,13,-1.0,7,14,10,22,0.5,3,0,0,3,0.5,7,9,3,1,-1.0,19,28,7,5,-0.5,7,15,7,6,-1.0,1,13,14,15,-1.0,13,28,6,24,0.5,19,12,16,22,0.5,0,24,1,25,-1.0,8,0,10,25,-1.0,15,14,0,15,0.5,10,20,1,22,-1.0,6,27,19,25
68,13.828125,42,-4.5,100,0.5,11,14,14,15,-0.5,13,29,13,15,0.5,7,2,0,10,-1.0,16,0,6,25,0.5,18,15,7,3,-0.5,6,27,6,8,0.5,12,14,1,15,-0.5,15,22,8,15,-1.0,5,0,10,22,0.5,12,0,1,0,0.5,6,7,14,28,-0.5,15,29,6,16,-0.5,14,29,10,23,0.5,17,14,19,20,-0.5,19,13,6,13,-1.0,19,7,16,29,-1.0,1,14,7,10,-0.5,11,22,6,12,-1.0,6,26,7,13,0.5,11,0,1,19
69,13.671875,42,4.5,100,-1.0,0,22,16,1,0.5,0,25,15,14,0.5,10,14,6,9,0.5,19,5,17,28,-0.5,16,22,1,3,0.5,4,0,0,29,0.5,1,13,17,15,0.5,1,5,6,17,0.5,1,15,5,1,0.5,6,3,13,15,-0.5,6,18,6,15,0.5,8,15,10,0,0.5,1,21,13,22,0.5,10,29,14,1,-0.5,19,3,1,4,0.5,14,14,1,10,0.5,19,19,7,7,-0.5,14,29,1,8,0.5,2,29,15,0,0.5,3,1,1,26
70,12.5625,42,3.5,100,-0.5,17,0,6,11,-0.5,6,24,6,17,0.5,0,24,2,29,0.5,16,0,15,0,0.5,7,0,0,3,-1.0,6,10,19,7,-1.0,1,22,15,14,0.5,6,28,13,14,0.5,3,0,18,28,0.5,1,11,1,24,0.5,6,5,6,12,0.5,1,10,9,1,-1.0,1,25,19,9,0.5,0,16,6,6,0.5,7,5,0,13,0.5,10,19,5,29,0.5,1,17,0,29,0.5,7,8,13,29,0.5,14,29,1,12,0.5,17,1,5,0
71,12.796875,42,3.0,100,0.5,19,29,7,1,-0.5,6,11,13,22,0.5,10,28,6,21,0.5,11,15,7,7,0.5,10,26,10,0,0.5,7,13,1,21,0.5,7,3,18,1,0.5,6,29,17,28,0.5,17,22,0,24,0.5,16,14,1,15,0.5,19,9,13,28,0.5,6,10,0,15,0.5,10,29,10,18,0.5,19,13,0,18,-1.0,15,14,15,22,-0.5,0,5,7,11,-0.5,7,5,10,16,0.5,7,12,0,3,-0.5,18,29,7,10,-1.0,19,4,19,27
72,12.890625,42,1.0,100,0.5,6,19,6,20,-0.5,12,1,1,8,0.5,0,29,15,15,-0.5,19,4,14,28,0.5,2,1,0,0,-0.5,6,26,1,10,0.5,10,26,2,0,-0.5,17,14,12,28,0.5,11,0,1,13,0.5,6,6,16,29,0.5,19,15,14,22,-1.0,10,1,19,25,-0.5,0,27,1,14,-1.0,19,28,1,19,0.5,4,1,19,11,-0.5,1,6,0,13,0.5,14,29,17,28,0.5,19,0,1,21,0.5,5,29,19,18,0.5,10,24,12,14
73,12.6875,42,-2.5,100,-0.5,1,23,1,18,0.5,15,22,15,28,0.5,6,24,17,29,-0.5,12,22,6,14,0.5,3,0,0,0,-0.5,0,1,0,8,0.5,6,27,8,0,-0.5,6,6,10,16,-1.0,10,14,19,28,-0.5,6,26,1,17,0.5,2,0,19,3,0.5,19,26,19,6,-1.0,4,29,10,18,0.5,19,10,1,27,0.5,13,14,14,1,0.5,19,29,14,15,-0.5,19,20,12,15,-0.5,1,2,10,25,-1.0,17,0,17,28,-0.5,19,21,6,11
74,13.25,42,1.0,100,0.5,6,13,1,25,0.5,15,15,13,0,-0.5,1,5,6,20,0.5,6,18,1,7,-0.5,1,13,0,16,0.5,6,27,15,0,-1.0,18,28,7,5,0.5,1,9,1,26,0.5,10,15,14,14,-0.5,7,7,19,23,0.5,6,21,0,19,0.5,14,22,0,22,-0.5,1,2,19,26,0.5,16,29,11,15,0.5,8,14,1,15,-0.5,6,5,6,22,0.5,1,24,19,12,-0.5,0,20,1,0,0.5,14,29,11,28,-1.0,1,14,19,28
75,12.671875,42,-5.0,100,-1.0,1,18,0,8,-1.0,1,12,19,17,-0.5,16,15,6,19,0.5,1,24,1,21,0.5,9,1,1,7,0.5,2,29,1,6,0.5,3,0,10,26,0.5,16,22,16,1,-1.0,2,0,6,27,0.5,0,27,6,17,-1.0,10,23,16,0,-0.5,1,28,19,11,-1.0,7,4,19,13,0.5,1,9,0,5,-0.5,1,0,18,1,-0.5,4,0,18,0,-1.0,19,8,0,19,-0.5,6,20,7,15,0.5,1,14,11,0,-0.5,11,1,11,14
76,12.796875,42,-6.5,100,0.5,9,1,14,28,-0.5,18,1,19,24,-0.5,18,29,19,26,-0.5,8,1,19,1,-0.5,0,22,17,1,0.5,0,27,0,26,0.5,19,15,12,14,-0.5,10,27,14,29,0.5,10,23,3,29,-1.0,15,29,1,24,-0.5,0,29,6,25,0.5,1,6,7,13,-0.5,1,22,0,12,-1.0,1,26,14,1,-1.0,0,24,10,19,-0.5,0,11,1,12,0.5,5,1,0,10,-1.0,0,16,6,29,-0.5,18,15,8,14,-1.0,15,14,10,28
77,11.8125,42,-2.0,100,0.5,15,28,11,29,0.5,6,18,19,11,-0.5,1,26,11,14,-0.5,19,21,6,17,0.5,4,0,0,16,0.5,6,5,10,26,-0.5,0,1,3,29,-1.0,12,22,1,20,0.5,8,1,10,22,0.5,7,1,19,1,-1.0,1,13,6,22,-1.0,19,20,0,22,-1.0,16,1,19,26,-0.5,18,15,17,0,0.5,14,0,8,0,-0.5,19,10,6,8,0.5,14,15,7,6,0.5,17,22,1,5,0.5,16,15,6,9,-0.5,1,27,0,21
78,13.546875,42,3.5,100,0.5,5,0,7,6,0.5,10,23,7,2,0.5,15,29,7,11,0.5,19,25,13,28,-0.5,15,22,7,1,0.5,4,1,0,7,0.5,17,15,6,23,-0.5,1,17,6,7,-1.0,1,23,18,29,0.5,11,29,17,29,0.5,10,24,14,29,0.5,19,15,6,18,0.5,10,25,19,11,-0.5,16,1,0,5,0.5,19,18,19,17,0.5,7,7,6,1,0.5,1,27,0,12,0.5,6,15,1,20,-0.5,19,3,10,15,-0.5,6,5,17,1
79,13.015625,42,2.5,100,-0.5,14,28,19,13,-0.5,0,11,6,5,0.5,1,21,6,13,0.5,9,1,13,22,-0.5,19,3,7,7,-0.5,6,21,5,29,0.5,1,26,19,4,0.5,4,29,0,28,0.5,9,15,0,14,0.5,15,29,1,16,0.5,8,15,11,14,0.5,16,15,0,3,-0.5,14,29,6,29,0.5,18,29,0,6,-1.0,1,22,17,28,0.5,1,28,0,24,0.5,14,15,0,23,0.5,6,10,19,20,-0.5,8,14,11,1,0.5,1,19,7,0
