episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
0,0.671875,42,28.0,9.0,8.0,1.0,19.0,7.0,17.0,9.0,8.0,12,6,13,13,18.0,17.0,10,16,1,16,28.0,26.0,7,18,11,6,,,,,,
1,2.515625,42,40.0,27.0,23.0,4.0,4.0,11.0,16.0,40.0,31.0,2,1,11,19,10.0,9.0,8,19,11,13,18.0,15.0,14,17,12,8,,,,,,
2,60.140625,42,,,,,,,,,,8,17,8,13,,,2,16,6,19,,,13,10,3,19,,,8.0,0.0,14.0,9.0
3,0.671875,42,25.0,8.0,7.0,12.0,8.0,9.0,4.0,7.0,6.0,10,15,7,18,6.0,5.0,7,4,8,0,25.0,19.0,13,8,4,16,,,,,,
4,1.796875,42,27.0,19.0,18.0,1.0,19.0,13.0,13.0,8.0,7.0,9,5,13,8,16.0,15.0,14,4,5,10,27.0,21.0,1,7,10,13,,,,,,
5,12.953125,42,36.0,3.0,2.0,3.0,10.0,1.0,10.0,19.0,12.0,11,19,14,16,36.0,29.0,11,6,7,19,22.0,20.0,6,16,14,4,,,,,,
6,60.234375,42,,,,,,,,,,11,3,6,18,,,12,7,8,2,,,11,19,8,13,,,4.0,1.0,0.0,19.0
7,60.1875,42,,,,,,,,,,9,4,14,9,,,3,7,6,19,,,11,17,14,16,,,11.0,4.0,7.0,10.0
8,60.171875,42,,,,,,,,,,6,4,8,2,,,14,6,12,12,,,6,19,4,0,,,1.0,13.0,8.0,1.0
9,1.40625,42,22.0,3.0,2.0,2.0,16.0,4.0,16.0,22.0,16.0,11,4,9,10,10.0,8.0,8,3,11,2,16.0,15.0,6,4,14,11,,,,,,
10,60.171875,42,,,,,,,,,,7,18,11,6,,,3,10,2,1,,,13,9,6,1,,,10.0,13.0,11.0,20.0
11,37.21875,42,36.0,29.0,19.0,13.0,9.0,7.0,2.0,23.0,21.0,7,17,14,5,36.0,20.0,12,13,5,16,30.0,26.0,13,11,4,20,,,,,,
12,60.140625,42,,,,,,,,,,11,4,4,4,,,10,14,12,13,,,3,1,0,4,,,13.0,9.0,12.0,12.0
13,4.921875,42,17.0,3.0,2.0,12.0,8.0,11.0,7.0,17.0,16.0,12,7,5,10,7.0,6.0,11,1,9,5,3.0,2.0,8,3,8,1,,,,,,
14,13.8125,42,37.0,37.0,35.0,8.0,16.0,5.0,0.0,8.0,7.0,9,10,2,10,10.0,9.0,0,16,7,18,15.0,14.0,3,1,11,1,,,,,,
15,46.15625,42,29.0,16.0,14.0,10.0,16.0,1.0,13.0,28.0,24.0,8,3,11,20,5.0,4.0,13,13,9,13,29.0,10.0,9,10,10,13,,,,,,
16,60.21875,42,,,,,,,,,,9,10,12,12,,,9,5,5,20,,,1,19,10,5,,,9.0,7.0,0.0,13.0
17,60.125,42,,,,,,,,,,6,13,5,10,,,7,17,7,7,,,14,18,14,19,,,4.0,10.0,13.0,12.0
