episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
10,0.03125,42,15.0,15.0,14.0,8.0,9.0,6.0,17.0,7.0,6.0,8,1,3,0,3.0,2.0,8,0,6,0,15.0,14.0,6,13,4,1,13.0,12.0,4,9,5,0,,,,,,
11,60.046875,42,,,,,,,,,,6,1,3,18,,,0,4,6,13,,,0,16,6,11,,,2,9,4,9,,,0.0,13.0,9.0,3.0
12,0.0,42,13.0,2.0,1.0,6.0,1.0,6.0,0.0,2.0,1.0,0,9,0,10,13.0,12.0,7,18,8,9,7.0,6.0,6,2,3,3,5.0,4.0,6,9,6,5,,,,,,
13,0.0,42,16.0,7.0,6.0,0.0,3.0,3.0,0.0,8.0,7.0,3,8,3,15,8.0,7.0,3,18,9,19,16.0,15.0,9,17,9,2,16.0,15.0,1,18,0,4,,,,,,
14,0.0,42,23.0,17.0,16.0,2.0,1.0,9.0,10.0,23.0,22.0,8,19,3,2,16.0,15.0,0,6,3,18,13.0,12.0,9,3,6,12,18.0,17.0,3,0,0,14,,,,,,
15,0.0,42,21.0,19.0,18.0,6.0,0.0,3.0,15.0,19.0,18.0,5,0,3,16,21.0,20.0,8,0,8,18,21.0,20.0,9,19,3,5,13.0,12.0,6,13,0,19,,,,,,
16,0.015625,42,21.0,17.0,16.0,3.0,6.0,6.0,19.0,21.0,20.0,0,2,6,16,16.0,15.0,0,12,4,1,15.0,14.0,0,10,0,18,14.0,13.0,7,19,9,8,,,,,,
17,60.015625,42,,,,,,,,,,5,0,3,19,,,9,12,0,19,,,0,17,3,12,,,4,19,2,1,,,6.0,16.0,3.0,2.0
18,60.046875,42,,,,,,,,,,6,15,0,10,,,6,9,3,7,,,6,6,0,13,,,3,9,3,10,,,9.0,15.0,9.0,9.0
19,0.015625,42,24.0,9.0,8.0,4.0,19.0,9.0,16.0,20.0,19.0,6,17,8,0,23.0,22.0,4,1,6,19,24.0,23.0,2,18,8,1,22.0,21.0,7,18,4,0,,,,,,
20,0.0,42,15.0,10.0,9.0,7.0,1.0,9.0,8.0,8.0,7.0,2,19,0,14,14.0,13.0,0,9,4,0,15.0,14.0,0,11,6,17,12.0,11.0,3,19,1,10,,,,,,
21,60.03125,42,,,,,,,,,,6,19,1,0,,,3,3,4,1,,,8,10,9,3,,,6,3,0,2,,,5.0,19.0,7.0,10.0
22,0.109375,42,16.0,16.0,15.0,4.0,19.0,6.0,8.0,10.0,9.0,6,19,0,16,10.0,9.0,6,12,6,3,12.0,11.0,3,18,0,10,12.0,11.0,3,3,6,11,,,,,,
23,60.03125,42,,,,,,,,,,6,8,0,4,,,0,9,1,0,,,7,10,4,19,,,3,16,1,1,,,8.0,1.0,3.0,6.0
24,0.03125,42,20.0,9.0,8.0,6.0,12.0,6.0,4.0,16.0,15.0,0,16,8,9,12.0,11.0,6,14,0,19,13.0,12.0,0,11,3,2,20.0,19.0,1,0,9,11,,,,,,
25,0.0,42,21.0,18.0,17.0,9.0,18.0,6.0,4.0,7.0,6.0,6,3,3,2,21.0,20.0,3,19,0,2,13.0,12.0,3,8,0,17,12.0,11.0,6,7,9,15,,,,,,
26,0.0,42,16.0,15.0,14.0,3.0,16.0,0.0,9.0,12.0,11.0,4,10,2,19,12.0,11.0,4,9,4,18,16.0,15.0,8,0,6,13,16.0,15.0,0,7,3,19,,,,,,
27,0.03125,42,16.0,4.0,3.0,9.0,12.0,8.0,10.0,3.0,2.0,0,18,2,18,16.0,15.0,6,2,9,14,15.0,14.0,5,18,3,6,14.0,13.0,4,9,5,19,,,,,,
28,60.015625,42,,,,,,,,,,5,9,3,10,,,9,2,8,19,,,3,18,0,1,,,3,1,9,7,,,0.0,2.0,5.0,18.0
29,0.109375,42,14.0,14.0,13.0,0.0,16.0,6.0,13.0,14.0,13.0,3,3,0,13,4.0,3.0,6,0,3,0,7.0,6.0,3,4,2,9,11.0,10.0,0,12,6,12,,,,,,
30,0.0,42,14.0,9.0,8.0,7.0,0.0,6.0,7.0,3.0,2.0,9,12,9,10,5.0,4.0,7,19,9,17,7.0,6.0,3,5,2,0,14.0,13.0,0,12,2,1,,,,,,
31,0.0,42,26.0,9.0,8.0,0.0,4.0,3.0,3.0,26.0,25.0,0,16,9,0,4.0,3.0,6,0,4,1,13.0,12.0,5,19,8,10,13.0,12.0,3,11,9,15,,,,,,
32,0.0,42,25.0,10.0,9.0,3.0,4.0,6.0,8.0,16.0,15.0,1,10,5,1,6.0,5.0,9,14,9,9,6.0,5.0,6,9,2,10,25.0,24.0,3,1,9,19,,,,,,
33,0.046875,42,21.0,19.0,18.0,9.0,12.0,3.0,2.0,21.0,20.0,1,0,3,18,13.0,12.0,0,19,9,16,14.0,13.0,5,10,9,19,13.0,12.0,0,5,0,17,,,,,,
34,0.21875,42,19.0,16.0,15.0,9.0,7.0,0.0,13.0,7.0,6.0,0,10,5,9,4.0,3.0,7,9,4,9,11.0,10.0,9,2,3,4,19.0,18.0,1,19,0,2,,,,,,
35,60.03125,42,,,,,,,,,,7,19,9,6,,,3,6,0,10,,,6,12,7,1,,,3,15,7,9,,,3.0,11.0,3.0,12.0
36,60.0625,42,,,,,,,,,,2,18,0,3,,,0,0,0,14,,,9,12,0,7,,,9,13,9,0,,,2.0,1.0,9.0,7.0
37,0.0,42,9.0,9.0,8.0,0.0,17.0,6.0,19.0,7.0,6.0,7,9,9,5,7.0,6.0,1,0,0,5,4.0,3.0,3,10,1,9,9.0,8.0,6,5,3,0,,,,,,
38,0.0,42,24.0,18.0,17.0,3.0,3.0,4.0,19.0,24.0,23.0,9,19,5,0,24.0,23.0,8,0,3,18,15.0,14.0,3,5,0,16,5.0,4.0,9,16,9,12,,,,,,
39,60.0625,42,,,,,,,,,,0,1,0,2,,,1,0,6,14,,,2,0,9,16,,,3,0,0,14,,,0.0,15.0,3.0,2.0
40,0.0,42,19.0,19.0,18.0,5.0,0.0,3.0,16.0,10.0,9.0,9,11,1,10,16.0,15.0,6,16,9,4,12.0,11.0,7,18,8,10,10.0,9.0,6,3,0,2,,,,,,
41,60.015625,42,,,,,,,,,,6,18,3,18,,,0,9,0,14,,,7,1,6,1,,,8,19,9,11,,,0.0,15.0,3.0,14.0
42,0.0,42,17.0,12.0,11.0,9.0,16.0,6.0,12.0,3.0,2.0,3,2,3,4,17.0,16.0,0,15,9,14,13.0,12.0,4,18,5,9,4.0,3.0,5,0,3,1,,,,,,
43,0.0,42,19.0,19.0,18.0,9.0,15.0,6.0,0.0,18.0,17.0,9,11,0,17,13.0,12.0,4,19,6,9,11.0,10.0,0,2,9,1,14.0,13.0,6,5,0,12,,,,,,
44,0.015625,42,22.0,7.0,6.0,6.0,19.0,9.0,16.0,4.0,3.0,0,16,0,19,6.0,5.0,7,9,6,5,18.0,17.0,3,16,1,1,22.0,21.0,0,0,9,12,,,,,,
45,0.046875,42,20.0,2.0,1.0,7.0,1.0,8.0,1.0,10.0,9.0,8,10,9,2,20.0,19.0,3,18,0,2,6.0,5.0,4,9,6,12,10.0,9.0,6,9,0,12,,,,,,
46,0.0,42,13.0,3.0,2.0,3.0,1.0,2.0,0.0,13.0,12.0,9,0,3,6,4.0,3.0,2,10,5,10,13.0,12.0,8,9,7,18,8.0,7.0,4,1,6,6,,,,,,
47,60.03125,42,,,,,,,,,,9,12,3,15,,,9,4,0,13,,,7,10,3,11,,,6,5,9,11,,,3.0,1.0,3.0,17.0
48,0.03125,42,18.0,18.0,17.0,0.0,13.0,4.0,0.0,3.0,2.0,6,11,5,10,14.0,13.0,9,15,2,9,11.0,10.0,9,4,2,1,8.0,7.0,2,19,9,19,,,,,,
49,0.0,42,16.0,6.0,5.0,7.0,9.0,9.0,6.0,16.0,15.0,9,1,0,7,13.0,12.0,8,18,4,10,15.0,14.0,9,15,6,4,7.0,6.0,0,12,3,9,,,,,,
50,60.046875,42,,,,,,,,,,0,16,9,11,,,1,9,9,10,,,8,19,6,5,,,3,4,0,19,,,3.0,3.0,0.0,18.0
51,0.0,42,20.0,20.0,19.0,3.0,1.0,5.0,18.0,9.0,8.0,6,2,0,2,8.0,7.0,0,17,6,18,11.0,10.0,4,0,0,6,6.0,5.0,0,13,1,9,,,,,,
52,0.03125,42,18.0,6.0,5.0,1.0,0.0,5.0,1.0,18.0,17.0,9,0,6,14,13.0,12.0,0,6,8,10,5.0,4.0,3,17,3,13,10.0,9.0,6,4,3,4,,,,,,
53,0.0,42,23.0,17.0,16.0,9.0,18.0,9.0,2.0,23.0,22.0,5,0,5,18,12.0,11.0,7,1,0,5,20.0,19.0,9,5,4,19,8.0,7.0,8,1,1,1,,,,,,
54,0.0,42,21.0,11.0,10.0,9.0,7.0,6.0,2.0,21.0,20.0,2,1,9,14,18.0,17.0,2,0,3,16,15.0,14.0,2,9,3,0,12.0,11.0,6,10,0,5,,,,,,
55,60.015625,42,,,,,,,,,,0,0,0,11,,,3,11,0,10,,,9,11,9,0,,,5,9,0,12,,,9.0,7.0,0.0,6.0
56,0.09375,42,19.0,11.0,10.0,3.0,14.0,8.0,9.0,4.0,3.0,9,11,9,8,19.0,18.0,6,15,2,1,18.0,17.0,0,11,9,17,11.0,10.0,9,1,3,5,,,,,,
57,0.0,42,24.0,6.0,5.0,8.0,10.0,6.0,7.0,4.0,3.0,6,3,7,1,24.0,23.0,8,0,0,15,14.0,13.0,6,8,8,19,10.0,9.0,6,10,5,18,,,,,,
58,0.0,42,16.0,6.0,5.0,3.0,5.0,4.0,1.0,5.0,4.0,5,1,8,0,15.0,14.0,9,16,3,12,16.0,15.0,9,3,6,15,14.0,13.0,9,0,6,10,,,,,,
59,0.0,42,24.0,4.0,3.0,2.0,9.0,4.0,10.0,4.0,3.0,2,18,0,19,13.0,12.0,0,7,3,16,17.0,16.0,0,16,6,6,24.0,23.0,3,18,2,0,,,,,,
60,60.015625,42,,,,,,,,,,3,7,3,18,,,3,10,3,12,,,5,0,1,1,,,7,1,6,15,,,3.0,5.0,2.0,1.0
61,0.015625,42,16.0,10.0,9.0,3.0,2.0,9.0,3.0,16.0,15.0,8,1,4,10,8.0,7.0,9,14,7,19,11.0,10.0,6,13,3,6,15.0,14.0,9,10,4,1,,,,,,
62,0.0,42,13.0,13.0,12.0,5.0,18.0,1.0,10.0,7.0,6.0,9,15,8,10,6.0,5.0,9,2,6,0,12.0,11.0,4,18,5,10,9.0,8.0,6,11,7,18,,,,,,
63,0.015625,42,22.0,12.0,11.0,6.0,9.0,0.0,4.0,4.0,3.0,0,8,1,10,8.0,7.0,3,1,6,5,22.0,21.0,1,0,6,16,4.0,3.0,7,1,5,0,,,,,,
64,60.046875,42,,,,,,,,,,9,3,6,9,,,9,10,0,11,,,0,15,6,8,,,9,14,7,0,,,6.0,7.0,6.0,3.0
65,60.015625,42,,,,,,,,,,0,9,9,15,,,5,9,0,19,,,9,12,8,9,,,6,19,3,15,,,0.0,15.0,6.0,4.0
66,0.0,42,19.0,13.0,12.0,3.0,19.0,9.0,13.0,19.0,18.0,8,0,0,10,17.0,16.0,9,19,2,10,13.0,12.0,8,9,6,19,12.0,11.0,9,12,6,4,,,,,,
67,0.015625,42,17.0,11.0,10.0,0.0,5.0,0.0,15.0,17.0,16.0,0,11,6,1,15.0,14.0,5,9,0,0,6.0,5.0,6,7,6,2,14.0,13.0,0,19,4,10,,,,,,
68,0.0,42,15.0,7.0,6.0,4.0,9.0,9.0,10.0,8.0,7.0,6,14,8,9,14.0,13.0,5,9,4,19,7.0,6.0,7,0,2,1,15.0,14.0,7,18,6,5,,,,,,
69,0.046875,42,22.0,10.0,9.0,0.0,16.0,6.0,19.0,12.0,11.0,9,12,0,10,22.0,21.0,9,2,4,18,14.0,13.0,0,13,6,12,3.0,2.0,8,1,7,0,,,,,,
70,0.015625,42,23.0,21.0,20.0,3.0,16.0,7.0,0.0,11.0,10.0,9,10,3,6,23.0,22.0,7,19,7,1,19.0,18.0,1,18,9,8,8.0,7.0,6,13,8,18,,,,,,
71,0.0,42,11.0,11.0,10.0,7.0,18.0,5.0,10.0,9.0,8.0,6,9,3,4,4.0,3.0,2,19,0,18,8.0,7.0,8,9,9,15,11.0,10.0,3,10,0,17,,,,,,
72,60.03125,42,,,,,,,,,,0,10,3,12,,,9,12,0,14,,,6,0,7,0,,,3,18,1,0,,,7.0,1.0,9.0,14.0
73,0.015625,42,18.0,18.0,17.0,9.0,12.0,0.0,16.0,3.0,2.0,3,9,3,11,14.0,13.0,8,0,6,11,15.0,14.0,6,7,9,18,15.0,14.0,4,10,0,0,,,,,,
74,0.0,42,9.0,5.0,4.0,6.0,19.0,2.0,19.0,4.0,3.0,9,2,9,5,9.0,8.0,9,14,6,9,9.0,8.0,3,17,0,14,8.0,7.0,0,13,4,10,,,,,,
75,0.0,42,21.0,14.0,13.0,6.0,4.0,0.0,11.0,8.0,7.0,0,3,4,0,5.0,4.0,6,15,6,19,4.0,3.0,5,19,8,19,21.0,20.0,0,1,3,18,,,,,,
76,0.0625,42,23.0,5.0,4.0,3.0,2.0,0.0,1.0,20.0,19.0,9,16,3,3,2.0,1.0,4,1,5,1,13.0,12.0,3,4,9,10,23.0,22.0,3,19,7,1,,,,,,
77,0.0,42,19.0,14.0,13.0,8.0,0.0,0.0,5.0,19.0,18.0,5,19,9,5,14.0,13.0,0,12,6,15,14.0,13.0,3,13,3,0,19.0,18.0,9,19,9,1,,,,,,
78,60.03125,42,,,,,,,,,,0,5,0,15,,,0,12,6,11,,,6,13,6,8,,,9,19,0,10,,,0.0,2.0,6.0,14.0
79,0.015625,42,22.0,16.0,15.0,9.0,8.0,4.0,0.0,22.0,21.0,9,4,0,16,14.0,13.0,0,3,9,3,16.0,15.0,2,9,8,0,18.0,17.0,2,1,8,10,,,,,,
80,60.0625,42,,,,,,,,,,1,9,0,4,,,0,1,0,0,,,9,9,0,18,,,3,1,0,5,,,6.0,12.0,8.0,19.0
81,0.046875,42,19.0,9.0,8.0,6.0,6.0,3.0,1.0,16.0,15.0,9,17,9,2,7.0,6.0,8,9,2,9,19.0,18.0,9,15,0,6,17.0,16.0,2,1,6,13,,,,,,
82,0.0,42,22.0,9.0,8.0,8.0,9.0,9.0,2.0,8.0,7.0,9,16,6,16,10.0,9.0,9,11,8,19,22.0,21.0,0,13,9,1,5.0,4.0,7,19,3,19,,,,,,
83,0.0,42,19.0,19.0,18.0,0.0,4.0,6.0,16.0,2.0,1.0,4,0,5,0,13.0,12.0,1,10,5,18,12.0,11.0,0,13,7,9,11.0,10.0,0,14,5,19,,,,,,
84,60.046875,42,,,,,,,,,,6,9,8,18,,,0,9,7,1,,,9,2,0,6,,,4,0,1,9,,,0.0,18.0,0.0,1.0
85,60.046875,42,,,,,,,,,,2,19,7,9,,,0,11,6,6,,,6,18,5,1,,,5,9,0,6,,,9.0,17.0,0.0,8.0
86,0.09375,42,25.0,9.0,8.0,6.0,7.0,4.0,1.0,25.0,24.0,0,0,6,18,15.0,14.0,0,4,3,15,22.0,21.0,1,19,1,0,12.0,11.0,9,6,3,11,,,,,,
87,0.484375,42,26.0,13.0,12.0,0.0,10.0,6.0,4.0,26.0,25.0,7,19,4,1,22.0,21.0,1,1,5,18,17.0,16.0,3,11,8,0,15.0,14.0,9,17,2,10,,,,,,
88,0.0,42,18.0,5.0,4.0,6.0,9.0,2.0,9.0,9.0,8.0,9,5,9,13,18.0,17.0,6,2,5,18,18.0,17.0,3,19,3,2,8.0,7.0,0,16,3,16,,,,,,
89,0.0,42,20.0,20.0,19.0,6.0,3.0,3.0,19.0,12.0,11.0,5,18,9,13,8.0,7.0,6,17,0,18,10.0,9.0,2,10,0,17,15.0,14.0,6,11,4,1,,,,,,
90,60.046875,42,,,,,,,,,,5,0,0,15,,,6,16,0,13,,,3,14,9,16,,,9,9,9,13,,,4.0,10.0,3.0,0.0
91,60.015625,42,,,,,,,,,,0,10,6,6,,,3,3,3,14,,,6,7,6,9,,,3,17,9,16,,,8.0,1.0,3.0,15.0
92,60.0625,42,,,,,,,,,,0,17,6,4,,,3,15,6,5,,,9,1,3,4,,,1,19,9,10,,,9.0,14.0,0.0,4.0
93,0.0,42,23.0,4.0,3.0,3.0,2.0,2.0,0.0,11.0,10.0,3,16,0,11,11.0,10.0,4,10,6,2,3.0,2.0,4,9,3,8,23.0,22.0,0,17,6,1,,,,,,
94,0.0,42,22.0,10.0,9.0,6.0,4.0,3.0,4.0,13.0,12.0,6,17,2,9,22.0,21.0,5,19,8,1,8.0,7.0,6,11,3,7,10.0,9.0,6,7,1,9,,,,,,
95,0.0,42,20.0,20.0,19.0,3.0,18.0,5.0,1.0,4.0,3.0,5,10,8,10,9.0,8.0,6,8,7,1,13.0,12.0,3,9,6,0,10.0,9.0,9,15,9,6,,,,,,
96,0.0,42,17.0,11.0,10.0,0.0,14.0,5.0,9.0,17.0,16.0,9,10,2,19,9.0,8.0,9,2,8,9,13.0,12.0,5,0,2,9,8.0,7.0,7,1,3,4,,,,,,
97,0.015625,42,24.0,10.0,9.0,5.0,9.0,0.0,13.0,15.0,14.0,9,1,0,6,8.0,7.0,3,12,0,8,21.0,20.0,4,19,9,4,24.0,23.0,0,4,8,19,,,,,,
98,60.03125,42,,,,,,,,,,0,6,4,18,,,0,9,1,0,,,3,0,7,0,,,6,1,3,4,,,3.0,6.0,0.0,7.0
99,60.03125,42,,,,,,,,,,7,9,6,17,,,9,8,9,3,,,0,1,3,16,,,3,18,3,11,,,8.0,19.0,6.0,18.0
100,60.046875,42,,,,,,,,,,0,17,5,0,,,2,1,3,10,,,6,5,9,15,,,6,13,0,8,,,0.0,13.0,9.0,19.0
