episode,cpu_time,seed,total_reward,timesteps,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y
11,9.171875,42,6.5,100,0.5,7,5,19,18,-0.5,0,10,6,0,0.5,6,27,15,22,0.5,8,0,19,15,0.5,0,20,19,3,0.5,4,29,0,5,0.5,14,29,0,21,0.5,18,0,14,15,0.5,19,28,12,0,0.5,1,4,6,21,0.5,19,22,6,4,0.5,19,5,6,13,0.5,19,4,6,15,0.5,1,21,2,0,0.5,0,26,0,1
12,9.03125,42,-2.0,100,-0.5,1,14,1,0,-0.5,1,25,3,1,-0.5,0,28,19,29,-0.5,0,10,3,0,0.5,14,29,6,27,-1.0,0,7,5,29,0.5,1,11,1,2,0.5,6,12,19,14,-0.5,17,22,6,1,0.5,19,5,19,23,0.5,0,15,15,29,0.5,1,5,7,12,-1.0,10,23,0,3,-1.0,13,29,1,9,0.5,19,1,1,22
13,9.15625,42,4.5,100,0.5,0,5,12,0,0.5,0,4,13,28,0.5,19,22,14,22,0.5,16,28,7,14,-0.5,13,0,10,15,-0.5,12,22,0,19,0.5,15,15,0,18,0.5,10,19,6,19,-0.5,4,1,1,0,0.5,7,13,6,27,0.5,0,27,17,15,0.5,19,13,0,28,0.5,6,23,19,23,0.5,1,15,4,29,0.5,18,28,7,9
14,10.0,42,3.5,100,0.5,14,0,0,4,0.5,5,29,1,2,0.5,8,1,6,23,0.5,0,24,18,0,0.5,0,5,19,14,0.5,19,19,14,29,0.5,10,22,14,22,0.5,10,1,16,28,0.5,19,20,19,22,0.5,19,12,1,8,0.5,3,29,0,1,-0.5,7,12,1,11,-1.0,1,3,6,26,0.5,11,1,7,5,-1.0,17,29,16,0
15,9.84375,42,1.0,100,0.5,15,0,19,28,0.5,12,0,4,0,0.5,3,29,0,27,-0.5,18,29,1,24,-1.0,1,23,11,28,-1.0,0,24,6,22,0.5,6,4,19,21,0.5,8,15,2,29,0.5,1,27,19,13,0.5,16,15,6,25,0.5,17,15,6,13,-0.5,7,4,0,26,0.5,15,15,7,1,-1.0,10,24,1,26,0.5,19,14,2,1
16,9.359375,42,4.5,100,0.5,5,29,0,12,0.5,14,28,19,12,0.5,17,0,19,10,0.5,6,0,13,22,0.5,7,6,3,29,0.5,17,29,1,2,0.5,10,22,10,18,-0.5,6,9,7,2,-0.5,0,24,10,23,0.5,19,2,1,7,-0.5,19,20,19,11,0.5,0,15,1,5,0.5,1,3,0,26,0.5,1,14,9,1,0.5,17,14,0,4
17,8.28125,42,5.5,100,0.5,14,15,6,23,-0.5,1,14,19,1,0.5,17,22,18,1,0.5,7,13,19,18,0.5,12,22,19,4,0.5,1,9,16,14,-0.5,16,22,1,24,0.5,6,18,1,22,0.5,6,26,0,9,0.5,10,21,7,10,0.5,0,12,9,0,0.5,8,0,1,11,0.5,17,15,1,27,0.5,6,0,11,15,0.5,19,26,10,16
18,9.59375,42,-4.5,100,-1.0,0,22,17,15,-1.0,3,1,17,28,-0.5,0,1,16,22,0.5,12,29,1,0,-1.0,0,23,10,18,0.5,0,11,18,0,-1.0,0,21,15,29,-1.0,17,22,10,29,0.5,19,13,1,24,0.5,8,1,19,25,0.5,6,13,19,7,-0.5,19,5,6,1,0.5,0,24,11,15,-0.5,6,20,10,27,-1.0,19,12,14,22
19,9.1875,42,0.5,100,0.5,1,2,4,1,-1.0,9,0,6,27,0.5,7,15,1,7,0.5,0,13,1,11,-1.0,16,0,6,12,0.5,6,1,7,7,0.5,6,16,7,13,0.5,12,29,6,11,0.5,18,15,10,24,-1.0,17,22,1,23,0.5,19,22,6,23,0.5,7,3,6,5,0.5,11,14,14,15,-0.5,1,27,6,2,-1.0,2,1,6,14
20,7.40625,42,22.5,79,1.5,1,16,19,11,1.5,16,14,16,28,1.5,12,14,8,15,1.5,11,28,18,28,1.5,6,3,1,10,1.5,19,18,10,0,1.5,7,3,14,15,1.5,9,0,0,8,1.5,18,14,11,0,1.5,7,8,0,16,1.5,19,10,15,15,1.5,15,22,3,29,1.5,19,20,10,22,1.5,18,1,13,1,1.5,7,10,7,13
21,9.015625,42,4.5,100,0.5,1,8,0,29,-1.0,1,0,16,22,0.5,10,26,10,21,0.5,19,20,1,9,0.5,10,19,19,14,0.5,19,19,6,21,0.5,0,19,19,17,0.5,8,1,0,20,0.5,0,21,16,0,0.5,10,28,19,29,0.5,11,1,6,29,0.5,14,1,16,15,0.5,19,15,1,28,0.5,14,0,0,11,-1.0,1,1,10,27
22,8.84375,42,4.0,100,0.5,10,23,12,14,0.5,10,15,1,1,-0.5,10,17,18,0,0.5,1,23,1,17,0.5,14,1,0,20,0.5,0,1,19,14,0.5,15,14,7,9,0.5,19,11,11,29,-1.0,7,4,16,0,0.5,12,22,0,26,0.5,7,6,0,27,0.5,8,1,14,0,-0.5,16,22,6,23,0.5,8,0,19,12,0.5,7,10,15,28
23,8.5,42,22.5,82,1.5,19,21,7,7,1.5,14,14,1,3,1.5,14,22,19,15,1.5,1,6,10,26,1.5,2,1,0,29,1.5,6,4,0,19,1.5,16,15,1,10,1.5,6,11,10,0,1.5,17,1,6,28,1.5,15,14,14,15,1.5,19,6,10,1,1.5,11,1,6,15,1.5,8,15,19,18,1.5,6,0,6,10,1.5,5,29,15,29
24,9.703125,42,3.5,100,-0.5,0,28,6,0,0.5,1,2,7,7,0.5,11,28,0,7,-0.5,11,1,7,3,-0.5,19,18,7,2,0.5,6,14,10,20,0.5,6,25,14,0,0.5,0,27,17,15,0.5,0,1,9,14,0.5,13,29,0,2,0.5,19,26,12,29,0.5,18,0,0,21,0.5,2,29,6,26,-0.5,18,1,4,1,0.5,19,2,19,22
25,9.4375,42,1.5,100,0.5,3,29,1,25,-0.5,6,29,17,28,0.5,5,0,0,24,0.5,12,28,1,26,0.5,9,14,10,28,-0.5,0,2,0,9,0.5,0,25,0,20,0.5,6,17,12,22,-0.5,19,11,0,5,-0.5,14,22,1,1,0.5,8,0,12,1,-0.5,15,29,11,22,0.5,19,29,19,6,0.5,0,10,18,28,-0.5,19,2,0,6
26,9.015625,42,0.5,100,-0.5,17,1,18,0,0.5,7,1,10,24,-1.0,18,14,16,22,0.5,0,11,15,22,-0.5,19,9,1,26,0.5,1,2,19,25,0.5,4,0,0,13,0.5,11,29,12,14,0.5,16,29,1,24,-1.0,1,15,3,29,-0.5,15,28,19,21,0.5,0,3,18,1,0.5,0,8,19,22,0.5,0,1,19,13,-0.5,1,5,0,27
27,7.03125,42,22.5,76,1.5,0,19,7,14,1.5,13,1,18,1,1.5,17,28,17,0,1.5,11,0,10,26,1.5,0,26,2,29,1.5,17,1,1,5,1.5,0,28,0,22,1.5,7,13,13,22,1.5,0,9,0,12,1.5,7,2,1,14,1.5,7,0,14,15,1.5,1,16,0,3,1.5,9,1,8,1,1.5,14,28,19,25,1.5,9,15,14,29
28,9.40625,42,2.0,100,0.5,1,12,5,0,0.5,0,12,6,14,0.5,10,27,10,21,0.5,15,22,9,1,0.5,7,3,19,0,-1.0,0,16,19,25,0.5,13,22,10,17,0.5,6,22,7,0,0.5,0,9,16,0,-0.5,1,20,1,28,0.5,0,1,9,14,0.5,19,3,11,1,0.5,1,9,1,3,-1.0,6,12,1,26,-1.0,0,21,19,17
29,8.859375,42,2.5,100,0.5,19,10,11,1,0.5,6,23,7,6,0.5,9,1,0,27,0.5,6,20,6,19,0.5,19,16,0,21,0.5,10,18,0,29,-0.5,1,6,5,0,-0.5,1,3,10,26,-0.5,1,28,1,0,0.5,11,22,19,18,0.5,13,14,19,23,-0.5,6,29,3,0,0.5,7,3,6,25,0.5,7,14,16,0,-0.5,13,0,10,25
30,9.359375,42,-2.0,100,0.5,7,7,16,1,0.5,19,23,7,6,0.5,1,5,1,21,-1.0,6,23,1,26,0.5,10,20,10,21,0.5,6,22,1,3,0.5,10,23,13,14,-1.0,6,0,9,15,-0.5,17,29,10,17,0.5,1,19,6,8,0.5,6,21,0,21,-0.5,19,18,10,15,-1.0,19,11,11,22,-1.0,0,8,11,28,-1.0,4,29,10,27
31,8.390625,42,22.5,86,1.5,0,29,0,26,1.5,6,6,19,11,1.5,1,15,7,13,1.5,19,3,0,9,1.5,6,10,1,26,1.5,9,15,18,1,1.5,19,21,6,0,1.5,7,15,8,0,1.5,8,15,8,1,1.5,10,29,2,1,1.5,6,26,14,14,1.5,8,14,16,22,1.5,16,29,17,28,1.5,14,15,6,15,1.5,10,1,7,11
32,8.859375,42,3.5,100,0.5,14,28,7,14,0.5,0,12,19,7,0.5,18,29,6,27,0.5,0,15,0,27,0.5,10,15,6,13,0.5,0,16,0,3,0.5,6,4,13,22,0.5,7,9,1,5,0.5,17,14,13,15,-0.5,0,17,18,15,-1.0,17,29,17,15,0.5,3,1,6,23,0.5,1,9,1,24,0.5,14,14,10,23,-1.0,5,29,12,14
33,9.171875,42,6.5,100,-0.5,19,12,10,1,0.5,6,11,11,14,0.5,19,20,0,2,0.5,6,16,19,27,0.5,6,25,7,4,0.5,7,12,6,4,0.5,5,29,1,7,0.5,12,29,13,22,0.5,19,28,1,17,0.5,7,0,15,1,0.5,0,17,12,15,0.5,15,22,8,14,0.5,1,2,6,23,0.5,13,15,17,28,0.5,15,0,19,11
34,8.53125,42,1.0,100,-0.5,0,9,4,0,-1.0,1,15,6,27,0.5,16,22,7,5,-0.5,15,0,1,14,0.5,7,0,1,25,-0.5,17,29,7,7,0.5,18,0,19,8,0.5,6,17,19,16,0.5,11,28,1,4,0.5,1,2,5,1,-0.5,19,27,19,11,0.5,7,13,1,11,0.5,6,3,0,10,0.5,0,18,11,0,-0.5,17,28,1,23
35,9.390625,42,2.5,100,0.5,11,22,7,8,0.5,1,14,6,21,-0.5,19,28,16,14,-0.5,10,1,6,3,0.5,2,1,6,11,0.5,7,10,12,14,0.5,1,25,14,28,-0.5,17,29,9,1,0.5,14,0,10,26,0.5,0,3,0,13,-0.5,10,20,15,14,0.5,0,19,14,1,0.5,18,0,19,2,-0.5,18,14,6,5,0.5,11,14,19,14
36,9.125,42,2.5,100,0.5,10,19,10,25,0.5,8,15,7,12,0.5,12,29,0,24,0.5,6,5,1,29,-0.5,19,9,11,0,-0.5,15,22,8,0,-0.5,5,0,6,17,0.5,10,20,1,10,-0.5,6,12,6,19,0.5,7,13,19,29,0.5,18,14,0,5,0.5,6,26,19,11,0.5,0,27,0,1,-0.5,18,1,6,0,0.5,6,15,1,13
37,9.109375,42,0.0,100,0.5,11,1,16,0,-0.5,19,13,13,28,0.5,7,0,16,22,-0.5,8,14,19,21,0.5,10,15,15,14,-1.0,13,0,19,25,-1.0,0,1,11,28,0.5,6,23,19,7,0.5,5,1,19,2,0.5,1,2,7,7,-1.0,6,24,10,28,-0.5,10,23,19,26,0.5,3,0,7,15,0.5,1,8,14,0,0.5,13,14,3,29
38,8.984375,42,22.5,96,1.5,0,24,19,1,1.5,7,3,19,26,1.5,0,16,4,0,1.5,19,23,7,10,1.5,6,28,6,7,1.5,18,29,1,5,1.5,11,22,0,1,1.5,10,0,0,28,1.5,7,14,14,15,1.5,14,14,14,29,1.5,0,26,17,14,1.5,16,29,11,1,1.5,19,21,4,29,1.5,11,28,0,9,1.5,6,23,15,29
39,9.09375,42,-4.5,100,-0.5,16,22,15,14,0.5,19,26,2,0,0.5,7,4,6,29,-1.0,9,1,12,15,0.5,0,16,6,13,-0.5,18,15,19,12,-0.5,16,14,19,19,-0.5,11,22,0,11,-1.0,19,24,1,24,-0.5,1,25,0,8,-1.0,6,2,17,14,0.5,6,22,0,12,-0.5,0,19,6,12,0.5,1,20,0,25,-1.0,10,1,19,14
40,9.515625,42,6.5,100,0.5,18,15,1,24,0.5,13,28,6,29,0.5,15,28,7,15,0.5,10,28,1,28,0.5,16,22,15,1,0.5,11,29,19,18,0.5,6,15,6,19,0.5,0,11,13,14,0.5,18,29,12,22,0.5,14,22,8,15,0.5,0,1,2,0,0.5,6,18,0,6,0.5,19,8,19,6,0.5,1,23,10,25,-0.5,0,23,12,14
41,9.25,42,2.5,100,-1.0,19,4,15,28,0.5,6,23,18,29,0.5,8,14,12,22,0.5,9,15,4,1,0.5,13,22,13,29,0.5,18,14,1,12,0.5,10,21,6,25,0.5,7,0,16,28,-1.0,15,29,12,15,0.5,19,7,6,6,0.5,6,7,0,19,0.5,4,29,7,1,0.5,6,18,9,0,-0.5,0,26,19,29,-0.5,2,29,11,14
42,9.6875,42,1.0,100,-0.5,19,10,11,1,0.5,6,21,1,20,0.5,1,1,1,0,0.5,7,11,19,21,0.5,18,14,6,8,0.5,9,0,6,6,0.5,13,14,1,16,-0.5,14,15,10,1,0.5,10,17,6,11,-0.5,1,12,0,18,0.5,0,27,0,23,-1.0,19,29,0,15,0.5,10,22,0,4,-0.5,0,13,5,0,-0.5,6,17,7,1
43,9.5,42,5.0,100,0.5,6,16,4,29,0.5,19,2,1,23,0.5,7,0,6,2,0.5,19,6,0,5,-1.0,15,0,19,26,0.5,6,6,10,14,0.5,7,13,14,22,0.5,9,1,1,19,0.5,19,4,19,9,0.5,19,20,5,1,0.5,6,24,19,5,0.5,19,21,8,15,-0.5,19,25,10,21,0.5,3,29,10,27,0.5,6,7,11,28
44,8.375,42,0.5,100,-0.5,10,19,16,1,-0.5,18,14,16,0,0.5,4,29,6,28,0.5,16,14,2,1,0.5,19,1,10,20,0.5,1,25,11,1,-0.5,0,0,12,15,0.5,3,1,1,28,0.5,1,10,7,7,0.5,1,5,19,18,-0.5,6,1,18,28,0.5,6,7,19,28,-1.0,0,13,17,0,0.5,10,14,12,14,-1.0,1,27,19,7
45,8.5,42,5.5,100,-0.5,0,8,0,10,0.5,7,5,19,20,0.5,1,9,4,1,0.5,1,1,5,29,0.5,11,28,0,15,0.5,1,12,14,22,0.5,19,19,19,26,0.5,15,29,7,2,0.5,6,1,0,11,0.5,0,23,1,26,-0.5,10,14,0,9,0.5,6,25,10,17,0.5,7,15,2,0,0.5,19,15,8,0,0.5,6,27,16,1
46,8.40625,42,2.0,100,0.5,6,18,10,0,0.5,0,11,1,22,0.5,0,25,1,4,-0.5,7,10,6,26,-0.5,19,6,1,7,0.5,18,14,6,23,0.5,13,1,7,14,0.5,7,0,2,29,0.5,6,16,4,0,-1.0,15,29,6,22,0.5,11,1,0,0,0.5,0,13,18,28,0.5,1,17,0,6,-0.5,19,24,6,4,-0.5,5,0,6,21
47,9.328125,42,1.5,100,-0.5,14,28,19,11,-0.5,15,29,6,3,-0.5,17,29,19,14,0.5,6,4,0,4,0.5,10,22,13,22,0.5,7,4,1,26,0.5,1,25,1,13,-0.5,19,10,1,4,0.5,1,29,0,11,0.5,1,22,7,11,0.5,8,15,7,8,0.5,6,1,7,3,0.5,7,7,10,24,-0.5,18,28,0,10,-0.5,12,28,1,1
48,8.359375,42,0.0,100,0.5,10,21,1,28,-1.0,0,20,12,29,0.5,19,14,7,11,0.5,1,22,4,0,0.5,0,25,10,27,-0.5,0,2,18,1,0.5,13,15,7,2,0.5,10,28,1,7,-0.5,17,0,3,1,-1.0,0,7,18,14,-0.5,1,13,0,1,0.5,1,5,9,0,0.5,7,6,19,6,-1.0,1,25,15,28,0.5,10,16,19,28
49,9.296875,42,2.0,100,0.5,9,15,0,4,0.5,1,26,16,22,0.5,10,1,10,23,0.5,6,0,6,15,0.5,19,26,11,1,-1.0,19,11,0,25,-0.5,0,18,17,14,-1.0,6,10,0,17,0.5,19,22,1,19,0.5,10,24,8,0,0.5,7,2,4,1,0.5,19,9,6,22,0.5,14,15,18,28,-1.0,17,0,0,6,0.5,1,4,6,7
50,9.234375,42,3.5,100,0.5,1,24,10,0,0.5,13,14,15,28,0.5,11,29,12,14,-0.5,10,21,0,3,-0.5,14,22,7,14,-0.5,1,7,1,2,0.5,17,15,0,27,0.5,6,0,19,28,0.5,18,0,0,13,0.5,13,22,1,9,0.5,14,1,13,0,0.5,5,0,16,14,0.5,0,28,2,0,-0.5,19,4,0,0,0.5,1,3,19,12
51,8.046875,42,22.5,78,1.5,2,29,18,1,1.5,19,28,14,0,1.5,10,19,7,0,1.5,1,11,1,22,1.5,0,20,12,0,1.5,10,18,0,11,1.5,19,2,19,24,1.5,6,23,17,28,1.5,0,29,1,0,1.5,10,17,4,1,1.5,6,16,10,22,1.5,19,6,6,6,1.5,9,0,1,13,1.5,1,7,0,4,1.5,10,28,1,5
52,10.359375,42,3.5,100,-0.5,10,15,6,26,0.5,19,1,2,1,0.5,1,28,13,29,0.5,15,14,8,1,-0.5,8,14,7,15,0.5,17,29,15,1,0.5,6,18,19,16,0.5,15,0,0,2,-0.5,10,25,1,4,-0.5,1,12,6,24,0.5,10,27,19,26,0.5,10,0,19,12,0.5,12,22,0,8,0.5,8,15,16,15,0.5,14,1,6,10
53,9.625,42,22.5,92,1.5,1,10,0,20,1.5,6,21,1,15,1.5,0,21,18,15,1.5,2,0,8,0,1.5,1,6,6,6,1.5,19,16,19,11,1.5,12,28,19,2,1.5,7,5,14,14,1.5,19,4,19,9,1.5,11,29,1,25,1.5,15,22,19,26,1.5,6,18,1,18,1.5,1,4,11,15,1.5,6,10,6,14,1.5,19,21,6,22
54,10.375,42,4.0,100,0.5,16,15,19,14,0.5,14,22,7,13,0.5,14,14,0,0,0.5,18,28,13,29,0.5,6,29,0,5,0.5,11,28,0,22,0.5,0,23,1,18,0.5,15,29,19,25,0.5,16,0,6,26,0.5,19,18,14,28,0.5,9,0,1,16,-0.5,10,16,7,2,-1.0,19,8,19,27,0.5,13,14,6,14,-0.5,18,29,16,28
55,9.578125,42,2.0,100,0.5,7,13,19,19,0.5,19,4,7,5,0.5,6,18,1,15,-0.5,19,15,0,5,-0.5,10,19,1,0,-1.0,10,29,0,15,-0.5,6,16,6,4,0.5,6,21,1,7,0.5,6,7,6,14,0.5,10,25,6,11,-0.5,6,1,6,5,0.5,10,16,15,22,0.5,0,2,5,1,0.5,10,23,12,28,0.5,10,17,0,10
56,9.078125,42,5.5,100,0.5,8,1,19,3,0.5,14,1,0,13,0.5,1,15,7,2,0.5,1,12,7,11,0.5,19,2,7,8,0.5,1,25,7,5,0.5,6,6,0,20,0.5,3,0,19,20,-0.5,7,6,0,29,0.5,15,0,0,10,-0.5,0,22,1,29,0.5,10,19,0,1,0.5,7,7,1,26,0.5,1,16,11,28,0.5,19,24,12,15
57,9.0625,42,4.0,100,-0.5,19,25,6,20,0.5,0,25,6,9,0.5,1,27,10,20,0.5,10,26,10,27,0.5,5,0,10,0,-1.0,1,23,19,19,0.5,19,1,6,25,0.5,15,22,0,22,0.5,4,1,6,21,0.5,5,29,19,16,0.5,1,1,0,16,0.5,15,15,1,20,-0.5,19,7,17,0,0.5,0,24,18,0,0.5,19,26,14,28
58,9.375,42,4.5,100,0.5,4,1,19,6,-0.5,9,14,18,1,-0.5,1,7,6,20,0.5,14,22,1,23,0.5,0,24,0,9,0.5,8,1,17,28,0.5,18,14,1,17,0.5,6,13,10,24,0.5,1,27,15,14,0.5,7,2,0,6,0.5,0,18,0,25,0.5,1,6,15,22,0.5,10,19,19,16,-0.5,8,14,6,21,0.5,14,15,0,27
59,9.28125,42,-1.5,100,-0.5,19,2,19,16,-1.0,14,1,13,22,0.5,6,16,18,1,0.5,1,26,0,8,0.5,1,11,9,0,-0.5,0,22,1,0,-0.5,11,28,8,15,0.5,6,22,13,29,-0.5,1,10,19,1,-1.0,18,0,14,29,-0.5,2,0,10,17,0.5,10,27,6,5,-0.5,0,14,6,4,0.5,7,1,4,1,0.5,1,12,1,6
60,8.78125,42,22.5,97,1.5,6,10,19,1,1.5,0,17,1,0,1.5,0,0,1,11,1.5,6,27,1,27,1.5,7,10,1,3,1.5,19,4,0,28,1.5,7,1,1,7,1.5,8,15,6,13,1.5,6,3,0,20,1.5,8,0,7,8,1.5,15,29,19,19,1.5,3,1,17,28,1.5,6,18,10,0,1.5,9,0,19,20,1.5,17,15,1,17
61,6.625,42,22.5,73,1.5,1,12,0,13,1.5,0,6,17,29,1.5,0,27,1,2,1.5,12,0,19,14,1.5,10,25,17,15,1.5,6,15,19,27,1.5,0,16,19,11,1.5,7,4,12,28,1.5,19,10,14,22,1.5,0,0,6,12,1.5,1,5,17,1,1.5,6,1,7,5,1.5,19,23,6,6,1.5,6,19,10,14,1.5,8,15,0,11
62,9.4375,42,2.5,100,-0.5,0,0,6,17,0.5,16,14,10,0,0.5,10,28,3,1,0.5,15,0,7,11,0.5,1,18,16,15,0.5,11,29,19,28,0.5,19,12,0,29,-1.0,8,15,6,27,0.5,14,29,0,14,-1.0,11,1,6,19,0.5,0,12,19,2,0.5,17,15,7,2,0.5,6,28,1,4,-0.5,3,29,16,1,0.5,11,14,11,0
63,9.265625,42,5.5,100,0.5,10,26,19,5,0.5,1,5,19,18,0.5,11,22,6,6,0.5,7,6,4,0,-0.5,7,3,19,26,0.5,19,12,8,14,0.5,5,0,18,0,0.5,12,0,10,19,0.5,6,22,1,10,0.5,14,1,0,20,0.5,6,1,10,1,0.5,13,29,12,22,0.5,11,29,0,9,-0.5,10,23,19,27,0.5,0,16,7,0
