episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y
19,60.03125,42,,,,,,,,,,0,4,5,1,,,15,1,10,29,,,7,10,1,2,,,13,29,10,19,,,12,0,0,21,,,6.0,26.0,11.0,22.0
20,60.03125,42,,,,,,,,,,10,29,1,11,,,0,19,7,11,,,15,1,1,13,,,6,23,6,3,,,16,1,12,0,,,0.0,9.0,1.0,3.0
21,60.0625,42,,,,,,,,,,12,22,4,29,,,0,23,19,12,,,1,10,19,27,,,10,20,10,19,,,16,14,7,0,,,1.0,9.0,6.0,7.0
22,60.03125,42,,,,,,,,,,10,26,6,23,,,10,21,7,8,,,4,1,7,4,,,0,5,16,0,,,1,4,0,14,,,19.0,20.0,0.0,18.0
23,60.03125,42,,,,,,,,,,3,0,1,6,,,7,9,10,16,,,12,14,9,14,,,7,10,7,6,,,6,29,16,28,,,19.0,15.0,2.0,1.0
24,0.015625,42,36.0,35.0,34.0,19.0,19.0,3.0,29.0,12.0,11.0,6,3,0,4,7.0,6.0,9,14,6,11,26.0,25.0,8,1,17,15,20.0,19.0,18,1,0,2,36.0,35.0,6,28,19,6,,,,,,
25,0.0,42,37.0,21.0,20.0,9.0,14.0,12.0,1.0,26.0,25.0,1,2,12,14,33.0,32.0,5,0,0,27,9.0,8.0,10,0,3,1,31.0,30.0,6,0,1,25,37.0,36.0,0,24,12,0,,,,,,
26,60.078125,42,,,,,,,,,,14,14,10,26,,,14,1,19,10,,,19,15,19,24,,,15,22,1,22,,,6,1,1,24,,,0.0,24.0,0.0,8.0
27,0.0,42,41.0,10.0,9.0,1.0,2.0,7.0,3.0,41.0,40.0,10,1,16,29,17.0,16.0,9,15,19,21,13.0,12.0,6,12,6,0,22.0,21.0,5,1,1,16,28.0,27.0,17,22,19,19,,,,,,
28,60.109375,42,,,,,,,,,,11,1,19,28,,,4,0,19,15,,,10,28,1,11,,,7,15,1,7,,,19,8,9,0,,,1.0,28.0,0.0,10.0
29,60.015625,42,,,,,,,,,,4,29,0,20,,,6,27,14,29,,,19,22,18,0,,,19,28,19,4,,,1,4,1,21,,,19.0,5.0,0.0,26.0
30,60.046875,42,,,,,,,,,,8,0,12,0,,,7,5,6,21,,,6,0,6,13,,,0,5,19,3,,,15,22,0,21,,,6.0,4.0,14.0,15.0
31,0.171875,42,56.0,56.0,55.0,14.0,29.0,1.0,25.0,27.0,26.0,6,15,0,7,31.0,30.0,2,0,0,28,15.0,14.0,0,1,0,15,24.0,23.0,19,15,17,22,14.0,13.0,19,18,19,5,,,,,,
32,60.046875,42,,,,,,,,,,1,5,19,1,,,14,29,0,10,,,1,11,1,14,,,6,12,3,1,,,10,23,5,29,,,13.0,29.0,19.0,29.0
33,0.0625,42,49.0,20.0,19.0,15.0,29.0,19.0,14.0,9.0,8.0,6,1,0,3,49.0,48.0,19,23,1,9,39.0,38.0,7,12,1,22,31.0,30.0,6,27,3,0,3.0,2.0,1,2,1,0,,,,,,
34,0.140625,42,43.0,37.0,36.0,0.0,4.0,19.0,13.0,34.0,33.0,12,22,13,0,12.0,11.0,19,22,15,15,31.0,30.0,0,27,10,19,43.0,42.0,4,1,6,23,33.0,32.0,7,13,1,15,,,,,,
35,1.015625,42,44.0,17.0,16.0,18.0,28.0,17.0,15.0,44.0,43.0,16,28,1,0,37.0,36.0,0,5,6,27,42.0,41.0,13,28,0,28,43.0,42.0,0,19,10,15,23.0,22.0,14,22,19,13,,,,,,
36,0.359375,42,45.0,38.0,37.0,0.0,18.0,7.0,14.0,26.0,25.0,6,19,12,0,37.0,36.0,19,23,5,29,36.0,35.0,4,29,19,19,9.0,8.0,1,0,8,1,45.0,44.0,7,9,3,29,,,,,,
37,60.03125,42,,,,,,,,,,19,20,1,3,,,19,12,11,1,,,7,12,17,29,,,0,5,0,24,,,10,22,14,0,,,10.0,1.0,1.0,2.0
38,0.03125,42,52.0,52.0,51.0,14.0,29.0,1.0,11.0,23.0,22.0,6,23,19,14,36.0,35.0,0,1,14,22,10.0,9.0,19,22,16,28,30.0,29.0,1,8,6,26,21.0,20.0,10,22,7,5,,,,,,
39,60.046875,42,,,,,,,,,,11,1,3,29,,,16,0,17,15,,,18,0,1,27,,,0,4,16,15,,,12,0,7,4,,,0.0,24.0,1.0,23.0
40,60.0625,42,,,,,,,,,,6,4,15,0,,,8,15,4,0,,,15,15,6,22,,,10,24,0,27,,,19,14,6,13,,,18.0,29.0,19.0,13.0
41,60.171875,42,,,,,,,,,,6,25,7,1,,,0,26,8,15,,,11,28,1,26,,,19,21,2,1,,,18,29,1,24,,,2.0,29.0,19.0,28.0
