episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
10,1.625,42,26.0,12.0,10.0,8.0,9.0,6.0,17.0,7.0,6.0,8,1,3,0,3.0,2.0,8,0,6,0,26.0,16.0,6,13,4,1,17.0,12.0,4,9,5,0,,,,,,
11,17.21875,42,35.0,28.0,20.0,6.0,1.0,3.0,18.0,35.0,25.0,0,4,6,13,22.0,13.0,0,16,6,11,3.0,2.0,2,9,4,9,23.0,21.0,0,13,9,3,,,,,,
12,5.796875,42,17.0,2.0,1.0,6.0,1.0,6.0,0.0,2.0,1.0,0,9,0,10,13.0,12.0,7,18,8,9,17.0,8.0,6,2,3,3,5.0,4.0,6,9,6,5,,,,,,
13,0.28125,42,16.0,7.0,6.0,0.0,3.0,3.0,0.0,8.0,7.0,3,8,3,15,8.0,7.0,3,18,9,19,16.0,15.0,9,17,9,2,16.0,15.0,1,18,0,4,,,,,,
14,0.453125,42,23.0,17.0,16.0,2.0,1.0,9.0,10.0,23.0,22.0,8,19,3,2,16.0,15.0,0,6,3,18,13.0,12.0,9,3,6,12,18.0,17.0,3,0,0,14,,,,,,
15,34.15625,42,48.0,19.0,18.0,6.0,0.0,3.0,15.0,19.0,18.0,5,0,3,16,32.0,20.0,8,0,8,18,48.0,38.0,9,19,3,5,13.0,12.0,6,13,0,19,,,,,,
16,7.484375,42,25.0,17.0,16.0,3.0,6.0,6.0,19.0,25.0,24.0,0,2,6,16,16.0,15.0,0,12,4,1,12.0,10.0,0,10,0,18,14.0,13.0,7,19,9,8,,,,,,
17,12.3125,42,45.0,27.0,25.0,5.0,0.0,3.0,19.0,17.0,16.0,9,12,0,19,31.0,12.0,0,17,3,12,45.0,22.0,4,19,2,1,25.0,23.0,6,16,3,2,,,,,,
18,0.265625,42,14.0,12.0,11.0,6.0,15.0,0.0,10.0,6.0,5.0,6,9,3,7,14.0,13.0,6,6,0,13,2.0,1.0,3,9,3,10,7.0,6.0,9,15,9,9,,,,,,
19,2.53125,42,45.0,25.0,12.0,4.0,19.0,9.0,16.0,35.0,21.0,6,17,8,0,22.0,20.0,4,1,6,19,24.0,23.0,2,18,8,1,45.0,23.0,7,18,4,0,,,,,,
20,24.125,42,28.0,10.0,9.0,7.0,1.0,9.0,8.0,8.0,7.0,2,19,0,14,18.0,17.0,0,9,4,0,28.0,18.0,0,11,6,17,21.0,15.0,3,19,1,10,,,,,,
21,3.71875,42,36.0,30.0,26.0,6.0,19.0,1.0,0.0,4.0,3.0,3,3,4,1,9.0,8.0,8,10,9,3,36.0,9.0,6,3,0,2,12.0,11.0,5,19,7,10,,,,,,
22,0.421875,42,18.0,14.0,13.0,4.0,19.0,6.0,8.0,10.0,9.0,6,19,0,16,10.0,9.0,6,12,6,3,12.0,11.0,3,18,0,10,18.0,13.0,3,3,6,11,,,,,,
23,10.71875,42,30.0,30.0,16.0,6.0,8.0,0.0,4.0,11.0,10.0,0,9,1,0,21.0,14.0,7,10,4,19,22.0,19.0,3,16,1,1,11.0,10.0,8,1,3,6,,,,,,
24,0.75,42,20.0,9.0,8.0,6.0,12.0,6.0,4.0,16.0,15.0,0,16,8,9,12.0,11.0,6,14,0,19,20.0,14.0,0,11,3,2,20.0,19.0,1,0,9,11,,,,,,
25,2.25,42,29.0,18.0,17.0,9.0,18.0,6.0,4.0,13.0,6.0,6,3,3,2,27.0,26.0,3,19,0,2,29.0,28.0,3,8,0,17,21.0,19.0,6,7,9,15,,,,,,
26,3.640625,42,34.0,11.0,10.0,3.0,16.0,0.0,9.0,26.0,13.0,4,10,2,19,34.0,11.0,4,9,4,18,16.0,15.0,8,0,6,13,16.0,15.0,0,7,3,19,,,,,,
27,5.109375,42,25.0,4.0,3.0,9.0,12.0,8.0,10.0,3.0,2.0,0,18,2,18,25.0,23.0,6,2,9,14,17.0,16.0,5,18,3,6,22.0,13.0,4,9,5,19,,,,,,
28,10.140625,42,39.0,4.0,3.0,5.0,9.0,3.0,10.0,31.0,20.0,9,2,8,19,21.0,20.0,3,18,0,1,39.0,16.0,3,1,9,7,22.0,21.0,0,2,5,18,,,,,,
29,60.1875,42,,,,,,,,,,0,16,6,13,,,3,3,0,13,,,6,0,3,0,,,3,4,2,9,,,0.0,12.0,6.0,12.0
30,0.234375,42,14.0,9.0,8.0,7.0,0.0,6.0,7.0,3.0,2.0,9,12,9,10,5.0,4.0,7,19,9,17,7.0,6.0,3,5,2,0,14.0,13.0,0,12,2,1,,,,,,
31,17.140625,42,31.0,20.0,8.0,0.0,4.0,3.0,3.0,26.0,25.0,0,16,9,0,4.0,3.0,6,0,4,1,13.0,12.0,5,19,8,10,31.0,16.0,3,11,9,15,,,,,,
32,1.109375,42,33.0,20.0,9.0,3.0,4.0,6.0,8.0,16.0,15.0,1,10,5,1,6.0,5.0,9,14,9,9,6.0,5.0,6,9,2,10,33.0,24.0,3,1,9,19,,,,,,
33,2.015625,42,32.0,23.0,22.0,9.0,12.0,3.0,2.0,25.0,22.0,1,0,3,18,32.0,20.0,0,19,9,16,14.0,13.0,5,10,9,19,13.0,12.0,0,5,0,17,,,,,,
