episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
0,3.609375,42,34.0,31.0,26.0,0.0,8.0,3.0,15.0,7.0,6.0,8,1,9,6,24.0,23.0,6,12,0,7,34.0,33.0,3,16,6,16,,,,,,
1,60.0625,42,,,,,,,,,,0,18,6,19,,,0,8,8,0,,,6,0,6,18,,,9.0,17.0,9.0,0.0
2,0.515625,42,35.0,2.0,1.0,5.0,1.0,5.0,0.0,27.0,24.0,0,11,3,10,29.0,28.0,9,5,0,16,35.0,34.0,3,17,9,13,,,,,,
3,60.03125,42,,,,,,,,,,8,1,6,2,,,6,11,3,16,,,3,13,3,17,,,9.0,3.0,1.0,0.0
4,60.03125,42,,,,,,,,,,0,8,9,6,,,6,3,9,4,,,9,9,3,1,,,0.0,5.0,6.0,10.0
5,0.0,42,35.0,10.0,9.0,0.0,15.0,0.0,6.0,19.0,18.0,7,1,9,17,35.0,34.0,6,16,3,17,23.0,22.0,3,8,9,10,,,,,,
6,60.03125,42,,,,,,,,,,6,14,3,9,,,8,1,3,18,,,7,1,4,1,,,0.0,17.0,0.0,4.0
7,0.125,42,29.0,16.0,15.0,6.0,2.0,9.0,12.0,26.0,24.0,0,14,3,9,20.0,19.0,7,0,9,17,29.0,28.0,6,14,3,13,,,,,,
8,60.03125,42,,,,,,,,,,3,5,3,19,,,9,11,9,1,,,3,10,0,17,,,0.0,7.0,3.0,18.0
9,60.046875,42,,,,,,,,,,0,11,1,0,,,6,15,6,3,,,3,19,6,13,,,3.0,6.0,9.0,14.0
10,60.015625,42,,,,,,,,,,3,16,6,16,,,0,14,0,8,,,9,4,3,4,,,6.0,9.0,8.0,0.0
11,60.0625,42,,,,,,,,,,9,4,3,11,,,3,16,9,10,,,9,2,3,2,,,9.0,5.0,2.0,0.0
12,60.03125,42,,,,,,,,,,6,14,0,18,,,6,10,9,2,,,0,12,0,0,,,9.0,4.0,9.0,1.0
13,60.046875,42,,,,,,,,,,9,0,6,16,,,8,1,3,1,,,6,13,6,3,,,3.0,19.0,3.0,18.0
14,0.484375,42,30.0,4.0,3.0,5.0,0.0,2.0,0.0,22.0,20.0,6,4,0,10,21.0,20.0,0,3,3,16,30.0,29.0,0,12,6,13,,,,,,
15,60.015625,42,,,,,,,,,,6,12,0,7,,,3,19,8,0,,,9,6,6,10,,,6.0,4.0,6.0,2.0
16,0.078125,42,22.0,22.0,21.0,0.0,8.0,6.0,7.0,10.0,9.0,6,3,0,2,13.0,12.0,9,1,3,7,14.0,13.0,3,3,3,16,,,,,,
17,60.015625,42,,,,,,,,,,9,18,9,19,,,0,19,9,6,,,3,1,0,3,,,3.0,13.0,1.0,1.0
18,60.0625,42,,,,,,,,,,9,3,9,12,,,0,5,3,3,,,9,6,3,15,,,3.0,1.0,6.0,12.0
19,60.046875,42,,,,,,,,,,0,11,9,19,,,6,3,6,13,,,5,0,3,13,,,9.0,0.0,3.0,14.0
20,60.03125,42,,,,,,,,,,9,2,0,2,,,3,5,0,9,,,0,15,0,8,,,3.0,6.0,8.0,0.0
21,60.046875,42,,,,,,,,,,6,18,0,14,,,6,16,9,10,,,3,18,5,0,,,6.0,17.0,9.0,14.0
22,60.046875,42,,,,,,,,,,0,14,0,15,,,4,1,3,11,,,6,16,1,1,,,3.0,17.0,3.0,3.0
23,0.015625,42,32.0,32.0,31.0,6.0,14.0,9.0,16.0,22.0,21.0,6,9,0,8,16.0,15.0,6,7,3,7,21.0,20.0,3,9,0,10,,,,,,
24,0.03125,42,34.0,8.0,7.0,3.0,7.0,4.0,1.0,34.0,33.0,9,16,6,16,10.0,9.0,3,9,3,18,18.0,17.0,9,11,3,0,,,,,,
25,0.0,42,21.0,20.0,19.0,8.0,0.0,6.0,17.0,18.0,17.0,9,17,9,0,18.0,17.0,3,0,3,17,21.0,20.0,8,1,6,19,,,,,,
26,60.03125,42,,,,,,,,,,3,1,9,11,,,0,7,0,11,,,0,8,6,16,,,3.0,17.0,0.0,18.0
27,0.0,42,25.0,17.0,16.0,6.0,18.0,6.0,2.0,22.0,21.0,3,4,0,16,25.0,24.0,9,2,3,18,14.0,12.0,6,5,9,6,,,,,,
28,60.046875,42,,,,,,,,,,0,1,6,13,,,7,1,3,15,,,4,1,3,4,,,6.0,18.0,6.0,9.0
29,0.109375,42,27.0,26.0,25.0,0.0,12.0,6.0,9.0,19.0,18.0,6,5,0,7,17.0,16.0,0,8,7,1,27.0,26.0,6,11,3,14,,,,,,
30,60.09375,42,,,,,,,,,,9,0,0,17,,,0,3,3,6,,,0,16,6,12,,,4.0,1.0,0.0,13.0
31,60.0625,42,,,,,,,,,,6,14,9,1,,,0,9,0,15,,,0,16,3,3,,,6.0,6.0,9.0,13.0
32,60.015625,42,,,,,,,,,,9,19,6,8,,,6,5,6,6,,,3,17,3,3,,,3.0,7.0,0.0,2.0
33,60.046875,42,,,,,,,,,,0,13,3,18,,,9,16,9,0,,,3,14,0,5,,,4.0,0.0,0.0,7.0
34,60.046875,42,,,,,,,,,,3,1,3,16,,,4,0,9,14,,,6,13,0,14,,,4.0,1.0,6.0,4.0
35,0.0,42,18.0,18.0,17.0,6.0,1.0,9.0,15.0,14.0,13.0,3,19,3,6,8.0,7.0,9,2,6,2,4.0,3.0,3,0,5,1,,,,,,
36,2.359375,42,25.0,25.0,23.0,9.0,6.0,3.0,9.0,25.0,24.0,3,16,9,4,6.0,5.0,3,2,0,0,19.0,18.0,0,1,9,10,,,,,,
37,60.015625,42,,,,,,,,,,6,1,3,5,,,0,12,0,9,,,3,3,6,13,,,6.0,2.0,0.0,10.0
38,60.0625,42,,,,,,,,,,3,1,6,18,,,2,0,9,14,,,6,12,8,0,,,6.0,19.0,3.0,5.0
39,60.0625,42,,,,,,,,,,0,9,1,1,,,6,8,0,3,,,9,12,0,12,,,9.0,17.0,6.0,3.0
40,12.140625,42,28.0,28.0,25.0,6.0,2.0,3.0,18.0,17.0,16.0,3,10,9,2,25.0,24.0,3,4,9,16,16.0,15.0,9,4,3,5,,,,,,
41,60.046875,42,,,,,,,,,,0,18,6,9,,,9,15,5,1,,,6,10,9,11,,,3.0,2.0,2.0,1.0
42,0.015625,42,33.0,22.0,21.0,9.0,19.0,6.0,1.0,26.0,25.0,9,14,0,4,21.0,20.0,0,16,3,3,33.0,32.0,0,15,3,16,,,,,,
43,60.203125,42,,,,,,,,,,9,17,0,8,,,9,19,7,0,,,0,13,9,5,,,9.0,10.0,9.0,9.0
44,60.03125,42,,,,,,,,,,1,0,3,19,,,9,10,3,5,,,0,10,0,2,,,5.0,1.0,8.0,1.0
45,0.015625,42,36.0,20.0,19.0,3.0,6.0,9.0,9.0,25.0,24.0,6,12,0,8,36.0,35.0,3,13,6,19,15.0,14.0,3,10,7,0,,,,,,
46,60.046875,42,,,,,,,,,,3,10,9,15,,,3,0,2,0,,,0,0,0,2,,,9.0,14.0,0.0,11.0
47,0.265625,42,30.0,14.0,13.0,0.0,6.0,7.0,0.0,30.0,29.0,9,4,0,16,24.0,23.0,9,10,3,9,26.0,25.0,0,14,6,7,,,,,,
48,0.109375,42,33.0,21.0,20.0,6.0,18.0,3.0,1.0,17.0,16.0,9,8,3,4,33.0,32.0,0,4,9,19,28.0,27.0,0,18,8,1,,,,,,
49,60.046875,42,,,,,,,,,,3,5,3,15,,,9,17,0,13,,,4,1,9,13,,,5.0,0.0,0.0,1.0
50,60.40625,42,,,,,,,,,,0,16,0,1,,,1,1,6,14,,,3,1,9,17,,,0.0,12.0,0.0,11.0
51,60.03125,42,,,,,,,,,,3,3,8,0,,,5,0,6,5,,,9,13,3,14,,,6.0,15.0,0.0,18.0
52,60.015625,42,,,,,,,,,,9,7,0,7,,,9,1,6,19,,,0,2,9,3,,,6.0,17.0,0.0,12.0
