episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
0,0.265625,42,28,28,20,0,10,9,3,18,17,7,19,0,9,6,5,6,11,6,16,17,12,3,18,1,10
1,0.09375,42,20,16,15,0,10,7,18,11,10,5,10,6,19,20,19,9,17,8,1,3,2,7,1,5,1
2,0.078125,42,17,14,8,0,14,3,11,10,8,9,1,1,1,17,16,4,0,9,11,4,3,5,0,8,0
3,0.140625,42,34,15,14,6,10,3,19,16,15,3,14,4,0,34,27,8,19,2,0,15,14,5,19,0,10
4,0.0625,42,32,4,3,6,0,9,0,13,12,9,6,3,0,9,8,0,7,6,9,32,31,9,3,0,19
5,1.3125,42,18,9,8,7,10,9,16,6,5,6,17,3,19,18,12,3,9,9,7,14,13,0,7,6,14
6,0.046875,42,16,16,15,8,0,4,9,5,4,7,18,4,19,6,5,1,9,0,5,12,11,3,10,5,19
7,1.640625,42,21,11,10,0,17,3,10,10,9,7,9,9,16,21,9,6,15,3,15,13,12,9,11,3,5
8,0.046875,42,20,2,1,9,9,8,9,20,13,3,10,1,1,12,11,0,8,4,1,11,10,4,9,0,15
9,0.53125,42,30,15,14,6,15,6,1,10,9,4,10,6,13,30,23,3,6,9,13,20,19,2,0,3,18
10,0.03125,42,12,8,7,0,18,0,11,11,10,9,0,3,4,12,11,6,9,7,19,5,4,6,17,3,18
11,3.625,42,23,15,14,8,10,3,1,8,7,9,1,2,1,23,12,3,12,6,15,5,4,9,8,6,9
12,0.921875,42,37,17,16,0,16,0,0,37,16,9,0,8,9,17,16,1,10,8,1,27,12,8,10,8,0
