episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
25,61.5625,42,,,,7,1,3,14,,,8,19,9,16,,,0,15,3,2,,,3,18,4,18,,,0,14,5,0,,,6,1,6,12,,,9,11,3,4,,,0.0,9.0,9.0,14.0,,,,,,
26,50.3125,42,20.0,12.0,11.0,3,1,6,9,15.0,14.0,9,15,9,1,16.0,14.0,9,11,0,12,3.0,2.0,4,19,6,19,15.0,14.0,0,2,0,16,6.0,5.0,6,5,7,9,20.0,19.0,6,0,3,16,,,,,,,14.0,13.0,5.0,9.0,0.0,17.0
27,61.0625,42,,,,0,0,3,18,,,9,16,4,9,,,0,19,6,9,,,6,5,8,1,,,1,1,9,2,,,9,12,0,2,,,7,1,6,12,,,8.0,10.0,0.0,12.0,,,,,,
28,61.34375,42,,,,3,1,7,18,,,9,0,6,6,,,2,10,9,12,,,8,9,9,4,,,4,1,7,10,,,2,0,6,5,,,3,6,3,15,,,5.0,10.0,0.0,13.0,,,,,,
29,41.453125,42,15.0,6.0,5.0,9,11,5,10,10.0,9.0,3,17,2,9,15.0,14.0,0,13,2,1,12.0,11.0,6,11,9,19,9.0,8.0,9,15,7,9,4.0,3.0,9,4,9,1,8.0,7.0,2,19,8,18,,,,,,,13.0,12.0,3.0,11.0,4.0,0.0
30,61.796875,42,,,,9,15,1,9,,,0,12,8,19,,,9,6,3,4,,,0,7,3,3,,,4,10,9,11,,,6,4,9,10,,,3,9,6,5,,,0.0,16.0,0.0,19.0,,,,,,
31,60.34375,42,19.0,9.0,8.0,3,1,0,6,13.0,12.0,6,2,1,9,19.0,18.0,0,17,1,0,6.0,5.0,4,0,9,0,17.0,15.0,0,13,3,17,16.0,15.0,5,18,6,4,10.0,8.0,0,2,5,1,,,,,,,7.0,6.0,0.0,18.0,6.0,18.0
32,60.53125,42,,,,6,14,9,5,,,8,10,8,1,,,3,13,9,2,,,9,0,5,18,,,3,4,0,5,,,9,18,4,19,,,5,0,1,1,,,7.0,1.0,9.0,7.0,,,,,,
33,62.09375,42,,,,2,1,0,5,,,2,0,0,0,,,2,9,3,11,,,6,10,9,11,,,6,2,5,9,,,9,14,9,7,,,3,16,0,11,,,3.0,0.0,0.0,10.0,,,,,,
34,60.859375,42,,,,9,0,8,9,,,0,12,9,8,,,0,6,2,1,,,3,14,9,17,,,9,11,3,5,,,6,15,8,10,,,0,11,6,3,,,9.0,1.0,8.0,0.0,,,,,,
35,61.703125,42,,,,6,8,3,5,,,6,10,5,1,,,6,7,9,16,,,8,0,9,3,,,7,1,9,0,,,0,15,4,1,,,8,19,3,12,,,5.0,18.0,6.0,15.0,,,,,,
36,62.0625,42,,,,6,10,3,16,,,2,9,6,6,,,2,18,2,0,,,0,7,3,7,,,0,16,3,10,,,3,18,5,0,,,4,10,7,1,,,0.0,19.0,3.0,5.0,,,,,,
37,60.9375,42,,,,3,18,6,13,,,3,12,9,10,,,1,1,9,3,,,6,15,4,10,,,2,1,7,19,,,3,2,3,6,,,8,1,4,1,,,9.0,14.0,5.0,18.0,,,,,,
38,64.171875,42,,,,9,15,7,18,,,9,2,6,9,,,4,18,0,8,,,6,11,3,1,,,1,10,1,0,,,8,10,7,1,,,6,0,0,4,,,5.0,10.0,6.0,5.0,,,,,,
39,62.21875,42,,,,6,16,0,11,,,5,0,6,8,,,9,3,7,0,,,9,10,6,3,,,0,15,0,9,,,9,14,5,9,,,6,7,9,12,,,6.0,9.0,6.0,19.0,,,,,,
40,62.375,42,,,,0,15,9,19,,,9,15,9,12,,,0,19,9,13,,,8,9,0,10,,,3,15,2,10,,,6,4,6,19,,,3,19,0,5,,,8.0,0.0,0.0,11.0,,,,,,
41,62.90625,42,,,,5,9,4,9,,,6,7,6,14,,,0,19,7,0,,,0,15,7,18,,,6,1,9,10,,,0,0,8,9,,,6,2,4,19,,,4.0,10.0,2.0,1.0,,,,,,
42,61.65625,42,,,,6,5,4,18,,,0,16,6,12,,,9,12,7,0,,,9,2,3,16,,,0,13,9,10,,,8,1,7,19,,,6,19,1,18,,,0.0,10.0,6.0,13.0,,,,,,
