episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
20,0.0625,42,28.0,21.0,20.0,0,17,3,0,11.0,10.0,7,9,3,3,28.0,27.0,1,0,9,19,16.0,15.0,3,10,8,0,12.0,11.0,6,5,3,5,7.0,6.0,6,19,9,16,20.0,19.0,9,5,4,19,11.0,10.0,0,5,5,0,,,,,,,11.0,10.0,9.0,7.0,1.0,9.0
21,60.015625,42,,,,3,18,6,14,,,0,16,9,16,,,9,12,0,14,,,0,1,3,2,,,1,0,5,0,,,2,0,9,11,,,3,0,6,16,,,0,15,7,18,,,0.0,2.0,6.0,3.0,,,,,,
22,60.046875,42,,,,3,16,0,15,,,1,10,3,18,,,9,4,0,14,,,8,10,6,1,,,0,2,9,11,,,6,18,3,14,,,0,9,9,16,,,7,1,3,2,,,8.0,19.0,4.0,18.0,,,,,,
23,60.015625,42,,,,5,0,0,2,,,6,12,6,5,,,3,4,6,0,,,9,14,0,17,,,5,9,6,9,,,3,1,9,1,,,9,15,0,12,,,9,11,6,19,,,4.0,19.0,0.0,16.0,,,,,,
24,60.03125,42,,,,7,9,8,10,,,3,16,3,18,,,0,0,4,9,,,9,16,6,9,,,0,19,8,1,,,6,5,9,2,,,1,1,0,2,,,9,12,6,12,,,7.0,1.0,0.0,12.0,,,,,,
25,60.03125,42,,,,3,1,6,6,,,9,0,9,12,,,2,10,9,4,,,8,9,7,10,,,4,1,6,5,,,2,0,3,15,,,3,6,0,13,,,5,10,3,11,,,7.0,18.0,9.0,11.0,,,,,,
26,0.03125,42,27.0,16.0,15.0,0,13,9,19,4.0,3.0,6,11,7,9,27.0,26.0,9,15,9,1,16.0,15.0,9,4,8,18,16.0,15.0,2,19,0,12,12.0,11.0,4,0,9,6,9.0,8.0,5,10,0,7,4.0,3.0,2,9,4,10,,,,,,,18.0,17.0,3.0,17.0,2.0,1.0
27,60.03125,42,,,,6,4,6,5,,,3,9,0,19,,,0,16,0,18,,,1,9,3,1,,,8,19,6,2,,,3,4,0,17,,,3,3,4,0,,,9,11,0,13,,,9.0,10.0,5.0,18.0,,,,,,
28,60.046875,42,,,,0,2,6,14,,,6,18,8,10,,,0,6,3,13,,,1,9,3,4,,,1,0,9,18,,,9,0,5,0,,,3,17,7,1,,,6,4,9,5,,,5.0,1.0,8.0,1.0,,,,,,
29,60.015625,42,,,,9,2,6,10,,,5,18,6,2,,,0,5,9,14,,,4,19,3,16,,,1,1,3,0,,,9,7,0,0,,,2,1,3,11,,,2,0,9,11,,,2.0,9.0,5.0,9.0,,,,,,
