episode,cpu_time,seed,total_reward,timesteps,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y
11,3.359375,42,15.0,60,1.5,1,2,1,13,1.5,0,4,0,21,1.5,15,1,11,22,1.5,12,0,16,1,1.5,10,29,7,11,1.5,13,29,6,23,1.5,6,26,0,9,1.5,18,15,10,19,1.5,7,10,0,19,1.5,5,1,1,11
12,5.890625,42,1.0,100,0.5,4,29,1,4,-1.0,12,0,19,27,-1.0,1,3,10,19,0.5,1,10,10,26,0.5,1,9,0,5,0.5,0,23,6,7,-0.5,10,20,10,21,0.5,6,3,19,12,0.5,12,22,7,0,0.5,16,14,4,1
13,4.03125,42,15.0,72,1.5,12,14,19,19,1.5,6,23,6,29,1.5,7,8,19,15,1.5,0,14,9,14,1.5,7,9,2,1,1.5,16,0,10,16,1.5,0,18,7,6,1.5,19,20,7,10,1.5,7,4,1,6,1.5,3,0,16,28
14,4.734375,42,15.0,76,1.5,0,2,3,1,1.5,9,14,1,2,1.5,8,1,5,0,1.5,3,29,0,24,1.5,17,15,0,27,1.5,6,28,6,0,1.5,0,4,12,1,1.5,6,3,19,6,1.5,18,1,10,0,1.5,6,11,12,14
15,5.734375,42,2.5,100,0.5,19,10,17,22,0.5,12,0,1,22,0.5,14,14,1,24,0.5,15,22,10,1,-0.5,10,26,5,1,0.5,19,15,1,2,0.5,6,1,9,15,0.5,1,25,19,24,0.5,14,1,0,8,-1.0,0,24,6,12
16,4.578125,42,15.0,80,1.5,7,15,6,27,1.5,16,29,1,28,1.5,19,21,19,28,1.5,19,19,1,7,1.5,10,28,4,29,1.5,1,16,1,11,1.5,11,1,9,0,1.5,7,3,19,8,1.5,6,0,19,15,1.5,4,0,0,10
17,5.65625,42,4.0,100,0.5,0,26,19,3,0.5,19,28,7,5,0.5,1,4,6,0,0.5,14,29,6,4,0.5,1,21,6,13,0.5,0,20,15,22,0.5,18,0,12,0,-0.5,19,22,8,0,0.5,19,5,0,5,0.5,19,4,6,21
18,4.90625,42,15.0,87,1.5,0,7,19,1,1.5,14,15,0,15,1.5,14,29,17,22,1.5,0,1,1,11,1.5,1,25,13,29,1.5,2,0,1,5,1.5,19,15,6,12,1.5,0,21,0,28,1.5,6,15,19,5,1.5,19,18,10,23
19,5.625,42,-2.0,100,0.5,6,27,19,22,0.5,1,14,19,14,-0.5,3,1,0,3,0.5,15,29,3,0,0.5,7,12,12,22,-1.0,19,29,1,22,-0.5,6,1,1,0,-0.5,0,10,1,2,-0.5,5,29,1,9,-1.0,19,23,0,4
20,5.71875,42,4.0,100,0.5,18,28,10,15,0.5,4,1,0,5,0.5,7,13,13,28,0.5,15,15,17,15,0.5,1,15,0,28,0.5,13,0,14,22,-0.5,10,19,1,0,0.5,0,27,16,28,0.5,19,13,0,19,0.5,6,23,6,27
