episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.09375,42,,,,0,20,18,15,,,15,28,0,19,,,11,28,13,1,,,6,28,1,16,,,6.0,27.0,0.0,21.0,,,,,,
1,60.234375,42,,,,8,14,16,1,,,19,24,7,15,,,14,15,0,29,,,15,14,17,29,,,13.0,29.0,7.0,1.0,,,,,,
2,60.109375,42,,,,7,12,11,15,,,6,12,6,20,,,1,11,17,14,,,19,13,9,14,,,15.0,29.0,6.0,29.0,,,,,,
3,60.1875,42,,,,7,1,0,14,,,1,22,18,15,,,0,21,17,15,,,10,0,3,0,,,19.0,4.0,11.0,0.0,,,,,,
4,60.109375,42,,,,1,7,19,23,,,15,1,7,0,,,13,14,19,5,,,6,9,12,22,,,0.0,15.0,15.0,29.0,,,,,,
5,60.1875,42,,,,15,14,0,10,,,1,14,9,15,,,6,11,1,5,,,7,4,14,28,,,7.0,11.0,12.0,28.0,,,,,,
6,60.234375,42,,,,19,12,6,2,,,14,28,19,8,,,6,11,6,12,,,19,22,0,17,,,6.0,22.0,7.0,5.0,,,,,,
7,60.171875,42,,,,16,15,7,6,,,1,13,6,3,,,7,4,1,21,,,0,29,10,15,,,12.0,29.0,12.0,14.0,,,,,,
8,60.078125,42,,,,19,16,13,14,,,6,28,0,22,,,1,6,5,29,,,17,22,15,15,,,11.0,0.0,6.0,27.0,,,,,,
9,60.140625,42,,,,16,28,1,24,,,17,29,12,28,,,6,16,11,1,,,19,6,1,2,,,4.0,0.0,17.0,22.0,,,,,,
10,60.15625,42,,,,1,15,15,29,,,16,28,12,1,,,0,1,7,5,,,16,15,13,15,,,16.0,1.0,3.0,0.0,,,,,,
11,60.109375,42,,,,15,29,0,8,,,10,1,1,2,,,7,3,1,26,,,7,13,0,26,,,10.0,16.0,6.0,28.0,,,,,,
